"zip","city","state","name","address","postalCode","lat","lon"
"20601","Waldorf","MD","Pinefield","not_available","20601",38.65066407563634,-76.86958116364424
"20601","Waldorf","MD","Turkey Hill Park","9430 Turkey Hill Rd","20695",38.572327030541246,-76.98096513748169
"20601","Waldorf","MD","Laurel Springs Park","Radio Station Rd","20646",38.55278321332402,-76.94661401794376
"20601","Waldorf","MD","White Plains Regional Park","1015 Saint Charles Pkwy","20695",38.577309351689365,-76.92386627197266
"20601","Waldorf","MD","Billingsley Road Park","not_available","20603",38.6236686706543,-76.91305541992188
"20601","Waldorf","MD","Ryan's Bbq & Pool Party","not_available","20637",38.546566009521484,-76.79841613769531
"20601","Waldorf","MD","Accokeek East Park","not_available","not_available",38.67527004989038,-76.946855967793
"20601","Waldorf","MD","St Charles Pond","not_available","20602",38.60522981229305,-76.89816941165495
"20601","Waldorf","MD","White Plains Soccer Field","not_available","20646",38.566330413982705,-76.99506756327253
"20603","Waldorf","MD","Kingsview Trail","4024-4046 Windsor Heights Pl","20695",38.615348717904496,-77.0335050033926
"20603","Waldorf","MD","Bensville Park","6980 bensville rd","not_available",38.59977587761886,-77.01865446874989
"20606","Abell","MD","staces beach","abell rd","not_available",38.23518007913374,-76.74266695976257
"20607","Accokeek","MD","National Colonial Farms","3400 Bryan Point Rd","20607",38.69448479464957,-77.06530858615064
"20607","Accokeek","MD","Accokeek Neighborhood Park","16058 Livingston Rd.","not_available",38.66993082161212,-77.02525618083703
"20607","Accokeek","MD","Piscataway Creek","not_available","20744",38.698125,-76.991604
"20607","Accokeek","MD","Accokeek Foundation at Piscataway Park","not_available","20607",38.694671539274,-77.06520740367364
"20608","Aquasco","MD","King's Landing Park","3255 King’s Landing Rd","20639",38.62631497611066,-76.67370713699617
"20616","Bryans Road","MD","Marshall Hall","not_available","20616",38.684786453030284,-77.09867167782285
"20619","California","MD","Chancellors Run Park","Chancellors Run Rd","20634",38.27138088594775,-76.4952486850154
"20620","Callaway","MD","Callaway Locker Room Frat Boys College","Black Duck Ct","20620",38.243175684843244,-76.52528012895868
"20622","Charlotte Hall","MD","Gilbert Run Park","13140 Charles Street","20622",38.48564573492197,-76.85623208979301
"20622","Charlotte Hall","MD","Wicomico Motorsports Park","not_available","20659",38.404889713428396,-76.85768484894736
"20622","Charlotte Hall","MD","Fifth District Park","37880 New Market Turner Rd","20659",38.477718353271484,-76.76630401611328
