"zip","city","state","name","address","postalCode","lat","lon"
"68002","Arlington","NE","Arlington City Park","not_available","not_available",41.454553,-96.353115
"68003","Ashland","NE","Picnic Area @ Wildlife Safari","not_available","68003",41.012511794627905,-96.29076321200361
"68003","Ashland","NE","Plum Creek Park","not_available","68028",41.12792228357733,-96.25875234603882
"68003","Ashland","NE","Mud, Sweat and Beers","not_available","68058",41.008812,-96.277443
"68003","Ashland","NE","Ashland City Park","200-246 N 25th St","68003",41.04156732866494,-96.38215752045555
"68003","Ashland","NE","North Park (Gretna City Park)","Hwy 6/31 & E Angus Rd","68028",41.140056091418636,-96.23688170432409
"68003","Ashland","NE","Peterson Park","Angus & Cherokee Dr.","68028",41.14014533609221,-96.24194854115207
"68003","Ashland","NE","Greenwood City Park","400-498 Elm St","68366",40.96102304,-96.43736021
"68005","Bellevue","NE","Haworth Park","2502 Payne Dr","68005",41.13477496987227,-95.88111877441406
"68005","Bellevue","NE","Washington Park","150-198 E 20th Ave","68005",41.140154010639804,-95.89312188153747
"68005","Bellevue","NE","American Heroes Park","not_available","68005",41.138314166661054,-95.88459491729736
"68005","Bellevue","NE","College Heights Park","Kountze Memorial Drive","68005",41.1537454183217,-95.88697671890259
"68005","Bellevue","NE","Gilbert Park","521 W 29th Ave","68005",41.12759902598025,-95.90023756027222
"68005","Bellevue","NE","Twin Ridge II Park","1600 Bryan Avenue","68005",41.14484852,-95.93424814
"68005","Bellevue","NE","Thompson Park","2602 S Franklin St","68005",41.13076688176051,-95.89442253112793
"68005","Bellevue","NE","Heber Park","1327 Englewood Dr","68005",41.144085,-95.917156
"68005","Bellevue","NE","A View in Fontenelle Hills","1102 Country Club Ct","68005",41.16444798228416,-95.90804132691501
"68005","Bellevue","NE","Jewell Park","Combs Road","68005",41.153892619291724,-95.89500696480094
"68005","Bellevue","NE","Progressive Park/Myers Landing","6865 Gifford Rd","51501",41.186968,-95.895402
"68005","Bellevue","NE","Everett Park","1701 Betz Rd","68005",41.14437399168535,-95.92042922973633
"68007","Bennington","NE","Centennial Park","15551 Warehouse Street","68007",41.363143348676736,-96.15762233734131
"68007","Bennington","NE","John-Bohn Park City Of Bennington","not_available","68007",41.365657214146395,-96.15838693378318
"68008","Blair","NE","Black Elk-Neihardt Park","College Drive & N 32 ST","68008",41.551372189071515,-96.16153040141616
"68008","Blair","NE","DeSoto National Wildlife Refuge","1434 316th Ln","51555",41.5408910163613,-96.03125039770478
"68008","Blair","NE","Stemmerman Park","10 Street","68008",41.55281826691556,-96.12916050004199
"68008","Blair","NE","Ridgeview Park","14 Street","68008",41.552730194028136,-96.12902513723661
"68008","Blair","NE","Blair Optimist River Park","not_available","68008",41.552142178169035,-96.09716022296944
"68008","Blair","NE","Veteran's Park","1299 Washington","68008",41.54639825392251,-96.1296992090093
"68008","Blair","NE","Lions Park","N 16 ST","68008",41.54805504016683,-96.13682717725716
"68017","Ceresco","NE","max roper park","not_available","68017",40.99558879922177,-96.64171019521802
