"zip","city","state","name","address","postalCode","lat","lon"
"87002","Belen","NM","Las Maravillas","artissima","87031",34.729662706905145,-106.67642167550707
"87004","Bernalillo","NM","Loma Colorado Park","not_available","not_available",35.26624043646974,-106.6587073180208
"87004","Bernalillo","NM","City of Bernalillo","not_available","87004",35.31878163029978,-106.5491511378701
"87004","Bernalillo","NM","King Meadows Park","Rio Rancho","87144",35.294710993766785,-106.61467552185059
"87004","Bernalillo","NM","Football practice","300-424 Copper Dr NE","87124",35.26374287,-106.64085904
"87004","Bernalillo","NM","High Range Dog Park","1901 40th St NE","87144",35.28936514644577,-106.65777325630188
"87004","Bernalillo","NM","La Entrada Park","not_available","87048",35.223106384277344,-106.61722564697266
"87004","Bernalillo","NM","navy seals training park","not_available","87124",35.26311111450195,-106.65809631347656
"87004","Bernalillo","NM","Coronado State Monument","485 Kuaua Rd","not_available",35.329946,-106.55683300000001
"87004","Bernalillo","NM","RIO RANCHO SOCCER FIELD","Vista Larga Pl NE","87124",35.25692403316498,-106.66354537010193
"87013","Cuba","NM","Angel Peak Picnic Area","Country rd 7175","87413",36.527982,-107.893949
"87013","Cuba","NM","Havasu Park 3535","3535 Havasu Falls","87144",35.319696508101536,-106.71012380681324
"87015","Edgewood","NM","Crosley Park","not_available","87035",35.00381517077018,-106.2404784000556
"87015","Edgewood","NM","Stanley New Mexico","not_available","87070",35.14772,-105.97762399999999
"87015","Edgewood","NM","Wildlife West Nature Park","87 N Frontage Rd","87015",35.071537017822266,-106.2026138305664
"87016","Estancia","NM","Arthur Park","not_available","87016",34.755601319371685,-106.05825159448484
"87020","Grants","NM","Fire and Ice Park","Santa Fe Ave","87020",35.15347435461473,-107.86777310079349
"87020","Grants","NM","Wells Park","Sakalares Ave.","87020",35.154975,-107.818376
"87024","Jemez Pueblo","NM","Hummingbird Music Camp","104 Hummingbird Rd","87025",35.82436,-106.6607
"87024","Jemez Pueblo","NM","Father Fitzgerald Memorial Park","not_available","87025",35.771515,-106.690601
"87031","Los Lunas","NM","Los Lunas Little League","not_available","87031",34.8125414,-106.7510895
"87031","Los Lunas","NM","River Park","Main St NE","87031",34.80323076076743,-106.71560025704471
"87031","Los Lunas","NM","Huning Ranch Park","Sundance","87031",34.81356513535705,-106.77360941767017
"87031","Los Lunas","NM","Main Street Memorial Park","Main St.","87031",34.81079864501953,-106.74163818359375
"87031","Los Lunas","NM","Cypress Garden","Cypress Garden E15","not_available",34.790977478027344,-106.66158294677734
"87048","Corrales","NM","River Walk at Puerta De Corrales","3405 Calle Cuervo NW","87114",35.207812,-106.647241
"87048","Corrales","NM","Grassy spot","not_available","87113",35.198420765070765,-106.59458597336496
"87064","Youngsville","NM","Ghost Ranch","280 Private Drive 1708 US HWY 84","87510",36.34283447265625,-106.46814727783203
"87102","Albuquerque","NM","Tiguex Park","1800 Old Town Rd NW","87104",35.0965268849896,-106.66630268096924
"87102","Albuquerque","NM","Robinson Park","not_available","87102",35.08568989284112,-106.65662762377164
"87102","Albuquerque","NM","Roosevelt Park","501-599 Spruce St SE","87106",35.07695232001176,-106.63254681471514
"87102","Albuquerque","NM","Mary fox park","not_available","87104",35.090653770340346,-106.66209698102966
"87102","Albuquerque","NM","Jesse Pinkman's House","322 16th St SW","87104",35.08735748226371,-106.66567723800483
"87102","Albuquerque","NM","Duck Pond","Yale Blvd. SE","87106",35.08503108746184,-106.6221853473874
"87102","Albuquerque","NM","Dennis Chavez Community Center & Park","715 Kathryn Ave SE","87102",35.066745902487156,-106.64032816886902
"87102","Albuquerque","NM","Kirtland Dog Park","not_available","87106",35.053883,-106.63249
"87102","Albuquerque","NM","National Hispanic Cultural Center","1701 4th St SW","87102",35.06873950743979,-106.65570072524268
"87102","Albuquerque","NM","Manzano Day School","1801 Central Ave NW","87104",35.091855,-106.666113
"87102","Albuquerque","NM","South Broadway Park","264 Garfield Ave SE","not_available",35.075419891238695,-106.6448315511589
"87102","Albuquerque","NM","City View Park","off copper","87123",35.09919019039173,-106.61530100223577
"87102","Albuquerque","NM","Spruce Park","500 Spruce St","not_available",35.085305806302905,-106.63027259468147
"87102","Albuquerque","NM","Wells Park","1100-1198 6th St NW","87102",35.09542085070751,-106.65234434927427
"87104","Albuquerque","NM","ABQ BioPark Tingley Beach","1800 Tingley Dr SW","87104",35.08549200674354,-106.67378459316252
"87104","Albuquerque","NM","Kit Carson Park","1744 Kit Carson Ave NW","87106",35.08182977968027,-106.66824009625854
"87104","Albuquerque","NM","Matthew Meadows Park","3300 Mateo Prado NW","87107",35.11902618408203,-106.66144561767578
"87104","Albuquerque","NM","Valley Neighborhood Park","Valley Pool Rd","87107",35.12696813527816,-106.66370327094701
"87105","Albuquerque","NM","Embudo Hills Park","not_available","87112",35.09175896791455,-106.48757493062631
"87105","Albuquerque","NM","Alvarado Park","5601-5699 Hannett Ave NE","87110",35.098855555593296,-106.58166527119681
"87105","Albuquerque","NM","Hardin Field","2nd St SE","87117",35.05740025129431,-106.5506486027375
"87105","Albuquerque","NM","Manzano Mesa Park","not_available","87123",35.06576525333593,-106.52667036881624
"87105","Albuquerque","NM","Pat Hurley Park","not_available","87105",35.089267823666574,-106.69835364259121
"87105","Albuquerque","NM","Morningside Park","not_available","87108",35.077556978096815,-106.60086581254168
"87105","Albuquerque","NM","USS Bullhead Memorial Park","Randolph Rd SE","87108",35.05226611419765,-106.5802437536565
"87105","Albuquerque","NM","Phil Chacon Park","7505 Kathryn Ave SE","87108",35.065120697021484,-106.56495666503906
"87105","Albuquerque","NM","Inez Park","2001-2099 Wisconsin St NE","87112",35.10496822892904,-106.5520743301124
"87105","Albuquerque","NM","Altura Park","4101 Hannett Ave NE","87110",35.0982059668306,-106.5996623814551
"87105","Albuquerque","NM","Singing Arrow Park","13098 Piru Blvd","87123",35.064198787289335,-106.49946877428107
"87105","Albuquerque","NM","Crestview Heights Park","Chandelle Ct","87112",35.101249886460536,-106.4982951801861
"87106","Albuquerque","NM","Rio Bravo Park","not_available","87121",35.02353010081521,-106.63894238974927
"87106","Albuquerque","NM","Bataan Memorial Park","748 Tulane Dr NE","87106",35.08829254753622,-106.60593152046204
"87106","Albuquerque","NM","Hidden Park","Mackland","not_available",35.090522396913286,-106.60278797149658
"87107","Albuquerque","NM","Los Poblanos Open Space","5601 Tierra Viva Pl NW","87107",35.142910586738175,-106.65778481318158
"87107","Albuquerque","NM","Grecian Park","Grecian drive nr","not_available",35.146366235576274,-106.64402949568019
"87107","Albuquerque","NM","Pirate Ship Park","not_available","87107",35.13952004124345,-106.65182621694063
"87107","Albuquerque","NM","Mike King Memorial Park","not_available","87109",35.13005871,-106.60665512
"87108","Albuquerque","NM","Vail Park","Crest St","87108",35.05422673333333,-106.5937466
"87108","Albuquerque","NM","La Mesa Park","402 Espanola St NE","87108",35.08190441243468,-106.5638998569184
"87108","Albuquerque","NM","Wilson Park","6000 Anderson Ave SE","87108",35.06340789794922,-106.57918548583984
"87108","Albuquerque","NM","Marquez Park","Gibson Ave","87116",35.05745989786478,-106.55723029437429
"87109","Albuquerque","NM","Sister Cities Park","6401 Mc Kinney Dr NE","87109",35.1524386638113,-106.57844241095174
"87109","Albuquerque","NM","Loma Del Norte Park","Loma Del Norte","87109",35.1645844504144,-106.56355457678582
"87109","Albuquerque","NM","Rotary Park","Quintana & Wallace","87109",35.16968779936996,-106.53889151084167
"87109","Albuquerque","NM","Heritage Hills Park","Ventura and Harper NE","87109",35.159538602261925,-106.54382274491955
"87109","Albuquerque","NM","Park","2000-2098 San Mateo Blvd NE","87110",35.14747675889311,-106.58302924627179
"87109","Albuquerque","NM","Osuna Park","4715 Moon St NE","87111",35.135398864746094,-106.54253387451172
"87109","Albuquerque","NM","Stardust Park","Stardust Skies Park","87110",35.127603639901935,-106.56178790216723
"87109","Albuquerque","NM","USFS","3900 Masthead St NE","87109",35.165787,-106.59940800000001
"87110","Albuquerque","NM","Montgomery Park","not_available","87110",35.12538452476606,-106.58362203139026
"87110","Albuquerque","NM","Snow Heights Park","7840 Constitution Ave NE","87110",35.094152,-106.558651
"87110","Albuquerque","NM","Villa Park","Monroe","87110",35.12154523175382,-106.58912407619323
"87110","Albuquerque","NM","Grisham Park","3101-3199 Tiley Dr NE","87110",35.11853082339783,-106.59781898814315
"87110","Albuquerque","NM","Zuni Park","Cutler Ave NE","87110",35.10749803206471,-106.56375023545914
