"zip","city","state","name","address","postalCode","lat","lon"
"89001","Alamo","NV","Childrens Park","not_available","89001",37.358773,-115.163976
"89002","Henderson","NV","O'Callaghan Park","613 Skyline Rd.","89002",36.01064007927387,-114.98019410574436
"89002","Henderson","NV","Mission Hills Park","not_available","not_available",35.99627714214237,-114.96194468782357
"89002","Henderson","NV","Shindig Park","not_available","89015",35.996362718301455,-114.93195557108558
"89002","Henderson","NV","O'Calahan Park","not_available","89002",36.010625,-115.00638888888889
"89002","Henderson","NV","Hidden Falls Park","281 E Horizon Dr.","89002",36.00659033863664,-114.99472920369729
"89004","Blue Diamond","NV","Blue Diamond Park","28 Cottonwood Dr","89004",36.048139,-115.40803
"89005","Boulder City","NV","Cinnamon Ridge Park","825 Burkholder Blvd.","89015",36.04081247899356,-114.95756036915027
"89005","Boulder City","NV","Weston Hills Park","McCormick","89011",36.0750955033499,-114.97770469927838
"89005","Boulder City","NV","Bicentennial Park","999 Colorado Street","89005",35.97967219537534,-114.83474525526627
"89005","Boulder City","NV","Las vegas wash","not_available","89011",36.08695757171038,-114.98084295573713
"89005","Boulder City","NV","Veterans Memorial Park","1650 Buchanan Blvd","89005",35.95306570957569,-114.84787820489177
"89005","Boulder City","NV","Lake Mead Lake Las Vegas Entrance","Lakeshore/Lake Mead Parkway","not_available",36.07958351265803,-114.94970949441486
"89005","Boulder City","NV","Terrazza Park","1992 Galleria Drive","not_available",36.101269878740624,-114.93736724951881
"89005","Boulder City","NV","Bootleg Canyon Trails","not_available","89005",35.99883426451246,-114.86725217240881
"89005","Boulder City","NV","Del Prado Park","Utah st","89005",35.975840838004814,-114.82820346458169
"89005","Boulder City","NV","Central Park","1301 5th Street","89005",35.97350846926729,-114.83544182650915
"89005","Boulder City","NV","Casablanca Foyer Patio","The Westin Lake Las Vegas Resort & Spa","not_available",36.1139030456543,-114.92252349853516
"89005","Boulder City","NV","Boulder City BMX","1799 Commons Way","89005",35.95177280366743,-114.84734058380127
"89005","Boulder City","NV","Multi Use Building In The Park","1128 6th Street","not_available",35.97222137451172,-114.83546447753906
"89005","Boulder City","NV","Heritage Park","350 S Racetrack Rd","89015",36.03156061501761,-114.95424270629884
"89007","Bunkerville","NV","Mesquite Regional Park","not_available","89027",36.78554439502972,-114.1334235798819
"89007","Bunkerville","NV","Pedal Bike Track","not_available","89040",36.528643,-114.437938
"89008","Caliente","NV","Kershaw Ryan Park","Hwy 55","89008",37.58815841813214,-114.5256358276675
"89011","Henderson","NV","Wetlands Park","7050 Wetlands Park Ln","89122",36.101093191519034,-115.02481119951155
"89011","Henderson","NV","Henderson Bird Viewing Preserve","350 E. Galleria","89015",36.0749048174364,-115.0021872373392
"89011","Henderson","NV","Trail Canyon Park","not_available","89074",36.04602543279686,-115.03692896223696
"89011","Henderson","NV","Sunridge park","not_available","89122",36.08257774303568,-115.04003942538901
"89011","Henderson","NV","Playground at Copper Creek","Prospectors Creek Ave","89122",36.08112809509872,-115.0140203030347
"89011","Henderson","NV","Russell Road Recreation Complex","5901 E Russell Rd","89122",36.082817685345695,-115.04239687050983
"89011","Henderson","NV","Old Sam Boyd Park Archery Range","E Russell Rd","89122",36.087668123903455,-115.00520288889491
"89011","Henderson","NV","Wash Park & Playground","Theme Rd","89122",36.117482311424666,-115.03311072128773
"89011","Henderson","NV","Tuscany Park","1550 E. Galleria Dr.","not_available",36.08461380004883,-114.95926666259766
