"zip","city","state","name","address","postalCode","lat","lon"
"29006","Batesburg","SC","Leesville College Park","not_available","not_available",33.92356405074558,-81.5161098471838
"29006","Batesburg","SC","Town Of Summit Walking Trail","303-317 Old Broad St","29070",33.92312665112991,-81.42126916204289
"29015","Blair","SC","In The Car","Road","29015",34.45261801138764,-81.30642362897339
"29016","Blythewood","SC","Doko Meadows Park","171 Langford Rd","29016",34.215881,-80.971089
"29016","Blythewood","SC","Long Creek Plantation Park","not_available","29016",34.181137,-80.94169
"29016","Blythewood","SC","Blythewood Park","126 Boney Rd","29016",34.218702,-80.977027
"29016","Blythewood","SC","Magnolia Park","Hunters Pond Dr.","29229",34.149828396004985,-80.883640489043
"29016","Blythewood","SC","Killian Park","1424 Marthan Rd","29016",34.155694311401696,-80.95666005174944
"29016","Blythewood","SC","Pooh Park","Clemson Ed","29229",34.13408565714654,-80.86307279873859
"29016","Blythewood","SC","Northeast Park","not_available","29229",34.13592997369468,-80.93764580254658
"29016","Blythewood","SC","Sandhills Research and Education Center","900 Clemson Rd","29229",34.13728332519531,-80.86981964111328
"29018","Bowman","SC","Riverbanks zoo","not_available","29018",33.397921,-80.6471184
"29020","Camden","SC","Kershaw County West Complex","519 Whitehead Road","29078",34.200927734375,-80.74653625488281
"29020","Camden","SC","Hampton Park","Hampton Park","29020",34.247461533976676,-80.60201168060303
"29020","Camden","SC","Scott Park","222 Battleship Rd","29020",34.256160736083984,-80.62799835205078
"29020","Camden","SC","Kershaw Park","not_available","29020",34.25648498535156,-80.60236358642578
"29020","Camden","SC","Kirkwood Lane","Kirkwood Lane","29020",34.27904809473342,-80.57735000176973
"29020","Camden","SC","Rectory Square Park","Fair Street","29020",34.256001971708365,-80.60287981298438
"29030","Cameron","SC","Joe Miller Park","not_available","29047",33.533914987931674,-80.57379754060739
"29030","Cameron","SC","Jim Miller Park","Main Street SC Hwy 6 / SC 267","not_available",33.53574988917609,-80.56561273682514
"29033","Cayce","SC","Guignard Park","964 Axtell Dr","29033",33.98562553876067,-81.05328564160634
"29033","Cayce","SC","The Cayce Riverwalk","201 Naples Ave","not_available",33.980623395985575,-81.05008305111714
"29033","Cayce","SC","Wm. J. Cayce Memorial Park","1605 State St","not_available",33.97853380224623,-81.05346355947314
"29033","Cayce","SC","Granby Gardens Park","1800 12th St","not_available",33.970041547895484,-81.06639117915822
"29033","Cayce","SC","Olympia Park","1050 Olympia Ave.","29201",33.98304707381038,-81.0348129272461
"29033","Cayce","SC","Riverland Park (Cayce Riverwalk South)","2600 Riverland Drive","not_available",33.9662,-81.0393
"29033","Cayce","SC","Gypsy Park","Augusta St","29169",33.989929103125654,-81.0636149932697
"29033","Cayce","SC","c ave park","not_available","29169",33.98358357924166,-81.08279292872497
"29033","Cayce","SC","Congaree Creek Heritage Preserve","634 Old State Rd","not_available",33.9423372391407,-81.04128873515351
"29033","Cayce","SC","Glenwood Park","not_available","29033",33.96635041768772,-81.07633073635277
"29033","Cayce","SC","12,000 Year History Park","1120 Fort Congaree Trl","29033",33.935097,-81.03476
"29033","Cayce","SC","Granby Park","100 Catawba Cir","29201",33.983158491119774,-81.04394169188248
"29033","Cayce","SC","Carolina Walk Park","South Stadium Drive","29201",33.97242742226097,-81.01726785810664
"29033","Cayce","SC","Ra Obelisk a/k/a “That Egyptian Thing”","700 Heyward St","not_available",33.98452,-81.03187
