"zip","city","state","name","address","postalCode","lat","lon"
"75001","Addison","TX","Les Lacs Park","3901 Beltway","not_available",32.95114552667554,-96.84863959218428
"75001","Addison","TX","Vitruvian Park","3875 Ponte Ave","75001",32.9357407594502,-96.84990654469749
"75001","Addison","TX","Addison Circle Park","4950 Addison Cir","75001",32.96091736234708,-96.82648760864595
"75001","Addison","TX","Redding Trail","3900 Beltway Dr","75001",32.946323238243146,-96.84772670599935
"75001","Addison","TX","Bosque Park","not_available","75001",32.961634269903286,-96.8250834993998
"75001","Addison","TX","Winn Park","13850 Midway Rd","75244",32.938199432325945,-96.83826676481905
"75001","Addison","TX","A Shady Spot","14900-14986 Marsh Ln","75001",32.957196672358855,-96.85749830444671
"75001","Addison","TX","Addison Town Park","3799 Sidney Drive","not_available",32.94259689,-96.85532425
"75001","Addison","TX","JPMorgan duck pond","14201 Dallas Pkwy","75254",32.94076345064437,-96.82319641113281
"75001","Addison","TX","Oram Park","not_available","not_available",32.939481,-96.848183
"75001","Addison","TX","Parkview Park","Parkview Pl. S.","75001",32.96378541369419,-96.82426340454369
"75001","Addison","TX","Rock Park","Beltway","not_available",32.95049641961058,-96.84969189398666
"75001","Addison","TX","North Addison Park","17001 Addison Rd","75001",32.98654341786744,-96.83498095651142
"75001","Addison","TX","Spruill Park","Goodman Avenue","not_available",32.963408215220795,-96.82738777872937
"75002","Allen","TX","Oak Point Park & Nature Preserve","5901 Los Rios Blvd.","75074",33.05730565955925,-96.67348345196142
"75002","Allen","TX","Celebration Park","701 Angel Pkwy","75002",33.10743197764851,-96.62415504455566
"75002","Allen","TX","Friendship Park","1621 White Ibis Way","75098",33.039595564991366,-96.56415685274321
"75002","Allen","TX","Heritage Park","not_available","75002",33.075508920276164,-96.65568702884741
"75002","Allen","TX","Stoney Hollow Park","not_available","75074",33.047223552104086,-96.64985688892476
"75002","Allen","TX","Cottonwood Bend Park","630 Meadowbrook Street","75002",33.0749397277832,-96.66754913330078
