"zip","city","state","name","address","postalCode","lat","lon"
"84003","American Fork","UT","Bridal Veil Falls Park","Provo Canyon Prkwy","84606",40.34023125617213,-111.60345554351807
"84003","American Fork","UT","Lambert Park","not_available","84004",40.46131921155015,-111.76879519884808
"84003","American Fork","UT","Historic Park","not_available","84062",40.361959,-111.740036
"84003","American Fork","UT","Wines Park","50 E 550 N","84043",40.39443396033125,-111.84823871301437
"84003","American Fork","UT","Highland Glen Park","10217 N Oak Creek Ln","84003",40.41512606960172,-111.78218484326756
"84003","American Fork","UT","Vivian Park","Provo Canyon","84604",40.35546898726075,-111.57388380023359
"84003","American Fork","UT","American Fork Dog Park","not_available","84003",40.366337,-111.780179
"84003","American Fork","UT","Upper Falls Park; Provo Canyon","Provo Canyon Highway (U.S. 189)","not_available",40.34631885498545,-111.59404088254186
"84003","American Fork","UT","Nunns Park","Provo Canyon Prkwy","84604",40.33788831334894,-111.60897552967072
"84003","American Fork","UT","Creekside Park","531 E. 100 S.","84004",40.453337437572394,-111.76865375881493
"84003","American Fork","UT","Dairy View Park","not_available","84043",40.399201,-111.824891
"84003","American Fork","UT","Mitchell Hollow Park","10300 N 6530 W","84003",40.419769381446194,-111.8126893043518
"84003","American Fork","UT","Hidden Valley Park","11700 S Wasatch Blvd","84092",40.5398750279485,-111.8133982277853
"84003","American Fork","UT","Hunter Park","not_available","not_available",40.40019887981457,-111.8139222340273
"84003","American Fork","UT","Suncrest Village Green Park","2016 E Village Green Cir","84020",40.48051071166992,-111.8362808227539
"84003","American Fork","UT","Discovery Park","1550 N 100 E","84062",40.38030549307738,-111.74084626035376
"84003","American Fork","UT","Racheal McTeer Park","Allegheny Way","not_available",40.439643586726476,-111.78125909431388
"84003","American Fork","UT","Pioneer Park","not_available","84042",40.33548841080236,-111.70111447309075
"84003","American Fork","UT","Lindon City Park","136 W 200 N","84042",40.341869,-111.71871542930603
"84003","American Fork","UT","American Fork Ampitheater","851 E 700 N","84003",40.393120024652404,-111.77519202232361
"84003","American Fork","UT","Bell Canyon Park","11400 S 1700 E","84092",40.54484607564736,-111.84200889704454
"84004","Alpine","UT","Healey Park","851 East Healey Blvd","84004",40.44059460782266,-111.76228523254395
"84004","Alpine","UT","Legacy Park","50 E Center St","84004",40.45595926946937,-111.77423620749626
"84004","Alpine","UT","Smooth Canyon Park","900 East","84004",40.43982704729325,-111.75971031188965
"84005","Eagle Mountain","UT","Nolan Park","7862 Tinamous Rd","84005",40.35910088742736,-111.98165774345398
"84006","Bingham Canyon","UT","Sycamore Ridge Park","not_available","84081",40.60719,-112.067676
"84010","Bountiful","UT","Creekside Park","600","84010",40.87940438956358,-111.86864376062658
"84010","Bountiful","UT","West Mueller Park","900 E 1800 S","84010",40.872198690756726,-111.86302900314331
"84010","Bountiful","UT","Bountiful City Park","200 West 400 North","not_available",40.89423896026262,-111.88362624252711
"84010","Bountiful","UT","The Soccer Field","285 E 1050 N","84010",40.90000534057617,-111.87480163574219
"84010","Bountiful","UT","Washington Park","not_available","84010",40.881909745583826,-111.88996662421226
"84010","Bountiful","UT","Town center park","not_available","84087",40.874192,-111.905331
"84010","Bountiful","UT","Some Park","Lewis park drive","84010",40.8661164,-111.8805019
"84010","Bountiful","UT","Rocket Park","100 N 1300 E","84010",40.89189258348383,-111.85420652008065
"84010","Bountiful","UT","West Bountiful Park","N 550 W","84087",40.90747391085596,-111.89331438847613
"84010","Bountiful","UT","Five Points Park","125 W 1500 S","84010",40.874411285299956,-111.88513419458147
"84014","Centerville","UT","south park","not_available","84014",40.921512603759766,-111.8794174194336
"84014","Centerville","UT","Centerville Community Park","1387-1515 N 400 W","84014",40.927274790771094,-111.88174897645081
"84014","Centerville","UT","Founders Park","300 N 100 E","84014",40.92023468017578,-111.87737274169922
"84014","Centerville","UT","Freedom Hills Park","2150 N 150 E","84014",40.951493,-111.87945253
"84015","Clearfield","UT","Clinton Pond","2415N 2775W","84015",41.148686441549984,-112.08105170174264
"84015","Clearfield","UT","Constitution Park","not_available","84075",41.090073,-112.062078
"84015","Clearfield","UT","Kestral Park","not_available","84015",41.139617,-112.09218
"84015","Clearfield","UT","Stoker Park","1532 S 1100 W","84075",41.091468811035156,-112.04785919189453
"84015","Clearfield","UT","Clinton City Park","1603 W 2050 N","84015",41.14575970351533,-112.06041318837278
"84015","Clearfield","UT","Bluff Ridge Park","876 W 2700 S","84075",41.07495880126953,-112.04318237304688
"84015","Clearfield","UT","Jesse D. Barlow Park","2100 S. 500 W.","not_available",41.07869432648659,-112.02989723932698
"84015","Clearfield","UT","West Point East Park","2550 West 330 North","not_available",41.12373672867421,-112.07465326583738
"84015","Clearfield","UT","Arnold T. Bingham Memorial Park","4550 West","84015",41.12242789428723,-112.1153013488232
"84015","Clearfield","UT","Linda Vista Park","1834 W 2700 S","84075",41.07625163361274,-112.06407837477214
"84015","Clearfield","UT","Fox Hollow Park And Arboretum","1992 S 575 E","84015",41.085018157958984,-112.01537322998047
"84015","Clearfield","UT","Chelsea Memorial Park","not_available","84041",41.07910667994508,-112.01443733010575
"84015","Clearfield","UT","Powerline Park","1650 W 1590 N","84015",41.13808607223321,-112.05780498061368
"84015","Clearfield","UT","Steed Park","824 W 300 N","84015",41.11920133237726,-112.0435936955144
"84015","Clearfield","UT","Canterbury Park","1600 S 2500 W","84075",41.090789794921875,-112.07300567626953
"84015","Clearfield","UT","Fremont Park","1950 South 3000 West","84075",41.08560303952106,-112.08189004675562
"84015","Clearfield","UT","Legacy Park","2300 S 1000 W","84075",41.08049011230469,-112.04574584960938
"84015","Clearfield","UT","Bicentennial Park","S 800 600e","84015",41.10535507953281,-112.00947761535645
"84015","Clearfield","UT","Meadows Park","500-598 W 2300 N","84015",41.1475927072419,-112.03658408643233
"84020","Draper","UT","Galena Park","not_available","84020",40.523555890512526,-111.90728763586813
"84020","Draper","UT","Draper Park","12600 S 1300 E","84020",40.52400429438883,-111.85431714277716
"84020","Draper","UT","Jordan River Parkway","not_available","84095",40.526219091110626,-111.91890841529764
"84020","Draper","UT","Draper Historical Park","12625 South 900 East","not_available",40.522071838378906,-111.86555480957031
"84020","Draper","UT","Smith Fields Park","200 E 13400 S","84020",40.511889370665926,-111.88272355477883
"84020","Draper","UT","Jordan River Rotary Park","not_available","84065",40.526539741621995,-111.92006146963264
"84020","Draper","UT","Cherry Crest Drainage Park","13342 South 300 East","84020",40.509080770808715,-111.88162340191697
"84020","Draper","UT","Steep Mountain Park","14923 S Parowan Way","84020",40.480310817418186,-111.87963684102026
"84020","Draper","UT","South Mountain Park","657 E Vestry Rd.","84020",40.491695404052734,-111.87181091308594
"84025","Farmington","UT","Ponds Park","not_available","84037",41.01409438482221,-111.93772585185084
"84025","Farmington","UT","Deadly Park","not_available","84025",40.97134291500892,-111.87763842650006
"84025","Farmington","UT","Farmington Bus Park","400 W Glovers Ln","84025",40.96626909925979,-111.90118599044806
"84025","Farmington","UT","Heritage Park","1591 N 1075 W","84025",41.00696789077478,-111.91482536486427
"84025","Farmington","UT","Hess Farms Park","531 E 1625 S","84037",41.009254455566406,-111.9258804321289
"84025","Farmington","UT","Great Salt Lake Nature Center At Farmington Bay","1413-1599 W Glovers Ln","84025",40.96186828823607,-111.9279504840614
"84025","Farmington","UT","Wicked Sit & Smoke Station","375 Lagoon Dr","84025",40.9843000685607,-111.8954086303711
"84025","Farmington","UT","Moon Park","1350 N Main St","84025",41.00285339355469,-111.90306091308594
"84025","Farmington","UT","Gregson Park","90 W 100 North","84025",40.982863044507454,-111.88925631562444
"84028","Garden City","UT","Garden City Park","not_available","84028",41.93875399391729,-111.3932403037922
"84029","Grantsville","UT","Granstville City Park","East Cherry Street","84029",40.593897927342915,-112.45959520339966
"84032","Heber City","UT","Heber City Park","250 S Main St.","84032",40.5042601066304,-111.41420043256565
"84032","Heber City","UT","Provo River Restoration Project - Charleston","S Center St","84032",40.482242032934906,-111.47114753723145
"84032","Heber City","UT","Southfield Park And Ball Fields","not_available","84032",40.50535671731102,-111.43032814401381
"84032","Heber City","UT","Swiss Days",".","84049",40.51282035679155,-111.47556781768799
"84032","Heber City","UT","Provo River Restoration Project - Midway Ln North","S Ryan Ln","84032",40.50926393621071,-111.45037114620209
"84032","Heber City","UT","Southville Park","1200 West 100 South","not_available",40.50604597236155,-111.4300253851031
"84032","Heber City","UT","Provo River Restoration Project - Jordanelle","Old Hightway 40","84032",40.59473297332393,-111.4271754026413
"84032","Heber City","UT","South Summit Park","not_available","84036",40.6837,-111.278206
"84032","Heber City","UT","Elmbridge Park","210 west 750 north","84032",40.51693121343741,-111.41705274581909
"84032","Heber City","UT","Provo River Restoration Project - Cottonwood","Old Hwy 40","84032",40.5786615992511,-111.42988443374634
"84032","Heber City","UT","National ability center","not_available","84060",40.68088447423431,-111.47505511263654
"84035","Jensen","UT","Island Park Overlook","not_available","84078",40.486143,-109.094465
"84037","Kaysville","UT","Barnes Park","950 W. 200 N.","84037",41.040716837417804,-111.95937246006422
"84037","Kaysville","UT","Nicholls Park","Nicholls road","84010",41.02693447292152,-111.91099053823454
"84040","Layton","UT","Layton Commons Park","465 Wasatch Dr","84041",41.065309290909134,-111.96164889740359
"84040","Layton","UT","Canyon Meadows Park","not_available","84405",41.141868174596034,-111.96384382399579
"84040","Layton","UT","Central Park","7355 S 1375 E","84405",41.13312911987305,-111.94486999511719
"84040","Layton","UT","James Woodward Park - Layton City","1525 N 25 East","84041",41.07960178571103,-111.96705219098324
"84040","Layton","UT","Andy Adams Park","not_available","84040",41.07483365591682,-111.93418599569253
"84040","Layton","UT","Layton City Park - Holliday Lights","464 N Wasatch","not_available",41.066804707750904,-111.95980911696367
"84040","Layton","UT","Baseball Park","3250 Fairfield Road","84040",41.10806662608141,-111.95040060375047
"84040","Layton","UT","Harmon & Sons","3299 N 750 E","84041",41.108062744140625,-111.9528579711914
"84040","Layton","UT","Oak Forest Park","2375 N 2275 E","84040",41.09398,-111.923235
