"zip","city","state","name","address","postalCode","lat","lon"
"05001","White River Junction","VT","Quechee Village Green","1 Village Grn","not_available",43.64757143867968,-72.42188481987085
"05001","White River Junction","VT","Kilowatt Park","2-352 Wilder Dam Rd","05001",43.67644624163584,-72.3050910719794
"05001","White River Junction","VT","Clifford Park","100 Recreation Drive","05001",43.70781326293945,-72.41785430908203
"05001","White River Junction","VT","River Park West Lebanon","not_available","not_available",43.656113,-72.30819
"05001","White River Junction","VT","Veteran Memorial Park","12 Railroad Row","not_available",43.64967346191406,-72.31841278076172
"05001","White River Junction","VT","True’s Ledges","Trues Brook Rd","03784",43.605856,-72.315386
"05001","White River Junction","VT","Riverside Park","8 Glen Rd","03784",43.63344955444336,-72.31595611572266
"05001","White River Junction","VT","Kilowatt","not_available","05088",43.678269,-72.302955
"05001","White River Junction","VT","Norwich Green","not_available","05055",43.71313314833968,-72.30807685558501
"05032","Bethel","VT","Peavine Park","not_available","05032",43.82672015052407,-72.63491345222135
"05051","Newbury","VT","Newbury Common","Main St","05051",44.078326921353835,-72.06043940776102
"05051","Newbury","VT","Railroad Park","Central St","03765",44.154144,-72.039266
"05055","Norwich","VT","The Green","not_available","03755",43.703297,-72.288597
"05055","Norwich","VT","Storrs Pond Recreation Area","Reservoir Rd","03750",43.723197989244966,-72.26459091712587
"05055","Norwich","VT","Kendal Riverfront Park","Route 10","03755",43.732483,-72.263846
"05060","Randolph","VT","Randolph Park","not_available","05060",43.927009,-72.671921
"05089","Windsor","VT","Windsor Common","39 State St","05089",43.480167388916016,-72.3883056640625
"05089","Windsor","VT","Artisans Park","71 Artisans Way","05089",43.513371,-72.402394
"05089","Windsor","VT","Paradise Park","Paradise Park Rd","05089",43.491790260389266,-72.39963100695552
"05091","Woodstock","VT","The Green","not_available","05091",43.62371294978637,-72.51946309297549
"05101","Bellows Falls","VT","Herrick's Cove","Route 5","not_available",43.177297824718885,-72.44745254516602
"05148","Londonderry","VT","Pingree Park","not_available","05148",43.23126541974334,-72.81395970859582
"05149","Ludlow","VT","Dorsey Park","not_available","05149",43.38682574535025,-72.70402284936522
"05155","South Londonderry","VT","Stratton Recreation Area","not_available","05155",43.05227496147211,-72.90589900122801
"05201","Bennington","VT","Willow Park","East Rd","05201",42.899156696689886,-73.1952314987014
"05201","Bennington","VT","Howard Park","Howard Park Road","05262",42.94960033364765,-73.20178742065971
"05201","Bennington","VT","Catamount BMX","418 E Rd","05201",42.900649059398205,-73.19528910869009
"05250","Arlington","VT","Arlington Recreational Park","Recreation Park Rd","05250",43.080560150256126,-73.15238287594427
