"zip","city","state","name","address","postalCode","lat","lon"
"98001","Auburn","WA","Sacajawea Park","not_available","not_available",47.33514713928787,-122.30680413854985
"98001","Auburn","WA","Steel Lake Park","2410 S 312th St","98003",47.325240477502895,-122.30103524817534
"98001","Auburn","WA","City Of Pacific Park","Kc Parks Dept Rd","98047",47.26522319493622,-122.23677567019611
"98001","Auburn","WA","Enchanted Meadows Park","30th Ct S","not_available",47.261327,-122.295938
"98001","Auburn","WA","Auburn Environmental Park","West Main Street","98001",47.30766398578175,-122.23335042357279
"98001","Auburn","WA","Atlas Park","29215 44th Pl S","98001",47.339691162109375,-122.27959442138672
"98001","Auburn","WA","John Matchett Memorial Park","not_available","98001",47.278167679151466,-122.24854526168795
"98001","Auburn","WA","Wildwood Park","not_available","98003",47.32987141141723,-122.29961281674305
"98001","Auburn","WA","Five Mile Lake Park","36429 44th Ave S","98001",47.273644839277836,-122.28186848862391
"98001","Auburn","WA","Centennial View Point Park","402 Mountain View Dr","98001",47.306902947533935,-122.26613790298296
"98001","Auburn","WA","GSA Park","15th St SW","98001-4916",47.29484361399195,-122.23359263117844
"98001","Auburn","WA","Federal Way Interim Sculpture Park","2031 S 316th St","98003",47.31829071044922,-122.30589294433594
"98001","Auburn","WA","Memorial Park","not_available","98047",47.27185820283254,-122.25789943752638
"98001","Auburn","WA","Lake Killarney Open Space Park","34902 Weyerhaeuser Way S","98003",47.287823,-122.29155
"98001","Auburn","WA","Steel Lake Park","2410 SW 312th St","98003",47.323742,-122.30123
"98002","Auburn","WA","Game Farm Park","910 9th St","98002",47.281246208163275,-122.20785827085737
"98002","Auburn","WA","Les Gove Park","11th & Auburn Way S.","98002",47.29919273108743,-122.21718621516538
"98002","Auburn","WA","South 277th Corridor Recreational Trail","Green River Road South","98030",47.35389615081837,-122.20590115825405
"98002","Auburn","WA","Auburn Lazer Tag Club, Auburndale Park","10854 SE 318th Pl","98092",47.317071,-122.19696599999999
"98002","Auburn","WA","Frank Fulmer Park","not_available","98002",47.31236074065188,-122.21518523137462
"98002","Auburn","WA","Brannan Park","991 26th St NE","98002",47.332122977183815,-122.21461773931077
"98002","Auburn","WA","Dykstra Park","1533 22nd St NE","98002",47.326351165771484,-122.20914459228516
"98002","Auburn","WA","Indian Tom Park","512 N St NE","98002",47.312987,-122.21191
"98002","Auburn","WA","Game Farm Wilderness Park","2633-3499 Stuck River Dr","98092",47.27924764449147,-122.19737296382361
"98002","Auburn","WA","21st Street Playground","405 21st St. SE","not_available",47.29093551635742,-122.22371673583984
"98002","Auburn","WA","Issac Evans Park","29627 Green River Rd SE","98092",47.33332498102783,-122.21099022666803
"98002","Auburn","WA","William C. Warren Building","not_available","98032",47.3122128413361,-122.22323887948116
"98002","Auburn","WA","Veterans Memorial Park","405 E St NE","98002",47.31209182739258,-122.22291564941406
"98002","Auburn","WA","Auburndale Park","31802 108th Avenue SE","not_available",47.3181266784668,-122.19639587402344
"98003","Federal Way","WA","Celebration Park","1101 S 324th St","98003",47.307644,-122.320114
"98003","Federal Way","WA","Mirror Lake Park","898 S 315th St","98003",47.31994425099456,-122.32441900667872
"98003","Federal Way","WA","The Park at The Ridge","not_available","98023",47.302577,-122.340665
"98003","Federal Way","WA","Hylebos Wetlands","411 S 348th St","98003",47.286915,-122.32786
"98004","Bellevue","WA","Bellevue Downtown Park","10201 NE 4th St.","98004",47.61286025107819,-122.20380496096878
"98004","Bellevue","WA","Meydenbauer Bay Park","101 Park Pl","98004",47.61128722396346,-122.21128919296676
"98004","Bellevue","WA","Luther Burbank Park","8236 SE 24th St","98040",47.590961064556126,-122.22606004769257
"98004","Bellevue","WA","Chism Beach Park","1175  96th Ave SE","not_available",47.60017325737256,-122.211012840271
"98004","Bellevue","WA","Medina Park","8300 NE 12th St","98039",47.620749322652486,-122.23052797144797
"98004","Bellevue","WA","Inspiration Playground","not_available","98004",47.61194821487355,-122.20581268508766
"98004","Bellevue","WA","Mercerdale Park","3200 78th Ave SE","98040",47.581169539270206,-122.23428017583572
"98004","Bellevue","WA","Surrey Downs Park","585 112th Ave SE","98004",47.60366511229531,-122.19186572028292
