"zip","city","state","name","address","postalCode","lat","lon"
"99501","Anchorage","AK","New Sagaya's City Market","900 W 13th Ave","99501",61.20945889951725,-149.90057887449547
"99501","Anchorage","AK","Carrs","3101 Penland Pkwy","99508",61.216374,-149.8233662
"99501","Anchorage","AK","Red Apple Market","131 Bragaw St","99508",61.223480052045474,-149.80755868151292
"99501","Anchorage","AK","Carrs","1340 Gambell St","99501",61.2093785343525,-149.87182363668805
"99501","Anchorage","AK","Sagway's","not_available","99501",61.215453,-149.907573
"99501","Anchorage","AK","Grocery Mini Stop","not_available","99508",61.207489013671875,-149.80392456054688
"99501","Anchorage","AK","Alaska Grocery Shippers","not_available","not_available",61.21207688446877,-149.85465655234935
"99501","Anchorage","AK","New Asian Market","4040 Mountain View Dr","99508",61.223901,-149.805175
"99501","Anchorage","AK","Lucky Grocery & Deli","326 W 4th Ave","99501",61.218272,-149.888531
"99502","Anchorage","AK","Fred Meyer","2000 W Dimond Blvd","99515",61.1364491,-149.9195538
"99502","Anchorage","AK","Carrs","1650 W Northern Lights Blvd","99517",61.1943057,-149.9161072
"99502","Anchorage","AK","Carrs","4000 W Dimond Blvd","99502",61.136418,-149.953534
"99502","Anchorage","AK","Clicklist","not_available","99515",61.13659,-149.921045
"99502","Anchorage","AK","Blue Market AK","1406 W 31st Ave","99503",61.19189,-149.91045
"99503","Anchorage","AK","Walmart Supercenter","3101 A St","99503",61.19227450750149,-149.8806832281777
"99503","Anchorage","AK","Carrs","2920 Seward Hwy","99503",61.1938,-149.871844
"99503","Anchorage","AK","Fred Meyer","1000 E Northern Lights Blvd","99508",61.1943115,-149.8648926
"99503","Anchorage","AK","New Sagaya's Midtown Market","3700 Old Seward Hwy","99503",61.18713834111906,-149.86958965183075
"99503","Anchorage","AK","New Central Market","555 W Northern Lights Blvd","99503",61.195864,-149.89411
"99503","Anchorage","AK","Willow Creek Grocery","not_available","99688",61.734847,-150.040122
"99503","Anchorage","AK","Mexico Lindo","1201 W Tudor Rd #1","99503",61.181066,-149.906014
"99503","Anchorage","AK","APA Asian Market","300 W 36th Ave","99503",61.187723,-149.887567
"99503","Anchorage","AK","Alaska International Grocery/ Alaska Halal Grocery","401 W Intl Airport Rd Ste 23","99518",61.1746275,-149.8911859
"99503","Anchorage","AK","Greatland Grocery & Supply, LLC","314 E Intl Airport Rd","99518",61.17326378872109,-149.87824760978697
"99503","Anchorage","AK","Oroweat","1200 E Intl Airport Rd","99518",61.17305699999999,-149.859736
"99503","Anchorage","AK","Mom And Pop's Grocery","Being Village Mall","99503",61.18956897837074,-149.8954146271417
"99503","Anchorage","AK","Eastern European Store & Deli","601 W 36th Ave Ste 12","99503",61.1885605,-149.8957794
"99503","Anchorage","AK","Oriental Shopping Center","480 E Fireweed Ln","99503",61.197573,-149.875238
