"zip","city","state","name","address","postalCode","lat","lon"
"35004","Moody","AL","Publix","not_available","not_available",33.57009681207424,-86.51788872885254
"35004","Moody","AL","J.m. Exotic Foods","2435 US Highway 78","35004",33.56966764,-86.48592555
"35004","Moody","AL","Food Giant","not_available","35004",33.57014646336843,-86.51804090744453
"35004","Moody","AL","Publix","hwy 11","not_available",33.666010849296626,-86.50919098551041
"35005","Adamsville","AL","Walmart Supercenter","2473 Hackworth Rd","35214",33.57954413518209,-86.92387220005158
"35007","Alabaster","AL","Walmart Supercenter","630 Colonial Promenade Pkwy","35007",33.23558386,-86.80201846
"35007","Alabaster","AL","Walmart Neighborhood Market","9085 Hwy 119","35007",33.21214898600467,-86.82942954784349
"35007","Alabaster","AL","Publix","90 Marketplace Cir","35040",33.155858885874835,-86.74850189009435
"35007","Alabaster","AL","Publix","9200 Highway 119 Ste 1400","35007",33.21293927258849,-86.82600172802825
"35007","Alabaster","AL","ALDI","113 Simmsville Rd","35007",33.2399282,-86.8154658
"35007","Alabaster","AL","Food Depot","not_available","35007",33.2633787559655,-86.81214622516917
"35007","Alabaster","AL","Britos","119","35007",33.217172636329245,-86.82626271757559
"35010","Alexander City","AL","Walmart Supercenter","2643 Highway 280","35010",32.940518313625276,-85.97647557273724
"35010","Alexander City","AL","Catherine's Market","17 Russell Farms Rd","35010",32.765884078085485,-85.94508886810702
"35010","Alexander City","AL","Winn-Dixie","1061 Highway 280","35010",32.92230320169133,-85.96084031392175
"35010","Alexander City","AL","Foodland","483 N Broadnax St","36853",32.83591711155171,-85.76409004662024
"35010","Alexander City","AL","Piggly Wiggly","13711 Highway 22 E","36256",33.04448318481445,-85.76859283447266
"35010","Alexander City","AL","Foodland","11510-16856 Alabama 49","36256",33.044379310660766,-85.76865965110758
"35010","Alexander City","AL","Save-A-Lot","1616 Mill Square","35010",32.93535144345024,-85.97192293381282
"35010","Alexander City","AL","Save A Lot","1616 Mill Sq","35010",32.935787,-85.9718448
"35010","Alexander City","AL","Piggly Wiggly","470 S Main St.","35072",33.05902099609375,-86.05465698242188
"35014","Alpine","AL","Winn-Dixie","33404 US Highway 280","35044",33.26851175349245,-86.35488170607246
"35016","Arab","AL","Walmart Supercenter","1450 No. Brindlee Mt","35016",34.34165079,-86.50070828
"35016","Arab","AL","Warehouse Discount Groceries","2250 N Brindlee Mountain Pkwy","35016",34.35710906982422,-86.504150390625
"35016","Arab","AL","Foodland","not_available","35016",34.31859832878494,-86.5043806130774
"35019","Baileyton","AL","Hoppers Family Market","7467 AL Highway 69 N","35058",34.24589832537681,-86.68786852467734
"35020","Bessemer","AL","Publix","3014 Allison Bonnett Memorial Dr Ste 130","35023",33.45276337298011,-86.97835381464904
"35020","Bessemer","AL","Piggly Wiggly","104 River Square Plz","35023",33.452014519871064,-86.98536954138493
"35020","Bessemer","AL","Save Mart","4000 Jefferson Ave SW","35221",33.45243835449219,-86.89904022216797
"35020","Bessemer","AL","ALDI","710 Academy Dr","35022",33.358688899169465,-86.99987411499023
"35020","Bessemer","AL","Highlander Foodland","2710 19th St N","35023",33.41717418603364,-86.98758896729323
"35020","Bessemer","AL","Fresh Value","700 19th St N","35020",33.4052058258927,-86.95875413222697
"35020","Bessemer","AL","Save-A-Lot","528 W Town Plz","35020",33.39056396484375,-86.97777557373047
"35020","Bessemer","AL","Walmart Grocery Pickup and Delivery","750 Academy Dr","35022",33.36179353,-86.99878471
"35020","Bessemer","AL","Food Giant","145 Hueytown Plz","35023",33.44760936198783,-86.99496565088867
"35020","Bessemer","AL","Publix","not_available","35022",33.382721075111704,-86.97825293008836
"35020","Bessemer","AL","Walmart Grocery Pickup and Delivery","1007 Red Farmer Dr","35023",33.45806173,-86.96730868
"35020","Bessemer","AL","Foodworld","not_available","35023",33.45240921995279,-86.96916685861366
"35020","Bessemer","AL","ALDI","2891 Allison Bonnett Memorial Dr","35023",33.4522354,-86.9686632
