"zip","city","state","name","address","postalCode","lat","lon"
"71601","Pine Bluff","AR","Walmart Supercenter","5501 S Olive St","71603",34.17374003999522,-92.00394274425294
"71601","Pine Bluff","AR","Brookshire's","2721 S Camden Rd","71603",34.20238383897467,-92.04713443396624
"71601","Pine Bluff","AR","Food Wise","not_available","71603",34.20353,-92.03463
"71601","Pine Bluff","AR","Brookshire's","2800 S Hazel St","71603",34.20117235027024,-92.02542468937102
"71601","Pine Bluff","AR","Super 1 Foods","1605 E Harding St","71601",34.2139263,-91.984712
"71601","Pine Bluff","AR","Sav U Mor","372 Blake Street","71602",34.22749328613281,-92.04405212402344
"71601","Pine Bluff","AR","Sav-a-Lot","not_available","not_available",34.22312331473078,-92.01700534474234
"71601","Pine Bluff","AR","Thomas Grocery Store","1859-1987 University Dr","71601",34.24906648665191,-92.01753615377132
"71601","Pine Bluff","AR","Save-A-Lot","600 S Ash St","71603",34.223333,-92.016612
"71601","Pine Bluff","AR","Super 1 Foods Fuel Center","2721 Camden Rd","71603",34.2023159,-92.0468385
"71602","White Hall","AR","Brookshire's","5805 Dollarway Rd","71602",34.248308903271734,-92.06763911620297
"71602","White Hall","AR","Cranford's","not_available","71602",34.276922,-92.091542
"71602","White Hall","AR","Brookshire's","8503 Dollarway Road","71602",34.276859283447266,-92.0913314819336
"71602","White Hall","AR","Cranford's Fresh World","8503 Dollarway Rd","71602",34.276839,-92.091011
"71602","White Hall","AR","Save A Lot","not_available","72152",34.341874041817405,-91.95930932270076
"71635","Crossett","AR","Walmart Supercenter","910 Unity Rd","71635",33.13655397323944,-91.9421124458313
"71635","Crossett","AR","Brookshire's","1600 Dr. Martin Luther King Jr. Dr","71635",33.1175347,-91.961836
"71635","Crossett","AR","Save-A-Lot","308 C Pine St","71635",33.132408,-91.960124
"71638","Dermott","AR","Walmart","1001 Highway 65 S","71654",33.60411071777344,-91.38129425048828
"71638","Dermott","AR","Piggy Wiggle","132-168 N Main St","71638",33.52704784283565,-91.43586904736406
"71639","Dumas","AR","Piggly Wiggly","358 Highway 65 S","71639",33.883846,-91.484518
