"zip","city","state","name","address","postalCode","lat","lon"
"90001","Los Angeles","CA","Northgate Gonzalez Markets","944 E Slauson Ave","90011",33.988665032334886,-118.25811673040903
"90001","Los Angeles","CA","El Super","1301 E Gage Ave","90001",33.982554855409845,-118.25129920418988
"90001","Los Angeles","CA","Superior Grocers","7316 Compton Ave","90001",33.973227475955696,-118.2471331906447
"90001","Los Angeles","CA","La Jalpence Meat Market","6009","90001",33.98495899680807,-118.25226510453639
"90001","Los Angeles","CA","Raul's Meat Market & Produce","1939 Nadeau St","90001",33.967701,-118.23761699999999
"90001","Los Angeles","CA","El Super","7000 S Alameda St","90255",33.97593307495117,-118.23395538330078
"90001","Los Angeles","CA","Mothers Nutritional Center","1350 E Florence Ave","90001",33.974559,-118.25015400000001
"90001","Los Angeles","CA","El Super","8601 Hooper Ave","90002",33.95994844220699,-118.25476892858508
"90001","Los Angeles","CA","Tienda Pulgarcito","7912 Avalon Blvd","90003",33.96745028387178,-118.2629406452179
"90002","Los Angeles","CA","Smart & Final Extra!","9850 Laurel St","90002",33.94768524169922,-118.23020935058594
"90002","Los Angeles","CA","Martha Market","not_available","not_available",33.938805682739805,-118.25432114676315
"90002","Los Angeles","CA","Food 4 Less","1651 E 103rd St","90002",33.94484220146383,-118.24392648057255
"90002","Los Angeles","CA","E & M Market","not_available","90059",33.937055,-118.253944
"90002","Los Angeles","CA","Nabores Market","8851 Hooper Ave","90002",33.956388000000004,-118.254199
"90003","Los Angeles","CA","El Super","310 E Florence Ave","90003",33.97444363941053,-118.268447467295
"90003","Los Angeles","CA","A & I Meat Market Produce","9701 Avalon Blvd","90003",33.948122,-118.265472
"90003","Los Angeles","CA","El Tapatio","341 E 73rd St","90003",33.97443102357874,-118.26854650396591
"90003","Los Angeles","CA","Numero Uno Market","not_available","90044",33.95358667327662,-118.28313281090449
"90003","Los Angeles","CA","Numero Uno Market","310 E Manchester Ave","90003",33.96008255339838,-118.26923042896556
"90003","Los Angeles","CA","Superior Grocery Store","10211 Avalon Blvd","90003",33.94343973306153,-118.26678380635597
"90003","Los Angeles","CA","Mother's Nutritional Center","423 E Florence Ave","90003",33.9747963185801,-118.26777404670125
"90004","Los Angeles","CA","Ralphs","3410 W 3rd St","90020",34.0686168,-118.2907271
"90004","Los Angeles","CA","Han Kook Supermarket","124 N Western Ave","90004",34.07395658413446,-118.30890222823906
"90004","Los Angeles","CA","VONS","3461 W 3rd St","90020",34.069848,-118.2910931
"90004","Los Angeles","CA","Jons","3667 W 3rd St","90020",34.06924119382614,-118.29611245685177
"90004","Los Angeles","CA","Corner Shop","559 N Hoover St","90004",34.081078999999995,-118.284916
"90004","Los Angeles","CA","Aladin Sweets & Market","139 S Vermont Ave","90004",34.07154828145579,-118.29178340151778
"90004","Los Angeles","CA","Island Pacific Supermarket","627 N Vermont Ave","90004",34.08268601777977,-118.29215803304122
"90004","Los Angeles","CA","Sinaloa Market","not_available","90004",34.076490795469766,-118.29526468526686
"90004","Los Angeles","CA","82nd Market","5204 Melrose Ave","90038",34.08334,-118.31381999999999
"90004","Los Angeles","CA","Media Wine & Spirits #2","6023 Melrose Ave","90038",34.083627,-118.33171399999999
"90004","Los Angeles","CA","Mi Oaxaca Market","3824 Beverly Blvd","90004",34.075975,-118.29257
"90005","Los Angeles","CA","Ralphs","670 S Western Ave","90005",34.0600536,-118.3085123
"90005","Los Angeles","CA","H Mart","621 S Western Ave","90005",34.06295451546189,-118.30973700974799
"90005","Los Angeles","CA","H Mart","not_available","90020",34.063411,-118.298638
"90005","Los Angeles","CA","Hmart","928 S Western Ave #100","90006",34.055321,-118.308653
"90005","Los Angeles","CA","Zion Market","not_available","90005",34.055954,-118.291394
"90005","Los Angeles","CA","Jon's Marketplace","3334 W 8th St","90005",34.05761623754501,-118.30135817357089
"90005","Los Angeles","CA","Chunho Food","928 Western Avenue #257","90006",34.055139000000004,-118.30866499999999
"90005","Los Angeles","CA","Aviles Market","3052 W 7th St","90005",34.059505462646484,-118.29070281982422
"90005","Los Angeles","CA","Monte De Zion","864 S Vermont Ave","90005",34.056146000000005,-118.291358
"90005","Los Angeles","CA","GINKO INTERNATIONAL, INC","3943 W 7th St","90005",34.0598604,-118.3126898
"90006","Los Angeles","CA","Galleria Market","3250 W Olympic Blvd","90006",34.05234287287788,-118.30853995391584
"90006","Los Angeles","CA","Koreatown Plaza","928 S Western Ave","90006",34.05509386572241,-118.30877789774003
"90006","Los Angeles","CA","한남체인 Hannam Chain Supermarket","2740 W Olympic Blvd","90006",34.051932313601256,-118.293186408331
"90006","Los Angeles","CA","Food 4 Less","1091 S Hoover St","90006",34.0512967,-118.2847793
"90006","Los Angeles","CA","Northgate Gonzalez Markets","2323 W Olympic Blvd","90006",34.052549727193245,-118.28260701397036
"90006","Los Angeles","CA","Food 4 Less","1717 S Western Ave","90006",34.04214758446215,-118.31013546155191
"90006","Los Angeles","CA","Sunny Grocery","not_available","90006",34.052853000000006,-118.298201
"90006","Los Angeles","CA","Numero Uno Market","1309 S Alvarado St","90006",34.04616805229888,-118.28381462731721
"90006","Los Angeles","CA","Smart & Final","2949 W. Pico Blvd.","90006",34.047459118511675,-118.30498033927631
"90006","Los Angeles","CA","kimchi plus","1144 S Western Ave #102","90006",34.049434326022904,-118.30869684973754
"90006","Los Angeles","CA","Hoshi Sake House","1144 S Western Ave #107","90006",34.0493721,-118.3084179
"90006","Los Angeles","CA","Liborio Market #4","2021 W Pico Blvd","90006",34.04779392313636,-118.2818203757556
"90006","Los Angeles","CA","Family Fresh Nutritional Center","1706 S Western Ave","90006",34.042497,-118.30871299999998
"90006","Los Angeles","CA","Peter Pan Market","2791 W Pico Blvd","90006",34.047521,-118.300152
"90006","Los Angeles","CA","World Harvest Foodbank","1014 Venice Blvd","90015",34.040690000000005,-118.27810500000001
"90006","Los Angeles","CA","Beto's Market","2252 Venice Blvd","90006",34.04338,-118.30793
"90006","Los Angeles","CA","The Dog Fountain","941 S Vermont Ave","90006",34.0542677,-118.29181790000001
"90006","Los Angeles","CA","Best Buy Foods","2250 W Pico Blvd","90006",34.047002,-118.28559299999999
"90007","Los Angeles","CA","Trader Joe's","3131 S Hoover Street","90089",34.025594834265135,-118.28458581012356
"90007","Los Angeles","CA","Ralphs","2600 S Vermont Ave","90007",34.0319846,-118.2911138
"90007","Los Angeles","CA","Smart & Final","3607 S Vermont Ave.","90007",34.02282723397167,-118.29209768304744
"90007","Los Angeles","CA","Garibaldi","not_available","90015",34.03885178440793,-118.27951877261012
"90007","Los Angeles","CA","$1 Warehouse Market","2319 S Hoover St","90007",34.034690856933594,-118.2843246459961
"90007","Los Angeles","CA","Amigos Mart","not_available","90007",34.03408,-118.28365097558907
"90007","Los Angeles","CA","Rosendo Produce","Bonsallo","not_available",34.034676,-118.275462
"90007","Los Angeles","CA","Adlong market","1550 W Adams Blvd","90007",34.03224171666667,-118.29622883333333
"90007","Los Angeles","CA","Hoover Ranch Market","2301 S Hoover St","90007",34.034956,-118.284365
"90008","Los Angeles","CA","Albertsons","3901 Crenshaw Blvd","90008",34.0141429,-118.3355578
