"zip","city","state","name","address","postalCode","lat","lon"
"32003","Fleming Island","FL","Publix","5000 US Highway 17 Ste 11","32003",30.103929198652345,-81.71112179816815
"32003","Fleming Island","FL","Publix","865 Hibernia Rd Ste 200","32003",30.06970318221668,-81.70625787179036
"32003","Fleming Island","FL","Walmart Supercenter","1505 County Road 220","32003",30.099159369992776,-81.70719905625121
"32003","Fleming Island","FL","Target","1490 County Road 220","32003",30.10403154660943,-81.70753614826388
"32003","Fleming Island","FL","ALDI","661 Blanding Blvd","32073",30.14881443056316,-81.75296030472055
"32003","Fleming Island","FL","Winn-Dixie","1545 County Road 220","32003",30.100622279853695,-81.7109264870878
"32003","Fleming Island","FL","The Fresh Market","1960 E West Pkwy, Ste 100","32003",30.101079781608323,-81.71779984289506
"32003","Fleming Island","FL","Grassroots Natural Market","1915 Eastwest Pkwy","32003",30.098754193478364,-81.71396417908012
"32003","Fleming Island","FL","Public","Cr 220","32068",30.1035753,-81.7078567
"32003","Fleming Island","FL","Hibernia Pavilion","865 Hibernia Rd","32003",30.0698042,-81.706252
"32008","Branford","FL","Scaff's","Suwanee ave","32008",29.964022106497744,-82.931067066668
"32008","Branford","FL","Diamond 99 Sales Inc.","3300 NW 87th Pl","32619",29.864442,-82.86605399999999
"32011","Callahan","FL","Walmart Supercenter","12100 Lem Turner Rd","32218",30.450703356734664,-81.7072211888349
"32011","Callahan","FL","Winn-Dixie","550969 US Highway 1","32046",30.673361959632114,-81.90218918008225
"32011","Callahan","FL","Winn-Dixie","450078 Sr 200","32011",30.5676714626375,-81.82525081066873
"32011","Callahan","FL","Flash Foods","542322 US Highway 1","32011",30.563913673949067,-81.82913444065454
"32011","Callahan","FL","Wal Mart","River City Marketplace","32218",30.462689210348195,-81.68517554773146
"32011","Callahan","FL","Tiger Food Store","450018 sr a1a","not_available",30.56468391418457,-81.82809448242188
"32024","Lake City","FL","Publix","255 NW Commons Loop","32055",30.18118649107168,-82.66427546798215
"32024","Lake City","FL","Walmart Supercenter","2767 W Us Highway 90","32055",30.18154624063817,-82.67707346992509
"32024","Lake City","FL","ALDI","2016 W US Hwy 90","32055",30.178473,-82.66524
"32024","Lake City","FL","Winn-Dixie","580 S Marion Ave","32025",30.18254081853128,-82.63776330143277
"32024","Lake City","FL","Harveys Supermarket","343 SW Stonegate Ter","32024",30.182470017823505,-82.70919414316256
"32024","Lake City","FL","Kc's Produce","not_available","32025",30.18267250061035,-82.61965942382812
"32024","Lake City","FL","Bulk Nation","189 NW Hutton Dr","32055",30.20633070507607,-82.65341877937317
"32024","Lake City","FL","Inn & Out Food Store","3010 W US Highway 90 #101","32055",30.179641723632812,-82.68170928955078
