"zip","city","state","name","address","postalCode","lat","lon"
"03902","Cape Neddick","ME","Village Food Market","230 Main St","03907",43.24927183259172,-70.59963832982531
"03903","Eliot","ME","Walmart","2200 Woodbury Ave","03801",43.10119900338779,-70.80946936876389
"03903","Eliot","ME","Trader Joe's","45 Gosling Rd","03801",43.09374203808143,-70.8013301156611
"03903","Eliot","ME","ALDI","2024 Woodbury Ave","03801",43.09541350604413,-70.79659892477038
"03903","Eliot","ME","India Bazaar","not_available","not_available",43.094199,-70.792854
"03903","Eliot","ME","Groceries on the go","167 State Rd","03904",43.099484620298774,-70.74490369183303
"03903","Eliot","ME","Rising Tide Natural Foods","165 State Rd","03904",43.09918499984941,-70.74487586041151
"03904","Kittery","ME","Portsmouth Health Food Center","151 Congress St","03801",43.07591687327961,-70.76064613808445
"03904","Kittery","ME","The View at Pepperrell Cove","88 Pepperrell Rd","03905",43.0830729,-70.70338389999999
"03904","Kittery","ME","Portsmouth NSY Commissary","167 Beaumont St","03804",43.08049138060584,-70.73373889869902
"03906","North Berwick","ME","Shaw's","1364 Main St","04073",43.41368958045993,-70.74410954116956
"03906","North Berwick","ME","Willow Brooke Farms","381 High St","03906",43.3310246,-70.7355281
"03909","York","ME","Oceanside Store - Long Sands Beach","not_available","03909",43.16403566755851,-70.61889969284248
"04002","Alfred","ME","Goodwin Mills General Store","480 Goodwins Mills Rd","04002",43.508054040538866,-70.5819728988138
"04002","Alfred","ME","Alfred Country Store","3 Saco Rd","04002-3400",43.476417080054226,-70.71694360958288
"04002","Alfred","ME","B & J's Vapes","898 Main St #105","04073",43.43956,-70.77577
"04002","Alfred","ME","Hannaford","not_available","04073",43.428,-70.77783
"04002","Alfred","ME","Hannafords, waterboro, Me","not_available","04061",43.57092205946918,-70.67675255402175
"04005","Biddeford","ME","Market Basket","220 Mariner Way #4005","04005",43.472204033992654,-70.51311586823854
"04005","Biddeford","ME","Shaw's","4 Scammon St Ste 10","04072",43.50235888246322,-70.44916183958492
"04005","Biddeford","ME","Walmart Grocery Pickup & Delivery","50 Boulder Way","04005",43.47467803955078,-70.49932861328125
"04005","Biddeford","ME","Landry's Shop n Save","2 Cascade Rd","04064",43.52243644501875,-70.37890777298342
"04005","Biddeford","ME","Cummings Market","RT.35","04094",43.40555754995354,-70.5650867041402
"04005","Biddeford","ME","Red Rocket Gas and Grocery","141 Saco Ave","04064",43.513465999999994,-70.389269
"04005","Biddeford","ME","New Morning Natural Foods","230 Main St","04005",43.493937510262654,-70.45676598569621
"04005","Biddeford","ME","Alltown","613 US-1","04074",43.5940369,-70.3275766
"04005","Biddeford","ME","AZ's","not_available","04064",43.514683842659,-70.37875592708588
"04009","Bridgton","ME","Food City","295 Main St","04009",44.053761377192295,-70.70063382601013
"04010","Brownfield","ME","Brownfield Country Market","1 Birch Ln","04010",43.96204412129585,-70.90441745764537
"04011","Brunswick","ME","Walmart Supercenter","15 Tibbetts Dr","04011",43.90773391723633,-69.90827178955078
"04011","Brunswick","ME","Shaw's","147 Bath Rd","04011",43.9076675,-69.9255413
"04011","Brunswick","ME","Vegetable Corner","Harpswell neck road","04079",43.8228547612791,-69.96405034920326
"04011","Brunswick","ME","Morning Glory Natural Foods","60 Maine St","04011",43.91729451927553,-69.96650148809195
"04015","Casco","ME","Bob's Place","not_available","04015",43.94181996575256,-70.54707600197024
"04020","Cornish","ME","Call's Shop 'n Save","not_available","04020",43.80278460264432,-70.82314939863899
"04027","Lebanon","ME","Market Basket","96 Milton Rd","03868",43.34133823742122,-70.9753014952484
"04032","Freeport","ME","Shaw's","200 Lower Main St","04032",43.84511535019364,-70.11832603815492
"04032","Freeport","ME","Royal River Natural Foods","443 Route 1","04032",43.83510084098559,-70.12618923919149
"04037","Fryeburg","ME","Center Lovell Market","not_available","04016",44.175528953019544,-70.89364319125951
"04037","Fryeburg","ME","Bea's Marketplace","14 Portland St","04037",44.01638,-70.97928
"04037","Fryeburg","ME","Thriftway","not_available","04037",44.0198178835905,-70.96444558369022
"04038","Gorham","ME","Hannaford Supermarket","71 Colonial Drive","04084",43.72970545814782,-70.54447605276437
"04038","Gorham","ME","Sawyer's Market","not_available","04062",43.739151,-70.425968
"04038","Gorham","ME","Yogurt Aisle","not_available","04038",43.72079977321327,-70.51600462025841
"04038","Gorham","ME","The C Store","37 College Ave","04038",43.68232497755719,-70.44703892509122
"04039","Gray","ME","Gray Shop 'N Save","35 Portland Rd","04039",43.88071,-70.32797
"04039","Gray","ME","Gray Supermarket","not_available","04039",43.88066024,-70.32856493
"04043","Kennebunk","ME","Big Apple","6 Western Ave","04046",43.36042670575845,-70.47916365963356
"04043","Kennebunk","ME","New Morning Natural Foods","3 York St","04043",43.38410319760444,-70.54440799149828
"04043","Kennebunk","ME","Garden Street Market","1 Garden St","04043",43.3861191187685,-70.54192543029785
"04046","Kennebunkport","ME","Bradbury Brothers Market","167 Main St","04014",43.37226449765032,-70.43903070721062
"04048","Limerick","ME","Limerick Supermarket","54 Central Ave","04048",43.69857864372463,-70.78017039897016
"04050","Long Island","ME","Hannigan's Island Market","76 Island Ave","not_available",43.656493955875725,-70.19824797903043
"04055","Naples","ME","Umbrella Factory","693 Roosevelt Trail","04055",43.96999669953737,-70.59277405857719
"04056","Newfield","ME","Hilltop Boilers Maple Syrup","157 Elm St","04095",43.65890884399414,-70.84864807128906
"04062","Windham","ME","Walmart Supercenter","30 Landing Rd","04062",43.8379474,-70.44392824
"04062","Windham","ME","Shaw's","770 Roosevelt Trail","04062",43.835823,-70.4442507
"04062","Windham","ME","Country Kitchen Bakery Outlet","669 Roosevelt Trl","04062",43.82704544067383,-70.43399047851562
"04073","Sanford","ME","Walmart Supercenter","1930 Main St","04073",43.40079813112447,-70.70073978696291
"04073","Sanford","ME","Little Yellow Store","586 Quarry Rd","04090",43.33797836303711,-70.70494842529297
"04074","Scarborough","ME","Walmart Supercenter","500 Gallery Blvd","04074",43.622864,-70.343025
"04074","Scarborough","ME","Rosemont West End","40 Pine St","04102",43.65161250629597,-70.2680139163133
"04074","Scarborough","ME","Shaw's","417 Payne Rd","04074",43.62001168100521,-70.35041937940605
"04074","Scarborough","ME","Hong Kong Market","945 Congress St","04102",43.653795,-70.279221
"04074","Scarborough","ME","Joe's Smoke Shop","665 Congress St","04101",43.65328050114031,-70.26626989230115
"04074","Scarborough","ME","Lois' Natural Marketplace","152 US Route 1","04074",43.59718898519107,-70.3234407642613
"04074","Scarborough","ME","Sonny's Variety","935 Congress St","04102",43.65380748163211,-70.27885437011719
"04074","Scarborough","ME","Save-A-Lot","268 St John St","04102",43.652331,-70.279495
"04074","Scarborough","ME","Hannaford Supermarkets","145 Pleasant Hill Rd","04074",43.59975569627048,-70.29829502105711
"04074","Scarborough","ME","Shaw's","180 Waterman Dr","04106",43.63760757446289,-70.25509643554688
"04074","Scarborough","ME","Vespucci's","Danforth St.","not_available",43.64790331036713,-70.26637597571546
"04074","Scarborough","ME","Al-Amin Halaal Market","St. John St","not_available",43.65339127150781,-70.2791592527646
"04074","Scarborough","ME","Maine Lobster Now","58 City Line Dr","04102",43.64891044,-70.32292633
"04074","Scarborough","ME","Highland Avenue Greenhouse and Farm Market","109 Highland Ave","04074",43.58799579999999,-70.30572889999999
"04076","Shapleigh","ME","One Earth","191 Emery Mills Rd","04076",43.49434280395508,-70.845703125
"04088","Waterford","ME","Springer's General Store","1218 Waterford Rd","04088",44.20707702636719,-70.6844253540039
"04090","Wells","ME","Wells Super Food Market","not_available","04090",43.32111654680829,-70.58073406549472
"04090","Wells","ME","Iga","Well Center","04090",43.32146083897865,-70.58106088122616
"04090","Wells","ME","Wells corner shopping center","Post rd","04090",43.32129709042915,-70.58091206571028
"04092","Westbrook","ME","Market Basket","90 Rock Row","04092",43.677284,-70.331848
"04092","Westbrook","ME","Shaw's","31 Main St","04092",43.67952741310283,-70.33097921611437
"04092","Westbrook","ME","Makara's Market","1104 Brighton Ave","04102",43.67510986328125,-70.32512664794922
