"zip","city","state","name","address","postalCode","lat","lon"
"87002","Belen","NM","Walmart Supercenter","1 I 25 Bypass","87002",34.69654902,-106.7684483
"87002","Belen","NM","Clariant Cargo  and  Device Protection","101 Christine Drive","87002",34.5953483581543,-106.73208618164062
"87004","Bernalillo","NM","Walmart Supercenter","460 Nm Highway #528","87004",35.319950095529904,-106.57273921804794
"87004","Bernalillo","NM","Smith's","1000 Rio Rancho Dr SE","87124",35.2397387,-106.6550527
"87004","Bernalillo","NM","Albertsons Market","4300 Ridgecrest Dr","87124",35.253899166956344,-106.65028722616626
"87004","Bernalillo","NM","Walmart Neighborhood Market","not_available","not_available",35.23959606349436,-106.65765698722942
"87004","Bernalillo","NM","Albertsons Market","7800 Enchanted Hills Blvd NE","87144",35.3235266,-106.5765502
"87004","Bernalillo","NM","Walmart Neighborhood Market","1115 Nm Highway 528 Se","87124",35.23917103749915,-106.65538996494433
"87004","Bernalillo","NM","Frontier Mart","3677 Corrales Rd","87048",35.21785388351942,-106.62487928121118
"87004","Bernalillo","NM","NB3 FOODS LLC","51 Jemez Dam Rd Ste 110A","87004",35.32879638671875,-106.56685638427734
"87004","Bernalillo","NM","St Felix Pantry","Barbara Loop","87124",35.235879,-106.655626
"87007","Casa Blanca","NM","Dancing Eagle Supermarket","Indn Service Route 22","87007",35.030609536767486,-107.4758575152501
"87010","Cerrillos","NM","Lone Butte General Store","3778-3790 New Mexico 14","87508",35.491452066598356,-106.06645847665587
"87013","Cuba","NM","Bashas'","Hwy 57 & Indian Service Rd. 9","87313",35.7867,-107.931069
"87015","Edgewood","NM","Walmart Supercenter","66 State Road #344","87015",35.07097027509293,-106.18883135484364
"87015","Edgewood","NM","Smith's","2B State Road 344","87015",35.0615469,-106.1896019
"87015","Edgewood","NM","Moriarty Foods","Moriarty, NM","87035",35.010799587899186,-106.06390594507654
"87020","Grants","NM","Walmart Supercenter","1000 Robert Rd","87020",35.12518606954439,-107.82555909785621
"87020","Grants","NM","John Brooks Milan Supermarket","1415 West Highway 66","87021",35.181006169768565,-107.89637067316401
"87020","Grants","NM","Smith's","700 E Roosevelt Ave","87020",35.16263948384227,-107.83254595133263
"87024","Jemez Pueblo","NM","Trail House Grocery","Mile Marker 11 Hwy 4","87025",35.7969986,-106.6883388
"87031","Los Lunas","NM","Walmart Supercenter","2250 Main St Nw","87031",34.817167651914,-106.7635767895328
"87031","Los Lunas","NM","Albertsons Market","2351 Main St SE","87031",34.8044668,-106.7033918
"87031","Los Lunas","NM","Smith's","2580 Main St NE","87031",34.80891434763913,-106.70241042042107
"87031","Los Lunas","NM","Giant","not_available","87031",34.806808683702386,-106.73476088358562
"87041","Pena Blanca","NM","Romero's Market","701-717 New Mexico 22","87041",35.56085718311487,-106.34102998001426
"87048","Corrales","NM","Albertsons Market","10131 Coors Blvd NW","87114",35.2006114,-106.650515
"87048","Corrales","NM","Walmart Supercenter","10224 Coors Byp Nw","87114",35.204306969384206,-106.65696142988118
"87048","Corrales","NM","Sprouts Farmers Market","10701 Corrales Rd NW, Ste 2","87114",35.20492,-106.646772
"87102","Albuquerque","NM","Silver Street Market","not_available","87102",35.082452360779826,-106.6497392417682
"87102","Albuquerque","NM","Smith's","320 Yale Blvd SE","87106",35.07612419452313,-106.62174852241151
"87102","Albuquerque","NM","Smith's","406 Yale Blvd SE","87106",35.07509231567383,-106.62174224853516
"87102","Albuquerque","NM","Hi Lo Market","2513 4th St NW","87102",35.110335851740274,-106.64718610901802
"87104","Albuquerque","NM","El Super","4201 Central Ave NW","87105",35.08704266207339,-106.68768022271928
"87104","Albuquerque","NM","La Montanita Co-op","2400 Rio Grande Blvd NW","87104",35.11785825857077,-106.67499200459164
"87104","Albuquerque","NM","Abq Health Pantry","119 San Pasquale Ave SW","87104",35.09299850463867,-106.6694107055664
"87104","Albuquerque","NM","Lowe's","Coronado Fwy","87104",35.10743420165468,-106.67229913783585
"87104","Albuquerque","NM","Old Town Olive","1919 Old Town Rd NW Ste 7","87104",35.09635,-106.66869
"87105","Albuquerque","NM","Smith's","200 Tramway Blvd SE","87123",35.0673519,-106.4964724
"87105","Albuquerque","NM","Trader Joe's","2200 Uptown Loop NE","87110",35.10230929818143,-106.56544893980026
"87105","Albuquerque","NM","Walmart Neighborhood Market","1820 Unser Blvd NW","87120",35.103261246675885,-106.72869432554664
"87105","Albuquerque","NM","Sprouts Farmers Market","5112 Lomas Blvd NE","87110",35.086716,-106.587823
"87105","Albuquerque","NM","Walmart Supercenter","400 Eubank Blvd Ne","87123",35.07970618025411,-106.5306043624878
"87105","Albuquerque","NM","Whole Foods Market","2103 Carlisle Blvd. Ne","87110",35.10266991547427,-106.60482179227598
"87105","Albuquerque","NM","Walmart Supercenter","2266 Wyoming Blvd Ne","87112",35.10661094464737,-106.5488418885144
"87105","Albuquerque","NM","Smith's","6001 Lomas Blvd NE","87110",35.08804673363785,-106.57916843891144
"87105","Albuquerque","NM","Smith's","3701 Constitution Ave NE","87110",35.095670940524656,-106.6029961570166
"87105","Albuquerque","NM","Walmart Supercenter","301 San Mateo Blvd Se","87108",35.075827176632124,-106.58809962621316
"87105","Albuquerque","NM","Walmart Neighborhood Market","4700 Cutler Ave Ne","87110",35.10490507881655,-106.59226871918851
"87105","Albuquerque","NM","Smith's","1601 Arenal Rd SW","87105",35.05415257334317,-106.67900348211421
"87105","Albuquerque","NM","La Montanita Co-Op Food Market","3500 Central Ave SE","87106",35.079521350474735,-106.6053065766001
"87105","Albuquerque","NM","Sprouts Farmers Market","13150 Central Ave SE","87123",35.0666481,-106.4992723
"87105","Albuquerque","NM","Albertsons Market","11825 Lomas Blvd NE","87112",35.0882275,-106.515956
"87105","Albuquerque","NM","Walmart Supercenter","3500 Coors Blvd Sw","87121",35.026065589592456,-106.71120949209397
"87105","Albuquerque","NM","Albertsons Market","1625 Rio Bravo Blvd SW","87105",35.027794,-106.6825289
"87105","Albuquerque","NM","Talin Market World Food Fare","88 Louisiana Blvd SE","87108",35.0750933063439,-106.56808525484661
"87105","Albuquerque","NM","El Mezquite","201 San Pedro Dr SE","87108",35.07499613711058,-106.57821500383936
"87105","Albuquerque","NM","Smith's","111 Coors Blvd NW","87121",35.08057100357342,-106.71323533401994
"87105","Albuquerque","NM","Arirang Oriental Market","1826 Eubank Blvd NE","87112",35.10261025822189,-106.5324804256346
"87105","Albuquerque","NM","A-1 Oriental Market","1410 Wyoming Blvd NE Ste F","87112",35.095884000000005,-106.55000700000001
"87106","Albuquerque","NM","Smith's","2620 Carlisle Se","871102802",35.073214570462426,-106.60323090320328
"87106","Albuquerque","NM","Sami Food Mart","1600 Carlisle Blvd SE","87106",35.059007,-106.603959
"87107","Albuquerque","NM","Sprouts Farmers Market","5600 Coors Blvd NW","87120",35.146894829656,-106.68630689814756
"87107","Albuquerque","NM","Albertsons","6200 Coors Blvd NW","87120",35.152688,-106.682199
"87107","Albuquerque","NM","Walmart Supercenter","2701 Carlisle Blvd Ne","87110",35.11207849123057,-106.60781507578824
"87107","Albuquerque","NM","Smith's","8301 Golf Course Rd NW","87120",35.178806973027534,-106.68985784053802
"87107","Albuquerque","NM","Walmart Neighborhood Market","8511 Golf Course Rd Nw","87114",35.18056160448194,-106.68955499706799
"87107","Albuquerque","NM","Eurozone","3700 Osuna Rd NE Ste 505","87109",35.15394,-106.60188
"87107","Albuquerque","NM","Smith's","6125 4th St NW","87107",35.1464623,-106.6405839
"87107","Albuquerque","NM","El Mezquite","4401 4th St NW","87107",35.12767028808594,-106.64372253417969
"87107","Albuquerque","NM","Frozen Foods","not_available","87107",35.10759735107422,-106.60868835449219
"87107","Albuquerque","NM","Village Market","141 Osuna Rd NW","87107",35.15283966064453,-106.63018798828125
"87107","Albuquerque","NM","Lowe's Market","4701 4th St NW","87107",35.13112153342523,-106.64336278287779
"87107","Albuquerque","NM","Cbd Warehouse Usa","5940 Midway Park Blvd NE","87109",35.149319,-106.60298369999998
"87107","Albuquerque","NM","Smith's","3621 Menaul Blvd NE","87110",35.110165,-106.601634
"87108","Albuquerque","NM","Damacio's Grocery","913 San Pedro Dr SE","87108",35.064382,-106.57824
"87108","Albuquerque","NM","Fair N Square","not_available","87108",35.074119567871094,-106.55757904052734
"87108","Albuquerque","NM","Kirtland AFB Commissary","7801 Gibson Blvd. S.E., Bldg 20180","87117",35.05941541184465,-106.56072255478709
"87109","Albuquerque","NM","Walmart Supercenter","8000 Academy Rd Ne","87111",35.145128634065166,-106.55035265912785
"87109","Albuquerque","NM","Smith's","8040 Academy Rd NE","87111",35.14579294879048,-106.54918940381322
"87109","Albuquerque","NM","Target","8510 Montgomery Blvd NE","87111",35.12998507543254,-106.54772401028708
