"zip","city","state","name","address","postalCode","lat","lon"
"89002","Henderson","NV","VONS","45 E Horizon Ridge Pkwy","89002",36.0090554,-114.9930656
"89002","Henderson","NV","Albertsons","575 College Dr","89015",36.013771,-114.9646301
"89005","Boulder City","NV","Smith's","830 S Boulder Hwy","89015",36.0268337,-114.9657033
"89005","Boulder City","NV","Walmart Supercenter","300 E Lake Mead Pkwy","89015",36.03928455309524,-114.97755737997953
"89005","Boulder City","NV","Albertsons","190 N Boulder Hwy","89015",36.0416081,-114.9812989
"89005","Boulder City","NV","Albertsons","1008 Nevada Way","89005",35.9760734,-114.845262
"89005","Boulder City","NV","Cuevas Meat Market","530 S Boulder Hwy","89015",36.03255159795069,-114.97271352362964
"89005","Boulder City","NV","Groceries","not_available","not_available",35.975732,-114.832106
"89011","Henderson","NV","Walmart Supercenter","540 Marks St","89014",36.06058632885916,-115.03360394302038
"89011","Henderson","NV","Sprouts Farmers Market","515 N Stephanie St","89014",36.05688168278003,-115.04827827215195
"89011","Henderson","NV","Walmart Neighborhood Market","1401 American Pacific Dr","89074",36.04072113605133,-115.04805161274027
"89011","Henderson","NV","Joshan Filipino Oriental Market","6325 E Russell Rd #105","89122",36.08341478854489,-115.0338483403161
"89011","Henderson","NV","Mabuhay Asian Market","565 Marks St Ste 140","89014",36.062374114990234,-115.037109375
"89011","Henderson","NV","Quick Mart","not_available","89122",36.09120404347936,-115.04067078211989
"89012","Henderson","NV","Whole Foods Market","100 S. Green Valley Pkwy","89012",36.02330731875146,-115.08263615490658
"89012","Henderson","NV","Albertsons","201 S Stephanie St","89012",36.02033388148955,-115.04939858967646
"89012","Henderson","NV","Smith's","1000 N Green Valley Pkwy","89074",36.0277512,-115.0842834
"89012","Henderson","NV","Sprouts Farmers Market","635 S Green Valley Pkwy","89052",36.00432848391971,-115.0848314166069
"89012","Henderson","NV","Smith's","55 S Valle Verde Dr","89012",36.0258089,-115.0636805
"89012","Henderson","NV","F&E KT","not_available","89012",36.005298,-115.080778
"89012","Henderson","NV","GLAZIER'S FOOD MARKETPLACE INC.","514 Beneficial Pl","89012",36.01042,-115.06136
"89014","Henderson","NV","WinCo Foods","80 N Stephanie St","89074",36.033560497897255,-115.0439701447837
