"zip","city","state","name","address","postalCode","lat","lon"
"06390","Fishers Island","NY","Fisher Island Village Market","not_available","06390",41.270148648650014,-72.0133288738669
"10001","New York","NY","Whole Foods Market","450 W 33rd St","10001",40.753496,-73.998658
"10001","New York","NY","H Mart Asian Supermarket","38 W 32nd St","10001",40.74808454598408,-73.9875030321688
"10001","New York","NY","Whole Foods Market","250 7th Ave","10001",40.745057497004666,-73.99554284770052
"10001","New York","NY","Whole Foods Market","1095 6th Ave","10036",40.75450746689136,-73.98429874954766
"10001","New York","NY","Fairway Market","766 Avenue of the Americas","10010",40.7445918940299,-73.9915032471721
"10001","New York","NY","Big Apple Meat Market","577 9th Ave","10036",40.758187,-73.992946
"10001","New York","NY","Food Emporium","452 W 43rd St","10036",40.75945116419509,-73.99471060184236
"10001","New York","NY","Hudson Market","303 10th Ave","10001",40.75067790909987,-74.00208686069637
"10001","New York","NY","Brooklyn Fare","431 W 37th St","10018",40.75613,-73.996614
"10001","New York","NY","Westside Market","170 W 23rd St","10011",40.743853,-73.995188
"10001","New York","NY","Gristedes Supermarkets #545","225 9th Ave","10011",40.74702559594607,-74.00094298036745
"10001","New York","NY","Foragers City Grocer","300 W 22nd St","10011",40.74465908454508,-73.99905729833164
"10001","New York","NY","Citarella","20 Hudson Yards Apt 207A","10001",40.7534613,-74.0008205
"10001","New York","NY","Gristedes Supermarkets #597","221 8th Ave","10011",40.74441228095929,-73.99934341347452
"10001","New York","NY","Merci Market","350 W 42nd St","10036",40.7577483927282,-73.99231997108348
"10001","New York","NY","International Grocery","543 9th Ave","10018",40.757260479117356,-73.99354715747175
"10001","New York","NY","Gristedes Supermarkets #562","307 W 26th St","10001",40.74741044556497,-73.99763385646388
"10001","New York","NY","Audrey's Añple Apples","11 Avenue A","10009",40.7497766340658,-74.00669574737549
"10001","New York","NY","Gourmet Attitude Truffles","483 10th Avenue","10018",40.756261,-73.9978653
"10001","New York","NY","Han Au Mart","25 W 35th St","10001",40.749839782714844,-73.9852523803711
"10001","New York","NY","dai kairaku","345 7th Ave","10001",40.748139,-73.992611
"10001","New York","NY","9th Avenue Grocery","350 9th Ave","10001",40.750572,-73.997973
"10001","New York","NY","NSA Markets","317 9th Avenue","10001",40.74986871902864,-73.99873514824495
"10001","New York","NY","A&H Food Plaza","7 Avenue A","10009",40.750811570652495,-73.99194718513888
"10001","New York","NY","Fashion Accessory Bazaar LLC","15 W 34th St Fl 3","10001",40.749229,-73.9856293
"10001","New York","NY","Cafe 'N' More","1 Penn Plz","10119",40.75173372857143,-73.99250094128539
"10001","New York","NY","Herbalife Independent Distributor","28 W 28th St, 3rd Floor","10001",40.745391845703125,-73.98924255371094
"10001","New York","NY","Natural Grocery","252 5th Ave","11215",40.7450065612793,-73.98751831054688
"10001","New York","NY","Rimova, Inc","225 W 34th St","10122",40.7517898,-73.99188700000002
"10001","New York","NY","Guru's Deli & Grocery","155 W 29th St","10001",40.747718811035156,-73.99205780029297
"10002","New York","NY","Whole Foods Market","95 East Houston St","10002",40.723792913183296,-73.99146099967388
"10002","New York","NY","Trader Joe's","400 Grand St. (Cellar)","10002",40.716003499114976,-73.98679461103265
"10002","New York","NY","Hong Kong Supermarket 香港超級市場 (Hong Kong Supermarket)","157 Hester St","10013",40.717595732385966,-73.99617253722293
"10002","New York","NY","Union Market","240 E Houston St","10002",40.72235957778278,-73.986293449898
"10002","New York","NY","iFresh Market","128 Mott St","10013",40.71862225497523,-73.99657123040663
"10002","New York","NY","Deluxe Food Market 德昌食品市場","79 Elizabeth St","10013",40.718194291784535,-73.99683841675501
"10002","New York","NY","Fine Fare","175 Clinton St","10002",40.7156249,-73.9871454
"10002","New York","NY","Mulberry Market","251 Mulberry St","10012",40.723014,-73.996097
"10002","New York","NY","Po Wing Hong","50 Elizabeth St","10013",40.717009395349606,-73.99654358625412
"10002","New York","NY","Heng Li Grocery Store","329 Grand St","10002",40.717195023841796,-73.99046036835232
"10002","New York","NY","Tan Tin Hung Supermarket","121 Bowery","10002",40.71814407707191,-73.99491522511089
"10002","New York","NY","New York Supermarket","75 E Broadway","10002",40.713237168407,-73.99408086487155
"10002","New York","NY","Ken Hing Food Market","247 Grand St","10002",40.718006,-73.994324
"10002","New York","NY","Essex Farm","88 Essex St","10002",40.71811294555664,-73.98822784423828
"10002","New York","NY","Freshco Grocery & Deli","97 Stanton St","10002",40.72135844235053,-73.98813151526107
"10002","New York","NY","Fine Fare","42 Avenue C","10009",40.722105911011205,-73.98030222738956
"10002","New York","NY","Orange Tree","517 Grand St","10002",40.71438980102539,-73.9820327758789
"10002","New York","NY","Pop Up Grocer","208 Bowery","10012",40.721306,-73.993317
"10002","New York","NY","Wing Tak Grocery","137 Mott St","10013",40.718569,-73.996827
"10002","New York","NY","Ben's Gourmet Deli","32 Avenue B","10009",40.722501871422885,-73.9829636044289
"10002","New York","NY","Fu Zhou Supermarket","146 Henry St","10002",40.713211,-73.98995500000001
"10002","New York","NY","Dimes Market","143 Division St","10002",40.71462261566731,-73.99102456657849
"10002","New York","NY","AAA Avocados","135 Chrystie St","10002",40.719615999999995,-73.993424
"10002","New York","NY","Standard Wholesale","42 Ludlow St","10002",40.716232,-73.990059
"10002","New York","NY","71 east broadway","71 E Broadway","10002",40.713528000000004,-73.994794
"10002","New York","NY","Hester Corner Grocery","not_available","not_available",40.71682,-73.993825
