"zip","city","state","name","address","postalCode","lat","lon"
"73003","Edmond","OK","Walmart Supercenter","2200 W Danforth Rd","73003",35.66575296914064,-97.51240395157164
"73003","Edmond","OK","Sprouts Farmers Market","24 E 2nd St","73034",35.6525484,-97.4804107
"73003","Edmond","OK","Uptown Grocery Co.","1230 W Covell Rd","73003",35.68143054127906,-97.50047283284468
"73003","Edmond","OK","ALDI","1001 W Edmond Rd","73003",35.653676276150414,-97.4976298213005
"73003","Edmond","OK","Buy Graviola","3180 NW 208th St","73012",35.6528323,-97.47809540000002
"73005","Anadarko","OK","Walmart Supercenter","1201 W Petree Rd","73005",35.05962217124375,-98.26262827658218
"73005","Anadarko","OK","Braum's Ice Cream & Burger Restaurant","702 W Petree Rd","73005",35.05728835,-98.25330937
"73005","Anadarko","OK","Sam's Club","not_available","not_available",35.055043,-98.261146
"73006","Apache","OK","Super C Market","S Coblake","73006",34.887340977041774,-98.36530117416814
"73008","Bethany","OK","Walmart Neighborhood Market","6437 N. Macarthur Blvd","73132",35.53788051506037,-97.6207130132454
"73008","Bethany","OK","ALDI","6010 NW 23rd St","73127",35.4924858794347,-97.62274311622605
"73008","Bethany","OK","Wonder Bread Outlet","not_available","73127",35.500156257118036,-97.6193936320155
"73008","Bethany","OK","Buy 4 Less","3701 N MacArthur Blvd","73122",35.50823094636609,-97.62008734593384
"73010","Blanchard","OK","Spencers Grocery","NE 10th St","73010",35.14650488755118,-97.65251659142908
"73012","Edmond","OK","Walmart Neighborhood Market","1101 Nw 164th St","73013",35.639448382134084,-97.53251923873906
"73012","Edmond","OK","Cherry Hill Meat Market","2125 NW 178th St","73012",35.6535721,-97.550921
"73012","Edmond","OK","A-1 Discount Vitamins","3180 NW 206","73003",35.68518697509636,-97.57453680038452
"73013","Edmond","OK","Crest Foods","2200 W 15th St","73013",35.63697261242142,-97.51275126944874
"73013","Edmond","OK","Walmart Supercenter","2000 W Memorial Rd","73134",35.6048702,-97.54672766
"73013","Edmond","OK","Sprouts Farmers Market","12200 N MacArthur Blvd, Ste C","73162",35.59317167348947,-97.61939406394958
"73013","Edmond","OK","Crest Foods","11120 N Rockwell Ave","73162",35.582797498870285,-97.637707937221
"73013","Edmond","OK","Walmart Grocery Pickup and Delivery","1225 W I-35 Frontage","73034",35.63996505737305,-97.42870330810547
"73013","Edmond","OK","Homeland","7001 NW 122nd St","73142",35.595388731020385,-97.63766549785623
"73013","Edmond","OK","Natural Grocers","3325 S Boulevard Ste 169","73013",35.622642395803545,-97.47894031739669
"73013","Edmond","OK","Natural Grocers","16425 N Western Ave","73013",35.63810069769476,-97.53236364196815
"73013","Edmond","OK","ALDI","13301 N Pennsylvania Ave","73120",35.60525142291899,-97.55049145767214
"73013","Edmond","OK","Buy For Less","Penn &Hefner","73114",35.59304773006717,-97.55052270128552
"73013","Edmond","OK","Hyvee west","Ok","73114",35.583492,-97.508271
"73013","Edmond","OK","Cash Saver","E 33rd St","73013",35.623473,-97.485968
"73013","Edmond","OK","SABRI FOODS","550 E Memorial Rd","73114",35.608595,-97.502749
"73013","Edmond","OK","Akin's Natural Foods","2370 W. Memorial Rd","73116",35.60714063308423,-97.55502431535619
"73015","Carnegie","OK","Super C Market","Carnegie","73015",35.106316023869184,-98.6012249134132
"73018","Chickasha","OK","Walmart Supercenter","2001 S 1st St","73018",35.03103239369479,-97.93135503760132
"73018","Chickasha","OK","Save A Lot","1840 S 4th St","73018",35.0313098,-97.9366355
"73018","Chickasha","OK","ALDI","2318 S 4th St","73018",35.02654777265311,-97.93660852457378
"73018","Chickasha","OK","Dunn's","208 S 5th St","73018",35.04941177368164,-97.93856048583984
"73018","Chickasha","OK","Homeland","759 W Grand Ave","73018",35.0289560030631,-97.94248482348986
"73019","Norman","OK","Xcetera!","1400 Asp Ave","73072",35.20151292368269,-97.44512620282862
"73020","Choctaw","OK","Walmart Supercenter","14185 Mack Harrington Drive","73020",35.495793980062565,-97.27941558072929
"73020","Choctaw","OK","Choctaw Express Mart","15050 SE 29th St","73020",35.43478,-97.26464
"73020","Choctaw","OK","Williams Discount Foods","14407 Northeast 23rd Street","73020",35.49446487426758,-97.274658203125
"73020","Choctaw","OK","Braum's Ice Cream & Burger Restaurant","14205 NE 23rd St","73020",35.49355438,-97.27965388
"73026","Norman","OK","Country Boy Market","18450 E State Highway 9","73026",35.2312918250823,-97.171471478957
"73030","Davis","OK","Sooner Foods","705 E Main St","73030",34.50688552856445,-97.1146240234375
"73034","Edmond","OK","Homeland","1151 N Bryant Ave","73034",35.666393554542694,-97.46152191726323
"73034","Edmond","OK","Walmart Grocery Pickup","1301 E 2nd St","73034",35.654052734375,-97.46345520019531
"73036","El Reno","OK","Walmart Supercenter","2400 S Country Club Rd","73036",35.51130785,-97.97496638
"73036","El Reno","OK","Save-A-Lot","400 Sunset Dr","73036",35.53266339758018,-97.95783638085257
"73040","Geary","OK","Hydro Food Mart","103 W. Main St.","73048",35.549560546875,-98.57727813720703
"73044","Guthrie","OK","Walmart Supercenter","1608 S Division St","73044",35.86264319591383,-97.42279667874104
"73044","Guthrie","OK","Cash Saver","S Wentz St","73044",35.879193,-97.423842
