"zip","city","state","name","address","postalCode","lat","lon"
"15001","Aliquippa","PA","Kuhn's","Hopewell Shopping Center","15001",40.58673869687999,-80.25707875991802
"15001","Aliquippa","PA","Giant Eagle Supermarket","3113 Green Garden Rd","15001",40.59706022649847,-80.30396269848285
"15001","Aliquippa","PA","Giant Eagle Supermarket","1600 W State St","15005",40.657555914099596,-80.23661618632315
"15001","Aliquippa","PA","Giant Eagle Pharmacy","3113 Green Garden Road Green Garden Shopping Center","15001",40.5990743,-80.3050778
"15001","Aliquippa","PA","Shop'n Save","not_available","15001",40.6092377,-80.2442618
"15001","Aliquippa","PA","La Fiesta","2104 Sheffield Rd","15001",40.60767364501953,-80.27890014648438
"15001","Aliquippa","PA","Rochester Giant Eagle","not_available","not_available",40.644459598240815,-80.31160204364723
"15001","Aliquippa","PA","Tobacco 4 Less","2719 Brodhead Rd","15001",40.60871109,-80.28384139
"15001","Aliquippa","PA","ALDI","2011 Sheffield Rd","15001",40.60683808214564,-80.2772672550509
"15005","Baden","PA","Walmart Supercenter","1500 Economy Way","15005",40.65810082529461,-80.22721079093948
"15005","Baden","PA","ALDI","351 Logan Ln","15005",40.62702729157678,-80.22726930163566
"15009","Beaver","PA","Walmart Supercenter","3942 Brodhead Road","15061",40.67892939,-80.30166864
"15009","Beaver","PA","Giant Eagle Supermarket","111 W Madison St","15074",40.701260770469034,-80.28852076209269
"15009","Beaver","PA","Beaver Super","648 3rd St","15009",40.69520404488228,-80.30506343325018
"15009","Beaver","PA","Dutch Ridge Dairy Store","1635 Dutch Ridge Rd","15009",40.713209,-80.33562004566193
"15009","Beaver","PA","ALDI","not_available","15061",40.67876880692967,-80.30938759757038
"15009","Beaver","PA","ALDI","101 Center Commons Blvd","15061",40.67851829699918,-80.30964603439327
"15009","Beaver","PA","Giant Eagle Supermarket","111 West Madison Street","15074",40.7016931,-80.2881537
"15009","Beaver","PA","Foodland","415 9th St","15066",40.73522137777605,-80.3128851779793
"15009","Beaver","PA","ALDI","not_available","15009",40.689457,-80.31653
"15009","Beaver","PA","Bakery time clock","not_available","15074",40.70209503173828,-80.28890228271484
"15010","Beaver Falls","PA","Walmart Supercenter","#100 Chippewa Town Centre","15010",40.78211146896876,-80.38350632435895
"15010","Beaver Falls","PA","Giant Eagle Supermarket","2650 Constitution Blvd","15010",40.77642126039033,-80.37871603320548
"15010","Beaver Falls","PA","ALDI","2580 Constitution Blvd","15010",40.7736965618393,-80.3721410036087
"15010","Beaver Falls","PA","Beaver County Fruit & Garden Center","330 7th Ave.","15010",40.745634479179614,-80.31947338841029
"15010","Beaver Falls","PA","Save-A-Lot","400 9th Ave","15010",40.74634047830023,-80.32111943837577
"15010","Beaver Falls","PA","Walmart Grocery Pickup and Delivery","100 Chippewa Town Centre","15010",40.781684,-80.383378
"15010","Beaver Falls","PA","Weaver's Market and Quality Catering","301 Third St","16115",40.81053213333333,-80.42363
"15012","Belle Vernon","PA","Walmart Supercenter","100 Sara Way","15012",40.13813868658059,-79.84585166552813
"15012","Belle Vernon","PA","ALDI","780 Rostraver Rd","15012",40.1354751,-79.8412475
"15012","Belle Vernon","PA","Giant Eagle Supermarket","300 Tri County Ln","15012",40.137684541425614,-79.84054282005908
"15012","Belle Vernon","PA","Shop 'n Save","600 Willowbrook Plaza","15012",40.185526569489525,-79.81054839950222
"15012","Belle Vernon","PA","Giant Eagle Supermarket","105 Robertson St","15089",40.218720176582316,-79.76410870176848
"15012","Belle Vernon","PA","Valdiserri's Bakery LLC","513 Broad Ave","15012",40.1303144,-79.8658102
"15012","Belle Vernon","PA","Unimart","800-898 Meldon Ave","15033",40.18119692802429,-79.85482976666667
"15012","Belle Vernon","PA","Yarecks Natural Food","2 McKean Ave","15022",40.133218,-79.89138299999999
"15012","Belle Vernon","PA","D&D Foods, Inc.","not_available","15012",40.115761,-79.825656
"15012","Belle Vernon","PA","Save-A-Lot","1St St & Mckean Ave","15022",40.13510754800183,-79.89351468492343
"15012","Belle Vernon","PA","Bon Marche","2nd Street Extension","15033",40.1773876,-79.8735805
"15017","Bridgeville","PA","Walmart","2200 Washington Pike","15106",40.38685483345762,-80.0958342336999
"15017","Bridgeville","PA","Shop 'n Save","2100 Washington Pike #5","15106",40.38777754612753,-80.09300485115543
"15017","Bridgeville","PA","Fresh Thyme Farmers Market","1155 Washington Pike","15017",40.3696178270136,-80.10476160615156
"15017","Bridgeville","PA","Giant Eagle Supermarket","1025 Washington Pike","15017",40.36716201257863,-80.1092847973536
"15017","Bridgeville","PA","Market District Express","2840 Washington Rd","15317",40.30363192438968,-80.0973335888985
"15017","Bridgeville","PA","Giant Eagle Supermarket","3239 Washington Pike","15017",40.341214219714814,-80.11867594500924
"15017","Bridgeville","PA","ALDI","3013 Washington Pike","15017",40.3538974,-80.1129925
"15017","Bridgeville","PA","CoGo's","510 Station St","15017",40.35752632986959,-80.11033425821664
"15021","Burgettstown","PA","Petrucci's","120-136 S Main St","15021",40.38112844722216,-80.39335682498913
"15021","Burgettstown","PA","Cogos","not_available","15021",40.432037115097046,-80.434793
"15024","Cheswick","PA","Walmart Supercenter","2010 Village Center Dr","15084",40.56437047134469,-79.80371197599487
"15024","Cheswick","PA","Giant Eagle Express","2611 Freeport Rd","15238",40.537840598163186,-79.83886639500219
"15024","Cheswick","PA","Shop 'n Save","908 Little Deer Creek Valley Rd.","15076",40.60835904010628,-79.8334113366823
"15025","Clairton","PA","Giant Eagle Supermarket","800 McKeesport Rd","15037",40.27976726843713,-79.87552017713249
"15025","Clairton","PA","Giant Eagle Supermarket","9901 Mountain View Dr","15122",40.339489629188265,-79.95027171139083
"15025","Clairton","PA","Fresh Thyme Farmers Market","Clairton Blvd","15236",40.33015209852127,-79.94414282200137
"15025","Clairton","PA","ALDI","239 Clairton Blvd","15236",40.340041276105524,-79.95447949336267
"15025","Clairton","PA","DeCarlo's Market","not_available","15088",40.2785231348537,-79.87543914118062
"15025","Clairton","PA","Asia Grocery","not_available","15025",40.310628767878825,-79.93688167943826
"15025","Clairton","PA","Giant Eagle Supermarket","9901 Mountainview Drive","15122",40.3396703,-79.9497458
"15025","Clairton","PA","Shop N Save","old Clairton Rd","15236",40.324398,-79.95676
"15025","Clairton","PA","1787 Oil Vinegar - And More","212 S 3rd Ave","15037",40.271910999999996,-79.887438
"15026","Clinton","PA","Janoski's Farm And Greenhouse","1714 Route 30","15026",40.4916354652308,-80.33110969566332
"15026","Clinton","PA","DJ's Quick Stop and Bait Shop","Rte 30","15026",40.49712627545035,-80.36208051271097
"15030","Creighton","PA","Shop 'n Save","336 Central City Plz","15068",40.56398259211923,-79.76695853606469
"15037","Elizabeth","PA","Redemption Farms","2900 Schwirian Dr","15037",40.2309015,-79.81044039999999
"15042","Freedom","PA","Little Super","not_available","15042",40.698213261443215,-80.18902654944822
"15042","Freedom","PA","Fellowship Foods","864 Jackson Ave","15061",40.67648,-80.26359
"15042","Freedom","PA","Shop N Save","Freedom Road","16066",40.69164764441374,-80.16913394181135
"15043","Georgetown","PA","Nahas Grocery","102 W Midland Ave","15059",40.64302444458008,-80.46432495117188
"15043","Georgetown","PA","Pat's Market","2824 Route 30","15043",40.579800661979796,-80.48205307925141
"15044","Gibsonia","PA","Giant Eagle Supermarket","5600 William Flynn Highway","15044",40.636352478645634,-79.94184038058425
"15044","Gibsonia","PA","Giant Eagle Supermarket","9805 McKnight Rd","15237",40.584690856003476,-80.03795576516474
"15044","Gibsonia","PA","Walmart","300 Walmart Dr","15044",40.62322236427182,-79.94585222067082
"15044","Gibsonia","PA","Wagner's Market","4978 Middle Rd","15044",40.60508452942567,-79.92621409842802
"15044","Gibsonia","PA","ALDI","4578 Route 8 William Flynn Hwy","15101",40.58881847993166,-79.94851804759492
"15044","Gibsonia","PA","Shop'n Save","5375 William Flynn Hwy","15044",40.618919166834935,-79.94727660712371
"15044","Gibsonia","PA","shop and save","not_available","15237",40.58474371021944,-80.03562602465364
"15044","Gibsonia","PA","Buy Legal Weed 420 USA Cannabis Store Buy Real Weed For Sale Without Medical Card USA,CA, THC Oil UK","3526 Huntertown Rd","15101",40.6043479,-79.9126278
"15056","Leetsdale","PA","Giant Eagle Supermarket","5 Quaker Village Shopping Ctr","15056",40.55911484400099,-80.20370716508309
"15056","Leetsdale","PA","Giant Eagle Supermarket","5 Quaker Village S.C.","15056",40.5612296,-80.2040032
"15057","Mc Donald","PA","Market District Supermarket","100 Settlers Ridge Center Dr","15205",40.441701866547504,-80.15147066937195
"15057","Mc Donald","PA","Shop 'n Save","600 Market Place Dr","15071",40.440257021495974,-80.24097780357734
"15057","Mc Donald","PA","Giant Eagle Supermarket","200 Station St","15057",40.367195,-80.23609
"15057","Mc Donald","PA","Curbside Express","not_available","15136",40.44146,-80.15162
"15057","Mc Donald","PA","Charles E Kelly Commissary","not_available","15071",40.3965730581048,-80.16035496235521
"15057","Mc Donald","PA","C.E. Kelly SF (Oakdale) Commissary","1 Carey Rd","15071",40.396491151310045,-80.1603372482301
"15061","Monaca","PA","Taromina's Market","1301 Pennsylvania Ave","15061",40.689492,-80.275432
"15063","Monongahela","PA","Giant Eagle Supermarket","1300 Country Club Rd","15063",40.172135065890195,-79.91612419028
"15063","Monongahela","PA","Giant Eagle Pharmacy","1300 Country Club Road","15063",40.17219924926758,-79.916748046875
"15065","Natrona Heights","PA","Walmart Supercenter","100 Highlands Mall","15065",40.64668089562269,-79.71233357572004
"15065","Natrona Heights","PA","Community Supermarket","1710 Pacific Ave","15065",40.62116500846983,-79.72431913978973
"15065","Natrona Heights","PA","Save-A-Lot","1730 Union Ave","15065",40.621393,-79.723494
"15068","New Kensington","PA","Community Supermarket","1117 Milltown Rd","15147",40.49847166420431,-79.79030623333958
"15068","New Kensington","PA","Giant Eagle Supermarket","200 Tarentum Bridge Road","15068",40.59245058241938,-79.75021009659737
"15068","New Kensington","PA","Golden Dawn","2201 Freeport Rd","15068",40.5856469398474,-79.7569790628171
"15068","New Kensington","PA","ALDI","2515 Leechburg Rd","15068",40.58873059382572,-79.74550858139992
"15068","New Kensington","PA","Community Supermarket","3220 Leechburg Rd","15068",40.5831379585324,-79.71021452447722
"15068","New Kensington","PA","community market","not_available","15068",40.58638795176819,-79.74424014381276
"15068","New Kensington","PA","Freedom farms cafe","4323 Shearsburg Road","not_available",40.61341576326651,-79.6649594286854
"15068","New Kensington","PA","Save-A-Lot","125 Logans Ferry Rd","15068",40.55122311007279,-79.75709962224605
"15071","Oakdale","PA","Walmart Supercenter","250 Summit Park Dr","15275",40.44782631448559,-80.17606056498146
"15074","Rochester","PA","Shop 'n Save","750 Ohio River Blvd. (Rte 65)","15074",40.70020733409865,-80.27159880729424
"15085","Trafford","PA","Shop 'n Save","4548 Broadway Blvd","15146",40.38964238219247,-79.76652646701397
"15086","Warrendale","PA","Giant Eagle Supermarket","20111 Route 19","16066",40.68067005192505,-80.10191677441092
"15086","Warrendale","PA","ALDI","not_available","16066",40.68222584599231,-80.10293492280373
"15086","Warrendale","PA","Labriola's Italian Market","112 Northgate Dr","15086",40.65053388823239,-80.07824198130338
"15090","Wexford","PA","Whole Foods Market","10576 Perry Highway","15090",40.61223845053497,-80.05303943409233
"15090","Wexford","PA","Market District","155 Towne Centre Dr","15090",40.632136385070886,-80.05452560468869
"15090","Wexford","PA","Soergel Orchards","2573 Brandt School Rd","15090",40.614095774842234,-80.09234896219542
"15090","Wexford","PA","T-Bones","100 V.I.P.Drive","15090",40.59508653147184,-80.09424053622888
"15090","Wexford","PA","ALDI","11800 Perry Hwy","15090",40.6299033740824,-80.05570203065872
"15090","Wexford","PA","Giant Eagle Supermarket","9805 McKnight Road","15237",40.5847057,-80.0396431
"15090","Wexford","PA","T-Bones Market Place","100 Vip Dr #101","15090",40.61671749324342,-80.09316720820834
