"zip","city","state","name","address","postalCode","lat","lon"
"75001","Addison","TX","Whole Foods Market","5100 Belt Line Road, Suite 1012","75254",32.95318325066417,-96.82118894584136
"75001","Addison","TX","Kroger","3770 Belt Line Rd","75001",32.9505342,-96.8528572
"75001","Addison","TX","iV Bars of Addison","3939 Beltline Rd Suite 110","75001",32.9539199,-96.84878
"75002","Allen","TX","Walmart Supercenter","730 W Exchange Pkwy","75013",33.11938081129801,-96.67256292660196
"75002","Allen","TX","Kroger","1210 N Greenville Ave","75002",33.1159904,-96.6498817
"75002","Allen","TX","Market Street","985 W Bethany Dr","75013",33.089635942338106,-96.68471932411194
"75002","Allen","TX","Walmart Supercenter","2662 W Lucas Rd","75002",33.088310640183586,-96.61850921867214
"75002","Allen","TX","Whole Foods Market","105 Stacy Road","75069",33.13097125726671,-96.65650172667111
"75002","Allen","TX","Kroger","1212 E Bethany Dr","75002",33.0829117,-96.644842
"75002","Allen","TX","Target","907 W McDermott Dr","75013",33.09954,-96.68129
"75002","Allen","TX","Walmart Neighborhood Market","1400 Mccreary Road","75098",33.034448877046955,-96.59389471332793
"75002","Allen","TX","Walmart Neighborhood Market","1520 E Exchange Pkwy","75002",33.11418248386787,-96.62973704260524
"75002","Allen","TX","Tom Thumb","900 W McDermott Dr","75013",33.10310003405277,-96.68295635841787
"75002","Allen","TX","ALDI","1730 N Greenville Ave","75002",33.128117,-96.645033
"75002","Allen","TX","Kroger Click List Allen","not_available","75002",33.115635,-96.650697
"75002","Allen","TX","Sprouts Farmer's Market","265 West Exchange Parkway","75013",33.1164526,-96.6695542
"75002","Allen","TX","Brookshires","not_available","75098",33.03830317712688,-96.56039929775395
"75002","Allen","TX","Pride Food Store","not_available","not_available",33.086502,-96.670699
"75002","Allen","TX","Desi Bazaar","Greenville","75002",33.086502,-96.670699
"75002","Allen","TX","Walmart Grocery Pickup","1400 McCreary Road","75098",33.034312,-96.593446
"75006","Carrollton","TX","Super H-Mart","2625 Old Denton Rd","75007",32.98499026997583,-96.91196632132015
"75006","Carrollton","TX","Walmart Garden Center","1213 E Trinity Mills Rd","75006",32.985437359081686,-96.90558247416207
"75006","Carrollton","TX","WinCo Foods","2620 N Josey Ln","75007",32.98669681448198,-96.88916788920085
"75006","Carrollton","TX","Walmart Supercenter","4122 Lbj Freeway","75244",32.9199438,-96.8518049
"75006","Carrollton","TX","Albertsons","2150 N Josey Ln","75006",32.9742878,-96.8884235
"75006","Carrollton","TX","Walmart Neighborhood Market","13100 Josey Ln","75234",32.92353423751217,-96.88053517887636
"75006","Carrollton","TX","Quick Mart Indian Grocery","not_available","75007",32.986687,-96.910231
"75006","Carrollton","TX","El Ahorro Supermarket","1927 E Belt Line Rd","75006",32.955174,-96.88824
"75006","Carrollton","TX","Fiesta Mart","1235 S Josey Ln","75006",32.950436257215294,-96.8894960751048
"75006","Carrollton","TX","IndoPak Super Market","2548 Dickerson Pkwy","75006",32.982457006674856,-96.9195691291352
"75006","Carrollton","TX","Vietnam Plaza Supermarket","not_available","75006",32.954943256397016,-96.88900119170314
"75007","Carrollton","TX","Walmart Supercenter","18121 Marsh Ln","75287",32.995328093372486,-96.857534244857
"75007","Carrollton","TX","Kroger","3939 Frankford Rd","75287",32.99811907032441,-96.84592982801438
"75007","Carrollton","TX","Kroger","4038 Old Denton Rd","75007",33.01964,-96.9132498
"75007","Carrollton","TX","Walmart Neighborhood Market","4025 Old Denton Rd","75007",33.018299430160276,-96.91598430438272
"75007","Carrollton","TX","Tom Thumb","4112 N Josey Ln","75007",33.0235502,-96.8833764
"75007","Carrollton","TX","Carrollton Plaza Supermarket","3040 N Josey Ln","75007",32.99816260378172,-96.88542457933399
"75007","Carrollton","TX","ALDI","3044 Old Denton Rd","75007",32.9976788,-96.9079825
"75007","Carrollton","TX","ALDI","3632 Frankford Rd Ste 200C","75287",32.9959558,-96.854238
"75007","Carrollton","TX","Sprouts Farmers Market","1745 E Hebron Pkwy, Ste 200","75010",33.02550890908342,-96.88858330249786
"75007","Carrollton","TX","Rosemeade Market & Greenhouse","3646 Rosemeade Pkwy","75287",33.01144834917845,-96.85483924912107
"75007","Carrollton","TX","R&J Asian Spices","3108 Old Denton Rd, Carrollton, TX 75007","75007",32.9993782043457,-96.90924072265625
"75007","Carrollton","TX","Spice Valley","3108 Old Denton Rd","75007",32.999338,-96.90909599999999
"75007","Carrollton","TX","National Imports","1910 E Trinity Mills Rd Ste 108","75006",32.991786,-96.888609
"75009","Celina","TX","Brookshire's","675 Sunset Blvd","75009",33.312925351403855,-96.77780456535008
"75010","Carrollton","TX","Kroger Marketplace","4620 State Highway 121","75056",33.0622422,-96.8890778
"75010","Carrollton","TX","ALDI","6150 N Josey Ln","75056",33.0614369,-96.8856342
"75010","Carrollton","TX","Castle Hills Village Plaza","2500 King Arthur Blvd","75056",33.03530763092749,-96.89503922270174
"75013","Allen","TX","Walmart Supercenter","5001 Mckinney Ranch Pkwy","75070",33.15640765581234,-96.68263928205606
"75013","Allen","TX","Walmart Supercenter","16066 State Highway 121","75035",33.12803436843613,-96.73616637074198
"75013","Allen","TX","ALDI","8801 Stacy Rd","75070",33.15191784343974,-96.73108703712602
"75013","Allen","TX","Tom Thumb","7801 Alma Dr","75025",33.0830414,-96.7138653
"75013","Allen","TX","Kroger","1320 W McDermott Dr","75013",33.10248674906204,-96.70049875974655
"75013","Allen","TX","Sprouts Farmers Market","1265 W Exchange Pkwy","75013",33.1142606461363,-96.69737028772943
"75013","Allen","TX","Patel Brothers","8720 State Highway 121","75070",33.128929,-96.728915
"75013","Allen","TX","Braum's Ice Cream & Burger Restaurant","1222 W McDermott Drive","75013",33.10130584,-96.69704781
"75013","Allen","TX","Walmart Grocery Pickup and Delivery","5001 McKinney Ranch Pkwy","75070",33.1568368,-96.6829674
"75019","Coppell","TX","Market Street","700 N Denton Tap Rd","75019",32.980607545047654,-97.00689286357638
"75019","Coppell","TX","Kroger","950 E Sandy Lake Rd","75019",32.9707789,-96.9609582
"75019","Coppell","TX","Tom Thumb","106 N Denton Tap Rd","75019",32.9707557,-96.9921587
"75019","Coppell","TX","Sprouts Farmers Market","110 W Sandy Lake Rd, Ste 100","75019",32.97060890762165,-96.99556589126587
"75019","Coppell","TX","Natural Grocers","120 S Denton Tap Rd Suite 300","75019",32.96852638616628,-96.99244366067727
"75019","Coppell","TX","Indian supermarket","not_available","75063",32.933273,-96.951369
"75019","Coppell","TX","The Pantry","not_available","75019",32.977057,-96.965016
"75020","Denison","TX","Brookshire's","11205 N Hwy 289","75076",33.76537267543602,-96.67902987631275
"75020","Denison","TX","Walmart Supercenter","401 N Us Highway 75","75020",33.75942375335786,-96.58749547340862
"75020","Denison","TX","Albertsons","200 W Crawford St","75020",33.7523902,-96.5379367
"75020","Denison","TX","Ice House America","not_available","75076",33.763611,-96.672419
"75020","Denison","TX","Kroger","815 W Crawford St","75020",33.75426415910672,-96.54703080654144
"75022","Flower Mound","TX","Tom Thumb","4301 Cross Timbers Rd","75028",33.0399075,-97.0972478
"75022","Flower Mound","TX","Kroger","1101 Flower Mound Rd","75028",33.009625,-97.0469303
"75022","Flower Mound","TX","Market Street","3800 Long Prairie Rd","75028",33.0373475428457,-97.0679653684906
"75022","Flower Mound","TX","Kroger","2709 Cross Timbers Rd","75028",33.03471084455643,-97.07209066317773
"75022","Flower Mound","TX","Walmart Neighborhood Market","2800 Flower Mound Rd","75022",33.01568707000608,-97.07204867110632
"75022","Flower Mound","TX","Sprouts Farmers Market","2301 Cross Timbers Rd, #200","75028",33.03339973240425,-97.0643350481987
"75022","Flower Mound","TX","Braum's Ice Cream & Burger Restaurant","1025 Cross Timbers Road","75028",33.0419866,-97.0427948
"75022","Flower Mound","TX","The Market At Lakeside","not_available","75022",32.993872,-97.066347
"75023","Plano","TX","Walmart Supercenter","6001 N Central Expy","75023",33.05576551018384,-96.6978412156676
"75023","Plano","TX","Kroger","2925 Custer Rd","75075",33.0389452,-96.7348536
"75023","Plano","TX","Walmart Neighborhood Market","3100 Custer Rd","75075",33.03955570613217,-96.73183096241911
"75023","Plano","TX","Kroger","7100 Independence Pkwy","75025",33.0734101,-96.7486109
"75023","Plano","TX","Mitsuwa Marketplace","100 Legacy Dr #110","75023",33.06691607582623,-96.6932560654441
"75023","Plano","TX","H Mart","3320 K Ave","75074",33.03901155695478,-96.69705910986846
"75023","Plano","TX","Tom Thumb","3945 Legacy Dr","75023",33.0740407,-96.7706345
"75023","Plano","TX","Walmart Supercenter","6000 Coit Rd","75023",33.05547193369571,-96.76786793458808
"75023","Plano","TX","Jusgo Supermarket","240 Legacy Dr Ste 200","75023",33.067529909717486,-96.69548052902324
"75023","Plano","TX","Tom Thumb","3100 Independence Pkwy","75075",33.0390418,-96.7523111
"75023","Plano","TX","Patel Brothers Indian Supermarket","6205 Coit Rd","75024",33.05812209025864,-96.7715483668181
"75023","Plano","TX","India Bazaar Chaat Express","832 W Spring Creek Pkwy","75023",33.05580390244664,-96.70884555172235
"75023","Plano","TX","Shop Minoya","3115 Parker Road w 1a","75023",33.04224880556484,-96.75432032847078
"75023","Plano","TX","kiosk Brazil","not_available","75023",33.04210925979952,-96.71326200556395
"75023","Plano","TX","B & W Grocery","3203 Independence Pkwy","75075",33.039915,-96.755206
"75023","Plano","TX","Shredded Supplements","1201 E Spring Creek Pkwy","75074",33.058384999999994,-96.691464
"75023","Plano","TX","Braum's Ice Cream & Burger Restaurant","2005 W Parker Rd","75023",33.04200029,-96.73285292
"75023","Plano","TX","Oasis International Market","6150 Independence Pkwy","75023",33.058927000000004,-96.749399
"75023","Plano","TX","zTAO Marketplace","240 Legacy Dr #200","75023",33.068239980660465,-96.69614553451538
"75023","Plano","TX","Star Meat","700 W Spring Creek Pkwy","75023",33.056608000000004,-96.70689300000001
"75024","Plano","TX","Walmart Supercenter","8801 Ohio Dr","75024",33.09706943212229,-96.79933386929854
"75024","Plano","TX","99 Ranch Market","9292 Warren Pkwy","75035",33.11011285829102,-96.80315999472931
"75024","Plano","TX","Patel Brothers Frisco","2787 Preston Rd Ste 1150","75034",33.10224802586484,-96.80725539701497
"75024","Plano","TX","Sprouts Farmers Market","4100 E Legacy Dr, #401","75024",33.06971449118448,-96.77336633205408
"75024","Plano","TX","Legacy Mart","7200 Bishop Rd Ste D1","75024",33.07600926954705,-96.82026207833678
"75024","Plano","TX","India Bazaar","8450 Angels Dr","75024",33.09323948094771,-96.80213521345175
"75024","Plano","TX","Market On The Square","6910 Windhaven Pkwy","75056",33.055002148719964,-96.84829929921402
"75024","Plano","TX","Whole Foods","not_available","75024",33.07778176083652,-96.81843373377832
