"zip","city","state","name","address","postalCode","lat","lon"
"84003","American Fork","UT","Walmart Supercenter","949 W Grassland Dr","84003",40.38504480542689,-111.82500630651747
"84003","American Fork","UT","Smith's","1550 E 3500 N","84043",40.4297205,-111.8243999
"84003","American Fork","UT","Fresh Market","135 E Main St","84003",40.378045317114804,-111.7949777002456
"84003","American Fork","UT","Walmart Supercenter","585 N State St","84042",40.3487334256237,-111.73180488921234
"84003","American Fork","UT","Walmart Supercenter","4689 W Cedar Hills Dr","84062",40.416440818333825,-111.77068408845508
"84003","American Fork","UT","Walmart Neighborhood Market","1707 West State Street","84062",40.36771655152949,-111.76529563592108
"84003","American Fork","UT","Macey's","931 W State Rd","84062",40.36492986463082,-111.75418191135934
"84003","American Fork","UT","Smith's","210 E 700 S","84062",40.3538096,-111.7375228
"84003","American Fork","UT","Ridley's","5353 W 11000 N","84003",40.43139972630165,-111.78633615625706
"84003","American Fork","UT","Macey's","760 E Main St","84043",40.38679355650738,-111.8371589509504
"84003","American Fork","UT","Kohler's","300 E Main St","84043",40.38735856799356,-111.84425377988886
"84003","American Fork","UT","Daily Bread","1464 W 40 S","84042",40.33787536621094,-111.75159454345703
"84003","American Fork","UT","Rain International","825 E 1180 S #310","84003",40.3530442,-111.77585950000002
"84003","American Fork","UT","La Chiquita Supermarket","400 east","not_available",40.375001384297754,-111.78839725603046
"84003","American Fork","UT","Tabitha's Way","920 E State Rd Ste C","84003",40.370174407958984,-111.77296447753906
"84003","American Fork","UT","Don Ramon Market","not_available","84003",40.374979987254754,-111.78825169815727
"84003","American Fork","UT","Vyne Fresh","1325 S 500 E Ste 319","84003",40.3502037,-111.7834974
"84003","American Fork","UT","Walmart Grocery Pickup","1707 W State Rd","84062",40.3692789398281,-111.765267621777
"84003","American Fork","UT","Family Storehouse Food Storage","456 E State Rd","84003",40.373390197753906,-111.78661346435547
"84003","American Fork","UT","Herbs For Health","399 E State Rd #2","84062",40.354298,-111.73399099999999
"84003","American Fork","UT","Macey's","3981 Wasatch Boulevard Olympus Hills Shopping Center","84124",40.43228162414314,-111.78911805152893
"84005","Eagle Mountain","UT","Ridley's Market","not_available","not_available",40.36362528975392,-111.96628380577955
"84010","Bountiful","UT","Smith's","555 S 200 W","84010",40.88170016747443,-111.88385099172592
"84010","Bountiful","UT","Smith's","614 W 2600 S","84010",40.863519229075635,-111.89797049073792
"84010","Bountiful","UT","Dick's Fresh Market","2280 S Orchard","84010",40.86523410219744,-111.88077277659713
"84010","Bountiful","UT","Natural Grocers","55 W 500 S","84010",40.88439063656987,-111.8816699796161
"84010","Bountiful","UT","Winegar's Supermarket","3371 Orchard Dr","84010",40.85325936221712,-111.89464189003854
"84010","Bountiful","UT","Take Two Nutrition","1430 S 500 W","84010",40.87570789999999,-111.8926514
"84010","Bountiful","UT","Smith's Grocery Pickup and Delivery","614 West 2600 South","84010",40.863121032714844,-111.89803314208984
"84010","Bountiful","UT","Fresh Market","535 S 200 W","84010",40.883489529589774,-111.88415606357951
"84010","Bountiful","UT","Fresh Market","535 W 500 S","84010",40.88392639160156,-111.89369201660156
"84014","Centerville","UT","Walmart Supercenter","221 W Parrish Ln","84014",40.91934538825795,-111.88362191745594
"84014","Centerville","UT","Dick's Fresh Market","84 W Parrish Ln","84014",40.922195925603546,-111.88065920362162
"84014","Centerville","UT","Fresh Market","not_available","84014",40.921427214019104,-111.89207426046185
"84015","Clearfield","UT","Walmart Supercenter","1632 N 2000 W","84015",41.13743384,-112.0617464
"84015","Clearfield","UT","Smith's","2353 N Main St","84015",41.14793482453184,-112.02869562199339
"84015","Clearfield","UT","Walmart Supercenter","2228 W 1700 S","84075",41.09054172109087,-112.06929737603485
"84015","Clearfield","UT","Smith's","217 N 2000 W","84015",41.11672314463331,-112.06740818596859
"84015","Clearfield","UT","Smith's","951 W 1700 S","84075",41.0881194,-112.044272
"84015","Clearfield","UT","Kents Market","not_available","84015",41.104600263756375,-112.01792087558798
"84015","Clearfield","UT","Macey's","2062 W 1800 N","84015",41.14129792302064,-112.06611627865034
"84015","Clearfield","UT","Winegar's Supermarket","1080 W 300 N","84015",41.119890861448525,-112.04838262753236
"84015","Clearfield","UT","Macey's","580 S State St","84015",41.104671478271484,-112.01822662353516
"84017","Coalville","UT","Nena's","47 Main St.","not_available",40.915421,-111.397866
"84017","Coalville","UT","Griffith's Food Towne","50 N Main St","84017",40.917572021484375,-111.39906311035156
"84020","Draper","UT","Harmons Grocery","125 E 13800 S","84020",40.50196498427492,-111.88689416442533
"84020","Draper","UT","Harmons Grocery","672 E 11400 S","84020",40.54234977697057,-111.87266679996006
"84020","Draper","UT","Smith's","212 E 12300 S","84020",40.5256397,-111.8850911
"84020","Draper","UT","Walmart Neighborhood Market","1360 Draper Pkwy","84020",40.526729163023234,-111.85221820597503
"84020","Draper","UT","Fresh Market","12300 S.","not_available",40.527094541105185,-111.88498863938698
"84020","Draper","UT","Honey Bee Produce Company","not_available","84020",40.527948,-111.85638
"84020","Draper","UT","Macey's","1212 E Draper Pkwy","84020",40.527497,-111.856034
"84021","Duchesne","UT","Als Food Town","not_available","84021",40.163827594758104,-110.39561784727299
"84022","Dugway","UT","Dugway PG Commissary","BLDG. 5114 SECOND STREET","84022",40.222499657783366,-112.74453837007653
"84023","Dutch John","UT","Flaming Gorge Resort","1100 Flaming Gorge Ldg","84023",40.88473129272461,-109.4573974609375
"84025","Farmington","UT","Smith's","1316 N Highway 89","84025",41.00235885118128,-111.90669269875798
"84025","Farmington","UT","Harmons","200 N Station Pkwy","84025",40.984168754739144,-111.90335724109617
"84025","Farmington","UT","Sitka Vending","1123 Fairway Cir","84025",40.998956,-111.918522
"84029","Grantsville","UT","Soelbergs Market","213 E Main St","84029",40.58285804663423,-112.4699941277504
"84032","Heber City","UT","Kamas Food Town","145 W 200 S","84036",40.64038271108739,-111.28385879377538
"84032","Heber City","UT","Smith's","550 N Main St","84032",40.515034867432,-111.41118943691254
"84032","Heber City","UT","Walmart Supercenter","1274 S Us 189","84032",40.493618251284296,-111.41750501906758
"84032","Heber City","UT","Natural Grocers","989 S. Main Street","84032",40.49466105853254,-111.4125144481659
"84032","Heber City","UT","The Store- Midway","not_available","84049",40.512841013722856,-111.47327154001752
"84032","Heber City","UT","Lee’s Marketplace","890 S Main St","84032",40.49619674682617,-111.41503143310547
"84032","Heber City","UT","Real Foods Market","not_available","84032",40.50880501190051,-111.41415385440682
"84037","Kaysville","UT","Smith's","1370 W 200 N","84037",41.0402724,-111.9663311
"84037","Kaysville","UT","Bowman's Market","326 N Main St","84037",41.041224629191106,-111.94097086619193
"84037","Kaysville","UT","Smith's","1170 E Gentile St","84040",41.06035352995406,-111.94352343678474
"84037","Kaysville","UT","Arce Market La Favorita","53 N Fort Ln","84041",41.060934,-111.95809799999999
"84037","Kaysville","UT","Fresh Market","200 N Main St.","not_available",41.03863755401706,-111.94082725380632
"84037","Kaysville","UT","Fresh Market","not_available","84037",41.060921309991365,-111.96407670736811
"84040","Layton","UT","Walmart Supercenter","745 W Hill Field Rd","84041",41.06861377710947,-111.97927951949161
"84040","Layton","UT","Walmart Neighborhood Market","1356 E Highway 193","84040",41.100163716535874,-111.94053280863659
"84040","Layton","UT","Fresh Market","910 N Fairfield Rd","84041",41.07327318785728,-111.94870948791504
"84040","Layton","UT","Hill AFB Commissary","7451 6th St","84056",41.10995223762323,-111.98485978247302
"84040","Layton","UT","Harvest Moon Healthfoods","not_available","84041",41.077819446303195,-111.98607828798156
"84040","Layton","UT","Gluten Free Foods","400 W 1596 N","not_available",41.083722,-111.973037
"84040","Layton","UT","Thai Market","1986 N Hill Field Rd #7A","84041",41.08870315551758,-111.97283172607422
"84040","Layton","UT","Big Lots","1030 N Main St","84041",41.07559093559383,-111.97961991106479
"84043","Lehi","UT","Walmart Supercenter","136 W State Road 73","84045",40.38931007327949,-111.9194025026556
"84043","Lehi","UT","Harmons Grocery","3450 N Triumph Blvd","84043",40.43340686612135,-111.87848384934372
"84043","Lehi","UT","Smith's","689 N Redwood Rd","84045",40.3744343,-111.9189561
"84044","Magna","UT","Smith's","8055 W 3500 S","84044",40.6951888323454,-112.08389520181197
"84044","Magna","UT","Rancho Market","8177 W 3500 S","84044",40.696284,-112.08631
"84044","Magna","UT","Reams","7235 W 3500 S","84044",40.695220235904046,-112.06408470869064
"84044","Magna","UT","Fresh Market","not_available","84044",40.69715223,-112.08395188
"84044","Magna","UT","Walmart Neighborhood Market","3555 S. 8400 W.","84044",40.69510594421166,-112.08987759723384
"84047","Midvale","UT","WinCo Foods","7020 S 700 W","84047",40.6240577387587,-111.91118958841763
"84047","Midvale","UT","Trader Joe's","6989 S 1300 E","84047",40.62417447280947,-111.85416552958102
"84047","Midvale","UT","Smith's","980 E Fort Union Blvd","84047",40.6216075,-111.8635549
"84047","Midvale","UT","Harmons Grocery","7755 S 700 E","84047",40.6104651533656,-111.8708552950809
"84047","Midvale","UT","Walmart Supercenter","7250 Union Park Ave","84047",40.61999307953036,-111.85869804840827
"84047","Midvale","UT","Good Earth Natural Foods","7905 S 700 E","84070",40.6072073155184,-111.87160356840816
"84047","Midvale","UT","Macey's","7850 S 1300 E","84094",40.608903445366515,-111.85482486163198
"84047","Midvale","UT","All Seasons Market","8767 S 700 E","84070",40.59203338623047,-111.87184143066406
"84047","Midvale","UT","Fresh Market","not_available","84047",40.62424421310425,-111.85432255268097
"84047","Midvale","UT","Brazilian Flavors","6546 S State St","84107",40.629815,-111.890305
"84047","Midvale","UT","Sevillo Fine Foods","7000 S Cottonwood St","84047",40.624216,-111.900168
"84047","Midvale","UT","Assosiated Fresh Market","not_available","84121",40.6231,-111.85798
"84047","Midvale","UT","The Water Store","not_available","84070",40.6091330037648,-111.872347
"84047","Midvale","UT","Smokeland","7948 S State","84047",40.60691,-111.891425
"84050","Morgan","UT","Ridley's","not_available","84050",41.04410453476793,-111.67772526920186
"84057","Orem","UT","WinCo Foods","895 N 980 W","84057",40.31398856539485,-111.72055812946866
"84057","Orem","UT","Smith's","45 S State St","84058",40.2964921,-111.6917112
"84057","Orem","UT","El Mexicano Market","450 N State St","84057",40.307115790128435,-111.69891798394875
"84057","Orem","UT","Macey's","880 N State St","84057",40.31288206870959,-111.70065194189564
"84057","Orem","UT","Bollywood Market","186 W Center St","84057",40.297596999999996,-111.70036499999999
"84057","Orem","UT","Super Hispano","192 W Center St","84057",40.297576904296875,-111.70063018798828
"84057","Orem","UT","Real Foods Market","420 W 800 N","84057",40.31307076005429,-111.70617191615834
"84057","Orem","UT","Eden Valley Farms","1145 N State St","84057",40.318224,-111.705005
"84057","Orem","UT","Three Sisters Indian Market","not_available","84057",40.29736,-111.70026
"84058","Orem","UT","Trader Joe's","440 East Park Avenue","84097",40.276041,-111.68494
"84058","Orem","UT","Walmart Supercenter","1355 Sandhill Rd","84058",40.27305076670936,-111.7109808698246
"84058","Orem","UT","Sprouts Farmers Market","1375 S State Street","84097",40.271800612389605,-111.68257534503937
"84058","Orem","UT","Good Earth Natural Foods","500 S State St","84058",40.28811865475,-111.69155610601067
"84060","Park City","UT","Fresh Market","1800 Park Ave.","84060",40.65933673937105,-111.50720615336743
"84060","Park City","UT","The Market at Park City","1500 Snow Creek Dr","84060",40.66198995639453,-111.5092234659394
"84060","Park City","UT","Mountain Town Olive Oil","613 Main Street","84060",40.64598557071027,-111.49714091193631
"84060","Park City","UT","Park City Grocery Express","2375 Doc Holiday Dr","84060",40.66759,-111.49057
"84060","Park City","UT","copps produce","Main St","not_available",40.64478302001953,-111.49652862548828
"84060","Park City","UT","Stacey’s Grocery Services","1725 W Uintah","84060",40.6823064,-111.4835127
"84064","Randolph","UT","Randolph Country Store","468 S Main St","84064",41.656318,-111.184082
"84065","Riverton","UT","Walmart Supercenter","13502 Hamilton View Rd","84065",40.505554115426996,-111.97770565310934
"84065","Riverton","UT","Peterson's Marketplace","1784 W 12600 S","84065",40.523563924364396,-111.94057703018188
"84065","Riverton","UT","Walmart Neighborhood Market","1202 West 12600 South","84065",40.523391,-111.92598899999999
"84065","Riverton","UT","Walmart Grocery Pickup","1202 W 12600 S","84065",40.5234834963698,-111.922168295024
"84066","Roosevelt","UT","IGA Davis Jubilee","750 E 200 N","84066",40.30202102661133,-109.98059844970703
"84067","Roy","UT","Harmons Grocery","5370 S 1900 W","84067",41.16628820640572,-112.02451096000898
"84067","Roy","UT","Ocean Mart","5651 S 1900 W","84067",41.16100632676043,-112.02772101042926
"84067","Roy","UT","WinCo Foods","6060 S 3500 W","84067",41.15318034246634,-112.06240701629865
"84067","Roy","UT","Winegar's Supermarket","3440 W 4800 S","84067",41.17696775212415,-112.06288284738449
"84067","Roy","UT","Kent's Market","3535 W 5600 S","84067",41.162684519927645,-112.06577589405042
"84070","Sandy","UT","Walmart Supercenter","11328 S Jordan Gtwy","84095",40.54583995172043,-111.90111557496202
"84070","Sandy","UT","Reams","10650 S 700 E","84094",40.557430295829654,-111.87334637710057
"84070","Sandy","UT","House of Cards Inc","33 W 10600 S","84070",40.5588039,-111.89206969999998
"84074","Tooele","UT","Walmart Supercenter","99 W 1280 N","84074",40.55604418338253,-112.30045944198616
"84074","Tooele","UT","Lucky's","not_available","84074",40.544174,-112.296425
"84074","Tooele","UT","Soelbergs Market","6727 N Sr36 Hwy","84074",40.650595227366736,-112.28794455528258
"84074","Tooele","UT","Macey's","972 N Main St","84074",40.54936229631856,-112.29650501937758
"84074","Tooele","UT","Albertsons","740 N Main St","84074",40.54453838109414,-112.29638814926147
"84078","Vernal","UT","Smith's","1080 W Highway 40","84078",40.45272773377958,-109.54781861619273
"84078","Vernal","UT","Walmart Supercenter","1851 W Highway 40","84078",40.43867406,-109.5636225
"84078","Vernal","UT","IGA Davis Jubilee","575 W Main St","84078",40.45489219946107,-109.53909968145403
"84078","Vernal","UT","Basin  Clean & Home Survival","54 N Vernal Ave","84078",40.456451,-109.528152
"84081","West Jordan","UT","Walmart Supercenter","5675 W 6200 S","84118",40.636256369514705,-112.0262617637303
"84081","West Jordan","UT","Harmons Grocery","4872 W 6200 S","84081",40.639224478471824,-112.00683268165832
"84081","West Jordan","UT","Smith's","5710 W 7800 S","84081",40.611273,-112.0268925
"84081","West Jordan","UT","Harmons","not_available","84081",40.625106592500245,-112.04241766603351
"84083","Wendover","UT","Daves Supermart","100 wendover blvd","not_available",40.736026763916016,-114.0462875366211
"84084","West Jordan","UT","Walmart Supercenter","7671 S 3800 W","84084",40.61144887519337,-111.97829129454283
"84084","West Jordan","UT","Smith's","7061 S Redwood Rd","84084",40.622928999561154,-111.93682998418808
"84084","West Jordan","UT","Ream's","3665 Bennion Blvd.","84118",40.63769881726829,-111.97888223341707
"84084","West Jordan","UT","Lucky","6936 S Redwood Rd","84084",40.6252456,-111.9404041
"84084","West Jordan","UT","La Cantera Market","3078 W 7800 S","84088",40.609920843077674,-111.96553230285643
"84087","Woods Cross","UT","Clem's","1881 Redwood Rd, Woods Cross, UT 84087","84087",40.866769085768794,-111.93360378217463
"84087","Woods Cross","UT","Harmons","2000 North Station Parkway","84025",40.872358,-111.935199
"84087","Woods Cross","UT","Flexpak","1894 W 2425 S","84087",40.864810999999996,-111.932483
"84088","West Jordan","UT","Macey's","7859 S 3200 W","84088",40.60861935009347,-111.96600885497712
"84088","West Jordan","UT","Smith's","1820 W 9000 S","84088",40.58954797446049,-111.94093647663976
"84088","West Jordan","UT","Smith's","4080 W 9000 S","84088",40.5888693,-111.9874284
"84088","West Jordan","UT","Ream’s Food Stores","2640 W 9000 S","84088",40.58840835961135,-111.95650894525541
"84088","West Jordan","UT","WiO Diet","8100 S 1300 W Ste A","84088",40.604045,-111.9298566
"84092","Sandy","UT","Smith's","2039 E 9400 S","84093",40.5816756,-111.8328451
"84092","Sandy","UT","Smith's","10305 S 1300 E","84094",40.56376412260895,-111.85132384300232
"84092","Sandy","UT","Ream's","8725 S Highland Dr","84093",40.5926698104877,-111.8318966884211
"84092","Sandy","UT","Fresh Market","1860 E 9400 S","84093",40.579214115428464,-111.83766206628974
"84093","Sandy","UT","Smith's","3470 Bengal Blvd","84121",40.60808444629264,-111.79695279928632
