"zip","city","state","name","address","postalCode","lat","lon"
"53002","Allenton","WI","Nature's Garden","6901-7099 Wisconsin 175","53002",43.44627472,-88.392287
"53005","Brookfield","WI","Pick 'n Save","12735 W Capitol Dr","53005",43.0871,-88.0706848
"53005","Brookfield","WI","Fresh Thyme Farmers Market","17300 W Bluemound Rd","53045",43.0375695,-88.1275365
"53005","Brookfield","WI","Trader Joe's","12665 W. Bluemound Rd","53005",43.03571375087599,-88.07039035046951
"53005","Brookfield","WI","Pick 'n Save","17295 W Capitol Dr","53045",43.0887629,-88.1268158
"53005","Brookfield","WI","Piggly Wiggly","2315 N 124th St","53005",43.060485841295936,-88.0679876060334
"53005","Brookfield","WI","Pick 'n Save","15170 W Greenfield Ave","53005",43.0176277,-88.101654
"53005","Brookfield","WI","Sendik's Elm Grove","13425 Watertown Plank Rd","53122",43.04187347202015,-88.0783600426156
"53005","Brookfield","WI","Pick 'n Save","2205 N Calhoun Rd","53005",43.058823,-88.1286621
"53005","Brookfield","WI","Sendik's Food Market","13950 W North Ave","53005",43.06095648450832,-88.08530530892811
"53005","Brookfield","WI","Hampton apartment country Store","not_available","not_available",43.10417556762695,-88.07477569580078
"53006","Brownsville","WI","Hoff’s Red Owl & Quality Meats","617 Main St.","53006",43.61627209986721,-88.49191359104606
"53010","Campbellsport","WI","Piggly Wiggly","940 Fond du Lac Ave","53040",43.512719125603105,-88.22169569776291
"53010","Campbellsport","WI","Piggly Wiggly","450 Grandview Ave","53010",43.602420806884766,-88.27970886230469
"53010","Campbellsport","WI","Piggly Wiggly","450 Grandview Avenue","53010",43.60085000333505,-88.28492651775426
"53010","Campbellsport","WI","Zahn's Trading Post","W476 County Rd SS","53010",43.615838,-88.179104
"53012","Cedarburg","WI","Sendik's Food Market","2195 1st Ave","53024",43.30266828347291,-87.9659974928283
"53012","Cedarburg","WI","Pick 'n Save","301 Falls Rd","53024",43.30805155922899,-87.96178670259906
"53012","Cedarburg","WI","Piggly Wiggly","W61 N286 Washington Ave","53012",43.28600527935304,-87.98547104459642
"53012","Cedarburg","WI","Slow Pokes Local Food","1229 12th Ave","53024",43.318943,-87.95188399999999
"53012","Cedarburg","WI","Piggly Wiggly","PO Box 349","53012",43.303070068359375,-88.00494384765625
"53013","Cedar Grove","WI","Piggly Wiggly","PO Box 298","53013",43.566375732421875,-87.83036041259766
"53013","Cedar Grove","WI","Piggly Wiggly","240 N Commerce St","53013",43.575382,-87.817723
"53014","Chilton","WI","New Holstein Piggly Wiggly","2243 Calumet Dr","53061",43.95467041261312,-88.1067040638393
"53014","Chilton","WI","Walmart Grocery Pickup","810 S Irish Rd","53014",44.023776,-88.142416
"53018","Delafield","WI","Albrecht's Sentry","3255 Golf Rd","53018",43.05294929706469,-88.36522841583964
"53018","Delafield","WI","Walmart Supercenter","2863 Heritage Dr","53018",43.04928746506908,-88.3695624168115
"53020","Elkhart Lake","WI","The Feedmill Market","not_available","53020",43.83388374980623,-88.0188215629066
"53022","Germantown","WI","Walmart Supercenter","W190n9855 Appleton Ave","53022",43.19626,-88.14586401
"53022","Germantown","WI","Sendik's Food Market","N112 W15800 Mequon Rd","53022",43.22204747499289,-88.10522956938728
