"zip","city","state","name","address","postalCode","lat","lon"
"24701","Bluefield","WV","Walmart Supercenter","4001 College Ave","24605",37.23792105351538,-81.25435309872013
"24701","Bluefield","WV","Kroger","1229 Stafford Dr","24740",37.3607524,-81.0952052
"24701","Bluefield","WV","Food City","1000 Leatherwood Ln","24605",37.24288274717499,-81.2405007291309
"24701","Bluefield","WV","Grants Supermarket","Bluefield Ave","24701",37.267342,-81.228849
"24701","Bluefield","WV","Kroger","140 Majestic Pl","24701",37.2982559,-81.2538318
"24701","Bluefield","WV","Save-A-Lot","1055 Stafford Dr","24740",37.36289978027344,-81.09381103515625
"24701","Bluefield","WV","Grant’s Supermarket","not_available","24701",37.298292,-81.254055
"24701","Bluefield","WV","Kroger","3032 E Cumberland Rd","24701",37.25204849243164,-81.20552062988281
"24701","Bluefield","WV","Grants Supermarket","Old Bluefield-Princeton Rd.","24701",37.304054260253906,-81.15119171142578
"24701","Bluefield","WV","Grants Supermarket","Rt 20","24740",37.34345815292409,-81.1587603053619
"24701","Bluefield","WV","Save-A-Lot","Sr 20 At Us 52","24701",37.314444,-81.262606
"24701","Bluefield","WV","Koza International Foods","not_available","24740",37.356571197509766,-81.11317443847656
"24701","Bluefield","WV","Bluefield Tobacco & Vape","529 Commerce Dr","24605",37.2392847,-81.2517327
"24701","Bluefield","WV","Grants Super Market","not_available","not_available",37.365546255653335,-81.10007412401421
"24715","Bramwell","WV","Dearborn heights","24715","24715",37.337762,-81.336966
"24726","Herndon","WV","Waynes","not_available","25882",37.570816,-81.377867
"24740","Princeton","WV","Walmart Supercenter","201 Greasy Ridge Rd","24739",37.360299948883195,-81.04425982499325
"24740","Princeton","WV","Grants","101-157 Oakvale Rd","24740",37.37307296141321,-81.07376982295344
"24740","Princeton","WV","Sterling Grocery Company","312 South 2nd Street","24740",37.3687146,-81.086108
"24801","Welch","WV","Save-A-Lot","700 Virginia Ave","24801",37.432552337646484,-81.57310485839844
"24801","Welch","WV","Save-A-Lot","Virginia Ave At Highway 52","24801",37.36824563102903,-81.52034342182465
"24874","Pineville","WV","Save A Lot","St Rt 10 N","24874",37.6074025,-81.5396958
"24901","Lewisburg","WV","Walmart Supercenter","1976 Jefferson St N","24901",37.811959212698476,-80.42974023986335
"24901","Lewisburg","WV","Kroger","180 Red Oaks Shopping Center","24970",37.76823385576905,-80.46711770821275
"24901","Lewisburg","WV","Kroger Grocery Pickup and Delivery","178 Red Oaks Shopping Ctr","24970",37.76824951171875,-80.46688079833984
"24901","Lewisburg","WV","Save-A-Lot","51 Seneca Trail","24901",37.78936340964549,-80.45072836891796
"24901","Lewisburg","WV","Cornerstone IGA","not_available","24901",37.783262,-80.456131
"24927","Cass","WV","Wildcat Provisions","10 Snowshoe Dr","26209",38.40855360469272,-79.99494578043159
"24927","Cass","WV","The Marketplace","1 Soaring Eagle Boulevard","26209",38.40083923212493,-79.99334335327148
"24954","Marlinton","WV","Pocahontas Foodland","Hwy 219","24954",38.223512934379755,-80.09421871734159
"24963","Peterstown","WV","Corner Market Rich Creek","not_available","24147",37.383183,-80.82276
"24983","Union","WV","Ashley's Food Pride","State Route 3","24983",37.59132383939153,-80.54102897644043
"24986","White Sulphur Springs","WV","Walmart Supercenter","313 Thacker Ave","24426",37.76789580990586,-79.99121585048451
"25003","Alum Creek","WV","Walmart Supercenter","2700 Mountaineer Blvd","25309",38.31977415,-81.71497822
"25003","Alum Creek","WV","ALDI","2810 Mountaineer Blvd","25309",38.31838556780879,-81.71716959806872
"25003","Alum Creek","WV","Market Express","not_available","25003",38.26042355365777,-81.84459490158899
"25015","Belle","WV","Walmart Supercenter","1001 Warrior Way","25015",38.20264132170542,-81.50636636234306
"25015","Belle","WV","Kroger","10635 Maccorkle Ave","25315",38.2403088,-81.5604724
"25015","Belle","WV","FOODLAND","12600-12648 Maccorkle Ave","25315",38.2226940889287,-81.53555017198893
"25035","Cabin Creek","WV","foodland","not_available","25035",38.195301241174974,-81.48774948151609
"25039","Cedar Grove","WV","Save-A-Lot","5555 US Route 60","25039",38.21600540071457,-81.4251110004058
"25045","Clendenin","WV","Save-A-Lot","State Route 4","25045",38.486451,-81.31722
"25045","Clendenin","WV","Save A Lot","9857 Elk River Rd S","25045",38.4904026,-81.3490858
"25045","Clendenin","WV","Smith's Foodfair","not_available","25045",38.489842,-81.351614
"25053","Danville","WV","Save-A-Lot","124 Mall Rd","25053",38.03170395,-81.83635712
"25053","Danville","WV","Foodland","not_available","25130",38.05709716330254,-81.82494188933046
"25053","Danville","WV","Kroger Grocery Pickup and Delivery","3265 Smoot Ave","25130",38.073822021484375,-81.82267761230469
"25053","Danville","WV","Save-A-Lot","124 Mall Road","25053",38.07722355994509,-81.83156996813477
"25053","Danville","WV","Kroger","3265 Smoot Ave","25053",38.0743141,-81.8217773
"25064","Dunbar","WV","Kroger","981 Dunbar Village Plz","25064",38.357777347574114,-81.73451006412506
"25064","Dunbar","WV","Kroger","5 River Walk Mall","25303",38.3650717,-81.7099728
"25064","Dunbar","WV","ALDI","1100-1198 Payne Ave","25064",38.361800571033974,-81.73788576314007
"25064","Dunbar","WV","Fas Chek","not_available","25177",38.36000105315251,-81.74723345243271
"25064","Dunbar","WV","ALDI","434 12th St","25064",38.36147688,-81.73825979
"25064","Dunbar","WV","Go-Mart","6708 61 Ohio Ave E","25177",38.37466812133789,-81.77716827392578
"25070","Eleanor","WV","Piggly Wiggly","101 Roosevelt Blvd","25070",38.53171920776367,-81.91998291015625
"25070","Eleanor","WV","Eleanor Food Land","Roosevelt Blvd","25070",38.532018093144636,-81.9197332299916
"25071","Elkview","WV","Kroger","223 Crossings Shopping Ctr","25071",38.4594161,-81.499047
"25071","Elkview","WV","Kroger Grocery Pickup and Delivery","223 the Crossings S/C","25071",38.45936592586428,-81.49905346946063
"25143","Nitro","WV","Walmart Supercenter","100 Nitro Market Pl","25313",38.41144709359785,-81.80780286835407
"25143","Nitro","WV","Kroger","5450 Big Tyler Rd","25313",38.4273777,-81.7862539
"25143","Nitro","WV","Kroger","1439 Maccorkle Ave","25177",38.38714998850177,-81.8261638435979
"25143","Nitro","WV","Nitro Supermarket","25th St","25143",38.424800872802734,-81.84089660644531
"25143","Nitro","WV","Save A Lot","901 Cross Lanes Dr","25313",38.421056401944206,-81.79477175261401
