"zip","city","state","name","address","postalCode","lat","lon"
"80002","Arvada","CO","FAST, Fitness and Sports Training","5450 Wadsworth Byp Unit B","80002",39.794917,-105.077339
"80002","Arvada","CO","Panorama Gym","not_available","80002",39.79957008823791,-105.1106871815242
"80002","Arvada","CO","Anytime Fitness","5111 Kipling St Unit 530","80033",39.78989,-105.11158
"80002","Arvada","CO","MHF Crossfit","7995 W 48th Ave","80033",39.78425216674805,-105.08599853515625
"80002","Arvada","CO","Damselfly Yoga Spa","12500 W. 58th Ave.","80002",39.80147171020508,-105.13947296142578
"80002","Arvada","CO","Title Boxing Club","5220 Wadsworth Byp Unit A","80002",39.79198,-105.07934399999999
"80002","Arvada","CO","Work","8800 W 58th Ave","80002",39.801691,-105.09585200000001
"80002","Arvada","CO","Simpsons Fitness Supply","6701 w. 58th Pl","80003",39.803341,-105.070424
"80002","Arvada","CO","Alpine CrossFit","12090 W 50th Pl","80033",39.788322694231454,-105.13575280646609
"80002","Arvada","CO","Core Progression","5790 Yukon Street","80002",39.8017061,-105.0821827
"80002","Arvada","CO","Water Tower Village Gym","7783 W 55th Ave","80002",39.797179,-105.08346399999999
"80002","Arvada","CO","Foothills Crossfit","4975 Miller St","80033",39.78697204589844,-105.11541748046875
"80002","Arvada","CO","Sloans Lake CrossFit","5545 W 56th Ave","80002",39.79975128173828,-105.05634307861328
"80002","Arvada","CO","Peak Power Fitness","5161 Ward Rd Unit 4","80033",39.790063,-105.13973999999999
"80002","Arvada","CO","Easton Martial Arts Academy","12421 W. 49th Avenue #4","80033",39.787783,-105.13891799999999
"80002","Arvada","CO","F.A.S.T.","not_available","not_available",39.795252,-105.076842
"80003","Arvada","CO","Orangetheory Fitness","8031 Wadsworth Blvd","80003",39.84242755029639,-105.08371979741874
"80003","Arvada","CO","Chuze Fitness","8601 Sheridan Blvd","80003",39.853455582483946,-105.05420365442943
"80003","Arvada","CO","Commit 2 Fitness Arvada","6510 Wadsworth Byp Unit 150","80003",39.8148307800293,-105.08110046386719
"80003","Arvada","CO","Curves","7833 Wadsworth Blvd","80003",39.83972930908203,-105.08441925048828
"80003","Arvada","CO","The Health Zone","4955 W 72nd Ave Unit E","80030",39.827286,-105.0488528
"80003","Arvada","CO","Better Bodies Fitness","8601 Sheridan Blvd","80031",39.853747213039966,-105.05451101152889
"80003","Arvada","CO","Matts Body Shack","7458 W 84th Way","not_available",39.85284423828125,-105.0799789428711
"80003","Arvada","CO","Aspire Fitness","6550 Wadsworth Byp","80003",39.81592559814453,-105.07974243164062
"80004","Arvada","CO","Racquetball And Fitness Center","12120 W 64th Ave","80004",39.811892437844264,-105.13460254475315
"80004","Arvada","CO","Rock Hard Fitness","14700 W 66th Pl","80004",39.816246032714844,-105.16390991210938
"80004","Arvada","CO","Rock Hard Fitness","14600 W. 66th Place","80004",39.81635,-105.163865
"80004","Arvada","CO","Sound Body, Sound Mind Fitness","not_available","80007",39.814405850074415,-105.1637282507439
"80004","Arvada","CO","MBS CrossFit II","6945 Indiana Ct #100","80007",39.82253572574371,-105.1666109562575
"80004","Arvada","CO","Bubba's Gym","13556 W 68th Ave","80004",39.82157516479492,-105.15131378173828
"80004","Arvada","CO","Front Range Fitness for Women","6439 Miller Street","80004",39.8137321,-105.1146216
"80004","Arvada","CO","F45 Training West Arvada","14455 W 64th Ave","80004",39.81387,-105.161366
"80004","Arvada","CO","Curves","12355 W 64th Ave","80004",39.813392643733984,-105.1363544141103
"80005","Arvada","CO","Self-Quarantine Gym And Fitness","not_available","80021",39.88028,-105.103165
"80005","Arvada","CO","Planet Fitness","7635 W 88th Ave","80005",39.858878000000004,-105.083381
"80005","Arvada","CO","We Rock The Spectrum","8330 w 10th ave unit 1","80005",39.84039,-105.0901
"80005","Arvada","CO","ProFound Fitness","7721 W 92nd Ave","80021",39.864307000000004,-105.083358
"80005","Arvada","CO","Board30 Arvada","13825 W 85th Dr Ste 120","80005",39.8491096496582,-105.15608215332031
"80005","Arvada","CO","Anytime Fitness","9910 Wadsworth Pkwy","80021",39.87639,-105.09357
"80005","Arvada","CO","Josh's Fitness Center","9113 W 95th Ave","80021",39.866951,-105.103073
"80005","Arvada","CO","Simms Street Center","not_available","80005",39.84522740831739,-105.13076089317384
"80007","Arvada","CO","Gym at Stonegate","11815 Ridge Pkwy","80021",39.910255432128906,-105.15438079833984
"80007","Arvada","CO","Anytime Fitness Arvada","18148 W 92nd Ln Unit 200","80007",39.863568982490236,-105.20415544509888
"80007","Arvada","CO","Prestige Fitness - Arvada","15530 W 64th Ave Unit F","80007",39.8105464,-105.1733213
"80007","Arvada","CO","Core Progression","16255 W 64th Ave, Unit #3","80007",39.81372,-105.18237
"80007","Arvada","CO","My Mini Gym","Mi casa","not_available",39.820586,-105.187802
"80010","Aurora","CO","Hustle Denver","2005 Dallas St","80010",39.747859954833984,-104.8766098022461
"80010","Aurora","CO","Moorhead Rec Center","2390 Havana St","80010",39.751940999999995,-104.865526
"80010","Aurora","CO","Lowry CrossFit","990 Dayton St","80010",39.730757754102,-104.87511549514562
"80010","Aurora","CO","Endorphin - Stanley","2501 Dallas St Ste 144","80010",39.7530479,-104.8773876
"80010","Aurora","CO","Endorphin - Eastbridge","10155 E 29th Dr Ste 130","80238",39.75971984863281,-104.86901092529297
"80010","Aurora","CO","24 Hours  Fitness","Alameda","80010",39.71025286279841,-104.86872424184492
"80010","Aurora","CO","Denver Sheriff County Jail Gym","10500 Smith Rd","80239",39.767527,-104.86416499999999
"80010","Aurora","CO","Bison Gym","not_available","80010",39.718879,-104.872528
"80010","Aurora","CO","Ideal Form Fitness","not_available","80012",39.711749374328505,-104.85569167609943
"80010","Aurora","CO","21 Fitzsimons Gym","2101 N Ursula St","80045",39.748687744140625,-104.83838653564453
"80010","Aurora","CO","Fitness Center","not_available","80220",39.7614376405419,-104.86432862363324
"80010","Aurora","CO","BodyBFit.com","8601 East Martin Luther King Boulevard","80238",39.75997491008816,-104.88538026809692
"80011","Aurora","CO","Planet Fitness","1730 S Buckley Rd","80017",39.684845,-104.789605
"80011","Aurora","CO","Buckley Air Force Base Fitness Center","not_available","80011",39.72258569667268,-104.78039647750384
"80011","Aurora","CO","Lady Fitness","15600 E 6th Ave","80011",39.723859999999995,-104.806009
"80011","Aurora","CO","iLoveKickboxing - Aurora, CO","1180 S Buckley Road","80017",39.69561,-104.78933
"80011","Aurora","CO","Prestige Fitness - Aurora","13801 E Exposition Ave","80012",39.7050535,-104.827076
"80011","Aurora","CO","LDT Fitness","650 S Victor Way","80012",39.701634999999996,-104.834799
"80011","Aurora","CO","Home Offices of Just Determination","not_available","80249",39.77230453491211,-104.74230194091797
"80011","Aurora","CO","jims gym","E Carolina Pl","80017",39.69033013034499,-104.77955102920532
"80011","Aurora","CO","greensview fitness center","not_available","80017",39.71191484087948,-104.79493290671007
"80011","Aurora","CO","gym of jam","E Arkansas Ave","80017",39.691997805678504,-104.78332757949829
"80011","Aurora","CO","A1 Boxing Fitness","700 S Buckley Rd","80017",39.703711,-104.7898
"80011","Aurora","CO","S76 Raytheon Fitness Center","16430 E Hughes Dr","80011",39.716138980817206,-104.79795862301862
"80011","Aurora","CO","Crunch Fitness - Aurora CO","15141 East Mississippi Avenue","80012",39.69787975468724,-104.81184482574463
"80011","Aurora","CO","Marriott Gateway Health Club","not_available","80239",39.77060617832906,-104.79562813640386
"80011","Aurora","CO","Buckley Crossfit","261 Airport Blvd Ste B","80011",39.71997119482097,-104.7916256482008
"80011","Aurora","CO","Buckley Family Gym","17300 buckley blvd","not_available",39.71559565572833,-104.78555330726667
"80011","Aurora","CO","Buckley AFB Gym","Aspen St.","80011",39.72167422191794,-104.77976399411372
"80011","Aurora","CO","country inn & suites by carlson gym","4343 Airport Way","80239",39.77412796020508,-104.79658508300781
"80012","Aurora","CO","Body renew fitness","not_available","80014",39.67831039428711,-104.84910583496094
"80012","Aurora","CO","Colorado Pro Gym","1961 S Havana St","80014",39.68089693690128,-104.86705221445713
"80012","Aurora","CO","City Of Aurora Employees Only Gym","15151 E Alameda Pkwy","80012",39.709861755371094,-104.81211853027344
"80012","Aurora","CO","Metroflex Denver","14190 E Jewell Ave #9","80012",39.6808967590332,-104.82469177246094
"80013","Aurora","CO","Orangetheory Fitness","4211 S Buckley Rd","80013",39.6403106,-104.792351
"80013","Aurora","CO","Home Gym","Quincy Highlands","80018",39.642981977330265,-104.72765848886796
"80013","Aurora","CO","LDS Church - Gym","3101 S Flanders St.","80013",39.660371161913275,-104.75869417190552
"80013","Aurora","CO","H. Gym","not_available","80018",39.64452362237403,-104.73296983391191
"80013","Aurora","CO","CorePower Yoga","18884 E Hampden Ave","80013",39.651931502764455,-104.76842254400253
"80013","Aurora","CO","The Gym","not_available","80013",39.676836,-104.785767
"80014","Aurora","CO","Homestead Studio Suites Denver - Aurora","13941 E Harvard Ave","80014",39.672351,-104.826413
"80014","Aurora","CO","The Gym at Waterpark I","2550 S Parker Rd","80014",39.67030715942383,-104.86324310302734
"80014","Aurora","CO","Doing the gd Video","666 Stupid Basement Ave.","80231",39.664112470051165,-104.87080521921531
"80014","Aurora","CO","Gym @ Woodstream Village","not_available","80231",39.67066319005704,-104.87061657483042
"80014","Aurora","CO","Axis Gym","3257 S Parker Rd","80014",39.65825271606445,-104.8494873046875
"80014","Aurora","CO","Jazzercise - Aurora On Havana","2740 S Havana St","80014",39.66676287578624,-104.86439548217209
"80014","Aurora","CO","Lugano","9601 E Iliff Ave","80231",39.676362932347665,-104.87443131651368
"80014","Aurora","CO","Powerhouse Gym Fitness Center","15270 E Hampden Ave","80014",39.652483851980286,-104.81054035683943
"80014","Aurora","CO","Bondy's World","9400 E Iliff Ave","80231",39.6740957359588,-104.87924649423172
"80014","Aurora","CO","One Beat CrossFit","4174 S Parker Rd","80014",39.6403777,-104.8270676
"80014","Aurora","CO","Better Bodies","15280 E Iliff Ave","80014",39.67352444041003,-104.8113659269834
"80015","Aurora","CO","The Trails Recreation Center","not_available","80015",39.62199433650308,-104.7489759359064
"80015","Aurora","CO","MedWell","not_available","80247",39.63655104716062,-104.82741825163784
"80015","Aurora","CO","Zara Rhythmic gymnastics Academy","19078 E Ida Dr","80015",39.6094352,-104.7658358
"80015","Aurora","CO","Trivida","4510 S Reservoir Rd #A","80015",39.634796142578125,-104.76025390625
"80015","Aurora","CO","The Hamster Wheel","5690 S Netherland St","80015",39.6132926940918,-104.73897552490234
"80015","Aurora","CO","Row House","5616 S Gibraltar Way Unit G","80015",39.6142794,-104.7560844
"80015","Aurora","CO","F45 Training Centennial East","6232 South Parker Road","80016",39.6041326,-104.8065421
"80015","Aurora","CO","Day's Gym","not_available","80016",39.607439355440555,-104.76963483617372
"80015","Aurora","CO","Colorado Martial Arts Academy","20981 E Smoky Hill Rd Ste C","80015",39.6085205078125,-104.7425537109375
"80015","Aurora","CO","Emerge Fitness","15468 Orchard st.","not_available",39.610067,-104.808264
"80015","Aurora","CO","Gym Time!","4932 elkhart pl","80015",39.62779305694574,-104.81638387671416
"80016","Aurora","CO","Colorado Athletic Club - Inverness","374 Inverness Parkway","80112",39.5621386,-104.8643844
"80016","Aurora","CO","Six Zero Strength & Fitness","7101 S Fulton St Ste G","80112",39.586739,-104.87240700000001
"80016","Aurora","CO","Planet Fitness","6432 S Parker Rd","80016",39.600134999999995,-104.802785
"80016","Aurora","CO","CycleBar Southlands","6300 S Main St Ste N-103","80016",39.6018892,-104.7093917
"80016","Aurora","CO","Crest At Lone Tree Gym","not_available","80124",39.552622,-104.872558
"80016","Aurora","CO","Orangetheory Fitness","6554 South Parker Road","80016",39.597774,-104.803116
"80016","Aurora","CO","Gym at Watermark at Southlands (Gym at Waterford at Southlands)","24577 E Applewood Dr","80016",39.605104298025005,-104.70165460840205
"80016","Aurora","CO","ATO Fitness","304 Inverness Way South, TL 15","80112",39.56484,-104.86519
"80016","Aurora","CO","Broadstone Southlands Gym","24750 E Applewood Cir","80016",39.603947999999995,-104.700748
"80016","Aurora","CO","Anytime Fitness","7420 S Gartrell Rd Ste C","80016",39.581182,-104.721651
"80016","Aurora","CO","PLAYTIME","13310 James E Casey Ave","80112",39.561331190270685,-104.83496493432287
"80016","Aurora","CO","Pure Barre","24300 E Smoky Hill Rd #110","80016",39.59537887573242,-104.70494079589844
"80016","Aurora","CO","Lone Tree Athletic Club","9995 Park Meadows Dr","80124",39.5538287217861,-104.87551450411755
"80016","Aurora","CO","The Inverness Gym","not_available","80112",39.57851791381836,-104.86663055419922
"80016","Aurora","CO","Norditrack","not_available","80111",39.614253,-104.865607
"80019","Aurora","CO","The Dungeon","not_available","80019",39.799598693847656,-104.75679779052734
"80020","Broomfield","CO","Life Time Fitness","397 W 148th Ave","80020",39.9650082,-105.0248934
"80020","Broomfield","CO","Paul Derda Recreation Center","13201 Lowell Blvd","80020",39.934435007941154,-105.03618393877329
"80020","Broomfield","CO","AMLI Arista","8200 Arista Pl","80021",39.90542074239401,-105.08746311117007
"80020","Broomfield","CO","CorePower Yoga","3700 W 144th Ave, Suite C100","80020",39.9565428,-105.0369683
"80020","Broomfield","CO","CorePower Yoga","549 Flatiron Blvd","80021",39.92767754108447,-105.13216629624367
"80020","Broomfield","CO","Westin Westminster Workout","10600 Westminster Blvd","80020",39.89045343332369,-105.06626083679268
"80020","Broomfield","CO","Cheer Central","not_available","80020",39.927347,-105.09823899999999
"80020","Broomfield","CO","Off The Wall Fitness","2400 Industrial Ln #2000D","80020",39.920385,-105.098968
"80020","Broomfield","CO","Orangetheory Fitness","1285 E 1st Ave","80020",39.91527988629703,-105.0550052959911
"80020","Broomfield","CO","8 Hands Martial Arts Center for Interdisciplinary Martial Arts (IMA) Instruction","6650 W 120th Ave Ste A1-3","80020",39.9130002,-105.0708713
"80020","Broomfield","CO","Fitness Center @ Omni Interlocken","500 Interlocken Blvd","80021",39.927669525146484,-105.11988830566406
"80020","Broomfield","CO","SPENGA","8181 Arista Pl #115","80021",39.9060225,-105.0884854
"80020","Broomfield","CO","Apex School of Movement Louisville","1772 Prairie Way Unit G","80027",39.970123228036115,-105.11629700660706
"80020","Broomfield","CO","Amli Gym","9800 Westcliff Pkwy","80021",39.87615127012247,-105.06478741717079
"80020","Broomfield","CO","McK Gym","11000 Westmoor Cir","80021",39.89710998535156,-105.12171173095703
"80020","Broomfield","CO","Float Paddleboard Yoga & Fitness","1713 Whistlepig Ln","80020",39.952264,-105.068271
"80020","Broomfield","CO","Core Progression Elite Personal Training","11864 Bradburn Blvd","80031",39.91207504272461,-105.04138946533203
"80020","Broomfield","CO","Broadstone At The Ranch Gym","2861-2929 W 116th Pl","80234",39.90829153333333,-105.0234734
"80020","Broomfield","CO","Impact Sports Medicine","11025 Dover St #400","80021",39.895542999999996,-105.09476699999999
"80021","Broomfield","CO","Life Time Athletic Flatirons","300 Summit Blvd","80021",39.92586743424982,-105.14204857246226
"80021","Broomfield","CO","Village Creek Fitness Center","9052 Vance St","80021",39.861525,-105.076877
"80021","Broomfield","CO","Vance Gym","9100 Vance St","80021",39.86177444458008,-105.07820892333984
"80021","Broomfield","CO","Club Level 3","1025 Eldorado Blvd","80021",39.92164061557594,-105.14453981312987
"80021","Broomfield","CO","Streetlight Studios","9001 Harlan St","80031",39.85927832824231,-105.06475031375885
"80021","Broomfield","CO","MBS CrossFit","10900 W 120th Ave","80021",39.913706372277716,-105.11964293098707
"80022","Commerce City","CO","Panorama Gym (Belle Creek)","not_available","80640",39.891085,-104.880912
"80022","Commerce City","CO","YogaSix","8216 E Northfield Blvd Unit 1330","80238",39.7849006652832,-104.89102172851562
"80022","Commerce City","CO","Planet Fitness","4876 Chambers Rd","80239",39.7859009355872,-104.80881542463354
"80022","Commerce City","CO","Margaret Carpenter Rec Center","1151 Colorado Blvd","80233",39.896935779878014,-104.94219415723484
"80022","Commerce City","CO","Reunion Recreation Center","17910 Parkside Dr N","80022",39.88991559620163,-104.7813252640741
"80022","Commerce City","CO","Orangetheory Fitness","4243 E 136th Ave","80602",39.94394299156563,-104.93710815743943
"80022","Commerce City","CO","Youfit Health Clubs","3750 E 120th Ave","80233",39.91232028634157,-104.94281977415085
"80022","Commerce City","CO","TITLE Boxing Club Thornton","1741 E 120th Ave","80233",39.91401386064967,-104.96740951818647
"80022","Commerce City","CO","Bodyvisions Gym","not_available","80233",39.90093650199418,-104.91593779982293
"80022","Commerce City","CO","Fitness 19","12840 Holly St","80602",39.92935069106133,-104.92092060476436
"80022","Commerce City","CO","Erin's Zumba Studio","not_available","80241",39.9215202331543,-104.95353698730469
"80022","Commerce City","CO","SOFX: Set Your Soul On Fire","2313 Prairie Center Pkwy","80601",39.9528713,-104.7806728
"80022","Commerce City","CO","Crossfit MOB","2300 E 120th Ave Suite 166","80233",39.913309,-104.95626
"80022","Commerce City","CO","Ninja Brand Parkour Gym","6300 E 88th Ave #7","80640",39.85755920410156,-104.9150161743164
"80022","Commerce City","CO","Crestwood Gym","Claude Ct.","not_available",39.918179,-104.962738
"80022","Commerce City","CO","Adams County YMCA","1500 E 128th Ave","80241",39.926387,-104.96672
"80022","Commerce City","CO","CrossFit Dominion","6440 E 50th Ave","80022",39.787086,-104.913621
"80022","Commerce City","CO","Slava's Training Compound","not_available","80022",39.88232421875,-104.78355407714844
"80022","Commerce City","CO","Stapleton Family Karate","8720 Northfield Blvd, #1450","80238",39.785447,-104.886633
"80022","Commerce City","CO","Fitness 19 - Thornton","12840 Holly St","80602-8288",39.9167042634868,-104.92819395158864
"80022","Commerce City","CO","Anchor Crossfit","12303 E 104th Pl","80022",39.887072,-104.844106
"80023","Broomfield","CO","CycleBar Orchard Place","14215 Orchard Pkwy Ste 400","80023",39.95477049553743,-104.99413904662697
"80023","Broomfield","CO","Koko Fitclub","2255 W 136th Ave","80023",39.944472,-105.012854
"80023","Broomfield","CO","Anthem Community Center","16151 Lowell Blvd","80023",39.99507442200826,-105.03529373375684
"80023","Broomfield","CO","Parkside Community Center","not_available","80516",39.995014907439725,-105.03520285022731
"80023","Broomfield","CO","Weight Station","399 148th","80023",39.965529,-105.006329
"80023","Broomfield","CO","F45 Training North Thornton","14340 Lincoln St","80023",39.955592773500065,-104.98302340507506
"80025","Eldorado Springs","CO","South Boulder Recreation Center (SBRC)","1360 Gillaspie Dr","80305",39.974693221512176,-105.24882707348831
"80026","Lafayette","CO","Fitness 1440 Erie","651 Mitchell Way","80516",40.0342829,-105.0529343
"80026","Lafayette","CO","YMCA","2800 Dagny Way","80026",40.01250714115835,-105.13429333052832
"80026","Lafayette","CO","Bob L Burger Rec Center","111 W Baseline Rd","80026",40.00092135369896,-105.09095970154814
"80026","Lafayette","CO","CorePower Yoga","1817 Hwy 42","80027",39.988310724084506,-105.12854531407356
