"zip","city","state","name","address","postalCode","lat","lon"
"06001","Avon","CT","Healthtrax Fitness","100 Simsbury Rd","06001",41.817203,-72.829288
"06001","Avon","CT","Gracie Farmington Valley Mma/Bjj","not_available","06019",41.824448286932935,-72.8778814866476
"06001","Avon","CT","Slim's Gym","not_available","not_available",41.777938,-72.876586
"06001","Avon","CT","Jazzercise","192 W Main St","06001",41.812032,-72.847522
"06001","Avon","CT","The Zoo Health Club","530 Bushy Hill Rd","06070",41.817948858170496,-72.86432423389019
"06001","Avon","CT","Snap Fitness Avon","222-248 W Main St","06001",41.81341420019797,-72.8530923043454
"06001","Avon","CT","CYCLEBAR","110 Albany Turnpike Suite 611","06019",41.8227714,-72.8809265
"06001","Avon","CT","The Little Gym","not_available","06001",41.819828,-72.827523
"06001","Avon","CT","Chubb Fitness Center","82 Hopmeadow St","06089",41.82830468252853,-72.82095355791463
"06001","Avon","CT","Farmington  Valley Fitness Boot Camp","12 Cheryl Dr Ste C","06019",41.823951721191406,-72.87802124023438
"06001","Avon","CT","Fitness Together - Avon","300 Country Club Rd","06001",41.790252207308626,-72.8628141959472
"06001","Avon","CT","CrossFit Legitimus","130","06019",41.824756008319554,-72.89650244419458
"06001","Avon","CT","Envision Strength Fitness and Wellness Coaching","15 Cheryl Dr","06019",41.82429122924805,-72.87743377685547
"06001","Avon","CT","Fitness Showrooms Superstore LLC","395 West Main Street","06001",41.815678000000005,-72.865454
"06001","Avon","CT","F45 Training Avon CT","260 W Main St","06001",41.813641,-72.853051
"06002","Bloomfield","CT","Planet Fitness","269 Cottage Rd","06002",41.81656,-72.712003
"06002","Bloomfield","CT","Gold's Gym","107 Old Windsor Rd","06002",41.85962016683725,-72.6897108248257
"06002","Bloomfield","CT","The Gym At Rt ProExec","not_available","06002",41.86943108753261,-72.73906041596464
"06002","Bloomfield","CT","StairMaster #1","not_available","06117",41.800294,-72.725681
"06002","Bloomfield","CT","Hartbeat Gym @ The Hartford","1 Griffin Rd N","06095",41.87778091430664,-72.7296371459961
"06002","Bloomfield","CT","Gold's Gym","1001 Day Hill Rd","06095",41.87693404901523,-72.70412365182713
"06002","Bloomfield","CT","The Fitness Center At MetLife","1300 Hall Blvd","06002",41.80646896362305,-72.75039672851562
"06002","Bloomfield","CT","Vertafore Gym","7 Waterside Xing","06095",41.8809700012207,-72.73741149902344
"06002","Bloomfield","CT","The Gym at Bloomfield Crossing","22 Mountain Ave","06002",41.83106113392377,-72.74149196433886
"06002","Bloomfield","CT","Waterside Crossing, Exercise Room","3 Waterside Crossing, Windsor, CT 06095","06095",41.88274383544922,-72.73877716064453
"06002","Bloomfield","CT","MRHA gym","Kristins way","not_available",41.852242,-72.72015
"06002","Bloomfield","CT","Leisure Service Community Center Gym","330 Park Ave","06002",41.824527740478516,-72.71358489990234
"06002","Bloomfield","CT","Cigna Healthy Life Fitness Center","900 Cottage Grove Rd","06002",41.8127914357527,-72.74261436922646
"06010","Bristol","CT","ESPN Employee Wellness Center","1 Espn Dr","06010",41.650402896120355,-72.90479086626021
"06010","Bristol","CT","Bell City CrossFit","not_available","06010",41.655904,-72.905579
"06010","Bristol","CT","Gym","Blakeslee Street","06010",41.67312432,-72.93054836
"06010","Bristol","CT","Fitness Center For Women","224","06010",41.67662555418382,-72.94660738344173
"06010","Bristol","CT","Parisi Speed School","842 Clark Ave","06010",41.69089126586914,-72.983642578125
"06010","Bristol","CT","Sculpt Studio","Central Street","06010",41.674489,-72.898418
"06010","Bristol","CT","LA Fitness","1379 Farmington Ave","06010",41.69973541811083,-72.89786064275553
"06013","Burlington","CT","Lewis Mills Weight Room","not_available","06013",41.780326,-72.988158
"06013","Burlington","CT","The Treadmill","4 Ridgewood Rd","06013",41.7896614074707,-72.94625091552734
"06026","East Granby","CT","School Street Fitness","not_available","06026",41.94148304669584,-72.72728500709779
"06026","East Granby","CT","SkrillexCardioAssKickingTime","East Street","06026",41.93937730459995,-72.71637494203136
"06029","Ellington","CT","Anabolics","Joel Dr","06029",41.92158666,-72.46666611
"06029","Ellington","CT","Tolland CrossFit","60 Industrial Park Rd W","06084",41.85950469970703,-72.4207763671875
"06029","Ellington","CT","Cardio Express","not_available","06084",41.88649821,-72.32964121
"06029","Ellington","CT","Walking/sunning Trail","not_available","06029",41.86957313,-72.48661727
"06029","Ellington","CT","Anytime Fitness","89 W Rd","06029",41.87924,-72.46276
"06029","Ellington","CT","Isbel's Domain","not_available","06066",41.867545,-72.46931
"06029","Ellington","CT","Deer Valley Fitness Center","155 Windermere Ave","06029",41.875667572021484,-72.4903335571289
"06032","Farmington","CT","Residences at 299 Gym","299 Colt Hwy","06032",41.708224,-72.817795
"06032","Farmington","CT","Anytime Fitness","188 Main St","06032",41.71238,-72.83936
"06032","Farmington","CT","Farmington Line Aprtment Gymnasium","950 Farmington Ave","06053",41.702386,-72.795787
"06032","Farmington","CT","Kickboxing Of Unionville","1051 Farmington Ave","06032",41.734062042821066,-72.83802290557774
"06032","Farmington","CT","Malibu Fitness","15 Executive Dr","06032",41.698872444134814,-72.85465505773811
"06032","Farmington","CT","One Beacon fitness Center","not_available","06032",41.705981,-72.872231
"06032","Farmington","CT","Ilovekickboxing","108 S Main St","06085",41.754731,-72.88718100000001
"06032","Farmington","CT","Sam May Fitness Center","not_available","06053",41.69300522392018,-72.76341181129739
"06032","Farmington","CT","Valley Fitness","45 S Main St","06085",41.7565364573661,-72.88638084035787
"06032","Farmington","CT","Farmington Farms Racquet Club","Brickyard Road","06032",41.74685867082276,-72.85545093920578
"06032","Farmington","CT","Yankee Cross Fit","24 Spring Ln","06032",41.693937024719375,-72.84970092461033
"06032","Farmington","CT","Bernier Fitness","15 Janet Dr","06053",41.694740295410156,-72.78732299804688
"06032","Farmington","CT","LA Fitness","1600 S East Rd","06032",41.71628540947666,-72.76428897602361
"06032","Farmington","CT","Cvp Panthers","grace ave","06062",41.726951584818735,-72.76316363419788
"06032","Farmington","CT","Pebblebrook 357 Fitness Center","357 Brittany Farms Rd","06053",41.7112922668457,-72.77400207519531
"06033","Glastonbury","CT","Hebron Avenue School","1363 Hebron Ave","06033",41.71838501500835,-72.55917172043539
"06033","Glastonbury","CT","Anytime Fitness","38-2868 Main St","06033",41.72069,-72.61352
"06033","Glastonbury","CT","Mission Fitness","80 Commerce St","06033",41.70909128381914,-72.58858954799925
"06033","Glastonbury","CT","Crossfit 033","Oakwood Drive","06033",41.712162859031174,-72.58109287467026
"06033","Glastonbury","CT","The Gym @ The Court","15 Courtney Cir, Glastonbury, CT 06033","06033",41.700721740722656,-72.58352661132812
"06033","Glastonbury","CT","Healthtrax Fitness and Wellness","622 Hebron Ave Ste 200","06033",41.7138163,-72.58930950000001
"06033","Glastonbury","CT","Orangetheory Fitness","27 Welles St","06033",41.71411895751953,-72.60623168945312
"06033","Glastonbury","CT","100 Percent Martial Arts","2450 Main St","06033",41.713501007340035,-72.6080417633057
"06033","Glastonbury","CT","Healtrax","628 Hebron Ave","06033",41.71369171142578,-72.58927154541016
"06033","Glastonbury","CT","The Edge Fitness Clubs","2865 Main Street","06033",41.7210229,-72.6147399
"06033","Glastonbury","CT","Build It Up, LLC","175 Capital Blvd Ste 467","06067",41.6737976,-72.6459564
"06033","Glastonbury","CT","Villari's Martial Arts Centers - Glastonbury CT","103 New London Tpke #B","06033",41.7141,-72.60491
"06033","Glastonbury","CT","Fierce and Mighty: The Gym","20 Holly Ln","06033",41.72351291034897,-72.58746123840062
