"zip","city","state","name","address","postalCode","lat","lon"
"60002","Antioch","IL","Snap Fitness","7223 State Park Rd","60020",42.43079487690305,-88.19905430573145
"60002","Antioch","IL","Anytime Fitness","474 Orchard St","60002",42.47841,-88.1006
"60002","Antioch","IL","Snap Fitness","850 Tower Dr","60046",42.440828,-88.06454699999999
"60002","Antioch","IL","KC FIT and Kettlebell Club","137 Cedar Ave","60046",42.417101,-88.07987299999999
"60002","Antioch","IL","CrossFit Lake Villa","1600 N Milwaukee Ave Ste 508","60046",42.443751,-88.092838
"60002","Antioch","IL","Snap Fitness","435 US Rt. 45","60046",42.44114638117045,-88.06461654322217
"60002","Antioch","IL","American Muscle","not_available","60020",42.4392563,-88.1277675
"60002","Antioch","IL","Crossfit Phoenix","not_available","not_available",42.44321492530754,-88.09300275722775
"60002","Antioch","IL","Jazzercise - Lindenhurst Park District","2200 Grass Lake Rd","60046",42.432255,-88.028999
"60002","Antioch","IL","Home Gym","not_available","60081",42.43894491922087,-88.19513285067188
"60002","Antioch","IL","YMCA Fitness Center","1995 Grass Lake Rd","60046",42.427192674223086,-88.03374597545792
"60004","Arlington Heights","IL","LA Fitness","345 E Palatine Rd","60004",42.10795682204127,-87.97844764785735
"60004","Arlington Heights","IL","XSport Fitness","960 W Dundee Rd","60004",42.14096126185144,-87.99420118331909
"60004","Arlington Heights","IL","CorePower Yoga","19 South Evergreen Avenue","60005",42.082555,-87.981158
"60004","Arlington Heights","IL","Elite Athletic Development","105 S Dunton Ave","60005",42.080745,-87.982579
"60004","Arlington Heights","IL","Fitness Advantage","102 E Wing St","60004",42.084098,-87.981291
"60004","Arlington Heights","IL","Anytime Fitness","1245 W Dundee Rd","60004",42.137633,-87.985959
"60004","Arlington Heights","IL","RediSetFit","810 S Buffalo Grove Rd","60089",42.13919448852539,-87.95923614501953
"60004","Arlington Heights","IL","Type 1 CrossFit","9 Huntington Ln","60090",42.13931655883789,-87.95378112792969
"60004","Arlington Heights","IL","Fitness 19","not_available","60005",42.103135787597004,-88.0086811064552
"60004","Arlington Heights","IL","Hot Ground Gym","8 W College Dr","60004",42.132185,-87.983413
"60004","Arlington Heights","IL","WPA Gym","not_available","60004",42.142758,-87.986755
"60004","Arlington Heights","IL","Fieldpointe Of Schaumburg Gym","Arbor Square, Schaumburg, IL 60173","60173",42.07452884714728,-88.01479815292866
"60004","Arlington Heights","IL","Anytime Fitness","1429 E Palatine Rd","60004",42.109239,-87.964967
"60004","Arlington Heights","IL","Hiding In the Corner Of The Fitness Center","801 W Kensington Rd","60056",42.080650329589844,-87.9471206665039
"60004","Arlington Heights","IL","Pioneer Park Community Center","500 S Fernandez Ave","60005",42.076141,-87.992929
"60004","Arlington Heights","IL","Driven Personal Training","10 S Evergreen Ave","60005",42.081398,-87.982084
