"zip","city","state","name","address","postalCode","lat","lon"
"40004","Bardstown","KY","Anytime Fitness","131 Pkwy Dr","40004",37.79699157,-85.4244183
"40004","Bardstown","KY","Fitness One","1065 Bloomfield Rd #A","40004",37.82751782019666,-85.42371148558723
"40004","Bardstown","KY","Curves","not_available","not_available",37.81835539946726,-85.4297063526394
"40004","Bardstown","KY","Planet Fitness","225 Kentucky Home Sq, Unit A","40004",37.825092,-85.464716
"40010","Buckner","KY","Body Under Construction","not_available","40014",38.38190539715594,-85.44083400891955
"40011","Campbellsburg","KY","Tumble Time, Inc","18 South Main Street","40050",38.43301010131836,-85.16976928710938
"40014","Crestwood","KY","Burn Boot Camp - Crestwood Kentucky","6408 W. Hwy. 146. Suite 3","40014",38.3298322930268,-85.46430140733719
"40014","Crestwood","KY","The Marble Method","12418 La Grange Rd Ste 140","40245",38.289747,-85.509367
"40014","Crestwood","KY","Fitness Room-Hampton Inn","not_available","40241",38.30016098934421,-85.54978795244175
"40014","Crestwood","KY","Snap Fitness","Highway 329 Bypass","40014",38.32878945,-85.46924343333333
"40014","Crestwood","KY","Paddock Workout Room","not_available","40245",38.285852022938876,-85.50285120311104
"40014","Crestwood","KY","Snap Fitness","1212 Market St","40031",38.39756628798696,-85.37191867797911
"40014","Crestwood","KY","Zack Nusser Training","3745 Diann Marie Rd","40241",38.30087169999999,-85.5444371
"40014","Crestwood","KY","Anytime Fitness","6400 Crestwood Sta","40014",38.338306985035594,-85.46914279460907
"40023","Fisherville","KY","Krom's Strength and Conditioning","668 Dawson Hill Rd","40299",38.100772857666016,-85.48112487792969
"40023","Fisherville","KY","Joe's Gym","Connor Station Rd.","40067",38.209391,-85.385284
"40023","Fisherville","KY","Tropical Oasis","not_available","40023",38.1092742765976,-85.38188370660309
"40026","Goshen","KY","Orangetheory Fitness","9031 U.S. 42","41091",38.4320255,-85.5244992
"40031","La Grange","KY","Planet Fitness","406 S 1st St, Ste 2","40031",38.402923,-85.379112
"40045","Milton","KY","Hall's Gym","not_available","47250",38.73697301831791,-85.3766460626352
"40047","Mount Washington","KY","Anytime Fitness","737 N Mount Washington Bypass","40047",38.05756,-85.53829
"40047","Mount Washington","KY","MaxFit Boot Camp","8206 Highway 44 E","40047",38.03583908081055,-85.58100128173828
"40047","Mount Washington","KY","Anytime Fitness","737 North 31E bypass","40047",38.05959755262513,-85.54504394531249
"40047","Mount Washington","KY","Maximum Fitness","9050 Highway 44 E","40047",38.038516998291016,-85.56617736816406
"40059","Prospect","KY","YMCA at Norton Commons","11000 Brownsboro Rd","40059",38.32898844601365,-85.56239821373218
"40059","Prospect","KY","Snap Fitness","6031 Timber Ridge Dr","40059",38.340222999999995,-85.621881
"40059","Prospect","KY","Club Cube Fitness","13206 W Highway 42","40059",38.36478,-85.60132
"40059","Prospect","KY","Custom Fitness","10619 Meeting St Unit 101","40059",38.32350571233942,-85.56560472977942
"40059","Prospect","KY","Iron Tribe Fitness","10013 Brownsboro Rd","40241",38.3158073425293,-85.56192779541016
"40059","Prospect","KY","Coach's Fitness Club","9207 US Highway 42 Ste F","40059",38.340789794921875,-85.61995697021484
"40059","Prospect","KY","Nachale","9506 Norton Commons Blvd","40059",38.324676000000004,-85.56473299999999
"40065","Shelbyville","KY","Fit 4 Less","16 Village Plz","40065",38.210899353027344,-85.2398681640625
"40065","Shelbyville","KY","The Discovery Gym","not_available","40065",38.210298,-85.210649
"40065","Shelbyville","KY","CUB Employee Fitness Center","1854 Midland Trail, Shelbyville, KY 40065","40065",38.21151351928711,-85.24993896484375
"40065","Shelbyville","KY","Shelby Power and Fitness","320 Main St","40065",38.21058654785156,-85.21385955810547
"40065","Shelbyville","KY","Planet Fitness","120 Midland Blvd","40065",38.213947,-85.254166
"40065","Shelbyville","KY","Anytime Fitness","192 Frankfort Rd","40065",38.208646,-85.204583
"40065","Shelbyville","KY","MCMFLC","Midland Trail","40065",38.21168800064585,-85.25418910028954
"40065","Shelbyville","KY","Family Activity Center","717 Burks Branch Rd","40065",38.227229,-85.219777
"40067","Simpsonville","KY","Just-In Fit","not_available","40067",38.222546,-85.358517
"40069","Springfield","KY","Fuel Fitness","not_available","40069",37.693105,-85.238757
"40071","Taylorsville","KY","Anytime Fitness","543 Taylorsville Rd","40071",38.03968,-85.34095
"40108","Brandenburg","KY","MEADE CrossFit","104 Olin Road Suite C","40108",37.99274682844694,-86.15933418273924
"40108","Brandenburg","KY","Moo Dung Gym","not_available","40108",38.012199,-86.193229
"40108","Brandenburg","KY","Snap","Bypass Road","40108",37.98172420604263,-86.1627344490115
"40111","Cloverport","KY","Cloverport Health & Wellness Center","101 4th St","40111",37.833499908447266,-86.6314697265625
"40121","Fort Knox","KY","Otto Physical Fitness Center","6591 Abel St","40121",37.90836699519465,-85.92869039088356
"40121","Fort Knox","KY","Smith Physical Fitness Center","not_available","40121",37.91857236856357,-85.94178966468236
"40121","Fort Knox","KY","Gammon Total Fitness","850 Radio St","40121",37.898935496954024,-85.9416258889741
"40160","Radcliff","KY","Planet Fitness","599 W Lincoln Trail Blvd, Ste B","40160",37.838621,-85.947881
"40160","Radcliff","KY","Snap Fitness 24-7","147 E Lincoln Trail Blvd","40160",37.842608,-85.936759
"40160","Radcliff","KY","Curves","402 W Lincoln Trail Blvd","40160",37.8373908996582,-85.94389343261719
"40160","Radcliff","KY","Natcher Physical Fitness Center","2341 Garry Owen Ave","40121",37.82590322948811,-85.9513188738166
"40165","Shepherdsville","KY","Bullitt County Family YMCA","PO Box 846","40165",37.98691583156941,-85.70674683417894
"40165","Shepherdsville","KY","Awesome Elite Cheer","not_available","40165",37.977934,-85.682021
"40165","Shepherdsville","KY","Snap Fitness","Dixie hwy","40272",38.067414,-85.881918
"40165","Shepherdsville","KY","Planet Fitness","544 Conestoga Pkwy","40165",37.997202,-85.706506
"40165","Shepherdsville","KY","Workout Anytime Hillview KY","135 Marketplace Dr, Ste A","40229",38.072155,-85.672582
"40202","Louisville","KY","AC Marriott Gym","not_available","40202",38.25322,-85.738702
"40202","Louisville","KY","Glassworks Fitness","815 W Market St","40202",38.25609240875881,-85.76452731948493
"40202","Louisville","KY","360° Fitness Center At The Galt","140 N 4th St","40202",38.258027632828316,-85.75619189297218
"40202","Louisville","KY","Zumba!","7th St","40202",38.255445258891086,-85.76212615555318
