"zip","city","state","name","address","postalCode","lat","lon"
"59007","Bearcreek","MT","Well Approach","810 N Broadway Ave","59068",45.19506577197728,-109.24665244933904
"59019","Columbus","MT","Crossfit Palladium / Stillwater Gym","522 E Pike Ave","59019",45.637210845947266,-109.25309753417969
"59022","Crow Agency","MT","Little Big Horn College Health and Wellness Center","not_available","59022",45.60143737593911,-107.45745574555936
"59034","Hardin","MT","Hardin High School Gymnasium","601 N Terry Ave","59034",45.7345085144043,-107.61457824707031
"59037","Huntley","MT","Bren's Gym","not_available","not_available",45.89828944761657,-108.37289758922935
"59044","Laurel","MT","B -FIT FOR LIFE FITNESS","2440 Grant Rd","59102",45.7517571,-108.5768256
"59044","Laurel","MT","Better Body Fitness","300 S 24th St W #E09","59102",45.78416951887564,-108.57672954448819
"59044","Laurel","MT","Kinesi Coaching Studios","601 24th St W","59102",45.77608,-108.57549
"59044","Laurel","MT","Snap Fitness","not_available","59044",45.677975871949975,-108.72842737589367
"59044","Laurel","MT","Billings Adventure Bootcamp @ Faith E","not_available","59102",45.769292900039886,-108.59697049238684
"59044","Laurel","MT","Anytime Fitness","605 24th St W","59102",45.77645,-108.57539
"59044","Laurel","MT","Telos Fitness","100 24th St W #7","59102",45.7717055,-108.5780563
"59044","Laurel","MT","Springhill Suites Gym","not_available","59101",45.75257,-108.5586
"59044","Laurel","MT","Orangetheory Fitness","824 Shiloh Crossing Blvd","59102",45.75475357726013,-108.6158287525177
"59044","Laurel","MT","Snap Fitness","413 SE 4th St","59044",45.665721,-108.766355
"59044","Laurel","MT","Spinning Class","216 1st. street","59044",45.67888,-108.724894
"59047","Livingston","MT","Firehall Fitness Center","not_available","59047",45.661744670482236,-110.5592548940745
"59047","Livingston","MT","Total Fitness","126 E Chinook St","59047",45.66489585221309,-110.56221434314172
"59047","Livingston","MT","Zumba Workout","not_available","58047",45.683015,-110.549455
"59079","Shepherd","MT","Gym","9404 Telaus Tr","59079",45.969852447509766,-108.364990234375
"59101","Billings","MT","Anytime Fitness","2724 Montana Ave","59101",45.78135,-108.50441
"59101","Billings","MT","Billings Wreslting Club","N 24th St","59101",45.784794,-108.500912
"59101","Billings","MT","The Vista","3840 Rimrock Rd","59102",45.79789840739046,-108.61267011772156
"59101","Billings","MT","Pure Barre","1595 Grand Ave Ste 200","59102",45.7851038,-108.5557375
"59101","Billings","MT","Curves","926 Main St #4","59105",45.81571960449219,-108.47168731689453
"59101","Billings","MT","Steep World","208 N 13th St","59101",45.7921515,-108.48852049999999
"59101","Billings","MT","Evolution Gym","1002 Lewis Ave","59102",45.77996063232422,-108.54167175292969
"59101","Billings","MT","Yellowstone Crossfit","902 Central Ave","59102",45.76938247680664,-108.53854370117188
"59101","Billings","MT","Apex  Personal Training and Fitness","1002 10th St W #3","59102",45.78030612043249,-108.54157410786678
"59101","Billings","MT","32nd st Gym","2323 32nd St W","59102",45.79356002807617,-108.59367370605469
"59101","Billings","MT","H.S.H Personal Training","1925 Grand Ave Ste 137","59102",45.7843674,-108.5655076
"59101","Billings","MT","Tracy Moore Photographers Gym","Montana Ave","59079",45.78355287572733,-108.50005858510173
"59101","Billings","MT","Solace Hot Yoga and Barre","3860 Avenue B Ste B","59102",45.7854,-108.61343
"59101","Billings","MT","Billings Wrestling Club","2nd Ave N","59101",45.78115,-108.51024
"59102","Billings","MT","Billings Athletic Club","777 15th St W","59102",45.7776878180659,-108.55329515023698
"59105","Billings","MT","The Circuit Women In Fitness","520 Wicks Ln","59105",45.826937,-108.472789
"59105","Billings","MT","Anytime Fitness","1509 Main St","59105",45.82582,-108.46942
"59106","Billings","MT","Rock Solid Martial Arts","1780 Shiloh Rd, Suite D","59106",45.787513732910156,-108.61839294433594
"59106","Billings","MT","Snap Fitness","1780 Shiloh Rd Ste C","59106",45.787472852624106,-108.61856822394144
"59221","Fairview","MT","FHS weightroom","not_available","59221",47.84919158388109,-104.04787690248526
"59270","Sidney","MT","Anytime Fitness","117 E Main St","59270",47.714865,-104.15625
"59270","Sidney","MT","Gravel Road","not_available","58831",47.963726,-103.535494
"59301","Miles City","MT","Custer County H.S. Gymnasium","1616 Main St","59301",46.408164978027344,-105.84002685546875
"59301","Miles City","MT","Centra Athletic Center","2715 Dickinson St, Miles City, Mt 59301","59301",46.40591644472886,-105.82539572297331
"59313","Baker","MT","Gym Five","not_available","59313",46.55886030311719,-104.0625
"59401","Great Falls","MT","Josh's Gym","not_available","59401",47.50608,-111.264016
"59404","Great Falls","MT","Malmstrom AFB Fitness & Sport Center","not_available","59402",47.515699851133235,-111.18769515752408
"59404","Great Falls","MT","Planet Fitness","726 10th Ave S","59405",47.493678,-111.294329
"59404","Great Falls","MT","Malmstrom AFB HAWC","not_available","59405",47.51412582397461,-111.19705963134766
"59404","Great Falls","MT","The Motion Space, LLC","1720 10th Avenue South, The Motion Space, LLC","59405",47.49385,-111.27689
"59404","Great Falls","MT","Snap Fitness","1800 Airport Dr.","59404",47.48666763305664,-111.35033416748047
"59404","Great Falls","MT","Snap Fitness","125 Northwest Byp","59404",47.51720432533236,-111.31479887042842
"59404","Great Falls","MT","Access Fitness","715 13th Ave S","not_available",47.49132533319925,-111.29513339558885
"59404","Great Falls","MT","Mustang Center","3801-4099 Central Ave","59405",47.50568706666667,-111.23785005
"59404","Great Falls","MT","Snap Fitness","2106 10th Avenue South","59405",47.493001,-111.270693
"59404","Great Falls","MT","Peak Fitness","1800 Benefis Ct","59405",47.48557081041836,-111.29954200196555
"59404","Great Falls","MT","Fitness Center","not_available","59404",47.483409,-111.337393
"59404","Great Falls","MT","Hilton Garden Inn Fitness Center","2520 14th St SW","59404",47.480261,-111.339968
"59417","Browning","MT","Fitness House West Glacier","not_available","59936",48.504107,-113.97987
"59427","Cut Bank","MT","Joe Meagher Memorial Civic Center","800 E Railroad St","59427",48.63169,-112.322531
"59474","Shelby","MT","Shelby High School Gym","not_available","59474",48.515237,-111.863167
"59501","Havre","MT","Down Under Fitness Center","820 2nd St W","59501",48.55255889892578,-109.69762420654297
"59501","Havre","MT","Fitness Room At Best Western","not_available","59501",48.552121,-109.664206
"59601","Helena","MT","Crossroads Sports And Fitness","1013 Dearborn Ave","59601",46.59797024229573,-112.04236096356952
"59601","Helena","MT","kidsports","not_available","59634",46.53854624517667,-111.9466336202624
"59601","Helena","MT","Helena Athletic Club","Mustang Cheerleading","59601",46.621501174436055,-112.03559160232544
"59601","Helena","MT","Capital City Mixed Martial Arts","not_available","59601",46.592103501186074,-111.9615835037294
"59601","Helena","MT","Planet Fitness","3035 N Sanders St","59601",46.615535,-112.014072
"59601","Helena","MT","Broadwater Athletic Club","607 N Lamborn St","59601",46.590374,-112.008581
"59601","Helena","MT","Tinys Gym","605 W Custer Ave","59602",46.616027,-112.032344
"59601","Helena","MT","YMCA","1200 N Last Chance Gulch","59601",46.60468302392332,-112.02544575277489
"59701","Butte","MT","Fuel Fitness","3755 Harrison Ave","59701",45.96820042096114,-112.50882283461921
"59701","Butte","MT","Butte Insanity","not_available","59701",45.988522,-112.487605
"59701","Butte","MT","ST Fitness","3255 Hecla St","59701",45.9951131726444,-112.48746871948242
"59711","Anaconda","MT","Rock Creek Fitness Center","not_available","59858",46.253529,-113.515797
"59714","Belgrade","MT","Manhattan Athletic Club","not_available","59741",45.849532,-111.329695
"59714","Belgrade","MT","Ascension Peak Physique","112 and 1/2 S Broadway","59714",45.77420588873951,-111.17817091948382
"59714","Belgrade","MT","The Rock","Amsterdam Road","59714",45.77417094730278,-111.21925078967028
"59715","Bozeman","MT","Human Powered Performance","525 E Kagy Blvd","59715",45.657367777573384,-111.02847576141357
"59715","Bozeman","MT","Main Street Gym","7 W Main St","59715",45.679589,-111.037999
"59715","Bozeman","MT","Motion Athletics","100 Maus Ln Ste E","59715",45.701413,-111.043052
"59715","Bozeman","MT","iLoveKickboxing - Bozeman, MT","1735 Oak St","59715",45.6940322,-111.0594922
"59715","Bozeman","MT","Gold's Gym","1605 W Main St","59715",45.680758,-111.059129
"59715","Bozeman","MT","Pure Barre","34 E Mendenhall St Ste R-6","59715",45.680253353116186,-111.03623229695893
"59715","Bozeman","MT","Forever Strong","10 Evergreen Dr Ste A","59715",45.6956768,-111.0351487
"59715","Bozeman","MT","Big Sky Barbell","30 Shawnee Way Ste F","59715",45.67213821411133,-110.99488067626953
"59715","Bozeman","MT","Access Fitness","200 S 23rd Ave #F3","59718",45.676412,-111.065711
"59715","Bozeman","MT","Bozeman MMA Academy","2308 N 7th Ave Ste G","59715",45.70051193237305,-111.04540252685547
"59715","Bozeman","MT","The Mountain Project","507 Bond St Ste B","59715",45.6951879,-111.0295237
"59715","Bozeman","MT","Ridgecrest","not_available","59715",45.680714,-111.035218
"59715","Bozeman","MT","F45 Training West Bozeman","2047 West Oak Street","59718",45.694073,-111.063681
"59715","Bozeman","MT","The Ridge Downtown","Mendenhall","59715",45.680712,-111.035276
"59715","Bozeman","MT","Spire Climbing Center","13 Enterprise Blvd","59718",45.65619388226503,-111.07039947621034
"59715","Bozeman","MT","Marga Hosaeus Recreation and Fitness Center","Montana State University","59717",45.66454724677635,-111.04955953506688
"59716","Big Sky","MT","Shoshone Health Club","not_available","59729",45.28537049844958,-111.40095192635852
"59718","Bozeman","MT","Orangetheory Fitness","1040 Fowler Ave #103","59718",45.66889820000001,-111.0823746
"59718","Bozeman","MT","The Ridge Athletic Club","4181 Fallon St","59718",45.67381615258867,-111.09445538426888
"59718","Bozeman","MT","The Pitt","3717 Equestrian Ln","59718",45.70241799999999,-111.0877551
"59722","Deer Lodge","MT","Rock Creek Cattle Gym","not_available","59722",46.482954,-112.82981
"59722","Deer Lodge","MT","Sun-up Fitness","1010 Carter St","59722",46.3921863074323,-112.72255797142493
"59801","Missoula","MT","Pure Barre","812 Toole Ave Ste C","59802",46.878259,-114.002205
"59801","Missoula","MT","Monkey Bar Gymnasium","1900 W Broadway St Ste F","59808",46.88247587666793,-114.02155932695433
"59801","Missoula","MT","Campus Rec","32 Campus Dr","not_available",46.8645726345615,-113.98364601091752
"59801","Missoula","MT","Trap House","235 N 1st St W","59802",46.877202,-113.993804
"59801","Missoula","MT","Stafford Fitness","218 E Front St","59802",46.869957,-113.993187
"59801","Missoula","MT","The Women's Club","2100 Bow","59801",46.85124227892745,-114.00999163399055
"59801","Missoula","MT","Summit athletics","not_available","59808",46.877812,-114.018921
"59801","Missoula","MT","The Peak","150 E Spruce St","59802",46.87402395049727,-113.99183212991268
"59801","Missoula","MT","Ridge Fitness","2425 W Central Ave #100","59801",46.85032500698999,-114.03732620179653
"59801","Missoula","MT","Access Fitness","1906 Brooks St","59801",46.85203428938129,-114.01166947426813
"59801","Missoula","MT","TITLE Boxing Club Missoula","1200 W Kent Ave","59801",46.85199129999999,-114.01706
"59801","Missoula","MT","MUST (Missoula Underground Strength Training)","736 Cooper St","59802",46.879268646240234,-114.00115966796875
"59801","Missoula","MT","Freestone Climbing","935 Toole Ave","59802",46.877971,-114.003668
"59801","Missoula","MT","Crossfit Missoula","2115 South Ave W","59801",46.84849166870117,-114.03121948242188
"59801","Missoula","MT","The Sweat Shop Studio","113 W Broadway St","59802",46.872073,-113.994612
"59801","Missoula","MT","Comfort Inn Gym","not_available","59802",46.86102259005194,-113.98813396289236
"59801","Missoula","MT","Orangetheory Fitness","3624 Brooks St","59801",46.8371497,-114.03617
"59801","Missoula","MT","Missoula Family YMCA","3000 S Russell St","59801",46.84349822202416,-114.01760553618136
"59801","Missoula","MT","Hauser's Insanity gym","not_available","59801",46.870942836306305,-114.01427755671612
"59801","Missoula","MT","FIT Missoula","W South Ave, Missoula, Mt 59801","59801",46.84906768798828,-114.01979064941406
"59802","Missoula","MT","Planet Fitness","2640 N Reserve St","59808",46.889832,-114.036771
"59802","Missoula","MT","Momentum Athletic Training","214.5 East Main St.","59802",46.86287771697423,-113.96812110458752
"59803","Missoula","MT","Snap Fitness Lolo","116 Glacier Dr Ste 103","59847",46.76535719312161,-114.0781511984278
"59803","Missoula","MT","Peak Health and Wellness Center","5000 Blue Mountain Rd","59804",46.82433049999999,-114.0778115
"59804","Missoula","MT","Lifestyle Fitness And Kids Club","3275 N Reserve St","59808",46.895730660438645,-114.04086409205436
"59828","Corvallis","MT","Canyons Health Club","672 Tammany","59840",46.244557,-114.134096
"59847","Lolo","MT","Anytime Fitness","39 Stevensville Cutoff Rd","59870",46.5214729309082,-114.11189270019531
"59860","Polson","MT","The Workout Express Firm","304 Main St","59860",47.6929931640625,-114.16377258300781
"59860","Polson","MT","Polson Fitness","805 7th St E Unit B","59860",47.68752670288086,-114.1531982421875
"59901","Kalispell","MT","Access Fitness Evergreen","1331 US Highway 2 W","59901",48.199383862885576,-114.33832458434148
"59901","Kalispell","MT","Hampton Inn Fitness Center","Highway 2","not_available",48.198402404785156,-114.32928466796875
"59901","Kalispell","MT","Access Fitness","not_available","59901",48.20413293095953,-114.3048042876902
"59901","Kalispell","MT","Kalispell Athletic Club","770 W Reserve Dr","59901",48.23998260498047,-114.32078552246094
"59901","Kalispell","MT","Bobby T's Fitness Factory","5th Ave","59901",48.20525862386852,-114.32432787667392
"59901","Kalispell","MT","Flying Fish Kids' Gym","6475 US Highway 93 S","59937",48.395142,-114.333886
"59901","Kalispell","MT","Montana Athletic Club","850 Holt Drive","59911",48.07523072247417,-114.11109055612408
"59901","Kalispell","MT","EZ Air Academy","28 Roundboy Ct #1","59901",48.26856231689453,-114.26849365234375
"59901","Kalispell","MT","The Summit","205 Sunnyview Ln","59901",48.21612947046603,-114.32684413645077
"59901","Kalispell","MT","Impact Strong Kalispell","2593 US Highway 2 E","59901",48.23984567,-114.2754212
"59901","Kalispell","MT","Flathead Health and Fitness","300 1st Ave W","59901",48.19531884921774,-114.31448519479451
"59901","Kalispell","MT","Iron Fitness","734 9th St W","59912",48.370177512196825,-114.1914810259306
"59923","Libby","MT","la fitness","Sky Lakes","59935",48.3201904296875,-115.71451568603516
"59937","Whitefish","MT","Gym/Fitness Center Within Iron Horse Clubhouse","not_available","59937",48.44908475788497,-114.343526025179
