"zip","city","state","name","address","postalCode","lat","lon"
"03031","Amherst","NH","Hampshire Hills Sports & Fitness - Indoor Pools","50 Emerson Rd","03055",42.81392371590683,-71.6367259723853
"03031","Amherst","NH","The Studio At Carriage Lane","3 Carriage Ln","03110",42.91642761230469,-71.5675277709961
"03031","Amherst","NH","Hampshire Hills Studio 1","not_available","03054",42.82195,-71.559581
"03031","Amherst","NH","Gold","not_available","not_available",42.87154,-71.685146
"03031","Amherst","NH","Sky High Gymnastics","185 Elm St","03055",42.8384077,-71.6675138
"03031","Amherst","NH","Gold's Gym","195 Elm St","03055",42.83884602512241,-71.66721621996516
"03032","Auburn","NH","welliot Gym - Elliot","not_available","03103",42.94995146595255,-71.39412425107051
"03033","Brookline","NH","Crossfit Hephaestus","not_available","03038",42.7917884241416,-71.63737097381006
"03036","Chester","NH","Kickstart Fitness Personal Training","37 Fremont Rd","03873",42.93389129638672,-71.18385314941406
"03037","Deerfield","NH","Anytime Fitness","262 1st NH Turnpike Ste. 1","03261",43.19885,-71.15733
"03038","Derry","NH","CKO Kickboxing Londonderry","4 Orchard View Drive","03053",42.86364494,-71.35335238
"03038","Derry","NH","Orangetheory Fitness","30 Main St","03053",42.87263107299805,-71.3476333618164
"03038","Derry","NH","Integrity Health Coaching for Women","44 Nashua Rd","03053",42.867117,-71.348911
"03038","Derry","NH","curves for women londonderry nh","4 Orchard View Dr","03053",42.863439,-71.354241
"03038","Derry","NH","Balanced Body Fitness Gx","42 Manchester Rd","03038",42.89862060546875,-71.33771514892578
"03042","Epping","NH","The Zoo Health Club - Epping","4 Beehive Dr","03042",43.03208923339844,-71.07256317138672
"03043","Francestown","NH","The Gym","not_available","03281",43.022381,-71.752163
"03045","Goffstown","NH","Planet Fitness","553 S Mast Rd","03045",43.00098796527228,-71.51680786567879
"03045","Goffstown","NH","G&H Fitness","679 Mast Road","03824",42.99430525517979,-71.50646924972533
"03045","Goffstown","NH","Gold's Gym","64 Daniel Plummer Rd","03045",42.995868437648014,-71.52087057842114
"03045","Goffstown","NH","The Oriental Martial Arts of NH","712 Mast Rd Fl 2","03102",42.99201009999999,-71.5035618
"03045","Goffstown","NH","FitLab","Daniel Plummer Rd","not_available",42.995618,-71.52114
"03045","Goffstown","NH","The Gym at the Clubhouse at Woodland Pond","not_available","03102",43.04730021788614,-71.50540171540459
"03045","Goffstown","NH","Highwood Village Gym","Mountain Ash Ln","not_available",42.990022,-71.516575
"03045","Goffstown","NH","YMCA Allard Center","116 Goffstown Back Rd","03045",43.02107030029876,-71.53130131094288
"03047","Greenfield","NH","EMS Fitness Center","1 Vose Farm Rd","03458",42.915061950683594,-71.93826293945312
"03047","Greenfield","NH","Bond Wellness Center","458 Old Street Rd","03458",42.89352103408899,-71.94085103293331
"03048","Greenville","NH","NIX GYM","138 Turnpike Rd","03071",42.742191314697266,-71.81861114501953
"03049","Hollis","NH","Gold's Gym","522 Amherst St","03063",42.79484619000176,-71.52734806791757
"03049","Hollis","NH","Get In Shape For Women","not_available","03063",42.798225,-71.533355
"03049","Hollis","NH","EnduraFit","not_available","03049",42.743852,-71.588629
"03051","Hudson","NH","Pure Barre","112 Spit Brook Rd Ste B","03062",42.7085561,-71.458543
"03051","Hudson","NH","Anytime Fitness","77 Derry Rd","03051",42.77562,-71.44383
"03051","Hudson","NH","Orangetheory Fitness","104 Spit Brook Rd","03062",42.708299384142855,-71.45691079882754
"03051","Hudson","NH","Royal Crest Gym","Royal Crest Drive","not_available",42.71234887924083,-71.44806880691326
"03051","Hudson","NH","Golds gym","not_available","03045",42.754145967454775,-71.42782304982669
"03051","Hudson","NH","Gateway Hills Health Club","100 Innovative Way","03062",42.713094354605836,-71.4591087187916
"03051","Hudson","NH","Work Out World","300 Main St","03060",42.752487933316814,-71.4593910659803
"03051","Hudson","NH","American Fitness Center","50 Bridge St","03060",42.763782429825305,-71.44830058516578
"03051","Hudson","NH","Whitney Sauna","5-9 Grove St","03064",42.765676975250244,-71.46287798881531
"03051","Hudson","NH","Koko FitClub","225 Daniel Webster Hwy","03060",42.712398,-71.443994
"03051","Hudson","NH","Snap Fitness","290 Derry Rd","03051",42.81402587890625,-71.42254638671875
"03051","Hudson","NH","FitLab Hudson","142 Lowell Rd","03051",42.74664306640625,-71.42469024658203
"03051","Hudson","NH","NashFit","1 Oracle Dr","03062",42.710798292200764,-71.46039571149639
"03051","Hudson","NH","Gym","7-11 Dan Chan St","03060",42.70409466,-71.43859954
"03051","Hudson","NH","Atlantis Sports Club & Spa","11 Tara Blvd","03062",42.71018272283415,-71.45351829271515
"03051","Hudson","NH","Bay Ridge Gym","25 Bay Ridge Dr","03062",42.70424806780838,-71.45731209534529
"03052","Litchfield","NH","YMCA of Greater Nashua, Merrimack Branch","6 Henry Clay Dr","03054",42.80527291095128,-71.4832500822819
"03052","Litchfield","NH","Planet Fitness","105 Daniel Webster Hwy","03054",42.808409,-71.482733
"03053","Londonderry","NH","NH MEET OF CHAMPIONS","not_available","03053",42.881090092846044,-71.38827940558927
"03053","Londonderry","NH","In The Ring Fitness","42-44 Manchester Rd","03038",42.917109274461474,-71.37455988638405
"03053","Londonderry","NH","Balance Body Fitness","Crosby Ln","03053",42.84637203,-71.36368554
"03053","Londonderry","NH","Training Effects","Mohawk Dr","03053",42.84784698486328,-71.35914611816406
"03053","Londonderry","NH","The Workout Club","18 Orchard View Dr #2","03053",42.86144673917513,-71.35673980507534
"03053","Londonderry","NH","Executive Health & Sports Center","1 Highlander Way","03103",42.92567,-71.44844
"03053","Londonderry","NH","Celebrity Cheer","10 Liberty Dr","03053",42.915848,-71.362686
"03054","Merrimack","NH","Spenga Nashua","493 Amherst St","03063",42.79270935058594,-71.52186584472656
"03054","Merrimack","NH","Planet Fitness","360 Daniel Webster Hwy, Ste103","03054",42.849384,-71.494332
"03054","Merrimack","NH","Crossfit Earned","26B Columbia Cir","03054",42.85222625732422,-71.49414825439453
"03054","Merrimack","NH","Spartan Way Fitness Center","1 Spartan Way","03054",42.82381057739258,-71.5115737915039
"03054","Merrimack","NH","Gold's Gym Merrimack","515 Daniel Webster Hwy","03054",42.87185150564991,-71.49008005312832
"03054","Merrimack","NH","The Merrimack Wellness Center","2 Contra Way","03054",42.81418991088867,-71.50898742675781
"03060","Nashua","NH","z club Zumba","not_available","03060",42.76007074195431,-71.4700290608156
"03060","Nashua","NH","Best Fitness Nashua","55 Northeastern Blvd Unit 4","03062",42.737286387065055,-71.483392487313
"03060","Nashua","NH","Train 180","1 Pine Street Ext","03060",42.760582,-71.474992
