"zip","city","state","name","address","postalCode","lat","lon"
"97002","Aurora","OR","Anytime Fitness","30480 SW Boones Ferry Rd","97070",45.300094,-122.77298799999998
"97002","Aurora","OR","Simply Sport","21011 Main St NE","97002",45.232066,-122.754626
"97005","Beaverton","OR","LA Fitness","2800 SW Hocken Ave","97005",45.49957948395904,-122.81298039949607
"97005","Beaverton","OR","Stoneworks Climbing Gym","6775 SW 111th Ave","97008",45.47176458356903,-122.79070792559986
"97005","Beaverton","OR","VillaSport Athletic Club and Spa","13900 SW Meridian St","97005",45.504212750039756,-122.82467802145574
"97005","Beaverton","OR","Nike Sports Center","1 SW Bowerman Dr","97005",45.50890709287018,-122.83268682334389
"97005","Beaverton","OR","Cedar Hills Recreation Center","11640 SW Park Way","97225",45.50742301043648,-122.7971215274792
"97005","Beaverton","OR","Orangetheory Fitness","11800 Northwest Cedar Falls Dr","97229",45.52113969293043,-122.80136705792587
"97005","Beaverton","OR","Deveraux Glen Gym","not_available","not_available",45.51596148720163,-122.78781412584438
"97005","Beaverton","OR","Orangetheory Fitness","3905 SW 117th Ave","97005",45.49079132080078,-122.79914093017578
"97005","Beaverton","OR","Hellz Bellz Fitness","9974 SW Arctic Dr","97005",45.480332000000004,-122.779422
"97005","Beaverton","OR","Hyland Hills Curves","14356 SW Allen Blvd","97005",45.475196000000004,-122.824523
"97005","Beaverton","OR","StarCycle","11835 NW Cedar Falls Dr #125","97229",45.5217798,-122.8017754
"97005","Beaverton","OR","Stobiora Gymnasium","466 SW Valeria View Dr","97225",45.516514,-122.784117
"97005","Beaverton","OR","NW Fencing","not_available","97005",45.483596,-122.7824805
"97005","Beaverton","OR","Thrive Body Balance","9610 SW Sunshine Ct Ste 400","97005",45.4763298034668,-122.77617645263672
"97005","Beaverton","OR","P90X","not_available","97008",45.47955870383492,-122.77416507954776
"97005","Beaverton","OR","Northwest Fencing Center","4950 SW Western Ave","97005",45.4839747927533,-122.78194076266273
"97005","Beaverton","OR","Gymboree Play And Learn","10007-10399 SW Wilshire St","97225",45.507329,-122.78165845
"97005","Beaverton","OR","Athletes In Motion","10062 SW Arctic Drr","97005",45.480441,-122.78024599999999
"97005","Beaverton","OR","Beaverton Soccer Indoor","11035 SW 11th St","97005",45.481586,-122.79061899999999
"97005","Beaverton","OR","Curves Cedar Hills","10100-10110 SW Park Way","97225",45.50746505,-122.78192175
"97005","Beaverton","OR","A.I.M. Training Center","10062 SW Arctic Dr","97005",45.480560302734375,-122.78008270263672
"97005","Beaverton","OR","Express Fitness & Training","Allen","not_available",45.47453974570834,-122.77676150135075
"97005","Beaverton","OR","PDX Fencing","5645 SW Arctic Dr","97005",45.479112,-122.78023700000001
"97005","Beaverton","OR","Workout Anytime","14360 SW Allen Blvd","97005",45.475196000000004,-122.824523
