"zip","city","state","name","address","postalCode","lat","lon"
"29003","Bamberg","SC","BHHS weight room","Country Club Rd","29817",33.31599807739258,-81.11515808105469
"29006","Batesburg","SC","Anytime Fitness","221 W Columbia Ave","29006",33.90999,-81.53332
"29009","Bethune","SC","fitness world gym","not_available","29009",34.41399804765301,-80.34793349752192
"29016","Blythewood","SC","Jeep Rogers YMCA","900 Lake Carolina Blvd","29229",34.18668714558129,-80.88251619424678
"29016","Blythewood","SC","All Access Gym","not_available","not_available",34.1868782043457,-80.9704818725586
"29016","Blythewood","SC","MÜV Fitness","450 Killian Road","29203",34.1389427,-80.9530607
"29016","Blythewood","SC","Anytime Fitness","715 University Vlg Dr","29016",34.21535,-80.98688
"29016","Blythewood","SC","Bodysmith Fitness","2108 Clemson Rd","29229",34.1401252746582,-80.9157485961914
"29016","Blythewood","SC","Warrior Fitness CrossFit","not_available","29229",34.179178,-80.897999
"29016","Blythewood","SC","DXC Fitness Center","10301 Wilson Blvd","29016",34.17732151587501,-80.97355663776398
"29020","Camden","SC","Fitness zone","not_available","29078",34.230990519453485,-80.67330261919918
"29020","Camden","SC","Workin' Out!","not_available","29020",34.324924683333336,-80.64997761666666
"29020","Camden","SC","Crossfit 1732","938 Broad St","29020",34.244240999999995,-80.60651700000001
"29020","Camden","SC","Stover Middle School Gym","not_available","29045",34.17079539817015,-80.76055056075539
"29020","Camden","SC","Carolina Fitness Gym","2300 Broad St","29020",34.26974868774414,-80.60894775390625
"29020","Camden","SC","Atlas Gym","1099 Gordon St.","29020",34.24519421586539,-80.6135166967776
"29033","Cayce","SC","Crews Facility","1125 George Rogers Blvd","29201",33.97246502651366,-81.01736040811116
"29033","Cayce","SC","Planet Fitness","833 State St","29033",33.987183337976475,-81.0548327160687
"29033","Cayce","SC","Brickhouse Gym","519 Huger St","29201",33.98870677780076,-81.04149867928034
"29033","Cayce","SC","SCANA Gym","220 Operation Way","29033",33.95649719238281,-81.04766082763672
"29033","Cayce","SC","Treadmill Of Doom","Ohio","29201",33.96944444444445,-81.028125
"29033","Cayce","SC","SCANA Corporation HQ LiveWell Wellness Center","100 Scana Pkwy","29033",33.93596267700195,-81.04679107666016
