"zip","city","state","name","address","postalCode","lat","lon"
"05001","White River Junction","VT","Anytime Fitness","66 Benning St. Ste. 2","03784",43.6324,-72.31411
"05001","White River Junction","VT","curves","Hartford Ave","05001",43.660683,-72.314514
"05001","White River Junction","VT","Quechee Club Gym","not_available","05059",43.657113729351074,-72.44003362456296
"05037","Brownsville","VT","The Climb Fitness Center","223 Hotel Rd","05037",43.466148376464844,-72.46614074707031
"05037","Brownsville","VT","Sports & Fitness","not_available","05037",43.466167243423904,-72.46606593669907
"05043","East Thetford","VT","Mighty Panther Dome","not_available","not_available",43.815086020607204,-72.23118535561751
"05051","Newbury","VT","Planet Fitness","179 Central St","03785",44.14653778076172,-72.03408813476562
"05051","Newbury","VT","The Railyard Raquetball Club","not_available","03785",44.14504207,-72.03276655
"05055","Norwich","VT","Lacorte Workout Room","not_available","03755",43.705094,-72.296037
"05060","Randolph","VT","Curves","10 S Main St","05060",43.9220674143047,-72.66423135995865
"05091","Woodstock","VT","Woodstock Recreation Center","not_available","05091",43.621884318262694,-72.52682298766436
"05101","Bellows Falls","VT","Flex Fitness","5 The Square","05101",43.134254455566406,-72.44497680664062
"05101","Bellows Falls","VT","Greater Rock Fitness","not_available","05101",43.126780417854576,-72.44415571393147
"05143","Chester","VT","Snap Fitness","not_available","05156",43.32136689925254,-72.50621341833684
"05143","Chester","VT","Grafton Village Fitness Center","193 Townshend Rd","05146",43.17008590698242,-72.6099853515625
"05155","South Londonderry","VT","Stratton Sports Center","43 Sports Center Rd","05360",43.11259100540363,-72.89774587273835
"05201","Bennington","VT","Anytime Fitness","120 Depot St","05201",42.88048,-73.19897
"05201","Bennington","VT","Bennington CrossFit","190 North St","05201",42.880581,-73.197582
"05201","Bennington","VT","Off The Wall","Benmont Ave","05201",42.88391876220703,-73.20269775390625
"05201","Bennington","VT","Curves","748 Main St","05201",42.87952,-73.18442
"05255","Manchester Center","VT","The Manchester Gym","320 Airport Rd","05255",43.160369873046875,-73.04718017578125
"05255","Manchester Center","VT","Body Lab","369 Depot St","05255",43.174949645996094,-73.05087280273438
"05301","Brattleboro","VT","Supreme Fitness","1589 Putney Rd","05301",42.89624513310937,-72.55065885361637
"05301","Brattleboro","VT","BUHS Girl Locker Room","BUHS Gym","05301",42.81084458507417,-72.66055880359852
"05301","Brattleboro","VT","C&S Company Gym","not_available","05301",42.8863366,-72.5561857
"05301","Brattleboro","VT","BODHIFIT","green st","05301",42.8528820306014,-72.55945475415434
"05356","West Dover","VT","Sugarhouse","not_available","05356",42.971897905928046,-72.88701100280498
"05401","Burlington","VT","Hilton Gym","60 Battery St","05401",44.477966,-73.218039
"05401","Burlington","VT","Snap Fitness Burlington","1127 North Ave","05408",44.50780882859333,-73.24701182392774
"05401","Burlington","VT","Dealer.com GYM","1 Howard St","05401",44.466166846264954,-73.2143872886733
"05401","Burlington","VT","Gym at The Sheraton","870 Williston Rd","05403",44.47203063964844,-73.18714141845703
"05401","Burlington","VT","J-Ba Fitness Center","not_available","05403",44.460203,-73.180332
"05401","Burlington","VT","Marketplace Fitness","27 Church St","05401",44.47941345970764,-73.2130119872954
"05401","Burlington","VT","PT 360","64 Colchester Ave","05401",44.481128,-73.197238
"05401","Burlington","VT","Courtyard By Mariott Gym","25 Cherry St","05401",44.478990945405286,-73.21862892209306
"05401","Burlington","VT","All Wellness Physical Therapy & Pilates","128 Lakeside Ave","05401",44.4618035,-73.21789603
