"zip","city","state","name","address","postalCode","lat","lon"
"35004","Moody","AL","Lowe's","8900 Weaver Avenue","35094",33.5652506,-86.5180457
"35004","Moody","AL","Ace Hardware","3070 Moody Pkwy","35004",33.59282,-86.49277
"35004","Moody","AL","Green Bros Hardware","3070 Moody Prkwy","35004",33.593605041503906,-86.49018096923828
"35004","Moody","AL","Bel-Air Turf Products LLC","3350 U.S. 78","35094",33.576507568359375,-86.47045135498047
"35004","Moody","AL","Tractor Supply Co.","3400 Moody Pkwy","35004",33.60010120567579,-86.48046040304482
"35004","Moody","AL","lowes - Aisle 10","not_available","35004",33.573265075683594,-86.5129165649414
"35005","Adamsville","AL","Ed's Lock & Key","2608 32d Ave N","35073",33.6380169,-86.9808778
"35005","Adamsville","AL","White Electrics tool trailer","Miller Steam Plant","not_available",33.632267,-87.06031
"35005","Adamsville","AL","minuteKEY","2473 Hackworth Rd","35214",33.57945251464844,-86.9242172241211
"35006","Adger","AL","Hardware","not_available","35023",33.494032,-87.112633
"35007","Alabaster","AL","Lowe's","235 Colonial Promenade Parkway","35007",33.2308957,-86.8049703
"35007","Alabaster","AL","Ferguson Waterworks","190 Commerce Dr","35124",33.27144515633851,-86.75426743200856
"35007","Alabaster","AL","Sherwin-Williams Paint Store","60 Colonial Promenade Pkwy","35007",33.22959518432617,-86.80271911621094
"35007","Alabaster","AL","Alabama Forest Products","not_available","not_available",33.268385937931036,-86.78881242792981
"35007","Alabaster","AL","City Electric Supply Alabaster","285 Scotland Dr","35007",33.18667310553981,-86.75735454263753
"35007","Alabaster","AL","Thompson Cat Rental Store - Alabaster","2070 Corporate Woods Dr","35007",33.194618225097656,-86.78815460205078
"35007","Alabaster","AL","Sealing Equipment Products Inc.","123 Airpark Industrial Rd","35007",33.194655,-86.784856
"35007","Alabaster","AL","minuteKEY","235 COLONIAL PROMENADE PARKWAY","35007",33.23126983642578,-86.80475616455078
"35010","Alexander City","AL","The Home Depot","1460 Hwy 280","35010",32.9498315,-85.9921814
"35010","Alexander City","AL","minuteKEY","2643 Highway 280","35010",32.939849853515625,-85.97647857666016
"35010","Alexander City","AL","Tractor Supply Co.","1556 Mill Sq","35010",32.935524,-85.970703
"35010","Alexander City","AL","Harbor Freight","not_available","35010",32.920353,-85.959193
"35010","Alexander City","AL","Husqvarna US","PO Box 1747","35011",32.9270133972168,-85.93400573730469
"35010","Alexander City","AL","Russell Do it Center - Alex City","1750 Highway 22 W","35010",32.93107986450195,-85.97528839111328
