"zip","city","state","name","address","postalCode","lat","lon"
"83201","Pocatello","ID","Lowe's","650 Bullock Street","83202",42.9113809,-112.4606943
"83201","Pocatello","ID","Air Gas","not_available","not_available",42.866420654421,-112.44421378279688
"83201","Pocatello","ID","Harbor Freight Tools","4150 Yellowstone Ave Ste A","83202",42.90837097167969,-112.46510314941406
"83201","Pocatello","ID","Sears","2215 Garrett Way","83201",42.8812498,-112.4653915
"83201","Pocatello","ID","Tractor Supply Co.","1800 Garrett Way Ste 35","83201",42.878867,-112.458463
"83201","Pocatello","ID","Ace Hardware & Element Outfitters","222 S 5th Ave","83201",42.866401,-112.44227
"83201","Pocatello","ID","The Home Depot","4340 Hawthorne Rd","83202",42.912034088388715,-112.47483015060419
"83201","Pocatello","ID","Scott's Lock & Key Co.","2732 Pole Line Rd","83201",42.88713997921403,-112.46548484054739
"83201","Pocatello","ID","Platt","not_available","83201",42.883756,-112.466166
"83201","Pocatello","ID","Dell's Home Appliance & Mattress Center","355 E. Center St.","83201",42.8649719,-112.4456111
"83201","Pocatello","ID","RSD","2953 Garrett Way","83201",42.888648986816406,-112.47440338134766
"83201","Pocatello","ID","Platt Electric Supply","2815 Garrett Way Ste A","83201",42.887,-112.47
"83201","Pocatello","ID","Franklin Building Supply","1951 Flandro Dr","83202",42.910980224609375,-112.45218658447266
"83201","Pocatello","ID","Sherwin-Williams Paint Store","110 Knudsen Blvd","83202",42.91661071777344,-112.46711730957031
"83201","Pocatello","ID","Sherwin-Williams Paint Store","1117 Yellowstone Ave","83201",42.895422428676476,-112.45187312364578
"83201","Pocatello","ID","Columbia Paint & Coatings","1110 Yellowstone Ave","83201",42.895538330078125,-112.45076751708984
"83201","Pocatello","ID","hampton builders","669 W Quinn Rd, Pocatello, ID 83202","83202",42.905494689941406,-112.4613265991211
"83201","Pocatello","ID","Franklin Bldg Materials","1651 Flandro Dr.","not_available",42.90797424316406,-112.45160675048828
"83204","Pocatello","ID","Harbor Freight Tools","not_available","83204",42.845118,-112.419752
"83210","Aberdeen","ID","Ace Hardware Aberdeen","123 S Main","83210",42.94265,-112.94265
"83211","American Falls","ID","Ace Hardware","150 Fort Hall Ave","83211",42.7917199,-112.85061
"83213","Arco","ID","Diers Home Improvement Center","318 Sunset Dr","83213",43.638429,-113.307128
"83217","Bancroft","ID","Lava Ace Hardware","105 East Main Street","83246",42.6192179,-112.01358
"83221","Blackfoot","ID","Ace Hardware Blackfoot","51 S Spruce St","83221",43.1913199,-112.35036
"83221","Blackfoot","ID","CAL Ranch","250 N Meridian St","83221",43.19511074492136,-112.3546751838447
"83221","Blackfoot","ID","Blackers Complete Home Furnishings","1365 Parkway Drive","83221",43.19635,-112.362376
"83221","Blackfoot","ID","Ferguson Waterworks","6715 W Overland Dr","83402",43.4362907409668,-112.11608123779297
"83221","Blackfoot","ID","Rockford Ranch Hardware & Lumber Supply","55 S 1200 W","83221",43.1900328,-112.5342228
"83221","Blackfoot","ID","Lockwood Manufacturing","1601 W Bridge St","83221",43.1932822,-112.362659
"83221","Blackfoot","ID","Standard Plumbing Supply","462 W H26","83221",43.209075927734375,-112.38809204101562
"83221","Blackfoot","ID","Standard True Value - Blackfoot","462 W Highway 26","83221",43.209075927734375,-112.38809204101562
"83221","Blackfoot","ID","Ace Hardware","572 S State St","83274",43.37316131591797,-112.1303482055664
"83221","Blackfoot","ID","Haddon's Fencing","Camas Street","83221",43.18638148404437,-112.35659240142145
"83226","Challis","ID","Village Square","Hwy 93 S","83226",44.69174,-114.04871
"83226","Challis","ID","THE VILLAGE SQUARE","HWY 93 S","83226",44.5220947265625,-114.21527099609375
"83226","Challis","ID","Stranger's Field Service","188 Wilson Rd.","83226",44.5112862,-114.2181559
"83236","Firth","ID","Ace Hardware","999 North Meridian Road","83634",43.36216,-111.92594
"83251","Mackay","ID","Chateau Drug","4th And Leadville - Giacobbi Square","83340",43.68213422041141,-114.3641495186567
"83251","Mackay","ID","Rocky Mountain Hardware","180 Main Street","83340",43.680039,-114.36319
"83251","Mackay","ID","Sherwin-Williams Paint Store","251 Northwood Way","83340",43.690437,-114.369735
"83252","Malad City","ID","Evans Coop/True Value","25 N Main St","83252",42.1861686706543,-112.24602508544922
"83254","Montpelier","ID","GUNDERSEN TRUE VALUE","410 Washington St","83254",42.317623138427734,-111.29812622070312
"83263","Preston","ID","Bobs True Value","44 S State St","83263",42.095298767089844,-111.87699127197266
"83263","Preston","ID","Stokes Market","217 So State St","83263",42.0911865234375,-111.87545776367188
"83263","Preston","ID","Hansen Glass & Paint","not_available","83263",42.09671401977539,-111.87693786621094
"83276","Soda Springs","ID","Soda Springs Trading Co.","50 E 2nd S","83276",42.65410232543945,-111.60218811035156
"83276","Soda Springs","ID","Broulim's Ace Hardware","89 W 2nd S","83276",42.654361724853516,-111.60530090332031
"83301","Twin Falls","ID","The Home Depot","1650 Pole Line Rd E","83301",42.5904827,-114.4534938
"83301","Twin Falls","ID","Lowe's","1350 Blue Lakes Boulevard North","83301",42.5856784,-114.4579357
"83301","Twin Falls","ID","Logan's Market","130 Hwy 30","83328",42.56427731414821,-114.60488746579361
"83301","Twin Falls","ID","Tacoma Screw","780 Blue Lakes Blvd N","83301",42.575713558889426,-114.46000473054718
"83301","Twin Falls","ID","Harbor Freight Tools","1414 Pole Line Rd E","83301",42.5914,-114.45608200000001
"83301","Twin Falls","ID","Wolseley Industrial Group","2150 Eldridge Ave","83301",42.5411995278487,-114.444714544368
"83301","Twin Falls","ID","Sherwin-Williams Paint Store","1615 Locust St N","83301",42.59037780761719,-114.45584106445312
"83301","Twin Falls","ID","Grover's Pay And Pack","130 Eastland Dr S","83301",42.5478401184082,-114.44109344482422
"83301","Twin Falls","ID","Twin Falls Sewing Center Inc.","not_available","83301",42.55666833362108,-114.46981430053711
"83301","Twin Falls","ID","J & J Enterprises","1704 Addison Ave E","83301",42.5627928,-114.4525995
"83301","Twin Falls","ID","Sherwin-Williams Paint Store","1936 Kimberly Rd","83301",42.5478638208519,-114.44700479507446
"83301","Twin Falls","ID","Krengel's Hardware","628 Main Ave. So","83301",42.55092236294923,-114.46369132226772
