"zip","city","state","name","address","postalCode","lat","lon"
"66002","Atchison","KS","Thayer Supply Co.","1413 Main St","66002",39.56126,-95.136129
"66002","Atchison","KS","Thayer Supply Co.","309 Commercial St","66002",39.56215286254883,-95.1167984008789
"66002","Atchison","KS","Franklin's Hardware Store","not_available","66002",39.56239483340858,-95.12108110500034
"66002","Atchison","KS","Orscheln","1089-1311 Skyway Hwy","66002",39.556663,-95.12870500000001
"66002","Atchison","KS","Blish Mize","not_available","not_available",39.560008,-95.119693
"66002","Atchison","KS","Husqvarna US","104 E Laramie St","66002",39.56696319580078,-95.1143798828125
"66002","Atchison","KS","Sears","101 N. Fourth St.","66002",39.562007891704084,-95.11816845105386
"66002","Atchison","KS","The Hardware Store","609 Commercial St","66002",39.56220626831055,-95.12097930908203
"66006","Baldwin City","KS","New Era Roofing","not_available","66006",38.782548,-95.185935
"66006","Baldwin City","KS","Arrowhead Hardware","318 6th St","not_available",38.78537226582789,-95.18683473076982
"66012","Bonner Springs","KS","Nuts And Bolts","626 S 130th St","66012",39.0721330894621,-94.88348143352997
"66012","Bonner Springs","KS","minuteKEY","12801 Kansas Ave","66012",39.0858485,-94.8778852
"66013","Bucyrus","KS","Hardware Shack","19880","66085",38.767501,-94.669295
"66018","De Soto","KS","Harding Heating & Air Conditioning","not_available","66018",38.97824,-94.96299
"66024","Elwood","KS","Porters Building Centers","807 Roseport Road","66024",39.750602,-94.866547
"66025","Eudora","KS","Garage Door Repair Irvington","Myrtle Ave","07111",38.98046251940782,-95.09439468383789
"66030","Gardner","KS","Sherwin-Williams Paint Store","235 Stonecreek Dr","66030",38.81449890136719,-94.90574645996094
"66030","Gardner","KS","CMI Gardner","780 E Warren","66030",38.80068,-94.91832
"66030","Gardner","KS","Trails West Ace Hardware","240 N Moonlight Rd","66030",38.81422508630805,-94.9095973596083
"66030","Gardner","KS","Norris Equipment Company","604 E Main St","66030",38.81132,-94.91614
"66032","Garnett","KS","Brummel Farm Service","802 S Oak St, Garnett, KS 66032","66032",38.276859283447266,-95.24211883544922
"66032","Garnett","KS","Miller Hardware","703 N Maple St","66032",38.291337780009094,-95.24984459513603
"66032","Garnett","KS","Garnett Home Center","410 N Maple St","66032",38.2869987487793,-95.24882507324219
"66032","Garnett","KS","Do It Best Hardware Store Garnett","not_available","66032",38.287106,-95.248607
"66033","Greeley","KS","Diversified Supply","21368 Earnest Rd","66072",38.330982,-94.990315
"66040","La Cygne","KS","Husqvarna US","36550 New Lancaster Rd","66071",38.463470458984375,-94.73343658447266
"66043","Lansing","KS","The Home Depot","5000 S 4th Street","66048",39.2696482,-94.9010011
"66043","Lansing","KS","Tractor Supply Co.","1111 North Main St","66043",39.266630325555305,-94.90022308687671
"66043","Lansing","KS","Westlake Ace Hardware 043","3400 S 4th St Ste 4","66048",39.28492403998751,-94.9069152003178
"66043","Lansing","KS","City Electric Supply Leavenworth","910 Eisenhower Rd","66048",39.267707,-94.925879
"66043","Lansing","KS","Sherwin-Williams Paint Store","3425 S 4th St","66048",39.28455612420435,-94.90273475646973
"66043","Lansing","KS","minuteKEY","5000 10th Ave","66048",39.2687839,-94.93055
"66043","Lansing","KS","McCann Plumbing & Heating Inc","4500 Brewer Pl","66048",39.273656,-94.895476
"66044","Lawrence","KS","Westlake Ace Hardware 065","601 Kasold Dr","66049",38.9714999,-95.281199
"66044","Lawrence","KS","Lawrence Habitat for Humanity Restore","708 Connecticut St","66044",38.97052294795697,-95.23233862213708
"66044","Lawrence","KS","Steve Bruce Welding  Fabrication LLC","2046 E 1400 Rd","66044",39.03642654418945,-95.24109649658203
"66044","Lawrence","KS","Capitol Concrete","not_available","66044",39.003789,-95.232812
"66044","Lawrence","KS","Housing Maintenance Storeroom","2303 Bob Billings Pkwy","66049",38.956771,-95.264488
"66046","Lawrence","KS","Menard's","not_available","66046",38.929811236395864,-95.25291851069584
"66046","Lawrence","KS","The Home Depot","1910 W 31st St","66046",38.9298664,-95.2575406
"66046","Lawrence","KS","Westlake Ace Hardware 014","711 W 23rd St","66046",38.9428029,-95.243549
"66046","Lawrence","KS","Tractor Supply Co.","2420 Fairfield St","66046",38.94108739337251,-95.19838540029909
"66046","Lawrence","KS","Superior Electric","2500 W 31st St","66047",38.928834,-95.266014
"66046","Lawrence","KS","Sherwin-Williams Paint Store","2108 W 27th St","66047",38.935131,-95.262264
"66046","Lawrence","KS","Art In Living","821 W 22nd Ter","66046",38.9435,-95.2451
"66046","Lawrence","KS","Spectrum Paint","2540 Iowa St Ste Q","66046",38.93688201904297,-95.25997161865234
"66048","Leavenworth","KS","Sebus Brothers True Value","405 Main St","64098",39.41048694,-94.90228714
"66048","Leavenworth","KS","Gronis Hardware","not_available","66048",39.3120244,-94.9122424
"66048","Leavenworth","KS","Gronis Hardware","517 Cherokee St","66048",39.316971240951354,-94.91594970733044
"66048","Leavenworth","KS","CBT-Certified Backflow Testing","16430 Sexton Rd","64079",39.392366,-94.83663790000001
"66049","Lawrence","KS","Fernando Sepulveda Refacciones Escobedo","Boulevard Benito Juarez #136 colonia residencial escobedo","66050",39.0378871,-95.4463322
"66053","Louisburg","KS","Mossman True Value Lumber","27295 Metcalf Rd","66053",38.6354681563126,-94.676019759519
"66054","Mc Louth","KS","Himpel Lumber","not_available","66086",39.10856544971466,-95.084149
"66061","Olathe","KS","The Home Depot","20025 W 154th Street","66062",38.8487546,-94.8176303
"66061","Olathe","KS","Sutherlands","16665 W 151st St","66062",38.85353088378906,-94.77864074707031
"66061","Olathe","KS","Grass Pad Olathe","425 N Rawhide Dr","66061",38.887429963125655,-94.7908994850248
"66061","Olathe","KS","Tractor Supply Co.","15945 South Us 169 Hwy","66062",38.839574,-94.815291
"66061","Olathe","KS","Westlake Ace Hardware 013","120 N Clairborne Rd","66062",38.883307,-94.789238
"66061","Olathe","KS","Bulger True Value","1185 W Sante Fe","66061",38.8837471317829,-94.8379272868217
"66061","Olathe","KS","Bledsoes Rentals","208 W Dennis Ave","66061",38.869292902435156,-94.82121013238694
