"zip","city","state","name","address","postalCode","lat","lon"
"01001","Agawam","MA","Rocky's Ace Hardware","10 Springfield St","01001",42.089294,-72.627324
"01001","Agawam","MA","Kittredge","not_available","not_available",42.05956228213376,-72.65226731314287
"01001","Agawam","MA","Harbor Freight Tools","1150 Union Street Ext #B","01089",42.094547556148555,-72.6062297580748
"01001","Agawam","MA","Rexel","338a Memorial Drive","01089",42.096548,-72.602604
"01001","Agawam","MA","Atlantic Fasteners","Haywood Ave","01089",42.093716,-72.622349
"01001","Agawam","MA","Sherwin-Williams Paint Store","835 Memorial Ave","01089",42.09503404653641,-72.61102437973022
"01001","Agawam","MA","Budget Cabinets","300 Main St","01001",42.082446999999995,-72.616897
"01001","Agawam","MA","Sanford & Hawley, Inc.","not_available","01089",42.09525269680459,-72.61958374298065
"01001","Agawam","MA","Bath & Kitchen Gallery","1060 Memorial Ave","01089",42.09439995,-72.61540588
"01002","Amherst","MA","Boyden & Perron Inc","41 S Whitney St","01002",42.374542,-72.508987
"01002","Amherst","MA","Leader Home Centers","150 College St","01002",42.373629,-72.511904
"01002","Amherst","MA","Cowls Building Supply","125 Sunderland Rd","01002",42.4146,-72.53144300000001
"01002","Amherst","MA","Sherwin-Williams Paint Store","458 Russell St","01035",42.36612262715912,-72.53701686859131
"01005","Barre","MA","Husqvarna US","140 Worcester Rd #1","01005",42.40633773803711,-72.0949478149414
"01005","Barre","MA","Leader Home Centers","99 S Barre Rd","01005",42.405668,-72.09939399999999
"01007","Belchertown","MA","Tractor Supply Co.","30 Turkey Hill Rd","01007",42.266352000000005,-72.419302
"01007","Belchertown","MA","Husqvarna US","10 Ware Rd","01007",42.28433609008789,-72.39059448242188
"01007","Belchertown","MA","Stadler Hardware","3 Stadler St","01007",42.272015,-72.409599
"01010","Brimfield","MA","County Line True Value Hardware","341 Sturbridge Rd","01010",42.111108,-72.145554
"01010","Brimfield","MA","Infinite Granite","310 Sturbridge Rd","01010",42.112628,-72.151137
"01013","Chicopee","MA","The Home Depot","179 Daggett Dr","01089",42.134409656926216,-72.61886715888977
"01013","Chicopee","MA","Tri County Contractor Supply","154 Wayside Ave","01089",42.142790000000005,-72.622902
"01013","Chicopee","MA","Lavato Supply Co","165 Front St","01013",42.147217,-72.613047
"01013","Chicopee","MA","Lindco Springfield","176 Wayside Ave","01089",42.142941,-72.622152
"01013","Chicopee","MA","HD Supply A.H. Harris","323 Meadow St","01013",42.17741672,-72.61332912
"01013","Chicopee","MA","Holyoke Lock Company","170 Montgomery St","01020",42.164878845214844,-72.58348083496094
"01013","Chicopee","MA","Granite City Electric","451 Meadow Street","01013",42.174468,-72.614188
"01013","Chicopee","MA","Granite City","119 Fisk Ave","01107",42.123001,-72.61301800000001
"01020","Chicopee","MA","The Home Depot","655 Memorial Dr","01020",42.1760119,-72.5740658
"01020","Chicopee","MA","Bargain Outlet","1956 Memorial Drive","01020",42.210342,-72.57308
"01020","Chicopee","MA","Westover Building Supply","37 Telegraph Ave","01020",42.20215,-72.57878199999999
"01020","Chicopee","MA","Sherwin-Williams Paint Store","544 Memorial Dr","01020",42.173924,-72.577014
"01020","Chicopee","MA","Larrys Supply","151 East St","01020",42.155165999999994,-72.576035
"01020","Chicopee","MA","minuteKEY","591 Memorial Dr","01020",42.1735191,-72.5763826
"01020","Chicopee","MA","Maine Oxy","40 Haynes Cir","01020",42.162239,-72.556955
"01020","Chicopee","MA","Sherwin-Williams Commercial Paint Store","90 Carando Dr","01104",42.145757,-72.535145
"01020","Chicopee","MA","Fastenal","190 Brookdale Dr, Springfield, MA 01104","01104",42.14649200439453,-72.52796936035156
"01020","Chicopee","MA","Rocky's Ace Hardware","1381 Liberty St","01104",42.140077000000005,-72.58160600000001
"01020","Chicopee","MA","Ferguson Waterworks","1125 Sheridan St","01022",42.185542,-72.557716
"01020","Chicopee","MA","Amber Energy Online","91 Main St","01075",42.21479859999999,-72.5958915
"01020","Chicopee","MA","PRO Equipment Rental","280 Brookdale Dr, Springfield, MA 01104","01104",42.14844512939453,-72.52538299560547
"01020","Chicopee","MA","ProSource of Springfield","149 Carando Dr","01104",42.14538,-72.53217
"01020","Chicopee","MA","Springfield Plumbing Supply","660 Broadway St","01020",42.140614,-72.582521
"01027","Easthampton","MA","Manchester Hardware","65 Union St","01027",42.268316,-72.670529
"01027","Easthampton","MA","Foster Farrar True Value","145 King St","01060",42.325145,-72.63239300000001
"01027","Easthampton","MA","Just Ask Rental","not_available","01027",42.2683,-72.6709
"01027","Easthampton","MA","Sherwin-Williams Paint Store","312 King St","01060",42.334004,-72.63624200000001
"01027","Easthampton","MA","Hampden Zimmerman","440","not_available",42.31330871582031,-72.6242446899414
"01027","Easthampton","MA","Northampton Plumbing Supply - Premier Supply Group","168 Industrial Dr","01060",42.335695,-72.632847
"01027","Easthampton","MA","Northampton Lumber Company","256 Pleasant St","01060",42.316990000000004,-72.625842
"01027","Easthampton","MA","Auto Plus","not_available","01060",42.33337,-72.63754
"01027","Easthampton","MA","Tractor Supply Co.","2 College Hwy","01073",42.253935,-72.69718
"01027","Easthampton","MA","Easthampton Feed","18 Mechanic St","01027",42.269144,-72.667831
"01027","Easthampton","MA","Aubuchon Hardware","168 Northampton St","01027",42.283546,-72.667511
"01028","East Longmeadow","MA","Rocky's Ace Hardware","28 N Main St","01028",42.065395,-72.513321
"01028","East Longmeadow","MA","Besttile","311 Belmont Ave","not_available",42.07362944516432,-72.50995385022345
"01028","East Longmeadow","MA","Taylor True Value Rental","200 Shaker Rd","01028",42.0558078120325,-72.5181246148925
"01028","East Longmeadow","MA","Stud Hugger","444-A North Main Street #324  East","01028",42.07741928100586,-72.52680969238281
"01028","East Longmeadow","MA","All Hose Inc","341 Shaker Rd","01028",42.047925,-72.519391
"01028","East Longmeadow","MA","Kelly Fradet Lumber","north main street","01028",42.07990110004093,-72.53476035072786
"01028","East Longmeadow","MA","The Coating House Inc.","15 Benton Dr","01028",42.045654,-72.532966
"01028","East Longmeadow","MA","Acres Power Equipment Company","104 Shaker Rd","01028",42.060061,-72.51498199999999
"01033","Granby","MA","Allpower","​43 W State St","01033",42.244997,-72.546932
"01033","Granby","MA","Fairway Wholesale","not_available","01075",42.21918382652118,-72.55146037731271
"01033","Granby","MA","Tj's True Value Rental","577 Granby Rd","01075",42.2389388889,-72.5566755556
"01034","Granville","MA","Wackerbarth Box Shop","382 Granby Rd, Granville, MA 01034","01034",42.04132080078125,-72.86187744140625
"01035","Hadley","MA","Lowe's","282 Russell Street","01035",42.3534942,-72.5637546
"01035","Hadley","MA","The Home Depot","350 Russell St","01035",42.3598208,-72.5519992
"01035","Hadley","MA","Rocky's Ace Hardware","299 Russell St","01035",42.352356,-72.559774
"01035","Hadley","MA","Tj's  True Value Rental","301 Russell St","01035",42.3523582289272,-72.5617074437227
"01035","Hadley","MA","The Gutterman","88 Russell St","01035",42.341514000000004,-72.59875600000001
"01036","Hampden","MA","Hampden Hardware","Main St.","01036",42.062723,-72.420198
"01040","Holyoke","MA","Highland True Value Hardware & Bike Shop","917 Hampden St","01040",42.21332879,-72.62291004
"01040","Holyoke","MA","Taylor Rental","14 Shawmut Ave","01040",42.209787,-72.62649
"01040","Holyoke","MA","Sherwin-Williams Paint Store","2221 Northampton St","01040",42.185496,-72.633004
"01040","Holyoke","MA","Sears","2209 North Hampton Street","01040",42.1840638,-72.63300319999999
"01040","Holyoke","MA","Window World","not_available","01040",42.189946,-72.677351
"01056","Ludlow","MA","Rocky's Ace Hardware","442 Center St","01056",42.167793,-72.481319
"01056","Ludlow","MA","Ludlow Floor Sanding","58 Devens St","01151",42.153358459472656,-72.485595703125
"01056","Ludlow","MA","The Saw Center","472 Main St","01105",42.156608,-72.48854200000001
"01057","Monson","MA","Squier Lumber & Hardware","5 Squier Ave","01057",42.0962677,-72.31485839999999
"01057","Monson","MA","U Save Mattress","not_available","01069",42.15913428621914,-72.34356818634726
"01057","Monson","MA","Cross Globe Distribution","132 Bethany Rd","01057",42.120079,-72.307994
"01069","Palmer","MA","Lowe's","348 Palmer Road","01082",42.2376641,-72.2759788
"01069","Palmer","MA","Rocky's Ace Hardware","1583 N Main St","01069",42.162536,-72.341752
"01075","South Hadley","MA","Rocky's Ace Hardware","487 Newton St","01075",42.2357919,-72.582733
"01075","South Hadley","MA","Prolines","31 Boynton Ave","01075",42.240119,-72.57965899999999
"01077","Southwick","MA","IBS (Interstate Building Supply)","635 College Hwy","01077",42.06650161743164,-72.76510620117188
"01077","Southwick","MA","Tractor Supply Co.","673 College Hwy","01077",42.071699,-72.76604
"01082","Ware","MA","Cluett's Furniture","23 E Main St","01082",42.259669,-72.2389267
"01083","Warren","MA","E Z True Value","18 W Main St","01585",42.233791,-72.143336
"01085","Westfield","MA","The Home Depot","514 E Main St","01085",42.1135406,-72.7209014
"01085","Westfield","MA","Home Depot Distribution Center","50 Campanelli Dr","not_available",42.168914066177024,-72.73577028412521
"01085","Westfield","MA","Jerome's  Party Plus","253 Union St","01085",42.1241003869772,-72.7208697951902
"01085","Westfield","MA","06037","not_available","06037",42.132731,-72.748248
"01085","Westfield","MA","Rocky's Ace Hardware","2 Free St","01085",42.1207929,-72.746737
"01085","Westfield","MA","Fastenal","121 Summit Lock Rd, Westfield, MA","01085",42.174530029296875,-72.72940063476562
"01085","Westfield","MA","Sullivan Siding & Windows","83 Pinehurst St","01085",42.142070000000004,-72.746623
"01085","Westfield","MA","Bargain Outlet","not_available","01085",42.11312713717028,-72.72739468258513
"01089","West Springfield","MA","Grand Central Vac","1838 Riverdale St","01089",42.152809143066406,-72.63127136230469
"01089","West Springfield","MA","F. C. Taplin Co.","120 Interstate Dr","01089",42.158114000000005,-72.649484
"01095","Wilbraham","MA","The Home Depot","2001 Boston Rd","01095",42.1483624,-72.4735842
"01095","Wilbraham","MA","Lowes","not_available","01028",42.1461624288311,-72.48353877290263
"01095","Wilbraham","MA","Preco Power Equipment Supply","2460 Boston Rd","01095",42.14897,-72.44535
"01096","Williamsburg","MA","Husqvarna US","29 Goshen Rd","01096",42.399749755859375,-72.74427032470703
"01104","Springfield","MA","Re-store","174-184 Albany St","01105",42.11964547634125,-72.57530808448792
"01104","Springfield","MA","Serv-U","977 Saint James Ave","01104",42.135337,-72.56811
"01104","Springfield","MA","United Refrigeration","259 Page Blvd","01104",42.132208,-72.56128000000001
"01104","Springfield","MA","Chase Glass","123 Hancock St","01109",42.106342,-72.567949
"01105","Springfield","MA","E.B. Atmus Co.","not_available","01101",42.087841999999995,-72.578939
"01105","Springfield","MA","Plimpton And Hills","25 Mill River Ln","01105",42.08852,-72.579419
"01106","Longmeadow","MA","Brightwood True Value Hardware","794 Williams St","01106",42.055239,-72.55455400000001
"01108","Springfield","MA","Rocky's Ace Hardware","50 Island Pond Rd","01118",42.094471999999996,-72.551681
"01108","Springfield","MA","Marjam Co.","10 Allen St","01108",42.09703,-72.56364
"01108","Springfield","MA","KAKLEY TRUE VALUE HOME CENTER","10 Allen St #185","01108",42.095436096191406,-72.56358337402344
"01109","Springfield","MA","Bargain Outlet","685 Boston Road","01119",42.133807,-72.521432
"01109","Springfield","MA","Sherwin-Williams Paint Store","670 Boston Rd","01119",42.136059,-72.522621
"01118","Springfield","MA","Carr Paint","358 Cooley St","01128",42.094457,-72.501088
"01119","Springfield","MA","Hampden County Plumbing Supply - Premier Supply Group","372 Pasco Rd","01119",42.144605,-72.504307
"01119","Springfield","MA","Dean's Sewer & Drain Cleaning Service","134 Sunrise Ter","01119",42.122871,-72.502505
"01129","Springfield","MA","Lowe's","1560 Boston Road","01129",42.1443669,-72.4916474
"01129","Springfield","MA","Harbor Freight Tools","Boston Rd","01129",42.14406,-72.48723
"01129","Springfield","MA","minuteKEY","1600 Boston Rd","01129",42.144283294677734,-72.48973083496094
"01201","Pittsfield","MA","The Home Depot","555 Hubbard Ave","01201",42.4645374,-73.1995083
"01201","Pittsfield","MA","Dettinger Lumber Company","not_available","01201",42.43158101751071,-73.25816733458566
"01201","Pittsfield","MA","Carr Hardware","547 North St","01201",42.4562013,-73.251403
"01201","Pittsfield","MA","harbor freight","690 Merrill rd","01201",42.466827392578125,-73.2034683227539
"01201","Pittsfield","MA","Johns Building Supply","891 Crane Ave","01201",42.468903999999995,-73.207095
