"zip","city","state","name","address","postalCode","lat","lon"
"55001","Afton","MN","DC Riggott, Inc.","3540 Neal Ave S","55001",44.897847,-92.84431
"55005","Bethel","MN","Earth Elements","23488 Ulysses St NE","55005",45.39526,-93.23622
"55006","Braham","MN","Braham Hardware & Rental","104 Central Drive W","55006",45.725074768066406,-93.17090606689453
"55007","Brook Park","MN","Beaver Meadow","not_available","55007",45.96840135851564,-92.99609973872873
"55008","Cambridge","MN","Menards","2355 2nd Ave SE","55008",45.57084820543392,-93.19523596545021
"55008","Cambridge","MN","Tractor Supply Co.","1465 1st Ave East","55008",45.572235,-93.20719
"55008","Cambridge","MN","Cambridge True Value","115 Ashland St N","55008",45.57283938,-93.22670281
"55008","Cambridge","MN","Sears","1950 2nd Avenue SE","55008",45.5718086,-93.2005567
"55008","Cambridge","MN","minuteKEY","2101 2nd Ave SE","55008",45.5702241,-93.1978575
"55008","Cambridge","MN","Urban's Hardware Hank","not_available","55040",45.493300100546925,-93.24393440767027
"55008","Cambridge","MN","ASTCompressors","212 1st Ave NW","55040",45.492338000000004,-93.24735600000001
"55008","Cambridge","MN","Whats Left Of Lowes In Cambridge","not_available","55008",45.571724,-93.198164
"55008","Cambridge","MN","Metro Welding Solutions LLC","1555 Carriage Ln S","55008",45.559098,-93.216513
"55008","Cambridge","MN","Isanti rental","420 West Dual Blvd NE, Isanti, MN 55040","55040",45.493263,-93.24414
"55009","Cannon Falls","MN","D & G Ace Hardware","31262 64th Avenue Path","55009",44.4915999,-92.907399
"55009","Cannon Falls","MN","Althoffs Hardware","not_available","55009",44.507405,-92.906063
"55011","Cedar","MN","Ham Lake Hardware","not_available","55011",45.329783070881724,-93.2356691024717
"55011","Cedar","MN","Tamarack Materials","19601 Tamarack Street Northwest","55011",45.32605403,-93.28875826
"55011","Cedar","MN","Pats Small Engine Repair LLC","20912 Highway 65 NE","55011",45.34925842285156,-93.23861694335938
"55011","Cedar","MN","Builders FirstSource","19361 Tamarack St W","55011",45.320394364068484,-93.29043745994566
"55011","Cedar","MN","S & S Industrial Hardware Supply","18541 Highway 65 NE","55011",45.30635070800781,-93.2335433959961
"55013","Chisago City","MN","Chisago True Value","10680 South Ave","55013",45.37412664,-92.88909215
"55013","Chisago City","MN","Lindstrom Wheel Horse","PO Box 621","55045",45.39173840569101,-92.85452251559371
"55013","Chisago City","MN","Lindstrom Hardware Do It Center","not_available","not_available",45.38941039397419,-92.84828918644011
"55014","Circle Pines","MN","Mills Fleet Farm","10250 Lexington Ave NE","55014",45.15506803291376,-93.16519975672065
"55014","Circle Pines","MN","The Home Depot","4550 Pheasant Ridge Dr","55449",45.166377239084575,-93.15559039224354
"55014","Circle Pines","MN","Frattallone's Ace Hardware","9225 Lexington Ave N","55014",45.139166,-93.163523
"55014","Circle Pines","MN","Broadway Rental","not_available","55014",45.133182525634766,-93.1233139038086
"55014","Circle Pines","MN","Automotive Refinish Technologies","Lake Dr","55014",45.163698,-93.122473
"55014","Circle Pines","MN","j & e small engine repair","689 Main Street","55014",45.196208,-93.107218
"55014","Circle Pines","MN","minuteKEY","4405 Pheasant Ridge Dr NE","55449",45.166473388671875,-93.1586685180664
"55016","Cottage Grove","MN","Menards","9000 E Point Douglas Rd S","55016",44.81307716460161,-92.92589233682786
"55016","Cottage Grove","MN","Sherwin-Williams Paint Store","7430 E Point Douglas Rd S","55016",44.828305,-92.955575
"55016","Cottage Grove","MN","Burggraf's Ace Hardware","6990 80th St S","55016",44.8303,-92.9364
"55016","Cottage Grove","MN","minuteKEY","9300 E Point Douglas Rd S","55016",44.810264587402344,-92.91807556152344
"55019","Dundas","MN","Menards","100 Schilling Dr S","55019",44.42647988739393,-93.19991541968275
"55019","Dundas","MN","Young's Paint Center","104 Railway St S","55019",44.42887,-93.208179
"55019","Dundas","MN","Fastenal","200 Schilling Dr S #300","55019",44.427284,-93.19963
"55021","Faribault","MN","Faribault Ace Hardware","421 2nd Ave NW","55021",44.295460999999996,-93.270987
"55021","Faribault","MN","Arrow Ace Hardware","670 Water St S FM 2920","55057",44.453442662347825,-93.16230740377426
"55021","Faribault","MN","Faribault Fleet Supply","80 Western Ave","55021",44.289778144316934,-93.30309093942456
"55021","Faribault","MN","Border States Electric","1503 30th St NW","55021",44.321304999999995,-93.290047
"55021","Faribault","MN","Sherwin-Williams Paint Store","204 Western Ave NW","55021",44.292891,-93.30333
"55021","Faribault","MN","Fastenal","1101 Division St W","55021",44.290233,-93.285117
"55021","Faribault","MN","Lampert Lumber - Faribault","320 8th Ave NW","55021",44.2943393,-93.2817422
"55021","Faribault","MN","Lamperts Building Materials","not_available","55057",44.446879,-93.172381
"55021","Faribault","MN","Lampert Lumber - Northfield","1225 Highway 3 S","55057",44.446633,-93.1722089
"55021","Faribault","MN","Arrow Northfield","670 S Water St","55057",44.4531457142857,-93.16176
"55024","Farmington","MN","Pellicci Ace Hardware","3560 213th St W","55024",44.640872,-93.13621
"55024","Farmington","MN","Pahl's Market","6885 160th St W","55124",44.71784971365122,-93.20537753118406
"55024","Farmington","MN","Ace Hardware & Paint","20810 Holyoke Ave","55044",44.6459649,-93.243219
"55024","Farmington","MN","Sherwin-Williams Commercial Paint Store","21486 Humboldt Ct","55044",44.63856,-93.248061
"55025","Forest Lake","MN","Menards","22800 Everton Ave N","55025",45.28017850046022,-93.01141504446335
"55025","Forest Lake","MN","The Home Depot","1943 W Broadway Avenue","55025",45.2801489,-93.00761
"55025","Forest Lake","MN","Forest Lake Ace Hardware","814 Lake St S","55025",45.270441,-92.98490799999999
"55025","Forest Lake","MN","Northern Tool & Equipment","119 12th St SW","55025",45.27781216660072,-92.99766250238491
