"zip","city","state","name","address","postalCode","lat","lon"
"63005","Chesterfield","MO","The Home Depot","37 Ellisville Towne Ctre","63011",38.59062320265323,-90.60874074697495
"63005","Chesterfield","MO","Lowe's","290 THF Blvd","63005",38.6658416,-90.6014674
"63005","Chesterfield","MO","The Home Depot","390 Thf Boulevard","63005",38.66587233324687,-90.60576349496841
"63005","Chesterfield","MO","Ace Hardware","not_available","not_available",38.604177865453906,-90.58394788517813
"63005","Chesterfield","MO","Direct Tools Factory Outlet","18521 Outlet Blvd Ste 525","63005",38.677869,-90.662293
"63005","Chesterfield","MO","Ferguson Bath, Kitchen & Lighting Gallery","17895 Chesterfield Airport Rd","63005",38.669740000000004,-90.629899
"63005","Chesterfield","MO","The Workplace","not_available","63011",38.59081526341585,-90.60861886555529
"63005","Chesterfield","MO","minuteKEY","290 T.H.F. BLVD","63005",38.6621044,-90.6212504
"63005","Chesterfield","MO","Henry's Plumbing Supply","17217 Thf Blvd","63005",38.66902160644531,-90.59589385986328
"63005","Chesterfield","MO","Chesterfield Topsoil & Supply","17803 Wild Horse Creek Rd","63005",38.652429,-90.64185
"63005","Chesterfield","MO","Rick's Ace Hardware","15870 Clayton Rd","63011",38.603784000000005,-90.584301
"63005","Chesterfield","MO","John Deere Landscapes","not_available","63026",38.66771090263776,-90.63459624449565
"63005","Chesterfield","MO","Vermeer","not_available","63017",38.67091498697063,-90.66515682722923
"63005","Chesterfield","MO","Fastenal","6248 Goddard Ave","63005",38.66744,-90.634688
"63005","Chesterfield","MO","Sherwin-Williams Paint Store","101 Chesterfield Valley Dr","63005",38.6676,-90.610381
"63005","Chesterfield","MO","Passiglias","1855 Highway 109","63038",38.595628000000005,-90.640376
"63005","Chesterfield","MO","Heartlands","18110 Chesterfield Airport Rd Ste A","63005",38.66883087158203,-90.64186096191406
"63005","Chesterfield","MO","Chesterfield Deck And Fence","620 Spirit Valley East Dr","63005",38.670322999999996,-90.664739
"63010","Arnold","MO","The Home Depot","3865 Vogel Rd","63010",38.41254224985054,-90.3945529460907
"63010","Arnold","MO","Lowe's","920 Arnold Commons Dr","63010",38.43674405,-90.38611594
"63010","Arnold","MO","Core & Main","5454 Baumgartner Rd","63129",38.46307373046875,-90.35536193847656
"63010","Arnold","MO","Northern Tool And Equipment","not_available","63010",38.445830951439326,-90.37637340479624
"63010","Arnold","MO","Maintenance Free Outdoor Solutions","2013 El Lago Dr","63010",38.40478,-90.386741
"63010","Arnold","MO","Sign-A-Rama","6256 Lemay Ferry Rd","63129",38.462249755859375,-90.35780334472656
"63010","Arnold","MO","Sherwin-Williams Paint Store","683 Jeffco Blvd","63010",38.450618743896484,-90.36676025390625
"63010","Arnold","MO","Lou & Sons Hardware","3993 W Outer Rd","63010",38.401396,-90.384216
"63010","Arnold","MO","Houska's Ace Hardware","1520 Jeffco Blvd","63010",38.4330539,-90.377319
"63010","Arnold","MO","Holt Electrical Supplies","not_available","63129",38.460845,-90.34819
"63011","Ballwin","MO","Lowe's","14810 Manchester Road","63011",38.591031,-90.539687
"63011","Ballwin","MO","The Home Depot","13929 Manchester Rd","63011",38.5998406,-90.4877245
"63011","Ballwin","MO","Menards","14161 Manchester Rd","63011",38.59523755005677,-90.49935308064525
"63011","Ballwin","MO","Rick's Ace Hardware","221 Lamp And Lantern Vlg","63017",38.623733,-90.518005
"63011","Ballwin","MO","Benjamin moore paint","not_available","63021",38.588748396483,-90.51608900197641
"63011","Ballwin","MO","Porter Paits","15047","not_available",38.590636253356934,-90.52435576915741
