"zip","city","state","name","address","postalCode","lat","lon"
"68002","Arlington","NE","Monke Bros","10989 8th St","68044",41.53774642944336,-96.42827606201172
"68003","Ashland","NE","Gretna Ace Hardware","104 W Glenmore Dr, Ste. 2","68028",41.1451899,-96.239982
"68003","Ashland","NE","Ty's Outdoor Power & Service","21611 Platteview Rd","68028",41.08828,-96.254097
"68003","Ashland","NE","C & L Hardware","not_available","not_available",41.040189,-96.368298
"68003","Ashland","NE","Mead Lumber Company 1294U","201 N 14th St","68003",41.040218353271484,-96.36862182617188
"68005","Bellevue","NE","Westlake Ace Hardware","1005 Galvin Rd S","68005",41.150653,-95.916088
"68005","Bellevue","NE","Tops Lawn Care","102 Cunningham Rd","68005",41.104236,-95.898315
"68005","Bellevue","NE","minuteKEY","10504 S 15th St","68123",41.155948638916016,-95.93671417236328
"68005","Bellevue","NE","Granet And Marble","not_available","68147",41.18642858036312,-95.93677336675108
"68008","Blair","NE","Reyzlik Ace Hardware","1704 Washington St","68008",41.543807,-96.14059
"68008","Blair","NE","Bomgaars","not_available","68008",41.5491495,-96.1459868
"68008","Blair","NE","Blair Ace Hardware","114 S 8th St","68008",41.54308,-96.122635
"68018","Colon","NE","JC Small Engine Repair","121 S 4th St","68018",41.29655456542969,-96.60474395751953
"68019","Craig","NE","Egbers Flighting Company","324 County Road 24","68031",41.70940017700195,-96.45951843261719
"68020","Decatur","NE","Bomgaars","Iowa","51523",42.03624087616366,-96.13507228481744
"68022","Elkhorn","NE","Menards","20406 Cumberland Dr","68022",41.265612080074035,-96.23849949140501
"68022","Elkhorn","NE","Lowe's","18375 Wright Street","68130",41.2319692,-96.2023344
"68022","Elkhorn","NE","minuteKEY","18201 Wright St","68130",41.2317449,-96.19914
"68022","Elkhorn","NE","Elkhorn Ace Hardware","20277 Wirt St","68022",41.286076,-96.231827
"68022","Elkhorn","NE","minuteKEY","750 N 205th St","68022",41.265254974365234,-96.23896026611328
"68022","Elkhorn","NE","Sherwin-Williams Paint Store","18128 R Plz","68135",41.20481263230884,-96.20029833831906
"68022","Elkhorn","NE","minuteKEY","18375 Wright St","68130",41.23184585571289,-96.2024917602539
"68025","Fremont","NE","Tractor Supply Co.","2850 East 23rd Ave North","68025",41.452704,-96.460257
"68025","Fremont","NE","Menards","3600 E 24th St","68025",41.45321707382646,-96.45174034699166
"68025","Fremont","NE","Fremont Ace Hardware & Garden Ctr","1660 E 23rd St","68025",41.452215,-96.477061
"68025","Fremont","NE","Sherwin-Williams Paint Store","312 N Main St","68025",41.43220440940609,-96.4960541946907
"68025","Fremont","NE","Sears","1690 East 23rd Ave. North","68025",41.452789856736274,-96.47533081349184
"68025","Fremont","NE","Carson Enterprises","6828 N. 264th Circle","68064",41.32010701725659,-96.33166551589966
"68025","Fremont","NE","Bomgaars","1501-1945 E 23rd Ave S","68025",41.45176322623187,-96.47280038412077
"68025","Fremont","NE","Fastenal","not_available","68025",41.44961686255333,-96.46174129756125
"68025","Fremont","NE","Butler Machinery Co.","2831 N County Road 20 Ave","68025",41.45542907714844,-96.53689575195312
"68028","Gretna","NE","Sherwin-Williams Paint Store","11108 Sapp Brothers Dr","68138",41.14733098300507,-96.16280704736708
"68038","Lyons","NE","Steiny's General Store","245 S 2nd St","68038",41.9357936,-96.47747367
"68045","Oakland","NE","Anderson Hardware","231 N Oakland Ave","68045",41.83488845825195,-96.46666717529297
"68046","Papillion","NE","Lowe's","8707 South 71st Plaza","68133",41.1719336,-96.0210622
"68046","Papillion","NE","The Home Depot","712 N Washington St","68046",41.1627893,-96.0446536
"68046","Papillion","NE","Sherwin-Williams Paint Store","945 N Adams St Ste 2","68046",41.171561,-96.043853
