"zip","city","state","name","address","postalCode","lat","lon"
"05001","White River Junction","VT","The Home Depot","296 Plainfield Rd","03784",43.6226692,-72.3287658
"05001","White River Junction","VT","LaValley Building Supply","not_available","03766",43.62974572611377,-72.31905908373348
"05001","White River Junction","VT","Joe's Equipment Service","not_available","not_available",43.62765123333333,-72.32105481666666
"05001","White River Junction","VT","Sears (Temporarily Closed)","200 S Main St","03784",43.6332928,-72.3208898
"05001","White River Junction","VT","Lebanon Plumbing Supply - Premier Supply Group","179 Mechanic St","03766",43.6384296876348,-72.34075654347149
"05001","White River Junction","VT","Sherwin-Williams Paint Store","7 Martin Dr","03784",43.62545965332516,-72.32198953628539
"05001","White River Junction","VT","Harvey Building Products","1354 N Hartland Rd","05001",43.6353874206543,-72.34830474853516
"05001","White River Junction","VT","HD Supply White Cap","17 Plaza Heights Rd","03784",43.62672671,-72.3170717
"05001","White River Junction","VT","Brittons Lumber","not_available","05001",43.62695188346645,-72.45754866892558
"05001","White River Junction","VT","CED/Twin State Electrical Supply","138 Olcott Dr","05088",43.69514465332031,-72.31635284423828
"05001","White River Junction","VT","Ferguson Waterworks","40 Interchange Dr","03784",43.624935150146484,-72.32113647460938
"05032","Bethel","VT","Mill's Hardware","185 Main St","05032",43.83534487198062,-72.63841916612485
"05033","Bradford","VT","Aubuchon Hardware","204 Main St","05033",43.994920147002986,-72.12787099025756
"05045","Fairlee","VT","Fogg's Hardware & Building Supply","50 Lake Morey Rd","05045",43.9041,-72.149699
"05048","Hartland","VT","Town Line Equipment","1474 State Highway 12A","03781",43.5205180451141,-72.38450518099533
"05055","Norwich","VT","Fogg's Hardware and Building Supply","301 US Route 5 S","05055",43.7168459,-72.296621
"05055","Norwich","VT","Hanover True Value","7 South St","03755",43.69999908,-72.28826458
"05060","Randolph","VT","Central Supplies","839 VT Route 12 S","05060",43.9007,-72.656199
"05060","Randolph","VT","Bisbee's Hardware","107 VT Route 12 S","05060",43.91272005815239,-72.66368742191422
"05068","South Royalton","VT","Welch's True Value Hardware","3626 Vermont Route 14","05068",43.82507638010927,-72.54275767981818
"05089","Windsor","VT","Aubuchon Hardware","2745 US Route 5 N","05089",43.48602294921875,-72.3844985961914
"05091","Woodstock","VT","WELCH'S WOODSTOCK TRUE VALUE","2517 W Woodstock Rd","05091",43.602046966552734,-72.56388092041016
"05091","Woodstock","VT","Woodstock Home & Hardware","452 Woodstock Rd","05091",43.630484,-72.5049722
"05101","Bellows Falls","VT","J & H Sporting Goods","2 The Sq","05101",43.13399887084961,-72.44454956054688
"05143","Chester","VT","Bibens Ace Hardware","362 River Road","05150",43.314349,-72.502961
"05143","Chester","VT","Sherwin-Williams Paint Store","246 River St","05156",43.308254255737026,-72.4973201751709
"05143","Chester","VT","Chester Do It Best Hardware","not_available","05143",43.25922433074814,-72.59919770940317
"05148","Londonderry","VT","Sigda Servistar Lumber And Home Center","2046 Vt Route 100","05155",43.18039284312063,-72.81786622034566
"05148","Londonderry","VT","Husqvarna US","50 Smith Haven Ln","05155",43.178340911865234,-72.81832885742188
"05148","Londonderry","VT","Londonderry Hardware","not_available","05148",43.22844872311795,-72.81543114943796
"05149","Ludlow","VT","Lavalley's","not_available","05149",43.391512128584985,-72.68043764554356
"05149","Ludlow","VT","Aubuchon Hardware","142 Main St","05149",43.395824,-72.699619
