"zip","city","state","name","address","postalCode","lat","lon"
"24701","Bluefield","WV","Lowe's","515 Commerce Drive","24605",37.237954,-81.251537
"24701","Bluefield","WV","Lowe's","1155 Oakvale Road","24740",37.3654951,-81.0502759
"24701","Bluefield","WV","84 lumber","Route 52","24701",37.27970852388772,-81.24513126392148
"24701","Bluefield","WV","Citizen's Building Supply","not_available","not_available",37.2661642490788,-81.23195357202854
"24701","Bluefield","WV","Citizens Building Supply & Home Ctr","600 Bluefield Ave","24701",37.266704,-81.232036
"24701","Bluefield","WV","Jennings RV & Mobile Home Accessories LLC","506 Mount Horeb Rd","24740",37.35589599609375,-81.0964584350586
"24701","Bluefield","WV","Tractor Supply Co.","3955 East Cumberland Rd","24701",37.263261,-81.188385
"24701","Bluefield","WV","Sherwin-Williams Paint Store","3104 E Cumberland Rd","24701",37.25397843871108,-81.20393410011351
"24701","Bluefield","WV","State Electric Supply Co.","820 Bluefield Ave","24701",37.265893,-81.234386
"24740","Princeton","WV","virginia hardware","not_available","24740",37.36929702758789,-81.10131072998047
"24740","Princeton","WV","Ferguson Plumbing Supply","561 Turnpike Industrial Park Rd","24739",37.369397,-81.041887
"24801","Welch","WV","Horne Lumber Co.","101 Us Route 52 N","24801",37.433101654052734,-81.54823303222656
"24801","Welch","WV","HORNE LUMBER CO & TRUE VALUE","101 US ROUTE 52 N","24801",37.417484283447266,-81.59065246582031
"24901","Lewisburg","WV","Lowe's","20 Gateway Boulevard","24901",37.8118286,-80.434822
"24901","Lewisburg","WV","Tractor Supply Co.","8444 Seneca Trl South","24970",37.765089,-80.464843
"24901","Lewisburg","WV","84 Lumber","not_available","24901",37.779384098987315,-80.46122194166017
"24901","Lewisburg","WV","Sears","8484 Seneca trail South","24970",37.76630384229294,-80.46493442270184
"24901","Lewisburg","WV","S. J. Neathawk Lumber","771 N Jefferson St","24901",37.80758285522461,-80.43659973144531
"24901","Lewisburg","WV","True Value Home Center & Hardware","113 S Court St","24901",37.802005767822266,-80.44685363769531
"24901","Lewisburg","WV","Sherwin-Williams Paint Store","214 Red Oaks Shopping Ctr","24970",37.76762771606445,-80.46692657470703
"24910","Alderson","WV","TRUE VALUE HOME CENTER","RR1","24910",37.72969436645508,-80.64146423339844
"24924","Buckeye","WV","Glades Building Supply","Us Rte 219","24954",38.1578999,-80.180599
"24924","Buckeye","WV","Glades Building Supply","19456 SENECA TRAIL","24954",38.2823679,-80.104799
"24954","Marlinton","WV","Richardson","309 8th St","24954",38.21905948,-80.08755446
"24963","Peterstown","WV","Mountaineer Power Equipment","3772 Seneca Trl S","24963",37.416459,-80.744361
"24970","Ronceverte","WV","Martin & Jones Hardware","422 edgar","not_available",37.747788270793365,-80.46608807655676
"24983","Union","WV","KITTLE TRUE VALUE HARDWARE","405 MAIN STREET","24983",37.591983795166016,-80.5438461303711
"24986","White Sulphur Springs","WV","Tractor Supply Co.","105 Mall Rd","24426",37.7729377746582,-79.96885681152344
"24986","White Sulphur Springs","WV","Sherwin-Williams Paint Store","479 W Main St","24426",37.790651,-79.997991
"24986","White Sulphur Springs","WV","Neathawk Lumber","not_available","24426",37.793007269536844,-79.99745233458627
"24986","White Sulphur Springs","WV","Covington Farm & Fuel","121 N Alleghany Ave","24426",37.793438,-79.988647
"25003","Alum Creek","WV","The Home Depot","100 Cross Terrace Blvd","25309",38.315784027156546,-81.71526146485121
"25003","Alum Creek","WV","Brighton Plumbing and Heating","214 Lincoln.","02135",38.260524841632524,-81.84434652328491
"25007","Arnett","WV","Annie's Locksmith","25007 McBean Pkwy","91355",37.82920912381288,-81.42319679260254
"25015","Belle","WV","Tractor Supply Co.","2700 East Dupont Ave Ste 4","25015",38.20979122,-81.5103602
"25015","Belle","WV","Vallen","11301 Maccorkle Ave","25315",38.23386001586914,-81.55074310302734
"25022","Blair","WV","Workshop","not_available","25607",37.799455,-81.740122
"25033","Buffalo","WV","Reach Workcamps - Tool Tent","not_available","25033",38.61133911565617,-81.98558558615215
"25045","Clendenin","WV","R.o.p.e.  Wally's","not_available","25071",38.46814321717139,-81.4018799384096
"25053","Danville","WV","Fastenal","1200 Smoot Ave","25053",38.08341979980469,-81.8362045288086
"25053","Danville","WV","Barker Hardware","212 Smoot Ave","25053",38.07809605423867,-81.83313884578585
"25053","Danville","WV","Byrnside Hardware","107 Fourth St","25053",38.07916690833871,-81.83449957977011
"25071","Elkview","WV","Crede Tractor Sales & Service","46 Christine Ln","25302",38.406236,-81.531341
