"zip","city","state","name","address","postalCode","lat","lon"
"19701","Bear","DE","CarePortMD Express Clinic (CarePortMD Speedy Care)","2600 Glasgow Ave Ste 108","19702",39.59921802656317,-75.74469397869667
"19701","Bear","DE","The Stat Cave","not_available","not_available",39.647056567108656,-75.712404
"19701","Bear","DE","ChristianaCare Medical Aid Unit at Glasgow","2600 Glasgow Avenue","19702",39.599205,-75.744514
"19701","Bear","DE","ChristianaCare Sports Medicine","300 Biddle Avenue","19702",39.60137176513672,-75.75521087646484
"19701","Bear","DE","The Mental Institution","not_available","19702",39.63619613647461,-75.6605453491211
"19701","Bear","DE","ExpressCare Walk-In Medical Center","1011 E Songsmith Dr","19701",39.635469,-75.657145
"19702","Newark","DE","ChristianaCare Christiana Hospital","4755 Ogletown-Stanton Rd","19718",39.688167045890395,-75.66975116729736
"19702","Newark","DE","Christiana Hospital Emergency Room","4755 Ogletown Stanton Rd","19718",39.688001950681134,-75.66752133077475
"19702","Newark","DE","Medical Arts Pavilion 1","not_available","19711",39.68697218489297,-75.6713640092522
"19702","Newark","DE","CCHS E-Tower Main Lobby","4755 Ogletown-Staton Rd","19713",39.68777227126581,-75.6674554444611
"19702","Newark","DE","Christiana Care 7th Floor","not_available","19713",39.688572,-75.66789
"19702","Newark","DE","ChristianaCare Pulmonary Associates","4755 Ogletown-Stanton Road 220","19713",39.6875,-75.669569
"19702","Newark","DE","Concentra Urgent Care","4110 Ogletown Stanton Rd","19713",39.68554938707962,-75.68437274547023
"19702","Newark","DE","The Plantation","4755 Ogletown Stanton Rd, Newark, DE 19713","19713",39.69228816383188,-75.6830663513676
"19702","Newark","DE","ChristianaCare Medical Aid Unit at STAR Campus","550 South College Avenue 115","19713",39.6640052,-75.7532444
"19702","Newark","DE","ChristianaCare Neonatal Intensive Care Unit (NICU)","4755 Ogletown-Stanton Road","19718",39.6878769,-75.6689877
"19702","Newark","DE","SCCC at Christiana Hospital","not_available","19808",39.68811439583296,-75.66848940640415
"19702","Newark","DE","RADfertility","4735 Ogletown-Stanton Road MAP 2, Suite 3217","19713",39.685701,-75.672964
"19702","Newark","DE","ChristianaCare Cardiology Consultants at HealthCare Center at Christiana","200 Hygeia Drive 1360","19713",39.69230270385742,-75.67497253417969
"19706","Delaware City","DE","Governor Bacon Health Center","248 Kent Ave","19706",39.57163905390016,-75.58489099656026
"19707","Hockessin","DE","Hockessin Walk-In Medical Care","316 Lantana Dr","19707",39.773920000000004,-75.70902
"19709","Middletown","DE","Christiana Care Medical Aid Unit at Middletown","124 Sleepy Hollow Dr","19709",39.452859920048084,-75.73440915312324
"19709","Middletown","DE","ChristianaCare Sports Medicine at Middletown","621 Middletown Odessa Road","19709",39.4528694152832,-75.68602752685547
"19709","Middletown","DE","ChristianaCare Middletown Emergency Department","621 Middletown Odessa Rd","19709",39.454907369273286,-75.6834368240509
"19709","Middletown","DE","Encompass Health Rehabilitation Hospital of Middletown","250 E Hampden Rd","19709",39.45348628254796,-75.67742764949799
"19709","Middletown","DE","ChristianaCare-GoHealth Urgent Care Middletown","124 Sleepy Hollow Drive","19709",39.4526829,-75.7343325
"19709","Middletown","DE","ChristianaCare Cardiology Consultants at Ketlay Plaza","114 Sandhill Drive 203","19709",39.4519178,-75.7293423
"19709","Middletown","DE","ExpressCare Urgent Care Center Middletown","749 Middletown Warwick Road","19709",39.4427259,-75.7430625
"19711","Newark","DE","ChristianaCare Sleep Disorders Center","774 Christiana Road Ste 103","19713",39.679103999999995,-75.689206
"19711","Newark","DE","Newark Emergency Center","324 E Main St","19711",39.684363,-75.73996
"19711","Newark","DE","CarePortMD Urgent Care Clinic","100 College Sq","19711",39.68283697949394,-75.73556450851268
"19713","Newark","DE","Rockford Center","100 Rockford Dr","19713",39.69484381747931,-75.66069367781772
"19713","Newark","DE","ChristianaCare Dermatology HealthCare Center at Christiana","4735 Ogletown-Stanton Road 3203","19713",39.6856858,-75.6729487
"19720","New Castle","DE","MedExpress Walk-In Care","129 N Dupont Highway","19720",39.67231749562576,-75.59898912906641
"19720","New Castle","DE","Delaware Psychiatric Center","1901 N DuPont Hwy","19890",39.70068227547685,-75.5763030052185
"19720","New Castle","DE","Senior Helpers","630 Churchmans Road","19702",39.687292,-75.63353
