"zip","city","state","name","address","postalCode","lat","lon"
"50009","Altoona","IA","Altoona Nusing Home","not_available","not_available",41.64963283809987,-93.4731623112714
"50009","Altoona","IA","Parkridge Specialty Care","5800 NE 12th Ave, Pleasant Hill, IA 50327","50327",41.601165771484375,-93.49542999267578
"50010","Ames","IA","Mary Greeley Medical Center","1111 Duff Ave","50010",42.0323274604726,-93.61234931948934
"50010","Ames","IA","Mary Greeley Emergency Room","1215 Duff Ave","50010",42.03270712096299,-93.61080754681372
"50010","Ames","IA","McFarland Clinic Urgent Care","not_available","50010",42.031802,-93.610388
"50010","Ames","IA","BioLife Plasma Services","1618 Golden Aspen Drive","50010",42.007036369178195,-93.61564585047506
"50014","Ames","IA","The Ambulance","not_available","50014",42.02143,-93.678
"50021","Ankeny","IA","Dr. Timothy Colby, DO","1410 SW Tradition Dr Ste 110","50023",41.732443805455084,-93.60040426254272
"50021","Ankeny","IA","A Cut Above Lawn Care, LLC","-","50021",41.721650115250206,-93.5665225982666
"50021","Ankeny","IA","Mercy North Urgent Care (Ankeny)","800 E 1st St","50021",41.732974762610056,-93.58756559207181
"50021","Ankeny","IA","BioLife Plasma Services","725 SE Oralabor Rd","50021",41.702216,-93.587161
"50021","Ankeny","IA","Porcelain Temple @ Laundry Room","not_available","50021",41.72432327270508,-93.58811950683594
"50022","Atlantic","IA","Cass County Health System","1501 E 10th St","50022",41.4011,-94.991936
"50025","Audubon","IA","Audubon Co Memorial Hospital","not_available","50025",41.715472203959685,-94.93754499535383
"50036","Boone","IA","BCH Cafeteria","not_available","50036",42.05606765084657,-93.87692752785085
"50036","Boone","IA","Katie Kuehner, D.O.","1015 Union Street","50036",42.056078,-93.877096
"50036","Boone","IA","Boone Rehabilitation Services","1015 Union St","50036",42.05585028173845,-93.8775488853912
"50036","Boone","IA","Boone County Hospital","1015 Union St.","50036",42.056078,-93.877096
"50047","Carlisle","IA","Mercy Clinic Urgent Care","307 E Scenic Valley Ave","50125",41.38126940518855,-93.55655428578791
"50047","Carlisle","IA","mercy urgent care","not_available","50125",41.3982432618847,-93.55750056963188
"50049","Chariton","IA","Lucas County Health Center","1200 N 7th St","50049",41.02772626807044,-93.30222049017618
"50049","Chariton","IA","IGD RSUD Kota Semarang","Jl Fatmawati No 01-02","50272",41.08156,-93.2608771
"50060","Corydon","IA","Wayne County Hospital","417 S East St","50060",40.75424910376905,-93.31150413918942
"50070","Dexter","IA","Adair County Medical Center","not_available","50070",41.544403076171875,-94.26031494140625
"50111","Grimes","IA","Mercy West Emergency Room","not_available","50266",41.657400781283314,-93.77490245221205
"50111","Grimes","IA","Totalreflex360","205 NE Circle Dr","50111",41.68646996439816,-93.78683924674988
"50112","Grinnell","IA","Grinnell Regional Medical Center","not_available","50112",41.69516468394208,-92.72608433552787
"50112","Grinnell","IA","Grinnell Regional Medical Center","Reed St","50112",41.73890799569772,-92.72610861961526
"50126","Iowa Falls","IA","Hansen Family Hospital","920 S Oak St","50126",42.50094500000001,-93.2608546
"50126","Iowa Falls","IA","Elllsworth Municipal Hospital","220 Iowa","50126",42.522041771946704,-93.25942586489263
"50126","Iowa Falls","IA","Jeff Hansen Family Hospital","South Oak St","50126",42.50049662035186,-93.26162612076733
"50129","Jefferson","IA","Greene County Medical Center","1000 W Lincoln Way","50129",42.01580170579887,-94.38834197069365
"50131","Johnston","IA","mayo clinic rochester minnesota","not_available","50322",41.6533332,-93.7073767
"50138","Knoxville","IA","Knoxville hospital and clinics","1202 W Howard St","50138",41.31101989746094,-93.11101531982422
"50138","Knoxville","IA","Knoxville VA Campus","1515 W Pleasant St","50138",41.320457458496094,-93.11701965332031
"50144","Leon","IA","Decatur County Hospital","1405 NW Church St","50144",40.751098999999996,-93.74686
"50158","Marshalltown","IA","MMSC Emergency","3 S 4th Ave","50158",42.04866409301758,-92.90641021728516
"50158","Marshalltown","IA","Urgent Care Clinic","3809 S Center St","50158",42.00054931640625,-92.91352844238281
"50158","Marshalltown","IA","DIS Island","not_available","50158",42.04875564575195,-92.90718078613281
"50201","Nevada","IA","Story County Medical Center","not_available","50201",42.00520900169222,-93.43684739319696
"50208","Newton","IA","Skiff Medical Center","300 N 4th Ave E","50208",41.70297850659072,-93.05198465648037
"50208","Newton","IA","Skiff medical center","204 E 4Th St. So.","50208",41.703067779541016,-93.0511245727539
"50213","Osceola","IA","Clarke County Hospital","800 S Fillmore St","50213",41.026073,-93.76856
"50213","Osceola","IA","Clarke County Emergency Room","not_available","50213",41.03201,-93.76315
"50219","Pella","IA","Pella Regional Health Center","404 Jefferson St","50219",41.4134501946872,-92.91141488573098
"50220","Perry","IA","Perry Hospital","Iowa 141, Perry, IA 50220","50220",41.83248364139821,-94.09126176453898
"50220","Perry","IA","Dallas County Hospital","610 10th St","50220",41.83337593610916,-94.0936170074254
"50220","Perry","IA","Spring Valley Retirement Center","Highway 141","50220",41.832884803586644,-94.09262979264703
"50263","Waukee","IA","UnityPoint Clinic Express","180 Jordan Creek Pkwy Ste 120","50266",41.569622,-93.810265
"50263","Waukee","IA","Story County Hospital","not_available","50323",41.627602,-93.82018
"50265","West Des Moines","IA","Mercy West Lakes Emergency Room","4320 Westown Pkwy","50266",41.594999,-93.76231700000001
"50265","West Des Moines","IA","Central Iowa OB/Gyn Specialists, PLC","2501 Westown Parkway","50266",41.59745124,-93.74001057
"50266","West Des Moines","IA","BioLife Plasma Services","6380 Village View Dr.","50266",41.5638088,-93.79284589999999
"50266","West Des Moines","IA","Mercy West Lakes Hospital Cath Lab","not_available","50263",41.59683914585806,-93.79008071265731
"50266","West Des Moines","IA","Mercy Medical Center - West Lakes","1755 59th Pl","50266",41.597396459167975,-93.78990533030709
"50266","West Des Moines","IA","Des Moines Surgery Center","717 Lyon St","50309",41.596073150634766,-93.78944396972656
"50273","Winterset","IA","Madison County Ambulance","1008 N 1st St","50273",41.343360900878906,-94.01360321044922
"50273","Winterset","IA","Madison County Health Care System","300 W Hutchings St","50273",41.328392028808594,-94.01685333251953
"50309","Des Moines","IA","Iowa Methodist Maternity Center","1301 Woodland Ave","50309",41.588810584266504,-93.63443187506614
"50309","Des Moines","IA","ERC","1415 Woodland Ave","50309",41.5885585469997,-93.63541081361466
"50309","Des Moines","IA","Methodist Hospital North 6","1200 Pleasant St","50309",41.5896218596766,-93.63340252543526
"50309","Des Moines","IA","1200 pleasant st","not_available","50309",41.58782353277458,-93.6335039661841
"50309","Des Moines","IA","North 5-IMMC","1200 Pleasant St, Des Moines, IA 50309","50309",41.58954425628411,-93.63354850124772
"50309","Des Moines","IA","Iowa Methodist Hyperbaric Chamber","1220 Pleasant","50309",41.588931,-93.632836
"50310","Des Moines","IA","Veteran's Administration Hospital","3600 30th St","50310",41.628112771935946,-93.66137189007623
"50310","Des Moines","IA","Broadlawns Medical Center","1801 Hickman Rd","50314",41.61627769285381,-93.6415777433777
"50310","Des Moines","IA","VA Out Patient Surgery","not_available","50310",41.6342658996582,-93.6517105102539
"50310","Des Moines","IA","First Step Recovery","1818 48th St","50310",41.61103,-93.683708
"50311","Des Moines","IA","Kavanaugh House","not_available","50265",41.59390982737519,-93.69431088166996
"50312","Des Moines","IA","Unity Point Urgent Care Clinic","not_available","50312",41.586139,-93.645411
"50313","Des Moines","IA","Shhhh Be Very Quiet","not_available","50313",41.63438143958077,-93.57554781193154
"50313","Des Moines","IA","Broadlawns","5135 NE 6th Ct","50313",41.653786,-93.61048199999999
"50314","Des Moines","IA","Mercy Medical Center","1111 6th Ave","50314",41.59885,-93.62344
"50314","Des Moines","IA","Mercy Medical Center 8 South Oncology","not_available","50314",41.5990711598182,-93.62328173754128
"50314","Des Moines","IA","Mercy Room 722","1111 University Ave","50314",41.600695,-93.63238100000001
"50315","Des Moines","IA","Clinic For The Exceedingly Sleep Deprived","not_available","50315",41.55205154418945,-93.62915802001953
"50315","Des Moines","IA","Drug & Alcohol Rehab Des Moines","901 Thomas Beck Rd","50315",41.57154846191406,-93.62398529052734
"50316","Des Moines","IA","Iowa Lutheran Surgery","not_available","50316",41.601975,-93.609963
