"zip","city","state","name","address","postalCode","lat","lon"
"66002","Atchison","KS","Atchison Hospital","not_available","not_available",39.53626953446674,-95.12917209428134
"66002","Atchison","KS","The University of Kansas Health System Cardiology","820 Raven Hill Dr Ste 106A","66002",39.536482,-95.128967
"66006","Baldwin City","KS","Baldwin Healthcare & Rehab Center","1223 Orchard Ln","66006",38.77335739135742,-95.19636535644531
"66007","Basehor","KS","ransom Memorial","not_available","66007",39.11675262451172,-94.91161346435547
"66012","Bonner Springs","KS","Bonner Springs Nursing And Rehab","not_available","66217",39.06518131028633,-94.87912416714353
"66012","Bonner Springs","KS","Marillac","not_available","66012",39.09225082397461,-94.90252685546875
"66027","Fort Leavenworth","KS","Munson Army Health Center","550 Pope Ave","66027",39.35338099618662,-94.92547988891602
"66027","Fort Leavenworth","KS","Ft Leavenworth Radiology","Pope Ave, Leavenworth, KS 66027","66027",39.354032709036886,-94.92513589618666
"66032","Garnett","KS","Anderson County Hospital","421 S Maple St","66032",38.280181884765625,-95.25016021728516
"66032","Garnett","KS","Anderson County EMS","High St","66032",38.27982744222403,-95.2514812318427
"66043","Lansing","KS","Leavenworth Va Hospital","Riverview Ave","66048",39.28222780567225,-94.89666171168363
"66043","Lansing","KS","Saint John Hospital","3500 S 4th St","66048",39.2825927,-94.90343469999999
"66043","Lansing","KS","Saint John Hospital  Emergency Medicine","3550 S 4th St","66048",39.28271,-94.90318
"66043","Lansing","KS","The University of Kansas Health System Cardiology","3601 S 4th St Ste 1","66048",39.27982,-94.900588
"66044","Lawrence","KS","Lawrence Memorial Hospital","325 Maine St","66044",38.97881396089122,-95.24902316952887
"66044","Lawrence","KS","Lawrence Surgery Center","not_available","66044",38.973702,-95.248279
"66044","Lawrence","KS","The University of Kansas Health System Vascular Surgery","1130 W 4th St Ste 2001","66044",38.97813,-95.24829
"66044","Lawrence","KS","Family Birthing Center","330 Arkansas St","66044",38.9784275,-95.24936199999999
"66044","Lawrence","KS","Lilly Mason CPM","401 Arkansas St","66044",38.976588,-95.250179
"66044","Lawrence","KS","Community Health Facility","200 Maine St Fl 2","66044",38.979801177978516,-95.24698638916016
"66044","Lawrence","KS","MedExpress Urgent Care","3420 West 6th Street","66049",38.971973,-95.280475
"66046","Lawrence","KS","PromptCare","3511 Clinton Pl","66047",38.94101819999999,-95.2799848
"66046","Lawrence","KS","Kreider Rehabilitation Service - South","not_available","66047",38.942141500024945,-95.28038504774224
"66046","Lawrence","KS","Urgent Care","3511 Clinton Pl Ste B","66047",38.94108200073242,-95.27970886230469
"66047","Lawrence","KS","The University of Kansas Health System Sports Medicine and Performance Center","4910 Corporate Centre Dr","66047",38.952676,-95.307926
"66048","Leavenworth","KS","st johns hospital","not_available","66048",39.32188034057617,-94.92749786376953
"66048","Leavenworth","KS","NextCare Urgent Care","1100 N 4th St","66048",39.328202,-94.915094
"66049","Lawrence","KS","Kaiser","Lake View","not_available",39.01157760620117,-95.29783630371094
"66049","Lawrence","KS","LMHHealth West Campus","6265 Rock Chalk Dr","66049",38.977211,-95.332452
"66061","Olathe","KS","Olathe Medical Center","20333 W 151st St","66061",38.85252231840556,-94.82326167941444
"66061","Olathe","KS","Recycled Life","500 E Santa Fe St","66061",38.88389587402344,-94.81147766113281
"66061","Olathe","KS","Grin Eye Care","21020 W 151st St","66061",38.85497569,-94.82890755
"66061","Olathe","KS","Anti-zombie Road Service","not_available","66061",38.88769246895389,-94.81984376907349
"66061","Olathe","KS","Concerta Urgent Care","1349 S Fountain Dr","66061",38.8626,-94.8213
"66061","Olathe","KS","Good Samaritan Center Nursing Home","20705 W 151st St","66061",38.850450832925326,-94.82615590285423
