"zip","city","state","name","address","postalCode","lat","lon"
"40004","Bardstown","KY","CHI Saint Joseph Health - Flaget Memorial Hospital","4305 New Shepherdsville Rd","40004",37.86159189827616,-85.52374740886178
"40004","Bardstown","KY","First Care Clinics","110 W. John Rowan Blvd.","40004",37.82701110839844,-85.46513366699219
"40004","Bardstown","KY","The Little Clinic","102 W John Rowan Blvd","40004",37.8284614,-85.4648373
"40014","Crestwood","KY","Friendship Manor","not_available","not_available",38.2980016096868,-85.49540141387534
"40014","Crestwood","KY","First Stop Urgent Care","1006 New Moody Ln","40031",38.396983,-85.372874
"40014","Crestwood","KY","Baptist Health Medical Group Louisville Cardiology","1031 New Moody Ln Ste 200","40031",38.395867118220885,-85.37709832235122
"40014","Crestwood","KY","Baptist Health La Grange Heart Care","1025 New Moody Ln","40031",38.39559243661734,-85.37638664245605
"40014","Crestwood","KY","Norton Immediate Care Center - LaGrange","1230 Market St Ste B","40031",38.3939193,-85.3684977
"40014","Crestwood","KY","Baptist Health Crestwood Physical Therapy","6580 Kenwood Crossing Rd","40014",38.33819630417219,-85.47437297645956
"40014","Crestwood","KY","MCNE-Emily's Office","not_available","40031",38.39476013183594,-85.38163757324219
"40014","Crestwood","KY","Norton Brownsboro Hospital Human Resources","4950 Norton Healthcare Blvd","40241",38.31768161280925,-85.5271075975344
"40014","Crestwood","KY","The Little Clinic","12450 La Grange Rd","40245",38.2905926,-85.5089225
"40033","Lebanon","KY","Spring View Hospital","320 N Loretto Rd","40033",37.56955856686399,-85.261640973988
"40045","Milton","KY","King's Daughters' ED","not_available","47250",38.73435653531406,-85.37616194568498
"40047","Mount Washington","KY","The Little Clinic","234 Eastbrooke Pkwy","40047",38.0566805,-85.5374018
"40059","Prospect","KY","Norton Brownsboro Hospital","4960 Norton Healthcare Blvd","40241",38.3155522,-85.5759786
"40059","Prospect","KY","Kosair Children's Medical Center","4910 Chamberlain Ln","40241",38.3154508,-85.569932
"40059","Prospect","KY","Kosair Children's Medical Center (Brownsboro)","not_available","40059",38.322935605127704,-85.57037347463006
"40059","Prospect","KY","Room 432","not_available","40241",38.315484,-85.576113
"40059","Prospect","KY","The Little Clinic","5929 Timber Ridge Dr","40059",38.34019456354791,-85.62146343943334
"40065","Shelbyville","KY","The Pain Institute at Jewish Hospital","not_available","40065",38.209769,-85.235801
"40065","Shelbyville","KY","UofL Health - Shelbyville Hospital","727 Hospital Dr","40065",38.20896530151367,-85.23600006103516
"40065","Shelbyville","KY","Norton Immediate Care Center - Shelbyville","150 Frankfort Rd Ste 104A","40065",38.209243686534684,-85.20507915887814
"40065","Shelbyville","KY","Norton Heart Specialists","213 Midland Blvd","40065",38.21506887234402,-85.25162130919266
"40065","Shelbyville","KY","Norton Urogynecology Center","150 Frankfort Rd Ste 102A","40065",38.20927213865408,-85.20515090796928
"40065","Shelbyville","KY","Baptist Health Occupational Medicine - Shelbyville","101 Stonecrest Rd Ste 1","40065",38.2118034362793,-85.25055694580078
"40065","Shelbyville","KY","Baptist Health Medical Group Primary Care - Shelbyville","140 Stonecrest Rd Ste 101","40065",38.210533142089844,-85.25070190429688
"40065","Shelbyville","KY","Puskesmas DTP Pangalengan","Jl Ry Pangalengan","40003",38.21053461268619,-85.32727432250977
"40065","Shelbyville","KY","The Little Clinic","311 Boone Station Rd","40065",38.21567679795546,-85.20638555288315
"40108","Brandenburg","KY","St. Camillus Urgent Care & Family Practice","2025 Bypass Rd Ste 205","40108",37.9882952,-86.18908170000002
"40109","Brooks","KY","floyd county medical plaza","State Street","40229",38.07992935180664,-85.70053100585938
"40115","Custer","KY","RS Limijati","LL.RE Martadinata","40115",37.7379293,-86.2260131
"40119","Falls Of Rough","KY","Kedokteran nuklir rshs","Pasteur","40153",37.7081533,-86.51906799999999
"40121","Fort Knox","KY","Ireland Army Community Hospital","289 Ireland Ave","40121",37.90013655045481,-85.94119091263387
"40121","Fort Knox","KY","Ireland Army Allergy Clinic","not_available","40121",37.90003,-85.936966
"40143","Hardinsburg","KY","St. Camillus Urgent Care & Family Practice","83 Ballpark Rd","40143",37.7658209,-86.4427535
"40143","Hardinsburg","KY","Breckenridge Memorial Hospital","1011 Old Highway 60","40143",37.766700744628906,-86.44097137451172
"40143","Hardinsburg","KY","Air Evac 92","Hardinsburg, KY","40143",37.76230573654175,-86.4528214931488
"40160","Radcliff","KY","Lincoln Trail Behavioral Health System","3909 S Wilson Rd","40160",37.78800760000001,-85.91458089999999
"40160","Radcliff","KY","CareFirst Urgent Care Center","1360 Rogersville Rd","40160",37.810875,-85.948093
"40165","Shepherdsville","KY","KentuckyOne Health Medical Center Jewish South","1903 W Hebron Lane","40165",38.061662,-85.6969094
"40165","Shepherdsville","KY","Bullitt County EMS North End","1903 West Hebron Lane","40165",38.061649322509766,-85.6973648071289
"40165","Shepherdsville","KY","Jewish Hospital","not_available","40229",38.061652883949286,-85.69674318740917
"40165","Shepherdsville","KY","Norton Immediate Care Center - Shepherdsville","438 Adam Shepherd Pkwy Ste 2","40165",37.995845,-85.7106963
"40165","Shepherdsville","KY","The Little Clinic","185 Adam Shepherd Pkwy","40165",37.9915638,-85.7105027
"40165","Shepherdsville","KY","First Care Urgent Care","340 KY-44","40165",37.990649,-85.711332
"40202","Louisville","KY","KentuckyOne Health Jewish Hospital","200 Abraham Flexner Way","40202",38.248981,-85.751176
"40202","Louisville","KY","KentuckyOne Health Frazier Rehab Institute","220 Abraham Flexner Way","40202",38.249025,-85.750404
"40202","Louisville","KY","Norton Hospital","200 E Chestnut St","40202",38.2477918,-85.7507825
"40202","Louisville","KY","Norton Children's Hospital","231 E Chestnut St","40202",38.2482108,-85.7494773
