"zip","city","state","name","address","postalCode","lat","lon"
"01001","Agawam","MA","Heritage Hall","not_available","01001",42.07849825260791,-72.6198031872336
"01001","Agawam","MA","Nobel Perio in Agawam, MA","158 Main St Suite 101","01001",42.0861188,-72.6216541
"01002","Amherst","MA","AEIOU Occupational & Urgent Healthcare","170 University Dr #202","01002",42.368169,-72.532575
"01002","Amherst","MA","Hospital Of Massachusetts","not_available","not_available",42.4314079284668,-72.460205078125
"01002","Amherst","MA","Cooley Dickinson Urgent Care Amherst","170 University Dr","01002",42.36816,-72.53259
"01002","Amherst","MA","Baystate Plastic Surgery","17 Research Dr","01002",42.35152816772461,-72.47754669189453
"01002","Amherst","MA","MedExpress Urgent Care","424 Russell St","01035",42.363608,-72.54023000000001
"01007","Belchertown","MA","Baystate Health Urgent Care","95 Sargent St","01007",42.288182,-72.398376
"01011","Chester","MA","Fairview Hospital","not_available","01223",42.277589,-73.015715
"01013","Chicopee","MA","Shriners Hospital For Children","516 Carew St","01104",42.12135535422968,-72.5923196722832
"01013","Chicopee","MA","Mercy Medical Center","299 Carew St","01104",42.11556784881918,-72.59334238856103
"01013","Chicopee","MA","Baystate Children's Specialty Center","50 Wason Ave","01107",42.12509514634767,-72.61574921311082
"01013","Chicopee","MA","Mercy Medical Center ER","300 Stafford St","01104",42.115072724997795,-72.59272524134354
"01013","Chicopee","MA","Mercy Family Life Center","222 Carew St","01104",42.11439514160156,-72.5965805053711
"01013","Chicopee","MA","Baystate Hospital- Wesson Woman","not_available","01107",42.121508741135685,-72.60421755910662
"01013","Chicopee","MA","Sr Caritas Cancer Center","not_available","01104",42.116113,-72.592371
"01013","Chicopee","MA","PVEMS","not_available","01013",42.13416530458539,-72.60099382426546
"01013","Chicopee","MA","Benjamin B Mattingly, MD","759 Chestnut St","01199",42.121864,-72.602904
"01020","Chicopee","MA","Concentra Urgent Care","140 Carando Dr","01104",42.1460899,-72.5335329
"01020","Chicopee","MA","MedExpress Urgent Care","1505 Memorial Drive","01020",42.198530121453004,-72.57220476865768
"01027","Easthampton","MA","Cooley Dickinson Hospital","30 Locust St","01060",42.32980296388874,-72.65298580331026
"01027","Easthampton","MA","395 southampton rd","395 Southampton Rd","01027",42.265697,-72.742028
"01027","Easthampton","MA","Cooley Dickinson Urgent Care - Southampton","12 College Hwy","01073",42.25357437133789,-72.69847869873047
"01027","Easthampton","MA","bay state blood bank","not_available","01027",42.26343536376953,-72.66012573242188
"01027","Easthampton","MA","Ann S Cooper-Ciccarelli, DO","325B King St","01060",42.334991,-72.63481
"01027","Easthampton","MA","Cooley Dickinson Medical Group Pulmonary, Allergy and Critical Care Medicine","10 Main St","01062",42.3305027,-72.6531304
"01027","Easthampton","MA","Calvin Coolidge","548 Elm St","01060",42.327165,-72.65809899999999
"01027","Easthampton","MA","OnCall Urgent Care","51 Locust St","01060",42.333177,-72.656576
"01027","Easthampton","MA","Scanning","not_available","01060",42.329917,-72.653536
"01028","East Longmeadow","MA","Dores Dental","281 Maple Street","01028",42.060066,-72.532268
"01028","East Longmeadow","MA","East Point Foot and Ankle, P.C.","250 N Main St #102","01028",42.073682,-72.52078999999999
"01030","Feeding Hills","MA","Baystate Health Urgent Care (Baystate Health Urgent Care - Feeding Hills)","241 S Westfield St","01030",42.05907440185547,-72.67548370361328
"01036","Hampden","MA","Wingate Hampden","18-44 Main St","01036",42.0557788174204,-72.43800530941785
"01040","Holyoke","MA","Holyoke Medical Center","575 Beech St","01040",42.200038266046754,-72.62881278991699
"01040","Holyoke","MA","Providence Behavioral Health Hospital","1221 Main St","01040",42.16695271905707,-72.63314897513465
"01040","Holyoke","MA","Soldier's Home","110 Cherry St","01040",42.19915894574452,-72.6403319428992
"01040","Holyoke","MA","Pennhurst Insane Asylum","not_available","01040",42.16758541746217,-72.64114618905704
"01040","Holyoke","MA","Baystate Medical Education Ctr","361 Whitney Ave","01040",42.16769790649414,-72.648193359375
"01056","Ludlow","MA","Encompass Health Rehabilitation Hospital of Western Massachusetts","222 State St","01056",42.155475,-72.472087
"01069","Palmer","MA","Baystate Wing Hospital","40 Wright St","01069",42.16961121634015,-72.34033088543114
"01077","Southwick","MA","Mundale Asylum For Nervous Diseases","not_available","01085",42.101282,-72.771724
"01082","Ware","MA","Baystate Mary Lane Radiology","not_available","01082",42.253597259521484,-72.24229431152344
