"zip","city","state","name","address","postalCode","lat","lon"
"55007","Brook Park","MN","Kanabec Hospital","not_available","55051",45.931938886642456,-93.12938153743744
"55008","Cambridge","MN","Cambridge Medical Center","701 Dellwood St S","55008",45.56667384794298,-93.23107052145865
"55009","Cannon Falls","MN","Cannon Falls Medical Center","Mill St.","55009",44.5080799222693,-92.91671527164011
"55009","Cannon Falls","MN","Mayo Clinic Health System","32021 County 24 Blvd","55009",44.48614633849009,-92.90321767330164
"55013","Chisago City","MN","Outlook Clinic","not_available","55013",45.3824123531432,-92.86840293984442
"55013","Chisago City","MN","st croix regional lindstrom","12375 Lindstrom Ln","55045",45.39094924926758,-92.85530853271484
"55014","Circle Pines","MN","McCargar Loony Bin","Lois Lane","55014",45.19189752459638,-93.1203112286913
"55014","Circle Pines","MN","Kelley Animal Hospital","4140 Woodland Rd","55014",45.138577000000005,-93.165417
"55014","Circle Pines","MN","North Ambulance","not_available","55014",45.1855431,-93.1106171
"55016","Cottage Grove","MN","Regions Hospital -South 8","not_available","not_available",44.838240171497695,-92.95244809606292
"55019","Dundas","MN","Northfield Urgent Care","2014 Jefferson Rd Ste C","55057",44.437881,-93.18227999999999
"55021","Faribault","MN","District One ER","not_available","55021",44.28836088741663,-93.25825210815606
"55021","Faribault","MN","District One Hospital","200 State Ave","55021",44.28853225708008,-93.25791931152344
"55024","Farmington","MN","MedExpress Urgent Care","7560 160th St. W","55044",44.7168382,-93.218615
"55024","Farmington","MN","Akin Hills Pet Hospital","18400 Pilot Knob Rd","55024",44.682786,-93.176004
"55024","Farmington","MN","Methodist Vascular Center","not_available","55426",44.69912698090297,-93.22088834174009
"55025","Forest Lake","MN","Commercial Sales Office","15161 Feller St NE","55025",45.244443,-93.025958
"55025","Forest Lake","MN","The Insane Asylum","not_available","55025",45.261999,-92.950299
"55033","Hastings","MN","Regina Hospital","1175 Nininger Rd","55033",44.74722362924681,-92.87286710235855
"55037","Hinckley","MN","North Memorial Ambulance","26525-26547 Muskey Ave N","54893",45.87927894252571,-92.36586026897358
"55038","Hugo","MN","Healtheast Clinic - Hugo","not_available","55038",45.160555555555554,-93.0261111111111
"55038","Hugo","MN","Lake Animal Hospital","White Bear, MN","55110",45.120138,-93.00275653333334
"55038","Hugo","MN","HealthPartners North Suburban Family Physicians Urgent Care Hugo","14701 Victor Hugo Blvd N","55038",45.1633647,-93.0138532
"55041","Lake City","MN","Lake City Medical Center","500 W Grant St","55041",44.45931399761052,-92.28751169260586
"55042","Lake Elmo","MN","St. Croix Orthopaedics Urgent Care Clinic","8650 Hudson Blvd N Ste 100","55042",44.95017623901367,-92.9250717163086
"55044","Lakeville","MN","The Porclin Throne","not_available","55044",44.71649029393853,-93.25825701921343
"55047","Marine On Saint Croix","MN","Pedersen Medical & Life Insurance Services","not_available","55047",45.18264181710615,-92.75379180908203
"55056","North Branch","MN","Lakes Region EMS","not_available","55056",45.52563452163734,-92.97247675678835
