"zip","city","state","name","address","postalCode","lat","lon"
"07001","Avenel","NJ","ACFAS Office","not_available","not_available",40.576049,-74.274748
"07001","Avenel","NJ","FA-5 Day Shift","not_available","07001",40.575971,-74.274661
"07001","Avenel","NJ","Us Health Works","1044 E Hazelwood Ave","07065",40.60049,-74.25904200000001
"07001","Avenel","NJ","Avenel/Rahway/Carteret Community QC","not_available","07065",40.5958845736309,-74.26778540627762
"07002","Bayonne","NJ","CarePoint Health: Bayonne Medical Center","29 E 29th St","07002",40.668196667982265,-74.11228921052
"07002","Bayonne","NJ","St. Ann's Home for the Aged","198 Old Bergen Rd","07305",40.69619393960511,-74.0932114880852
"07002","Bayonne","NJ","New Jersey Imaging Network of Bayonne","519 Broadway Ste 155","07002",40.664718,-74.118061
"07002","Bayonne","NJ","Rubino OB/GYN Group - Bayonne","731 Broadway","07002",40.6720895,-74.1116866
"07002","Bayonne","NJ","Urgent Care Bayonne - Astrahealth Center","564 Broadway","07002",40.666136,-74.115923
"07002","Bayonne","NJ","east coast spine","564 Broadway, Bayonne, NJ 07002","07002",40.667213439941406,-74.11865997314453
"07002","Bayonne","NJ","Children's Specialized Hospital - Bayonne - Outpatient Center","815 Broadway","07002",40.675375,-74.108921
"07002","Bayonne","NJ","BMC Radiology","not_available","07002",40.6681681598727,-74.11237962487472
"07002","Bayonne","NJ","RWJBarnabas Health at Bayonne","519 Broadway at 24th Street","07002",40.66474533081055,-74.11773681640625
"07002","Bayonne","NJ","CityMD Bayonne Urgent Care - New Jersey","904 Bayonne Crossing Way","07002",40.66072091182262,-74.10833093337715
"07003","Bloomfield","NJ","Mountainside Hospital","1 Bay Ave","07042",40.8121898519294,-74.20386390867088
"07003","Bloomfield","NJ","Clara Maass Icu Unit","not_available","07109",40.785446,-74.17642
"07003","Bloomfield","NJ","Clara Maass Cafeteria","1 Clara Maass Dr, Belleville, NJ 07109","07109",40.786398138746534,-74.17658603066813
"07003","Bloomfield","NJ","Clara Maass Medical Center - Radiology","1 Clara Maass Dr","07109",40.78583908081055,-74.17601776123047
"07003","Bloomfield","NJ","MedExpress Urgent Care","135 Bloomfield Ave","07003",40.7794765,-74.1876726
"07003","Bloomfield","NJ","St. Michael Medical Center - Columbus Campus","495 N 13th St","07107",40.772787010355984,-74.18687376506495
"07003","Bloomfield","NJ","Glen Ridge Surgicenter","230 Sherman Ave","07028",40.812027,-74.202314
"07003","Bloomfield","NJ","CLARA MAAS Sleep Clinic","S Franklin Ave, Belleville, NJ 07109","07109",40.798194885253906,-74.17028045654297
"07003","Bloomfield","NJ","Mountainside Gift Shop","not_available","07028",40.80923550200492,-74.20370237347358
"07003","Bloomfield","NJ","Glen Ridge First Aid Squad","3 Herman St","07028",40.801612854003906,-74.20423126220703
"07003","Bloomfield","NJ","Clara Maass CC3","not_available","07003",40.7804332566435,-74.20148964550995
"07003","Bloomfield","NJ","Mountainside Hospital 2C","not_available","07042",40.81130406296766,-74.20481445989267
"07003","Bloomfield","NJ","Immedicenter","557 Broad St Ste L1","07003",40.81294159999999,-74.1938973
"07003","Bloomfield","NJ","New Jersey Imaging Network of Belleville","36 Newark Ave Ste 100","07109",40.785197,-74.17657700000001
"07004","Fairfield","NJ","CityMD Wayne Urgent Care - New Jersey","76 Willowbrook Blvd Unit C2","07470",40.89000991203969,-74.25487903878087
"07004","Fairfield","NJ","West Essex First Aid Squad","642 Bloomfield Ave","07006",40.8472871641959,-74.2904811387318
"07004","Fairfield","NJ","The Doctors' Office (Urgent Care)","556 Passaic Ave","07006",40.849312984611764,-74.29682282376756
"07004","Fairfield","NJ","Florham Park OB/GYN- West Caldwell","616 Bloomfield Avenue Ste 2B","07006",40.8464965,-74.28986619999999
"07004","Fairfield","NJ","North Jersey Dermatology Center","526 Bloomfield Ave","07006",40.8451798,-74.2856721
"07004","Fairfield","NJ","ComForcare Senior Services","277 Fairfield Rd Ste 311","07004",40.87730676825322,-74.30045319882993
"07004","Fairfield","NJ","Reborn Skin Care","555 Passaic Ave","07006",40.84980392456055,-74.2978515625
"07004","Fairfield","NJ","hunterdon medical center","Rt. 31","not_available",40.88400414086603,-74.26136149292753
"07004","Fairfield","NJ","Caldwell OB/GYN","175 Fairfield Avenue Ste 3A","07006",40.8597669,-74.2860158
"07005","Boonton","NJ","St. Clare's Hospital","130 Powerville Rd","07005",40.91026763153141,-74.42567426555597
