"zip","city","state","name","address","postalCode","lat","lon"
"87002","Belen","NM","PMG Urgent Care in Belen","609 S Christopher Rd","87002",34.656220287052435,-106.79380613371427
"87002","Belen","NM","Mountain Goddess Apotheca","627 N Main St","87002",34.6674071,-106.7749104
"87002","Belen","NM","Living Cross Belen Base","113 S 2nd St","87002",34.65916061401367,-106.76982879638672
"87004","Bernalillo","NM","Presbyterian Rio Rancho","4100 High Resort Blvd SE","87124",35.24835953182383,-106.65431902046872
"87004","Bernalillo","NM","Presbyterian Medical Group","4005 High Resort Blvd SE","87124",35.250711013267626,-106.65595721104626
"87004","Bernalillo","NM","Presbyterian Urgent care","High Resort","87124",35.24826494429718,-106.65417847256029
"87004","Bernalillo","NM","NextCare Urgent Care","1630 Rio Rancho Blvd SE","87124",35.22850796308724,-106.6604678432927
"87004","Bernalillo","NM","Pres ER","not_available","87124",35.24155099549295,-106.65674276672132
"87004","Bernalillo","NM","Lovelace Urgent Care","not_available","not_available",35.2286469443689,-106.660352529029
"87013","Cuba","NM","Hospital San Juan de Dios La Ceja","La Ceja","87053",35.419071197509766,-106.84652709960938
"87013","Cuba","NM","Dzilth-Na-O-Dith-Hle Health Center","6 Road 7586","87413",36.39398956298828,-107.83464813232422
"87014","Cubero","NM","ACL Hospital","80B Veterans Blvd","87034",35.06864749391935,-107.57006786611434
"87015","Edgewood","NM","Superior Ambulance Torrance County","not_available","87035",35.01192092895508,-106.04849243164062
"87020","Grants","NM","Cibola General Hospital","1016 E Roosevelt Ave","87020",35.1619758605957,-107.82715606689453
"87031","Los Lunas","NM","Living Cross Bosque Base","2441-2499 New Mexico 47","87068",34.83984053134918,-106.69178366661072
"87031","Los Lunas","NM","Living Cross Ambulance","9 El Cerro Rd","87031",34.80087142471754,-106.70750141143799
"87048","Corrales","NM","NextCare Urgent Care","1648 Alameda Blvd NW","87114",35.201597,-106.64616200000002
"87102","Albuquerque","NM","University of New Mexico Hospital","2211 Lomas Blvd NE","87106",35.088044837852756,-106.61691915907643
"87102","Albuquerque","NM","UNM Psychiatric Center","2600 University of New Mexico","87131",35.09073701227445,-106.61604245470947
"87102","Albuquerque","NM","Lovelace Medical Center - Downtown","601 Dr Martin Luther King Jr Ave NE","87102",35.086464602833196,-106.63967924578282
"87102","Albuquerque","NM","Carrie Tingley Childrens Hospital","1127 University Blvd","87106",35.09378842557762,-106.62663900628039
"87102","Albuquerque","NM","Lovelace Rehabititation Hospital","505 Elm St NE","87102",35.08784756125831,-106.63810889989041
"87102","Albuquerque","NM","Albuquerque Indian Health Center","801 Vassar Dr NE","87106",35.08863484033242,-106.61541612326218
"87102","Albuquerque","NM","UNM Children's Hospital","Albuquerque, NM","87106",35.08787989306272,-106.61817904629096
"87102","Albuquerque","NM","Presbyterian Hospital","1100 Central Ave SE","87106",35.081646,-106.635553
"87102","Albuquerque","NM","UNMH Surgical Specialties Clinic","not_available","87106",35.08800242295744,-106.61749669331412
"87102","Albuquerque","NM","Emergency Room Lovelace","not_available","87102",35.08652973441378,-106.64003616132278
"87102","Albuquerque","NM","UNM Outpatient Surgery & Imaging","1213 University Blvd NE","87102",35.095979,-106.62773200000001
"87102","Albuquerque","NM","Presbyterian Day Surgery","301 Cedar St SE","87106",35.079908,-106.634906
"87102","Albuquerque","NM","Presbyterian Employee Parking Garage","300 Cedar St SE","87106",35.079725,-106.63373100000001
"87102","Albuquerque","NM","Drug & Alcohol Rehab Albuquerque","113 6th St NW #C","87102",35.08562088012695,-106.65413665771484
"87105","Albuquerque","NM","Raymond G. Murphy VA Medical Center","1501 San Pedro Dr SE","87108",35.05533,-106.58205
"87105","Albuquerque","NM","Kaseman Presbyterian Hospital","8303 Constitution Ave NE","87110",35.093393468489396,-106.55358773081306
"87105","Albuquerque","NM","PMG Urgent Care on Las Estancias Dr.","3630 Las Estancias Dr SW","87121",35.01718530000001,-106.7142109
"87105","Albuquerque","NM","East Mountain Hearing & Balance","not_available","87121",35.051060863242206,-106.72681331634521
