"zip","city","state","name","address","postalCode","lat","lon"
"43004","Blacklick","OH","jen's urgent care","not_available","43215",39.991267747912346,-82.78278299770439
"43004","Blacklick","OH","Katz Klinic","7 Limited Pkwy E","43068",39.98995590209961,-82.77569580078125
"43004","Blacklick","OH","Mount Carmel Urgent Care","6495 E Broad St","43213",39.98013732912198,-82.83008515834808
"43004","Blacklick","OH","Urgent Care","6435 E Broad St","not_available",39.980209,-82.83086
"43004","Blacklick","OH","Havens Urgent Care","not_available","43004",40.018329,-82.78912
"43004","Blacklick","OH","Walk In Urgent Care","65 N Waggoner Rd","43004",39.986608,-82.791735
"43004","Blacklick","OH","The Little Clinic","7000 E Broad St","43213",39.984432899632814,-82.8161175625155
"43014","Danville","OH","Pomerene Hospital","not_available","not_available",40.45111083984375,-82.25778198242188
"43014","Danville","OH","TTSH OT Recep 2","Jalan Tan Tock Seng","43028",40.409136,-82.340557
"43015","Delaware","OH","OhioHealth Urgent Care Delaware","1710 Columbus Pike","43015",40.26811604956757,-83.07128648278575
"43015","Delaware","OH","America's Urgent Care","not_available","43035",40.178076,-83.009803
"43015","Delaware","OH","Arbors Of Delaware","2270 Warrensburg Rd","43015",40.311634999999995,-83.11454
"43015","Delaware","OH","Nuclear Medicine Delaware","29 Grandview Ave","43015",40.30757141113281,-83.09215545654297
"43015","Delaware","OH","Phoenix Indian Medical Center","not_available","43015",40.296390533447266,-83.1054458618164
"43015","Delaware","OH","Delaware County EMS Station 8","6457 Marysville Road","not_available",40.282203674316406,-83.18277740478516
"43015","Delaware","OH","OhioHealth Emergency Care Center","7853 Pacer Dr","43015",40.180209000000005,-83.024238
"43015","Delaware","OH","Hometown Urgent Care","1100 Sunbury Rd","43015",40.292991,-83.034061
"43015","Delaware","OH","The Little Clinic","6417 Columbus Pike","43035",40.2032167,-83.0265791
"43015","Delaware","OH","The Little Clinic","801 N Houk Rd","43015",40.3131937,-83.11095979999999
"43016","Dublin","OH","Heartland of Dublin","4075 W Dublin Granville Rd","43017",40.098824,-83.099648
"43016","Dublin","OH","OhioHealth Dublin Methodist ER","7500 Hospital Dr","43016",40.101036217834384,-83.16718084987109
"43016","Dublin","OH","Nationwide Children's Dublin Close To Home Center","7450 Hospital Dr #100","43016",40.101421472874215,-83.1642801053864
