"zip","city","state","name","address","postalCode","lat","lon"
"15001","Aliquippa","PA","Sewickley Valley Hospital ER","not_available","not_available",40.533937998505245,-80.2679934313922
"15001","Aliquippa","PA","UPMC Centers for Rehab Services: Hopewell","2304 Brodhead Rd","15001",40.58728790283203,-80.25926971435547
"15001","Aliquippa","PA","My Dormant Cerebral Cortex","not_available","15001",40.633785,-80.318343
"15001","Aliquippa","PA","iCare Home Care Services, LLC","2020 Main St","15001",40.60513687133789,-80.27674865722656
"15001","Aliquippa","PA","Broskey Senior Center","1221 Ridgeway Ave, West Aliquippa, PA 15001","15001",40.60135775,-80.26308451666667
"15003","Ambridge","PA","HealthSouth Rehabilitation Hospital","351 Campmeeting Rd","15143",40.57635269626138,-80.20333470620665
"15003","Ambridge","PA","Sewickley valley hospital","not_available","15143",40.607378129874434,-80.19500645155304
"15009","Beaver","PA","Beaver Medical Center","Dutch Ridge","not_available",40.71177523794059,-80.32253195856543
"15009","Beaver","PA","Heritage Valley Cardiovascular Floor","1000 Dutch Ridge Rd","15009",40.71217727661133,-80.32360076904297
"15009","Beaver","PA","MedExpress Urgent Care","3944 Brodhead Road, Suite 7B","15061",40.679828,-80.3002484
"15009","Beaver","PA","Surgery Waiting Room","not_available","15009",40.689307,-80.316771
"15009","Beaver","PA","Beaver Med Center","not_available","15061",40.71345690499097,-80.36586769081106
"15009","Beaver","PA","Heritage Valley Health System Convenient Care","79 Wagner Rd Ste 200","15061",40.68055725097656,-80.3128433227539
"15009","Beaver","PA","Nurse Office!","Gypsy Glen Road","15009",40.696081,-80.318211
"15009","Beaver","PA","Beaver Medical Center/ER Department","1000 Dutch Ridge Rd","15061",40.71182419807407,-80.32315563186832
"15009","Beaver","PA","Drug and Alcohol Services of Beaver Valley","697 State Ave","15009",40.67902391248624,-80.33920972232866
"15009","Beaver","PA","UPMC Centers for Rehab Services: Beaver","550 Corporation St","15009",40.6948356628418,-80.3034439086914
"15009","Beaver","PA","Medic Rescue Post 20","not_available","15066",40.73027087800575,-80.31013844820954
"15009","Beaver","PA","UPMC CancerCenter, Beaver","1030 Beaner Hollow Rd","15009",40.71019744873047,-80.31793212890625
"15009","Beaver","PA","Montefiore UPMC Hospital","Lothrop Street","15009",40.68883334487101,-80.31932766546518
"15009","Beaver","PA","Heritage Valley ER","3th St","15009",40.69141903214806,-80.3127446097914
"15010","Beaver Falls","PA","UPMC Centers for Rehab Services: Chippewa","2580 Constitution Blvd","15010",40.77324295043945,-80.37287902832031
"15010","Beaver Falls","PA","UPMC Centers for Rehab Services: Beaver Falls","1122 7th Ave Ste C","15010",40.75265884399414,-80.31908416748047
"15010","Beaver Falls","PA","MedExpress Urgent Care","2652 Darlington Road, Suite 10","15010",40.77624062036256,-80.3819391131401
"15012","Belle Vernon","PA","MedExpress Urgent Care","860 Rostraver Road","15012",40.13795288036913,-79.8420238494873
"15012","Belle Vernon","PA","UPMC Centers for Rehab Services: Belle Vernon","4627 Route 51 Willowbrook Plaza Suite 440","15012",40.18424226481642,-79.81009483337402
"15012","Belle Vernon","PA","Red Cross blood donation","not_available","15022",40.126079,-79.885776
"15012","Belle Vernon","PA","Med Express Urgent Care","not_available","15012",40.12650610974597,-79.75131555815962
"15014","Brackenridge","PA","My Office At AVH","1301 Carlisle St","15065",40.600756772248964,-79.74759720218188
"15017","Bridgeville","PA","MedExpress Urgent Care","3024 Washington Pike","15017",40.353283597275535,-80.11538118124008
