"zip","city","state","name","address","postalCode","lat","lon"
"29003","Bamberg","SC","Bamberg County Hospital","509 North St","29003",33.30778121948242,-81.02850341796875
"29006","Batesburg","SC","ACEMS Station 10","Wire Rd","not_available",33.76377487182617,-81.54441833496094
"29014","Blackstock","SC","Fairfield County EMS Mitford Station Medic 3","not_available","not_available",34.504601799886395,-80.93151189901087
"29016","Blythewood","SC","Blythewood Urgent Care","738 University Village Dr","29016",34.21616744995117,-80.98650360107422
"29020","Camden","SC","KershawHealth Urgent Care at Elgin","40 Pinnacle Pkwy","29045",34.14690360649138,-80.75313931909903
"29020","Camden","SC","Walmart Care Clinic","2240 W Dekalb St","29020",34.24903,-80.64833
"29020","Camden","SC","EMS 2","HWY 521 NORTH","not_available",34.32529830932617,-80.6026611328125
"29020","Camden","SC","KershawHealth Medical Center","not_available","29020",34.2532443,-80.590875
"29033","Cayce","SC","Prisma Health SeniorCare PACE - Lexington","700 Knox Abbott Dr","29033",33.98343317596789,-81.06058144572671
"29036","Chapin","SC","Chapin Surgery Center","not_available","29036",34.166096,-81.339104
"29036","Chapin","SC","Prisma Health SeniorCare PACE - White Rock","109 Hummingbird Ct.","29036",34.14252842231177,-81.27686190611712
"29036","Chapin","SC","Physical Medicine Devices","203 Amicks Ferry Rd #400","29036",34.1604347229004,-81.3567123413086
"29045","Elgin","SC","Walmart Care Clinic","10060 Two Notch Rd","29223",34.114683,-80.8887323
"29061","Hopkins","SC","Dorn VA MICU","not_available","29209",33.975435563655125,-80.95992581137838
"29061","Hopkins","SC","Emergency Room @ WJB Dorn Veterans Hospital","6439 Garners Ferry Rd, Columbia, SC 29209","29209",33.975746154785156,-80.95952606201172
"29061","Hopkins","SC","Horrell Hill Richland County EMS","not_available","29061",33.95149484509062,-80.84182524926493
"29063","Irmo","SC","Prisma Health Baptist Parkridge Hospital","400 Palmetto Health Pkwy","29212",34.087140197434586,-81.16036890820538
"29063","Irmo","SC","Palmetto Health Baptist Breast Center","1501 Sumter St","29201",34.08750678526159,-81.16008205164415
"29063","Irmo","SC","Palmetto Health-USC Spine Center","100 Palmetto Health Pkwy Ste 250","29212",34.08941458872466,-81.16178049273911
"29063","Irmo","SC","Palmetto Health-USC Spine Center","300 Palmetto Health Pkwy Fl 2","29212",34.08817278400967,-81.1607614159584
"29063","Irmo","SC","Pediatric After Hours Clinic","100 Palmetto Health Pkwy","29212",34.08918583461687,-81.16185358835564
"29070","Leesville","SC","Doctors Care","815 Highway 378","29072",33.99271774291992,-81.30661010742188
"29072","Lexington","SC","ivy road","not_available","29072",34.007736007717206,-81.24917017953848
"29072","Lexington","SC","Veritas Health Group","247 Columbia Ave","29072",33.9876593,-81.2441678
"29072","Lexington","SC","Lexington Medical Center (Urgent Care)","2720 Sunset Boulevard (Hwy. 378)","29072",33.98379421764239,-81.25104511100369
"29072","Lexington","SC","Lexington Medical Center","811 W Main St","29072",33.98376553141645,-81.25122536262283
"29072","Lexington","SC","Kaiser Permanente Out Patiant Surgery","4760 Sunset Blvd","not_available",34.01304244995117,-81.17269897460938
"29072","Lexington","SC","Lexington Medical Center Lab","Sunset Blvd","29072",33.984198167289954,-81.25131593552798
"29072","Lexington","SC","At Home Hospital Equipment","112 White Oak Ln","29073",34.010401,-81.142579
"29075","Little Mountain","SC","NCEMS Medic 3","149 Seibert Rd","29127",34.13676071166992,-81.46923065185547
"29102","Manning","SC","McLeod Health Clarendon & ER","10 E Hospital St","29102",33.6870332,-80.2111248
"29102","Manning","SC","Clarendon Health System","10 Hospital St.","29102",33.68691983351836,-80.21083233156803
"29108","Newberry","SC","NCMH Emergency Room","2669 Kinard St","29108",34.29051971435547,-81.6063232421875
"29108","Newberry","SC","Newberry EMS Medic 2","not_available","29145",34.21874237060547,-81.71632385253906
"29115","Orangeburg","SC","The Regional Medical Center (TRMC)","3000 Saint Matthews Rd","29118",33.5401756,-80.8306233
