"zip","city","state","name","address","postalCode","lat","lon"
"84003","American Fork","UT","American Fork Hospital","170 N 1100 E","84003",40.380623,-111.767563
"84003","American Fork","UT","Voyage Direct Primary Care","1248 E 90 N #203","84003",40.38139724689474,-111.77001968698276
"84003","American Fork","UT","Pleasant Grove Medical Specialty Office","1886 W 800 N","84062",40.37263,-111.76736
"84003","American Fork","UT","Urgent Care","not_available","not_available",40.387378334999084,-111.82102560997009
"84003","American Fork","UT","IMC Hospital","5121 S Cottonwood St","84107",40.53985528410311,-111.83883576355777
"84003","American Fork","UT","Brio Utah","62 N Grant Ave","84003",40.377947,-111.793912
"84003","American Fork","UT","American Fork InstaCare","98 N 1100 E","84003",40.37910028,-111.76730515
"84003","American Fork","UT","BioLife Plasma Services","632 W,N 900","84003",40.3898138,-111.8213409
"84003","American Fork","UT","American Fork Dermatology","98 N 1100 E , Ste 301","84003-2947",40.38283162932593,-111.79546415805817
"84003","American Fork","UT","mountain view hospital","not_available","84003",40.41128921508789,-111.77348327636719
"84003","American Fork","UT","Dr Joseph L Richey","800 N 700 W","84058",40.372108459472656,-111.74907684326172
"84003","American Fork","UT","Huntsman-Inermountain Cancer Center American Fork","1100-1154 E 180 N St","84003",40.38098383,-111.76751915
"84003","American Fork","UT","Utah Valley Urgent Care","127 E Main St","84043",40.38844299316406,-111.84626007080078
"84003","American Fork","UT","Tri City Medical Center Clinic | Urgent Care Emergency Room","275 W 200 N","84042",40.34146499633789,-111.72177124023438
"84010","Bountiful","UT","Lakeview Hospital","630 Medical Dr","84010",40.88579927353402,-111.86885207891464
"84010","Bountiful","UT","FirstMed","1512 Renaissance Towne Dr #100","84010",40.874542236328125,-111.88782501220703
"84010","Bountiful","UT","South Davis Community Hospital","not_available","84010",40.88464856364701,-111.8719938048786
"84010","Bountiful","UT","Lakeview Hospital ER","630 Medical Dr Fl 1","84010",40.88586335174851,-111.86876356601715
"84010","Bountiful","UT","Orchard Cove Rehabilitation","499 E 500 S","84010",40.884735545739986,-111.87105607367869
"84010","Bountiful","UT","Lakeview Hospital Womens Health","630 Medical Dr East entrance","84010",40.88591385,-111.8690109
"84014","Centerville","UT","Saint Thomas Medical Partners - Gynecologic Oncology - Clarksville","647 Dunlop Ln","37040",40.91922020055109,-111.8712794780731
"84015","Clearfield","UT","Davis Hospital & Medical Center","1600 West Antelope Drive","84041",41.09086909314546,-111.99488580261561
"84015","Clearfield","UT","Pico's Room","1600 W Antelope Dr Rm 258","84041",41.09110641479492,-111.99522399902344
"84015","Clearfield","UT","Davis Hospital","1600 W Antelope Dr","84041",41.09110641479492,-111.99522399902344
"84015","Clearfield","UT","Layton InstaCare","2075 University Park Blvd","84041",41.09051,-111.9886709
"84015","Clearfield","UT","Advanced Foot and Ankle Center","1660 West Antelope Drive Suite 100","84041",41.0895265,-111.9968692
"84015","Clearfield","UT","Davis Orthopedics & Sports Medicine - Layton","2132 N Robins Dr Ste 230","84041",41.091229334013214,-111.99679881349181
"84015","Clearfield","UT","Davis Hospital ER","1600 W Antelope","not_available",41.091038711057905,-111.99619698351238
"84015","Clearfield","UT","Job Corps Wellness","not_available","84015",41.090087095077216,-112.0259152726315
"84015","Clearfield","UT","Antelope Women's Center","2132 N Robins Dr Ste 300","84041",41.0912379,-111.9968229
"84015","Clearfield","UT","Legacy Point Family Medicine","81 N 2000 W","84015",41.11485547190299,-112.0650061803621
"84015","Clearfield","UT","Cascade Springs Home Healthcare","1795 Chelemes Way Ste 200","84015",41.08772659301758,-112.01717376708984
"84015","Clearfield","UT","Thatcher Brook Rehabilitation and Care Center","1795 Chelemes Way","84015",41.0876002,-112.0174785
"84015","Clearfield","UT","Rock Run Physical Therapy & Rehab Specialists","736 South 2000 West Suite 1","84075",41.102909999999994,-112.065288
"84015","Clearfield","UT","McKay Dee Hospital Room 4101","not_available","84403",41.08314305,-112.0114263
"84015","Clearfield","UT","Healer Divine","2449 S 2000 W","84075",41.07830810546875,-112.06436157226562
"84015","Clearfield","UT","Medallus/ After Hours Urgent Care","1868 N 1200 W","84041",41.087392,-111.98725900000001
"84015","Clearfield","UT","Neuroscience & Rehabilitation Specialists","1492 W Antelope Dr","84041",41.08982565497077,-111.99373666111137
"84015","Clearfield","UT","Davis Orthopedics and Sports Medicine","1407 N 2000 W Ste F","84015",41.1342519,-112.0653543
