"zip","city","state","name","address","postalCode","lat","lon"
"98001","Auburn","WA","Wound Healing Center","not_available","98001",47.3088969634835,-122.22905056055242
"98001","Auburn","WA","MultiCare Auburn Urgent Care","202 Cross St SE","98002",47.303921,-122.227474
"98001","Auburn","WA","Urgent Care in Federal Way","32018 23rd Ave S","98003",47.31410598754883,-122.30313873291016
"98001","Auburn","WA","Cascade Eye & Skin Centers","205 10th St NE 119","98002",47.3169954,-122.2268676
"98001","Auburn","WA","MultiCare Indigo Urgent Care","31861 Gateway Center Blvd S","98003",47.31627545,-122.30065898
"98002","Auburn","WA","Outpatient Laboratory","not_available","98002",47.31077732366321,-122.22613331315915
"98002","Auburn","WA","UW: VMC: Auburn Urgent Care","1000 Auburn Way S","98002",47.299034999999996,-122.21931799999999
"98003","Federal Way","WA","St. Francis Hospital","34515 9th Ave S","98003",47.29235981186124,-122.32716727918529
"98003","Federal Way","WA","Rainier Surgical Center","34612 100 6th Ave S","98003",47.291560127534304,-122.31259035977054
"98003","Federal Way","WA","MultiCare Urgent Care Clinic","not_available","not_available",47.30773033779392,-122.32627513278702
"98003","Federal Way","WA","Franciscan Urgent Care - Federal Way","31675 Pacific Hwy S","98003",47.31736828524228,-122.31386116315375
"98003","Federal Way","WA","St Francis Diagnostic Imaging","34509 9th Ave S","98003",47.2922158241272,-122.32597768306732
"98003","Federal Way","WA","st. francis intensive care waiting room","not_available","98003",47.292789459228516,-122.32691955566406
"98003","Federal Way","WA","Urgent Care","1413 S 348th St","98003",47.289229,-122.315573
"98003","Federal Way","WA","St. Francis Hospital Emergency Department","94515 9th Ave S","98003",47.29248600465416,-122.32776567049784
"98003","Federal Way","WA","St. Francis Outpatient Surgery","9th Ave","not_available",47.285417,-122.338965
"98003","Federal Way","WA","Aesthetic Surgery Centre & MedSpa â€"" Federal Way, WA","34503 9th Ave S Ste 230 (Troy J. Woodman, MD)","98003",47.292939000000004,-122.323734
"98004","Bellevue","WA","Overlake Hospital Medical Center","1035 116th Ave NE","98004",47.6206274203406,-122.18672750541207
"98004","Bellevue","WA","Kaiser Permanente Hospital","11511 NE 10th St","98004",47.618550430116144,-122.18646196910545
"98004","Bellevue","WA","Seattle Children's Bellevue Surgery Center","1500 116th Ave NE","98004",47.62417657418457,-122.1848160087364
"98004","Bellevue","WA","Overlake Medical Clinics Downtown Bellevue Urgent Care","not_available","98004",47.613992,-122.196056
"98004","Bellevue","WA","Overake Radiation Oncology","1135 116th Ave NE","98004",47.620528,-122.187343
"98004","Bellevue","WA","Bellevue Plastic Surgeons","11820 Northup Way Suite E190","98005",47.6333778,-122.1816177
"98004","Bellevue","WA","Urgent Care Clinic at Eastside Speciality Center","3100 Northup Way","98004",47.6381950378418,-122.19132232666
"98004","Bellevue","WA","Dermatology of Bellevue","1600 116th Ave NE Ste 302","98004",47.6250083,-122.1848675
"98004","Bellevue","WA","ZOOM+Care","345 106th Avenue NE","98004",47.61336721474682,-122.19927294600895
"98004","Bellevue","WA","North Pacific Dermatology - Bellevue, WA","1200 112th Ave NE","98004",47.6219279,-122.1906207
"98004","Bellevue","WA","Overlake - Labor & Delivery","1035 116th Ave NE Fl 6","98004",47.621119681908894,-122.18745046776081
"98004","Bellevue","WA","Overlake Hospital Infusion Suite","11411-11453 NE 8th St","98004",47.616797819999995,-122.18775796
"98005","Bellevue","WA","Pacific Medical Systems Inc","1407 132nd Ave NE Ste 10","98005",47.623359,-122.1650941
"98005","Bellevue","WA","North Pacific Dermatology - Eastside Dermatology","14030 NE 24th St #202","98007",47.632343,-122.15297199999999
"98005","Bellevue","WA","Concerta Urgent Care","268 Highland Park Blvd","not_available",47.5852791,-122.1682336
"98005","Bellevue","WA","Overlake Reproductive Health","11232 NE 15th St Suite 201","98004",47.6245202,-122.1894281
"98006","Bellevue","WA","Overlake Urgent Care","not_available","98059",47.543278,-122.163822
"98006","Bellevue","WA","Summit Primary Care And Walk-In Clinic","3900 Factoria Blvd SE Ste A","98006",47.57540512084961,-122.16868591308594
"98007","Bellevue","WA","Abandoned Group Health Complex","not_available","98052",47.63236872219007,-122.13499501686525
"98007","Bellevue","WA","Immediate Clinic Bellevue","15600 NE 8th St Ste A4","98008",47.620813,-122.13172
"98007","Bellevue","WA","ZOOM+Care","2010 148th Ave NE","98052",47.628452532988774,-122.14243820104927
"98011","Bothell","WA","evergreen employee health","not_available","98034",47.72442626953125,-122.16666412353516
"98011","Bothell","WA","Stacie L Cindea, ARNP","10025 NE 186th St","98011",47.76234916353148,-122.20634758494269
"98012","Bothell","WA","Swedish Mill Creek ER","13020 Meridian Ave S","98208",47.87865586887532,-122.2340992345807
"98012","Bothell","WA","EvergreenHealth Urgent Care - Mill Creek","4220 132nd St SE Ste 103","98012",47.87736711880933,-122.17288970936352
"98012","Bothell","WA","Washington Security Products Inc.","15712 Mill Creek Blvd Ste 22","98012",47.8553331,-122.2204402
"98012","Bothell","WA","Providence Express Care at Walgreens - Murphys Corner","13110 Bothell Everett Hwy","98208",47.878996603139065,-122.20754539632986
"98021","Bothell","WA","Immediate Clinic Bothell","23131 Bothell Everett Hwy","98021",47.788641,-122.218484
"98021","Bothell","WA","ZOOM+Care","24118 Bothell Everett Hwy #200","98021",47.77866942127662,-122.21889887668648
"98022","Enumclaw","WA","St. Elizabeth Hospital","1455 Battersby Ave.","98022",47.2091929370411,-121.98763923045033
"98022","Enumclaw","WA","abd","not_available","98022",47.158972,-121.835625
"98022","Enumclaw","WA","Expressions at Enumclaw","2454 Cole St","98022",47.209866,-121.985173
"98022","Enumclaw","WA","Living Court Assisted Living Community","2229 Jensen St","98022",47.208845000000004,-121.986236
"98022","Enumclaw","WA","St. Elizabeth Hospital - Emergency Room","1455 Battersby Ave Fl 1","98022",47.209227315964284,-121.9876622042818
"98023","Federal Way","WA","Gail Clifford","not_available","98023",47.31062009124242,-122.36194610595703
"98026","Edmonds","WA","Swedish Medical Center Edmonds Campus","21605 76th Ave W","98026",47.80331618068317,-122.3348381800838
"98026","Edmonds","WA","Swedish Edmonds Emergency Room","21601 76th Ave W","98026",47.803235949735154,-122.33431398868561
"98026","Edmonds","WA","Swedish Urgent Care - Edmonds","21600 Highway 99 Ste 240","98026",47.80295104560004,-122.33067432272742
"98026","Edmonds","WA","Compass health","4807 196th ave se","98036",47.82124956504929,-122.29752133654179
"98026","Edmonds","WA","Swedish Edmonds Morgue","not_available","98043",47.79874038696289,-122.3245849609375
"98026","Edmonds","WA","ZOOM+Care","22019 Highway 99 Ste 120","98026",47.798867586127656,-122.33161036747646
"98026","Edmonds","WA","Dependable Medical Equipment","6601 220th St SW #6","98043",47.800014,-122.322495
"98027","Issaquah","WA","Swedish Issaquah Emergency Room","751 NE Blakely Dr","98029",47.536221431753724,-122.02287482078395
"98027","Issaquah","WA","Overlake Urgent Care","5708 E Lake Sammamish Pkwy SE","98029",47.55042490551603,-122.0410465564884
"98027","Issaquah","WA","Adara Surgical Institute: Oral, Maxillofacial, Implant and Cosmetic Surgery - Dr. Hardeep Dhaliwal","6505 226th Place Southeast STE 100","98027",47.5431741,-122.0390837
"98027","Issaquah","WA","VMC Er","not_available","98058",47.45352785,-122.12056375
"98027","Issaquah","WA","Overlake Community Education Classroom","not_available","98029",47.550676,-122.041248
"98027","Issaquah","WA","Mia A Swartz, MD, MS, FPMRS","6520 226th Pl SE Ste 205","98027",47.542640000000006,-122.038164
"98027","Issaquah","WA","Swedish Endoscopy Center - Issaquah","751 NE Blakely Dr Ste 3010","98029",47.536248621645484,-122.02205636441806
"98027","Issaquah","WA","Wadsworth Psychiatric Services PLLC","6520 226th Pl SE Ste 203","98027",47.5440926,-122.0402818
"98030","Kent","WA","Holistic Evaluations and Wellness Center","11201 SE Kent-Kangley Road 101","98030",47.3684382,-122.1921305
"98030","Kent","WA","CityMD Kent","12924 SE Kent-Kangley Rd.","98030",47.360040999999995,-122.16860600000001
"98030","Kent","WA","MultiCare Kent Urgent Care","222 State Ave N","98030",47.382807,-122.229448
"98031","Kent","WA","Auto Werkstatt German Auto Repair","21622 84th Ave S #1","98032",47.40744083903913,-122.22459554672243
"98031","Kent","WA","Kent Periodontal Office","10920 SE 208th St Ste 5","98031",47.416508,-122.1949538
"98032","Kent","WA","AFC Urgent Care Southcenter","18012 68th Ave S Ste 101","98032",47.440723,-122.244703
"98032","Kent","WA","Kindred at Home","20829 72nd Ave S","98032",47.41590085,-122.24611332
"98032","Kent","WA","Picc","348 4th Ave S","98032",47.37876534461975,-122.23716974258423
"98032","Kent","WA","Kent Station Clinic","not_available","98032",47.38622,-122.236853
"98032","Kent","WA","Bows-R-Bowties","646 Strander Blvd","98188",47.391028274421615,-122.27042913436888
"98033","Kirkland","WA","BLU-MED","PO Box 2038","98083",47.67209212786854,-122.20504760742186
"98033","Kirkland","WA","North Pacific Dermatology - Kirkland, WA","10117 NE 58th St","98033",47.65927505493164,-122.20543670654297
"98033","Kirkland","WA","The Mental Ward","10808 113th Ct NE","98033",47.697113,-122.190367
"98034","Kirkland","WA","EvergreenHealth Heart Care","12333 NE 130th Ln Ste Tan # 320","98034",47.71592645069109,-122.1764123439789
"98034","Kirkland","WA","EvergreenHealth Emergency Department - Kirkland","12040 NE 128th St","98034",47.71635140286816,-122.17981412734888
"98034","Kirkland","WA","EvergreenHealth Hospice Care","12822 124th Ln NE","98034",47.715507779787536,-122.17477083206177
"98034","Kirkland","WA","EvergreenHealth Surgical Care","12333 NE 130th Ln Ste TAN420","98034",47.715801671349126,-122.17642974571878
"98034","Kirkland","WA","Evergreen Medical Center","12333 NE 130th Ln","98034",47.71211370784412,-122.18482483173784
"98034","Kirkland","WA","EvergreenHealth Community Health Access","12040 NE 128th Street, Suite Blue 1-140","98034",47.71583982940082,-122.1784293651581
"98034","Kirkland","WA","NICU Tye","Blue Floor 4","not_available",47.716262,-122.177517
"98034","Kirkland","WA","NICU Taryn","Blue Fourth Floor","not_available",47.716745,-122.177337
"98034","Kirkland","WA","EvergreenHealth Research Services","12039 NE 128th St Ste 300","98034",47.71445386917281,-122.17967391014098
"98034","Kirkland","WA","EvergreenHealth Diagnostic Imaging - EvergreenHealth Medical Center","12040 NE 128th Street, Blue 1-122","98034",47.716027508681044,-122.17840790748596
"98034","Kirkland","WA","Amber G Livingston, ARNP","12333 NE 130th Ln Ste TAN320","98034",47.716114129659296,-122.17640161514281
"98034","Kirkland","WA","EvergreenHealth Ear Nose & Throat Care","12303 NE 130th Ln Ste Coral # 400","98034",47.71592645069109,-122.17862248420714
"98034","Kirkland","WA","Shaunie L. Keys, MD OBGYN","12910 Totem Lake Boulevard","98034",47.7161917,-122.1842402
"98036","Lynnwood","WA","ZOOM+Care","19220 Alderwood Mall Pkwy Ste 145","98036",47.82432743461385,-122.27131230624911
"98037","Lynnwood","WA","Berzerk Insane Asylum","not_available","98037",47.844181697886754,-122.28318365582184
"98038","Maple Valley","WA","MultiCare Indigo Urgent Care - Maple Valley","26380 238th Lane Southeast","98038",47.36545448,-122.02360531
"98038","Maple Valley","WA","UW Maple Valley Urgent Care","26458 Maple Valley Black Diamond Rd SE","98038",47.36384717952706,-122.02075045010756
"98040","Mercer Island","WA","Harborview Medical Center Morgue","not_available","98112",47.59136596071612,-122.24027098689007
"98040","Mercer Island","WA","Mercer Island Periodontal Office","2737 77th Ave SE Ste 212","98040",47.5857194,-122.235774
"98042","Kent","WA","multicare ER","17700 Southeast 272nd Street","98042",47.35924881,-122.10365458
"98042","Kent","WA","ZOOM+Care","17017 SE 270th Pl Ste 113","98042",47.35886123388006,-122.11397089155079
"98042","Kent","WA","Covington Valley Urgent Care","27034 168th Pl SE","98042",47.35864559510989,-122.11650964027126
"98045","North Bend","WA","Meadowbrook Urgent Care and Family Practice","209 Main Ave S #115","98045",47.494211,-121.786923
"98045","North Bend","WA","Snoqualmie Valley Hospital","9801 Frontier Ave SE","98065",47.514532551509866,-121.82640471643346
"98052","Redmond","WA","EvergreenHealth Urgent Care - Redmond","8980 161st Ave NE Ste 320","98052",47.6822509765625,-122.12374114990234
"98052","Redmond","WA","ZOOM+Care","16175 Cleveland St Ste 103","98052",47.673584371427886,-122.12459474072114
"98052","Redmond","WA","EvergreenHealth Emergency Department - Redmond","8980 161st Ave NE Ste 200","98052",47.68204389268046,-122.1240374729912
"98052","Redmond","WA","Swedish Redmond Emergency Department","18100 NE Union Hill Rd","98052",47.676408141840106,-122.09921193928682
"98052","Redmond","WA","Redmond Periodontal Office","7530 164th Ave NE Ste A120","98052",47.67152,-122.1212544
"98055","Renton","WA","Valley Medical Center Emergency Room","400 S 43rd St","98055",47.441771482788546,-122.21403702220638
"98055","Renton","WA","Valley Urgent Care","not_available","98055",47.444469500070525,-122.19919744302776
"98055","Renton","WA","Aspire Suboxone Clinic","4509 Talbot Rd S","98055",47.4391879,-122.21373690000001
"98055","Renton","WA","General & Surgical Specialists Clinic - Valley Medical Center","4033 Talbot Rd S","98055",47.4442282,-122.2145767
"98055","Renton","WA","Pediatrics Mother Baby","Valley Medical Center Northwest Pavilion","98055",47.444125,-122.214883
"98055","Renton","WA","North Pacific Dermatology - Renton, WA","3721 Talbot Road South","98055",47.4455364,-122.211893
"98056","Renton","WA","UW Medicine Valley Medical Care Renton Landing Urgent Care","1205 N 10th St","98057",47.49773584378371,-122.20186940931222
"98057","Renton","WA","Proliance Orthopedic Associates","150 Andover Park W","98188",47.45875930786133,-122.25328063964844
"98057","Renton","WA","Valley Medical Center Materials Management","3600 Lind Ave SW","98057",47.446468353271484,-122.22277069091797
"98057","Renton","WA","Concentra Urgent Care","not_available","98188",47.457257,-122.249612
"98072","Woodinville","WA","Amanda D Cox, ARNP","16916 140th Ave NE Ste 300","98072",47.75057063212432,-122.15219378493202
"98072","Woodinville","WA","EvergreenHealth Urgent Care - Woodinville","16916 140th Ave NE Ste 200","98072",47.750587463378906,-122.15188598632812
"98072","Woodinville","WA","ZOOM+Care","17705 140th Ave NE #A18","98072",47.75626588715583,-122.15327538602824
"98072","Woodinville","WA","Urgent Care in Woodinville","17638 140th Ave. NE","98072",47.75055870274978,-122.15200263916105
"98072","Woodinville","WA","Empowered Pregnancy Birth Center and Women's Wellness Clinic","13114 120th Ave NE","98034",47.71861163926555,-122.18151926994322
"98087","Lynnwood","WA","Tactical Training Academy","8911 Vernon RD","98258",47.877636,-122.28326900000002
"98087","Lynnwood","WA","Compassionate Angel Caregiver Service","13407 Wigen Rd Unit A","98087",47.8769152055339,-122.28421568870543
"98092","Auburn","WA","MultiCare Indigo Urgent Care - Auburn","7096 Lakeland Hills Way SE","98092",47.2561346,-122.2144606
"98092","Auburn","WA","Lea Hill Urgent Care + Family Medicare","31217 124th Ave SE Ste 5","98092",47.321815490722656,-122.17716217041016
"98101","Seattle","WA","Virginia Mason Hospital and Seattle Medical Center","1100 9th Ave","98101",47.610128497530766,-122.32723219993456
"98101","Seattle","WA","Harborview Medical Center","325 9th Ave","98104",47.604166524573486,-122.32413768768309
"98101","Seattle","WA","Virginia Mason Medical Center Emergency Room","900 Madison St","98104",47.610395924566625,-122.32714330296665
"98101","Seattle","WA","Swedish Level A By The Vending Machines","not_available","98104",47.60703,-122.32284
"98101","Seattle","WA","Harborview - Ninth & Jefferson Building","908 E Jefferson St.","98104",47.605291314763015,-122.3236501475871
"98101","Seattle","WA","Swedish Emergency Department","747 Broadway","98122",47.607936923297515,-122.32205141338477
"98101","Seattle","WA","Harborview Medical Center - Maleng Building","410 9th Ave N","98109",47.60452215587606,-122.32382455143967
"98101","Seattle","WA","Floor Ten at VM","not_available","98101",47.612743862454735,-122.32368784774721
"98101","Seattle","WA","Premier Cosmetic Surgery","not_available","98122",47.613968,-122.32337
"98101","Seattle","WA","Swedish Clinical Research","1120 Cherry St","98104",47.607760999999996,-122.322574
"98101","Seattle","WA","Harborview Surgery Clinic","Maleng Building - G Floor","not_available",47.60443907566071,-122.32389266039642
"98101","Seattle","WA","Altındag tımarhanesı","Moda","98121",47.61529119999999,-122.3455045
"98101","Seattle","WA","Seattle Surgery Center","900 Terry Ave","98104",47.60845636673993,-122.32586431116138
"98101","Seattle","WA","Listen For Life Center At Virginia Mason","not_available","98008",47.60990629167897,-122.32953441896268
"98101","Seattle","WA","Gamma Knife Center","325 9th Ave, East Hospital, Rm 44","98104",47.6034472,-122.3266589
"98102","Seattle","WA","Kaiser Permanente Urgent Care","201 16th Ave E","98112",47.62026968956067,-122.31270823025994
"98102","Seattle","WA","SCCA REGISTRATION","not_available","98109",47.62664255677484,-122.33020839379903
"98102","Seattle","WA","ZOOM+Care","123 Broadway E","98102",47.61957055571765,-122.32122647876224
"98102","Seattle","WA","Group Health Kidney Dialysis","15TH avenue  East","98112",47.61940414525619,-122.31234606791928
"98102","Seattle","WA","CityMD","217 Broadway East, Seattle","98102",47.6204389,-122.3213047
"98102","Seattle","WA","Childrens hospital audiology","not_available","98105",47.65254211425781,-122.31333923339844
"98102","Seattle","WA","University of Washington Maternal Infant Care Clinic","1959 NE Pacific St","98195",47.649349697218774,-122.31239200911544
"98102","Seattle","WA","Pain Removal Service - Doug McCreary LMP","906 E John St Ste 509","98102",47.6200994,-122.3203275
"98102","Seattle","WA","ZOOM+Care","531 Broadway E #10","98102",47.6240296,-122.3212479
"98103","Seattle","WA","ZOOM+Care","624 N 34th Street","98103",47.649846386207955,-122.35044982514859
"98103","Seattle","WA","Sweetlife Weight Management","not_available","98103",47.67319746546808,-122.34399676322936
"98103","Seattle","WA","Embrace Ayurveda","3876 Bridge Way N Unit 300","98103",47.6537662,-122.3434628
"98103","Seattle","WA","ZOOM+Care","4555 Stone Way N","98103",47.66183257731564,-122.34251232147847
"98103","Seattle","WA","Kindred Transitional Care and Rehabilitation - Queen Anne","2717 Dexter Ave N","98109",47.6440315246582,-122.34797668457031
"98103","Seattle","WA","MultiCare Indigo Urgent Care - Wallingford","118 NE 45th St","98105",47.661532,-122.327626
"98104","Seattle","WA","Orthopedics International Surgical Center","600 Broadway","98122",47.60785581,-122.32030136
"98104","Seattle","WA","Gamma Knife","375 9th Ave","98104",47.601148,-122.323947
"98105","Seattle","WA","Seattle Children's Hospital","4800 Sand Point Way NE","98105",47.66259049431197,-122.28274110799808
"98105","Seattle","WA","UW Medical Center at Roosevelt","4245 Roosevelt Way NE","98105",47.65883781757617,-122.31797667510004
"98105","Seattle","WA","Digestive Disease Center at UWMC","1959 NE Pacific St Fl 3","98195",47.648902462611105,-122.30547880189899
"98105","Seattle","WA","Uwmc 4Th Floor","not_available","98195",47.649136,-122.306093
"98105","Seattle","WA","Warby Parker","2619 NE University Village Street","98105",47.662118,-122.2991641
"98105","Seattle","WA","Virginia Mason University Village Medical Center","2671 NE 46th St","98105",47.661758,-122.298183
"98105","Seattle","WA","Urgent Care in Ravenna","4915 25th Ave NE Ste 300W","98105",47.66514919999999,-122.3017995
"98105","Seattle","WA","River Zone","(old Giraffe Zone)","98105",47.66292733129055,-122.28295821064668
"98105","Seattle","WA","ZOOM+Care","4540 University Way NE","98105",47.66248451226349,-122.31279067729815
"98106","Seattle","WA","Navos","2600 SW Holden St","98126",47.5341286201124,-122.36623976284983
"98107","Seattle","WA","Swedish Medical Center - Ballard Campus","5300 Tallman Ave NW","98107",47.66746896346533,-122.37958818650816
"98107","Seattle","WA","Swedish Ballard ER","5350 Tallman Ave NW","98107",47.66800597795967,-122.38069594037127
"98107","Seattle","WA","Leanna May Health Empowerment","1546 NW 56th Street","98107",47.6694848,-122.3783127
"98107","Seattle","WA","Its Only Natural","not_available","98107",47.658826,-122.364258
"98108","Seattle","WA","VA  Medical Center","1660 S Columbian Way","98108",47.562852267451106,-122.30866027205754
"98108","Seattle","WA","SICU VA Hospital","Third Floor","98108",47.563318121715234,-122.31047232701353
"98108","Seattle","WA","Veterans Hospital Compensation/Disability","not_available","98108",47.5598371646556,-122.30754958705002
"98109","Seattle","WA","UW Neighborhood South Lake Union Clinic","750 Republican St","98109",47.62363,-122.34139499999999
"98109","Seattle","WA","Bayside Family Physicians","1100 Dexter Ave N Ste 100","98109",47.6291351318359,-122.341903686523
"98110","Bainbridge Island","WA","Harrison Bainbridge Urgent Care","8804 Madison Ave N","98110",47.642565999999995,-122.518677
"98110","Bainbridge Island","WA","Providence Express Care At Home - House Call Doctors - Mercer Island","945 Hildebrand Ln NE","98110",47.633665,-122.517779
"98110","Bainbridge Island","WA","Franciscan Urgent Care - Bainbridge Island","1344 Wintergreen Ln NE Unit 100","98110",47.63799553850571,-122.51374698276241
"98112","Seattle","WA","Boyer Children's Clinic","1850 Boyer Ave E","98112",47.636084000000004,-122.302604
"98112","Seattle","WA","Drug & Alcohol Rehab Seattle","1715 12th Ave","98122",47.616905212402344,-122.31729125976562
"98115","Seattle","WA","CityMD Ravenna","6322 Roosevelt Way NE","98115",47.67484,-122.3170089
"98115","Seattle","WA","Drive-up COVID-19 Testing Site (Seattle Childrens)","5801 Sand Point Way NE","98105",47.671446,-122.270152
"98115","Seattle","WA","Jeff Harris N.D.","7201 5th Ave NE","98115",47.68145424677627,-122.32239961624144
"98116","Seattle","WA","Franciscan Urgent Care - West Seattle","4755 Fauntleroy Way SW Ste 110","98116",47.55964373830586,-122.38186320169622
"98116","Seattle","WA","Franciscan Prompt Care","not_available","98126",47.56142091851505,-122.3805773142663
"98116","Seattle","WA","Life Care Centers of America","4700 SW Admiral Way","98116",47.58085764483298,-122.39290555417344
"98116","Seattle","WA","ZOOM+Care","4012 SW Alaska St","98116",47.5613907,-122.3833453
"98116","Seattle","WA","Care Clinic Pharmacy","4706 42nd Ave SW","98116",47.560653,-122.384596
"98117","Seattle","WA","Doctors Express Urgent Care","9000 Holman Rd NW","98117",47.694423,-122.375077
"98117","Seattle","WA","Dr. T.R. Morris, ND, IFMCP","7041 11th Ave NW","98117",47.6807686,-122.3707234
"98118","Seattle","WA","MX 180","4201 S Holly St","98118",47.542234,-122.280677
"98119","Seattle","WA","ZOOM+Care","1570 W Armory Way Ste 102","98119",47.63975127826431,-122.37700244492373
"98119","Seattle","WA","HatchMed","1631 15th Ave W #107","98119",47.634849548339844,-122.37673950195312
"98121","Seattle","WA","Swedish Express Care","222 Pike St","not_available",47.609831,-122.33832199999999
"98121","Seattle","WA","ZOOM+Care","2301 2nd Ave","98121",47.61401026101847,-122.34608488960134
"98122","Seattle","WA","Swedish Medical Center - Cherry Hill Campus","500 17th Ave","98122",47.6071248,-122.3104683
"98122","Seattle","WA","Swedish Medical Center - Cherry Hill Emergency Department","540 16th Ave","98122",47.607348724709574,-122.3110541534424
"98122","Seattle","WA","P4 Medicine Institute (P4Mi)","464 12th Ave Suite 400. Seattle, WA 98122","98122",47.605981,-122.316487
"98122","Seattle","WA","Swedish Radiosurgery Center","550 17th Ave Ste A10","98122",47.607698783798334,-122.31029466137693
"98125","Seattle","WA","Roger Bouck Rotacare Clinic","12736 33rd Ave NE #200","98125",47.72230911254883,-122.29180145263672
"98126","Seattle","WA","Providence Mount St. Vincent","4831 35th Ave SW","98126",47.55838615650031,-122.37753519262503
"98133","Seattle","WA","Northwest Hospital","1550 N 115th St","98133",47.714217396007875,-122.33687380024104
"98133","Seattle","WA","Northwest Hospital Child Birth Center","1710 N 120th St","98133",47.71479895294614,-122.33779391834416
"98133","Seattle","WA","Northwest Hospital Sleep Center","1536 N 115th St","98133",47.712667,-122.33807756666667
"98133","Seattle","WA","ZOOM+Care","15911 Westminster Way N.","98133",47.7447221,-122.3461915
"98133","Seattle","WA","Urgent Care in Shoreline","1355 N 205th St","98133",47.777414,-122.34188999999999
"98133","Seattle","WA","Northwest Hospital ER Admitting","not_available","98133",47.71396710859922,-122.33694366306639
"98133","Seattle","WA","Northwest Hospital Inpatient Rehab Facility","1535-1783 N 120th St","98133",47.715350072801215,-122.33903842261407
"98144","Seattle","WA","Sound Autism Partners","1625B S Weller St","98144",47.597320556640625,-122.31037902832031
"98144","Seattle","WA","Seattle Keiro","1601 E Yesler Way","98122",47.601472233371986,-122.31081752727422
"98146","Seattle","WA","Schick Shadel Hospital","12101 Ambaum Blvd SW","98146",47.4943271,-122.3507146
"98148","Seattle","WA","MultiCare Centers of Occupational Medicine - Burien","15500 1st Avenue South","98148",47.4637919,-122.3331863
"98148","Seattle","WA","Franciscan Prompt Care - Burien","16045 1st Ave S Fl 1","98148",47.45851952324163,-122.33515183559642
"98148","Seattle","WA","Immediate Clinic Burien","15870 1st Ave. S","98148",47.459946,-122.332908
"98155","Seattle","WA","ZOOM+Care","17815 SW 65th Ave","97035",47.77523912204728,-122.30969721464189
"98155","Seattle","WA","Northwest Hand","19930 Ballinger Way NE","98155",47.773871,-122.307496
"98155","Seattle","WA","Immediate Clinic Shoreline","20120 Ballinger Way Northeast","98155",47.7756716,-122.3100683
"98164","Seattle","WA","Grey Sloan Memorial Hospital","not_available","98164",47.60621,-122.33207
"98166","Seattle","WA","Highline Surgery Center","not_available","98166",47.45781775566668,-122.342102974145
"98166","Seattle","WA","Highline Hospital Birthing Center","16251 Sylvester Rd SW, Burien, WA 98166","98166",47.457532,-122.343377
"98166","Seattle","WA","Highline Childbirth Center","16251 Sylvester Rd SW","98166",47.45758819580078,-122.34236907958984
"98166","Seattle","WA","franciscan medical center","16110 8th Ave SW","98166",47.458341,-122.344258
"98166","Seattle","WA","Highline Obstetrics And Gynocology E5","not_available","98148",47.45863412006344,-122.34210635071811
"98168","Seattle","WA","Regional Hospital for Respiratory and Complex Care","12844 Military Rd S","98168",47.48768615722656,-122.29588317871094
"98168","Seattle","WA","Gateway Hospital","13035 Gateway Dr S","98168",47.48693084716797,-122.27262115478516
"98188","Seattle","WA","ZOOM+Care","17250 Southcenter Pkwy Ste 136","98188",47.449006,-122.261307
"98201","Everett","WA","Providence Regional Medical Center","1700 13th St","98201",47.99983919179474,-122.20575074848546
"98201","Everett","WA","Providence Regional Medical Center - Pacific Campus","916 Pacific Ave","98201",47.9756737,-122.2172425
"98201","Everett","WA","Providence Hospital C Tower","not_available","98201",47.99965,-122.20683
"98201","Everett","WA","Providence Cymbaluk Tower","1700 14th Ave","not_available",48.0001456442679,-122.20513727856573
"98201","Everett","WA","Providence Express Care at Walgreens - Everett Broadway","2205 Broadway","98201",47.9880368,-122.2011082
"98201","Everett","WA","North Sound Emergency Medicine - Everett","1716 W Marine View Dr","98201",47.99464027869165,-122.21519455092619
"98201","Everett","WA","The House of 98","4000 High St","98201",47.963581,-122.213533
"98201","Everett","WA","Providence Business Office","909 N Broadway","98201",48.00511169433594,-122.19561767578125
"98201","Everett","WA","room D831","Colby Avenue","not_available",47.9998664855957,-122.2053451538086
"98201","Everett","WA","Group Health Hospital","2930 Maple St","98201",47.97768973259669,-122.1913825122327
"98201","Everett","WA","Community Health Center of Snohomish County - Everett-North Medical","1424 Broadway","98201",47.9980378,-122.201503
"98201","Everett","WA","Providence Children's Center","900 Pacific Ave","98201",47.975809999999996,-122.21803
"98201","Everett","WA","Drug & Alcohol Rehab Everett","2931 Rockefeller Ave","98201",47.978407000000004,-122.205478
"98203","Everett","WA","Lash & Skin","7612 Beverly Blvd","98203",47.928915,-122.212021
"98204","Everett","WA","Kush Pointe","11811 Mukilteo Speedway Ste 111","98275",47.89160220000001,-122.2852599
"98204","Everett","WA","CitySleepLab","11611 Airport Rd","98204",47.892851,-122.26019299999999
