"zip","city","state","name","address","postalCode","lat","lon"
"24701","Bluefield","WV","BRMC Emergency Room","500 Cherry St","24701",37.255693,-81.235555
"24701","Bluefield","WV","X-Ray Department","not_available","24740",37.362465,-81.112844
"24701","Bluefield","WV","MedExpress Urgent Care - Bluefield","4003 College Aveune Suite B","24605",37.238219370417156,-81.25566104303083
"24701","Bluefield","WV","HealthSouth Rehab Princeton wv","not_available","not_available",37.363051,-81.11219200000001
"24701","Bluefield","WV","Kindred at Home","150 Courthouse Rd","24740",37.35948181152344,-81.1073989868164
"24701","Bluefield","WV","MedExpress Urgent Care","4003 College Avenue","24605",37.2379216,-81.2554507
"24701","Bluefield","WV","Encompass Health Rehabilitation Hospital of Princeton","120 12th St.","24740",37.36303292400001,-81.11214637756348
"24740","Princeton","WV","MedExpress Urgent Care","277 Greasy Ridge Rd.","24740",37.3614535,-81.045584
"24901","Lewisburg","WV","GVMC nursery (2nd Floor)","not_available","24970",37.77550506591797,-80.46564483642578
"24901","Lewisburg","WV","GVMC 3rd Floor","202 Maplewood Ave","24970",37.77311325073242,-80.469970703125
"24901","Lewisburg","WV","MedExpress Urgent Care","1560 Jefferson Street N","24901",37.80738046382959,-80.43531029447746
"24910","Alderson","WV","Scenar-USA","not_available","30534",37.731098780640544,-80.63769578933716
"24924","Buckeye","WV","Pocahontas Memorial Hospital","150 Duncan Rd","24924",38.201011961256185,-80.10894674259463
"24986","White Sulphur Springs","WV","Alliance Xpress Urgent Care","919 South Craig Ave Suite A","24426",37.782078141903185,-79.99089717864989
"25022","Blair","WV","Miracle","not_available","25630",37.799489,-81.739918
"25022","Blair","WV","Sacred Heart","not_available","25607",37.799659,-81.740417
"25039","Cedar Grove","WV","Glasgow Health and Rehabilitation Center","120 Melrose Dr","25086",38.214606,-81.420086
"25053","Danville","WV","Boone Memorial Hospital","701 Madison Ave","25130",38.048145,-81.80618299999999
"25064","Dunbar","WV","Thomas Imaging Center","not_available","25309",38.35526589420889,-81.72940335343112
"25064","Dunbar","WV","Riverside Health and Rehabilitation Center","6500 Maccorkle Ave","25177",38.372202,-81.77057
"25143","Nitro","WV","CAMC Urgent Care","314 Goff Mountain Rd #3","25313",38.414592999999996,-81.793725
"25143","Nitro","WV","Advanced Medical Inc.","128 Goff Mountain Rd","25313",38.41819763183594,-81.79335021972656
"25143","Nitro","WV","A.R. Brooks D.D.S.","2416A Grant Ave","25177",38.382374,-81.804489
"25143","Nitro","WV","KCEAA Sta. 31","St.Albans","25317",38.38742140841978,-81.83185813185793
"25168","Red House","WV","Fort Apache Medic 20","not_available","25213",38.532710496973436,-81.88890282937435
"25213","Winfield","WV","MedExpress Urgent Care","563 State Route 34","25526",38.45486053260923,-81.937116086483
"25213","Winfield","WV","CAMC Teays Valley Hospital","1400 Hospital Dr","25526",38.45172337566598,-81.95253845213848
"25213","Winfield","WV","Teays Urgent Care","113 Liberty Sq","25526",38.45815285862062,-81.93169701733481
"25253","Letart","WV","EMS charts Computer","not_available","45771",38.968265,-81.916669
"25270","Reedy","WV","Urgent Care","not_available","25276",38.80747985839844,-81.35835266113281
"25270","Reedy","WV","Roane General Hospital","200 Hospital Dr","25276",38.812906,-81.369046
"25271","Ripley","WV","Jackson General Hospital","not_available","25271",38.822933,-81.729935
"25271","Ripley","WV","Acupuncture & Holistic Health, Inc.","2998 Charleston Road 5","25271",38.7686091,-81.6967589
"25301","Charleston","WV","CAMC General Hospital","501 Morris St","25301",38.34790184397277,-81.62673666916477
"25301","Charleston","WV","CAMC Emploment Center","511 Morris St","25301",38.347824,-81.626962
"25301","Charleston","WV","CAMC parking Garage","not_available","25301",38.34776150755426,-81.62667780596776
"25301","Charleston","WV","Saint Francis Hospital","333 Laidley St","25301",38.35383257219926,-81.63302941187058
"25301","Charleston","WV","Select Specialties Hospital","331 Laidley St","25301",38.353785,-81.63298
"25302","Charleston","WV","Randall J Hill","830 Pennsylvania Ave Ste 301","25302",38.359172,-81.637763
"25302","Charleston","WV","Naegele Scott A MD","830 Pennsylvania Ave Ste 108","25302",38.359172,-81.637763
"25302","Charleston","WV","CAMC Women and Children's  Hospital","800 Pennsylvania Ave","25302",38.35933607590431,-81.63734733851629
"25302","Charleston","WV","CAMC Weight Loss Center","600 Tracy Way","25311",38.356794,-81.59866
"25303","South Charleston","WV","MedExpress Urgent Care","1416 Maccorkle Ave. SW","25303",38.3628532,-81.6683077
"25303","South Charleston","WV","Kanawha Hospice Care","not_available","25312",38.367871797665195,-81.66799367067122
"25304","Charleston","WV","MedExpress Urgent Care","5430 Maccorkle Ave. SE","25304",38.31564527545401,-81.57102070748806
"25304","Charleston","WV","CAMC Room 344","Third Floor","not_available",38.330002694170744,-81.60259350988302
"25304","Charleston","WV","CAMC Memorial ER","not_available","25304",38.31005771863411,-81.59964398760891
"25304","Charleston","WV","CAMC Memorial Hospital","3200 Maccorkle Ave SE","25304",38.3299042379359,-81.60274874467167
"25304","Charleston","WV","CAMC Health and Research Institute","3212 MacCorkle Ave","25311",38.33214796693196,-81.60122314741096
"25304","Charleston","WV","HealthPlus Urgent Care Center","4602 Maccorkle Ave SE","25304",38.322139739990234,-81.58222961425781
"25304","Charleston","WV","Highland Hospital","300 56th St SE","25304",38.314924,-81.568741
"25309","South Charleston","WV","Woman Care Clinic","4803 Kentucky St","25309",38.353982972816645,-81.72909736633301
"25309","South Charleston","WV","Urgent care","Corridor G","25309",38.32478887460036,-81.71548144886567
"25309","South Charleston","WV","MedExpress Urgent Care","4812 Maccorkle Ave. SW","25309",38.35500940866778,-81.73008441925049
"25401","Martinsburg","WV","West Virginia University Hospital East","2500 Hospital Dr","25401",39.47643298521783,-77.98024594875933
"25401","Martinsburg","WV","City Hospital Registration","not_available","25401",39.47633747279058,-77.98017473197893
"25401","Martinsburg","WV","City Urgent Care","Foxcroft Avenue","not_available",39.46182919,-77.98668054
"25401","Martinsburg","WV","City Urgent Care","202 Foxcroft Ave","25401",39.461737,-77.98660799999999
"25401","Martinsburg","WV","Heartlands Of Martinsburg","702 Clover st.","25401",39.47896081157786,-77.95556387666036
"25401","Martinsburg","WV","MedExpress Urgent Care","1355 Edwin Miller Blvd.","25404",39.478842,-77.956772
"25403","Martinsburg","WV","Gaia Women's Physical Therapy and Wellness, LLC","not_available","25427",39.5576816,-77.94475130000001
"25403","Martinsburg","WV","MedExpress Urgent Care","83 Retail Commons Parkway","25403",39.4424473,-77.9912011
"25404","Martinsburg","WV","VA Medical Center ER (Martinsburg, WV)","510 Butler Ave","25405",39.41764831542969,-77.91141510009766
"25411","Berkeley Springs","WV","Hospital on a Country Road","1 Healthy Way","25411",39.64240264892578,-78.20030212402344
"25414","Charles Town","WV","Jefferson Medical Center","300 S Preston St","25438",39.29556225994517,-77.85867606770219
"25414","Charles Town","WV","Jefferson Urgent Care","94 Somerset Blvd","25414",39.296243,-77.828906
"25414","Charles Town","WV","Urgent Care","not_available","25414",39.29657639809897,-77.83051061608676
"25414","Charles Town","WV","Methodist Charlton Medical Center","3500 W Wheatland Rd","75237",39.23806381225586,-77.90347290039062
"25414","Charles Town","WV","WV urgent care","not_available","25438",39.29617730616869,-77.85810295937783
"25427","Hedgesville","WV","Clear Spring EMS Co.49","223 Cumberland St","21722",39.65666198730469,-77.92713165283203
"25504","Barboursville","WV","Rose Terrace","not_available","25541",38.405543506470664,-82.29505818538118
"25504","Barboursville","WV","Barboursville Urgent Care","2 Chateau Grove Ln","25504",38.41717529296875,-82.25601196289062
"25504","Barboursville","WV","Arkham Asylum","1535 Martha Rd","25504",38.38898,-82.30250600000001
"25504","Barboursville","WV","HealthSouth Rehabilitation Hospital Of Huntington","6900 Country Club Dr","25705",38.4188899768783,-82.33866467142207
"25504","Barboursville","WV","KDMC Of  Ashland, Kentucky","2201 Lexington Ave","41101",38.420773397291704,-82.28867431322455
"25504","Barboursville","WV","riverpark Mental Hospital","not_available","25504",38.417808532714844,-82.28966522216797
"25504","Barboursville","WV","HIMG Now Care","not_available","25705",38.41434843252559,-82.34551486245898
"25504","Barboursville","WV","Marshall Pediatrics NowCare","5170 US Route 60","25705",38.413360595703125,-82.34475708007812
"25508","Chapmanville","WV","Mahmoud Hamza - Logan Regional Primary Care Walk-in Clinic","384 Airport Rd","25508",37.956737,-82.01865467
"25514","Fort Gay","WV","Three Rivers Medical Center Emergency Department","2485 Highway 644","41230",38.09236526489258,-82.60467529296875
"25530","Kenova","WV","VA Medical Center","not_available","25704",38.37676358019329,-82.51780418518321
"25530","Kenova","WV","O&G Clinic","HTJS","not_available",38.36701583862305,-82.55863189697266
"25530","Kenova","WV","Heartland of Riverview","7743 Co Rd 1","45680",38.40936478,-82.5241719
"25550","Point Pleasant","WV","Pleasant Valley Hospital ER","2520 Valley Dr","25550",38.86898422241211,-82.12332153320312
"25601","Logan","WV","MedExpress Urgent Care","123 Enterprise Drive","25601",37.8482069,-81.9994579
"25601","Logan","WV","LRMC","not_available","25601",37.8456541434351,-81.99290187220946
