"zip","city","state","name","address","postalCode","lat","lon"
"82001","Cheyenne","WY","Stitches Acute Care Center","1919 Central Ave","82001",41.13657,-104.816142
"82001","Cheyenne","WY","VA Medical Center","not_available","82001",41.14809317495066,-104.78659609026941
"82001","Cheyenne","WY","Cheyenne Healthcare Center","2700 E 12th St","82001",41.13688201,-104.78355502
"82001","Cheyenne","WY","Radiology Solutions Corp","1712 Pioneer Ave Ste 1188","82001",41.13332,-104.81846
"82001","Cheyenne","WY","Depaul Hospital","2600 E 18th St","82001",41.142812,-104.78454
"82001","Cheyenne","WY","Cheyenne VA Emergency Room","not_available","not_available",41.14749991764057,-104.78670435775683
"82001","Cheyenne","WY","HealthReach","2030 Bluegrass Cir","82009",41.159934,-104.792511
"82001","Cheyenne","WY","Emergency Room","200 E 23rd St, Cheyenne, WY 82001","82001",41.14027045265941,-104.81664034871703
"82001","Cheyenne","WY","Cheyenne Regional Medical Center Emergency Room","214 E 23rd St","82001",41.140452205049,-104.81461138168692
"82001","Cheyenne","WY","NextCare Urgent Care","4136 Laramie St Ste. B","82001",41.15140345,-104.75907189
"82001","Cheyenne","WY","Urgent Care","433 E 19th St","82001",41.1371739,-104.8115629
"82001","Cheyenne","WY","BioLife Plasma Services","2009 Bluegrass Cit","82009",41.15891,-104.79142
"82007","Cheyenne","WY","Fine Line Marketing","913 S Main St Unit 2205","76051",41.129069835185106,-104.54747557640076
"82009","Cheyenne","WY","The Davis Hospice Center","Sycamore Rd","not_available",41.17376443454912,-104.812662230255
"82009","Cheyenne","WY","Express Urgent Care","7124 Commons Dr","82009",41.1828406,-104.8277699
"82070","Laramie","WY","Ivinson Memorial Hospital","255 N 30th St","82072",41.31242254051362,-105.55618745774528
"82070","Laramie","WY","Grand Avenue Urgent Care","3236 E Grand Ave Ste D","82070",41.3087972,-105.5554616
"82070","Laramie","WY","Meredith And Jeannie Ray Cancer Center","30th ST","not_available",41.313203868299134,-105.55648514789677
"82070","Laramie","WY","Stitches Acute Care Center","3810 Grand Ave","82070",41.30614,-105.5476
"82070","Laramie","WY","Urgent Care of Laramie","3810 E Grand Ave","82070",41.30621858277866,-105.54752031425949
"82070","Laramie","WY","BioLife Plasma Services","1122 Adams Street","82070",41.3031969,-105.6164679
"82190","Yellowstone National Park","WY","Medcor Medical Clinic at Yellowstone","not_available","82190",44.462158203125,-110.83395385742188
"82201","Wheatland","WY","Platte County Memorial Hospital","201 14th St","82201",42.05010223388672,-104.9609146118164
"82225","Lusk","WY","Niobrara Health & Life Center","not_available","82225",42.752923645098704,-104.44550626284088
"82240","Torrington","WY","Community Hospital ER","2000 Campbell Dr","82240",42.08280563354492,-104.19261169433594
"82301","Rawlins","WY","Carbon Country Hospital","not_available","82301",41.78711044065082,-107.31006517278877
"82301","Rawlins","WY","Big Horn Urgent Care","519 8th St","82301",41.789971,-107.24485
"82401","Worland","WY","Washakie Medical Center ER","400 S 15th St","82401",44.012718590559004,-107.94941378108575
