"zip","city","state","name","address","postalCode","lat","lon"
"35004","Moody","AL","Moody Ballpark","670 Park Ave","35004",33.58749012599789,-86.49470190424178
"35004","Moody","AL","Moody Park","not_available","35004",33.58620073572013,-86.49521521343367
"35005","Adamsville","AL","John Bensko Park","not_available","not_available",33.63738392278544,-86.91804956494161
"35005","Adamsville","AL","Maytown Park","Park Road","not_available",33.53504313333333,-86.996247
"35005","Adamsville","AL","Adamsville Park","419 Spring St","35005",33.598475050147535,-86.95907681393975
"35005","Adamsville","AL","Blackwell Park","not_available","35005",33.59837214257338,-86.9590963703376
"35006","Adger","AL","Oak Grove Memorial Park","not_available","35006",33.452929432487856,-87.15140355606812
"35007","Alabaster","AL","Alabaster Municipal Park","not_available","35114",33.21842903481244,-86.83614035252798
"35007","Alabaster","AL","Veterans Park","7305 Highway 119","35007",33.184102056574815,-86.83313706602567
"35007","Alabaster","AL","Penhale Park","Penhale Dr","35080",33.267606,-86.842947
"35007","Alabaster","AL","Siluria Mill","not_available","35007",33.23196967300829,-86.82735107159424
"35007","Alabaster","AL","Heroes Park","county road 12","35115",33.19987697659384,-86.8306944210927
"35007","Alabaster","AL","Park Forest Park & Pool","not_available","35115",33.18058241942563,-86.8239045335752
"35010","Alexander City","AL","Creation Plantation","not_available","36853",32.827235,-85.7649
"35010","Alexander City","AL","Kamp Kiwanis","not_available","36024",32.73413,-86.019857
"35010","Alexander City","AL","Strand Park","214-218 Tallapoosa St","35010",32.94342859314646,-85.95205307006836
"35014","Alpine","AL","sally west park","not_available","35044",33.281461,-86.358397
"35014","Alpine","AL","Sykes Park","484-852 Mardisville Rd","35160",33.38547351,-86.17150917
"35016","Arab","AL","arab park","not_available","35016",34.3292236328125,-86.46974182128906
"35019","Baileyton","AL","Baileyton Town Park","95 Fire Station Rd","35019",34.262428283691406,-86.61370849609375
"35019","Baileyton","AL","Fairview Ballpark","not_available","35058",34.25920379375949,-86.68845849622241
"35020","Bessemer","AL","Debardeleben Park","not_available","35020",33.398815,-86.955221
"35020","Bessemer","AL","Brooklane Park","2800 Brooklane Dr","35023",33.430442810058594,-86.9793701171875
"35020","Bessemer","AL","Hillman Park","not_available","35228",33.44790364534105,-86.90211446097442
"35020","Bessemer","AL","Roosevelt Park","14th St. S","35020",33.393743789000986,-86.95328288099503
"35020","Bessemer","AL","Dolomite- Westfield Park","Tin Mill Rd","35061",33.45080338311583,-86.98140015170638
"35020","Bessemer","AL","Kids N Kop Day","Park","35020",33.39946746826172,-86.9561996459961
"35022","Bessemer","AL","Brackner Park","6349 Eastern Valley Rd","35111",33.284175872802734,-87.05189514160156
"35022","Bessemer","AL","Loveless Chapel Pumpkin Patch","6010 Moore Cemetery Rd","35111",33.33793640136719,-87.02031707763672
"35022","Bessemer","AL","Ross Bridge Park","not_available","35226",33.38547963924005,-86.86638821219502
"35022","Bessemer","AL","Cahaba Lily Park","3200 Highway 52 West","not_available",33.29023765956084,-86.8696798907039
"35022","Bessemer","AL","Chalybe Park","not_available","35022",33.401349,-86.889684
"35023","Bessemer","AL","Sylvan Springs Park","Park Ln","not_available",33.52103490478066,-87.00940328787486
"35023","Bessemer","AL","Martin Luther King Jr. Park","Forest Rd.","35023",33.46235903865762,-86.9816396057768
