"zip","city","state","name","address","postalCode","lat","lon"
"71601","Pine Bluff","AR","The Port","not_available","not_available",34.2289744077531,-91.9796016657099
"71601","Pine Bluff","AR","Broadmoor park","not_available","71601",34.21918958890328,-91.98323310207199
"71602","White Hall","AR","White Hall City Park","not_available","71602",34.276044109933,-92.09647225903623
"71638","Dermott","AR","Wiley A Mcgehee Park","not_available","71654",33.63762161123186,-91.39206057641192
"71639","Dumas","AR","Dumas Park","not_available","71639",33.87428420744421,-91.479826561041
"71640","Eudora","AR","Eudora Park","not_available","71640",33.116270358099875,-91.25404163884853
"71652","Kingsland","AR","Fordyce City Park (Georgia Pacific Park)","Edgar St","not_available",33.816832614976875,-92.42531771656877
"71652","Kingsland","AR","Bear Bryant Birthplace","not_available","71652",33.79497,-92.305478
"71653","Lake Village","AR","Hardy Park","not_available","38701",33.39024,-91.044543
"71655","Monticello","AR","McCloy Park","178 Henley Street","71655",33.61856836588094,-91.79946184158325
"71671","Warren","AR","Bradley County Park","not_available","71671",33.633401,-92.101904
"71701","Camden","AR","East Camden Park","not_available","71701",33.62907409667969,-92.76097106933594
"71730","El Dorado","AR","El Dorado Dog Park","600-698 South Bradley Avenue","71730",33.205997,-92.677795
"71730","El Dorado","AR","Melor Park","not_available","71730",33.22419,-92.658959
"71730","El Dorado","AR","Smackover City Park","Broadway","not_available",33.36238294785103,-92.7258852064851
"71753","Magnolia","AR","EastSide Park","1501-1609 Hollensworth St","71753",33.272180456653025,-93.21962718159793
"71753","Magnolia","AR","The Garden Center","not_available","71753",33.268693,-93.241076
"71801","Hope","AR","Ladycat Field","Mack St.","71801",33.659701228260424,-93.6038213968277
"71826","Bradley","AR","Caswells","not_available","71837",33.155016397314405,-93.78743846029646
"71832","De Queen","AR","Pine Ridge Park","Ridge Park Road","71832",34.10096674276109,-94.40723419189453
"71832","De Queen","AR","Oak Grove Use Area","706 Dequeen Lake Rd","71832",34.100059509277344,-94.37290954589844
"71832","De Queen","AR","De Queen Sportsplex","not_available","71832",34.04569008803841,-94.34144496917725
"71851","Mineral Springs","AR","Nashville City Park","not_available","71852",33.94819042282588,-93.86415580325003
"71854","Texarkana","AR","vera bradfield park","1700-1904 Roberts St","71854",33.404852000000005,-94.037409
"71854","Texarkana","AR","Fair Grounds Park","not_available","71854",33.47106980553227,-94.00583127110926
"71854","Texarkana","AR","Hobo Jungle","1000 Dudley St","71854",33.419826,-94.032324
"71857","Prescott","AR","Prescott City Park","E. 2nd St. N","71857",33.80200917922068,-93.37803840637207
"71901","Hot Springs National Park","AR","Entergy Park","not_available","71901",34.44570714229275,-93.02905880307878
"71901","Hot Springs National Park","AR","Desoto Park","1716-1748 Park Ave","71901",34.53647108536529,-93.03122418894122
"71901","Hot Springs National Park","AR","Kimery Park- Softball Fields","not_available","71913",34.473985641535705,-93.06118788444859
"71901","Hot Springs National Park","AR","Adair Park","358 Central Ave","71901",34.514204263687134,-93.053945
"71901","Hot Springs National Park","AR","Whittington Park","732-798 Whittington Ave","71901",34.51532898567387,-93.07154358102206
"71901","Hot Springs National Park","AR","Family Park","200-298 Family Park Rd","71913",34.48398674048131,-93.10050437148823
"71913","Hot Springs National Park","AR","Blakely Dam","not_available","71956",34.57226133665553,-93.19359666751404
"71913","Hot Springs National Park","AR","Turner  falls park","US Hwy 77","73030",34.480323791503906,-93.11620330810547
