"zip","city","state","name","address","postalCode","lat","lon"
"90001","Los Angeles","CA","Raul Perez Park","not_available","not_available",33.9853882628027,-118.23624143366736
"90001","Los Angeles","CA","Bethune Park","not_available","90001",33.983586009415326,-118.25249384613927
"90001","Los Angeles","CA","Colonel Leon H. Washington Park","8908 Maie Ave","90002",33.958868843568276,-118.24381961253776
"90001","Los Angeles","CA","Perez Park","not_available","90255",33.98592049509675,-118.23662406262976
"90001","Los Angeles","CA","Washington Park","not_available","90002",33.95869254788479,-118.24376821682334
"90002","Los Angeles","CA","Watts Senior Center & Rose Garden","1657 E Century Blvd","90002",33.945899963378906,-118.24408721923828
"90002","Los Angeles","CA","Jordan Downs Housing Community","9800 Grape St","90002",33.94743347167969,-118.23429107666016
"90002","Los Angeles","CA","Park2","not_available","90280",33.947077,-118.227271
"90003","Los Angeles","CA","Manchester Park","not_available","90003",33.946312034831095,-118.26699179755823
"90003","Los Angeles","CA","Avalon & Gage Park","6301 Avalon Blvd","90003",33.98230743408203,-118.26549530029297
"90004","Los Angeles","CA","Bellevue Park","not_available","90026",34.08339099607781,-118.28265103961114
"90004","Los Angeles","CA","Robert L. Burns Park","Beverly Blvd. and N. Van Ness Ave.","not_available",34.075899539985755,-118.3159296969265
"90004","Los Angeles","CA","Los Angeles Adventure Boot Camp","Beverly Blvd","not_available",34.07714903483636,-118.3158326571705
"90004","Los Angeles","CA","Temple/Hoover Park","Temple","not_available",34.076927458271506,-118.2847885058758
"90005","Los Angeles","CA","Harold A. Henry Park","899 S Windsor Blvd.","90005",34.05772382936881,-118.3248433470726
"90005","Los Angeles","CA","La Fayette Park","625 S La Fayette Park Pl","90057",34.0624418005309,-118.28271603000064
"90005","Los Angeles","CA","Rimpau Dog Walk Route","not_available","90019",34.056730173950015,-118.33375059874747
"90005","Los Angeles","CA","Liberty Park","not_available","90005",34.061248,-118.307207
"90006","Los Angeles","CA","Alvarado Terrace Park","not_available","90006",34.04558518892238,-118.2809404176754
"90006","Los Angeles","CA","Washington Blvd And LaSalle","not_available","90018",34.039650255307826,-118.30905686165835
"90007","Los Angeles","CA","Toberman Park","1735 toberman st","90015",34.038827168051,-118.27952849979738
"90007","Los Angeles","CA","Exposition Park","3980 Menlo Ave","90037",34.014444585212495,-118.28901901886003
"90007","Los Angeles","CA","St.  James Park","not_available","90007",34.030739076710596,-118.28026510518926
"90007","Los Angeles","CA","Associates Park","U S C","90089",34.02114618628333,-118.28594863414764
"90007","Los Angeles","CA","E.F. Hutton Park","3551 Trousdale Pkwy","90089",34.021559681567474,-118.28528881072998
"90007","Los Angeles","CA","Hoover Recreation Center","1010 W 25th St","90007",34.03075093960112,-118.28034663965205
"90007","Los Angeles","CA","MacArthur Park","not_available","90011",34.019674,-118.267496
"90008","Los Angeles","CA","Leimert Plaza Park","4395 S Leimert Blvd.","90008",34.00447015461024,-118.3314667575559
"90008","Los Angeles","CA","Reuben Ingold Parkway","4400 Mt Vernon Dr","90008",33.99863675618973,-118.35581403354294
"90008","Los Angeles","CA","Monteith Park","3685 Olympiad Dr","90043",33.99944930635394,-118.33619837114472
"90008","Los Angeles","CA","Norman Houston Park","4800 S La Brea","90008",33.9990156042228,-118.35791844657189
"90008","Los Angeles","CA","Valley Ridge View Park","Valley Ridge Ave","not_available",34.004557821523264,-118.34780710072162
"90008","Los Angeles","CA","Jim Gilliam Recreation Center","4000 S LA Brea Ave","90008",34.01262664794922,-118.3531723022461
"90008","Los Angeles","CA","Community Build Park","Degnan","not_available",34.00554322328303,-118.33295075193936
"90008","Los Angeles","CA","Jim Gillian Park","not_available","90008",34.012459113332945,-118.35294345201196
"90011","Los Angeles","CA","Ross Snyder Park","E 41st","90011",34.00947047553072,-118.24789695677013
"90011","Los Angeles","CA","Fred Roberts Park","4700 Honduras St","90011",34.001391999999996,-118.24368500000001
"90011","Los Angeles","CA","South Los Angeles Wetlands Park","5413 Avalon Blvd","90011",33.99313739426854,-118.26572420375047
"90011","Los Angeles","CA","South Park Playground","351 East 51st Street","90011",33.996292718157804,-118.26186997562722
"90011","Los Angeles","CA","Gilbert W. Lindsay Community Center","425 E 42nd Pl","90011",34.00656119822014,-118.26670059440751
"90011","Los Angeles","CA","Augustus Hawkins Natural Park","5790 Compton Ave","90011",33.990144,-118.247358
"90011","Los Angeles","CA","Slauson Senior Multipurpose Recreation Center","5306 Compton Ave","90011",33.99467086791992,-118.2474136352539
"90012","Los Angeles","CA","Grand Park","200 N Grand Ave","90012",34.05503441823839,-118.24517873806079
"90012","Los Angeles","CA","Elysian Park","1880 Academy Dr","90012",34.08319683337859,-118.23447704315186
"90012","Los Angeles","CA","Pershing Square","532 S Olive St","90013",34.04829921039849,-118.25347781181335
"90012","Los Angeles","CA","Maguire Gardens","700 W 5th St","90071",34.05095476031718,-118.2557087401422
"90012","Los Angeles","CA","Alpine Recreation Center","817 Yale St","90012",34.063910276241984,-118.24096998244877
"90012","Los Angeles","CA","Spring Street Park","426 S Spring St","90013",34.04802246072637,-118.24890062788586
"90012","Los Angeles","CA","The Fredric Roberts Garden","not_available","90012",34.056843,-118.24819
