"zip","city","state","name","address","postalCode","lat","lon"
"80002","Arvada","CO","Ralston Central Park","not_available","not_available",39.802626091004164,-105.09729992607424
"80002","Arvada","CO","Prospect Park","not_available","80033",39.78194276442579,-105.12830025822942
"80002","Arvada","CO","McIlvoy Park","5750 Upham St.","80002",39.80134225249208,-105.07811521027521
"80002","Arvada","CO","Fountain","5728 Olde Wadsworth Blvd","80002",39.80040281,-105.08116961
"80002","Arvada","CO","Skate Park","Van Bibber Creek Trail","80002",39.7974904547214,-105.12762863762121
"80002","Arvada","CO","Stinger Field","not_available","80002",39.799899,-105.12381
"80002","Arvada","CO","Memorial Park","8001 W 59th Ave","80004",39.80423939570191,-105.08720943978388
"80002","Arvada","CO","Jack B. Tomlinson Park","5155 Garrison St.","80002",39.7891816543481,-105.10229587554932
"80002","Arvada","CO","Grace Climb on the Move","Sheridan & 69th","not_available",39.800605,-105.091612
"80002","Arvada","CO","Columbine Park","6700-6798 W 53rd Ave","80002",39.79214007776517,-105.07127631798012
"80002","Arvada","CO","Columbine Park","53rd street","80002",39.80025,-105.09299
"80003","Arvada","CO","Emil Schneider Park","not_available","80005",39.828085,-105.082575
"80003","Arvada","CO","Faversham Park","Near 7310 Jay St","80030",39.83091326602662,-105.0600196007341
"80003","Arvada","CO","Tennyson Knolls Park","not_available","80003",39.81037321391444,-105.04935554953946
"80003","Arvada","CO","Lake Arbor Park","8018-8198 Lamar St","80003",39.84493062100468,-105.06896440337614
"80003","Arvada","CO","Lowell Ponds State Wildlife Area","5540 Lowell Blvd.","not_available",39.797086598988805,-105.03517994630067
"80003","Arvada","CO","Wolff Run Park","W 76th Ave & Sheridan Ave","80003",39.83568236416422,-105.04742101908336
"80003","Arvada","CO","Hoskinson Park","not_available","80004",39.80566092995489,-105.08244247041861
"80003","Arvada","CO","Westminster Hills Park","4183 W 80th Ave","80030",39.84267779023202,-105.04112696251546
"80003","Arvada","CO","Hidden Lake Park","Lowell Blvd","80003",39.8170909898409,-105.04047631864351
"80003","Arvada","CO","Clear Creek Valley Park","5801 Lowell Blvd","80221",39.80139923095703,-105.03739166259766
"80003","Arvada","CO","Clear Creek Valley Playground","5900 Tennyson St","80221",39.802977,-105.039263
"80003","Arvada","CO","England Park","W. 72nd Ave","80030",39.82573028494824,-105.03887254971349
"80004","Arvada","CO","Majestic View Park","W 72nd Ave","80004",39.824786880249206,-105.09920597076416
"80004","Arvada","CO","Arvada Tennis Center","6404-6430 Miller St","80004",39.81356038876078,-105.11355872665713
"80004","Arvada","CO","Ralston Valley Park","13600 W 69th Pl","80004",39.824065999999995,-105.15214499999999
"80004","Arvada","CO","Yankee Doodle Park","Yank Way","80004",39.81573072553287,-105.14388084411621
"80004","Arvada","CO","Ladybug Park","Dover St","80004",39.816065305345084,-105.09392738342285
"80004","Arvada","CO","Fitzmorris Park","63rd & Independence","80004",39.81198441002367,-105.10413758500317
"80005","Arvada","CO","Robby Ferrufino Park","8615 W 65th Pl","80004",39.83135272230567,-105.09745746706571
"80005","Arvada","CO","Ketner Lake Open Space","not_available","80021",39.88229318828005,-105.11006355285645
"80005","Arvada","CO","Kings Mill","8909 Field St","80021",39.858215,-105.099368
"80005","Arvada","CO","Two Ponds National Wildlife Refuge","9210 W 80th Ave","not_available",39.840911865234375,-105.10159301757812
"80005","Arvada","CO","Woodrun Park","Hoyt Way","80005",39.845574103443795,-105.10428603516084
"80005","Arvada","CO","Arvada Volunteer Firefighter Park","8351 Club Crest Dr","80005",39.849427670080594,-105.09889623868658
"80005","Arvada","CO","Countryside Park And Pool","10470 Oak St","80021",39.886454,-105.1183
"80005","Arvada","CO","Club Crest North Park","7838 Club Crest Dr","80005",39.83672459380133,-105.09092035046815
"80005","Arvada","CO","Willow Run Park","W 115th Ave","80031",39.87818464,-105.09501209
"80005","Arvada","CO","Sierra Park","7801 Oak St","80005",39.83870942400293,-105.12131872749765
"80005","Arvada","CO","Beeman Park","13405 W 83rd Pl","80005",39.84761383525144,-105.14990756245314
"80007","Arvada","CO","Long Lakes Regional Park","not_available","80403",39.81205303229939,-105.20519454829954
"80007","Arvada","CO","West Woods Park","not_available","80007",39.813074,-105.17978
"80010","Aurora","CO","Greenway Park","not_available","80238",39.747754529142256,-104.86569119517642
"80010","Aurora","CO","Bluff Lake Nature Center","Havana","80238",39.758283,-104.85739101666667
"80010","Aurora","CO","Aurora Hills","S Ursula St","80012",39.71285218867676,-104.839034821572
"80010","Aurora","CO","Bicentennial Park","13600 E Bayaud Ave","80012",39.713609000000005,-104.831281
"80010","Aurora","CO","Lowery Park","E Severn Pl","80010",39.73129792953008,-104.8753435553477
"80010","Aurora","CO","Cherry Pie Park","2754 Kenton St","80238",39.75587027018827,-104.8601155584487
"80010","Aurora","CO","Spencer Garrett Park","10908 E 16th Ave","80010",39.741774,-104.85983999999999
"80010","Aurora","CO","Fulton Park","not_available","80010",39.72871483420587,-104.8738303820934
"80010","Aurora","CO","Prospect Park","4th Pl","80230",39.71894155624565,-104.88197454953239
"80010","Aurora","CO","Smash Park","not_available","80012",39.711228666037584,-104.83736467301493
"80010","Aurora","CO","Park Lane Park","E. 30th Ave.","80011",39.76257368563293,-104.84087247492879
"80010","Aurora","CO","General's Park","N Quentin St","80011",39.74110315181997,-104.84543627200095
"80010","Aurora","CO","Pancake Breakfast Fundraiser","1026 Dallas St","80010",39.73159,-104.876565
"80010","Aurora","CO","Arc Park","9858 E 28th Ave","80238",39.7564582824707,-104.87335968017578
"80010","Aurora","CO","McMullen Park","Emporia And","80010",39.7222756837757,-104.87458525644767
"80011","Aurora","CO","Toll Gate Park","673 S Jasper St","80017",39.70575322727859,-104.80445549529897
"80011","Aurora","CO","Highland Hollows park","Uravan St & Louisiana Ave","80017",39.6927243051069,-104.77755546569824
"80011","Aurora","CO","Rocky Ridge Park","16200 E Mississippi Ave","80017",39.69514797000191,-104.80030978433456
"80011","Aurora","CO","Peoria Hills Park","12449-12551 E Florida Ave","80012",39.6907793238312,-104.84170760288404
"80011","Aurora","CO","Side Creek Park","1734 S Cathay St","80017",39.68707206095388,-104.7646649286333
"80011","Aurora","CO","Colorado Freedom Memorial","756 Telluride Street","80011",39.72856903076172,-104.78115844726562
"80011","Aurora","CO","Apache Mesa Park","not_available","80011",39.72815939449246,-104.79925819745888
"80011","Aurora","CO","Springhill Park","Telluride","not_available",39.72792067165576,-104.7815417918006
"80011","Aurora","CO","Utah Park Rec Center","1800 S Peoria St","80012",39.68382612614979,-104.84678727924828
"80011","Aurora","CO","Jewell Wetlands Park","13005 E Jewell Ave","80014",39.68374252319336,-104.83453369140625
"80011","Aurora","CO","CentrePointe Park - Playground","16299 E Exposition Ave","80017",39.704330747624056,-104.79448556900024
"80011","Aurora","CO","Review Park","1161-1171 S Lewiston St","80017",39.695905251970736,-104.79998194028411
"80012","Aurora","CO","Tierra Park","14700 E Jewell Ave","80013",39.681865096392045,-104.81600201917689
"80012","Aurora","CO","Cantebury park","1450 South Arkansas Avenue","not_available",39.692,-104.86015
"80012","Aurora","CO","Settlers Park","753 S Eagle St","80012",39.702154,-104.816616
"80012","Aurora","CO","Village Green Park","1300 S Chambers Cir","80012",39.69291746175061,-104.81322645580545
"80013","Aurora","CO","Great Plains Park","20100 E Jewell Avenue","80013",39.68073795132733,-104.75613033221586
"80013","Aurora","CO","Olympic Park","15300 E. Yale Ave","80013",39.66876230420738,-104.80672013014555
"80013","Aurora","CO","Wheel Park Skate Park","2500 S Wheel Park Cir","80013",39.67206867384731,-104.80778945787209
"80013","Aurora","CO","Tall Grass","21131 E Lehigh Pl","80013",39.64696314010303,-104.74220137533352
"80013","Aurora","CO","Hanakapi'ai Falls","18472 E Atlantic Dr","80013",39.681129455566406,-104.77345275878906
"80013","Aurora","CO","Hampden Run Park","3501 S Uravan St","80013",39.65574029362705,-104.77918849344115
"80013","Aurora","CO","Great Plains Park","not_available","80013",39.67567350971232,-104.72548828117999
"80013","Aurora","CO","Open Space","17706 E Oxford Pl","80013",39.640229999999995,-104.781808
"80013","Aurora","CO","Hilltop Park","17404 E Eastman Dr","80013",39.6567,-104.786653
"80014","Aurora","CO","Kennedy Dog Park","9500 E Hampden Ave, Denver, CO 80014","80014",39.64967343294639,-104.8747334494752
"80014","Aurora","CO","John F. Kennedy Park","9500 E Hampden Ave","80231",39.652328999999995,-104.876573
"80014","Aurora","CO","Babi Yar Park","Babi Yar Park","not_available",39.66854769705549,-104.87080000197288
"80014","Aurora","CO","Cherry Creek Park","4201 S Parker Rd","80014",39.64064025878906,-104.82919311523438
"80014","Aurora","CO","Hollow","Yale","not_available",39.667903900146484,-104.8679428100586
