"zip","city","state","name","address","postalCode","lat","lon"
"19701","Bear","DE","Glasgow Park","US-40","19702",39.60945738599422,-75.73017597198486
"19701","Bear","DE","Iron Hill Park","1645 Iron Hill Rd","19702",39.63523864746094,-75.75338745117188
"19701","Bear","DE","Kingscroft Park at Scarborough Manor","not_available","19701",39.62101303823445,-75.66689301152918
"19701","Bear","DE","Wilton Park","not_available","not_available",39.65600345113575,-75.63506940855787
"19701","Bear","DE","Blue Diamond MX Park","765 Hamburg Rd","19720",39.62076377787683,-75.63747882843018
"19701","Bear","DE","Valley Park","Valley stream dr","not_available",39.64623,-75.685226
"19701","Bear","DE","Frank Hann Community Park","116 Scottfield Dr","19713",39.656968164226306,-75.72558403015137
"19701","Bear","DE","Pencader Park","Garvey Ln","19702",39.6306784246342,-75.74912708563673
"19701","Bear","DE","Douglas D. Alley Park","not_available","19713",39.65126,-75.742514
"19701","Bear","DE","Jacks Park","124 Country Woods Dr","19701",39.612873,-75.66780899999999
"19701","Bear","DE","Iron Hill Park Playground","not_available","19702",39.63810056800503,-75.75576442615848
"19701","Bear","DE","Cooch's Bridge Battlefield","Dayette Mills Rd","not_available",39.641148633475645,-75.73221445083618
"19701","Bear","DE","Wrangle Hill Estates Park","Laramie Dr","19701",39.58961679036121,-75.70118607858434
"19701","Bear","DE","Folk Memorial Park","Welch Tract Road","not_available",39.648078701351146,-75.75814902456844
"19702","Newark","DE","Edna C. Dickey Park","60 Madison Dr","19711",39.67579081198728,-75.76723735893474
"19702","Newark","DE","Kells Park","not_available","19711",39.673064738327604,-75.74533967697798
"19702","Newark","DE","Devon Park","Cornwall Dr","19711",39.66555769840916,-75.76882071143979
"19702","Newark","DE","White Chapel Park","White Chapel Dr","not_available",39.67441461682904,-75.73394622293279
"19702","Newark","DE","hudsonville park","not_available","19720",39.64427947998047,-75.62200927734375
"19702","Newark","DE","Lewis park","Academy street","19711",39.6725768001043,-75.7494507269667
