"zip","city","state","name","address","postalCode","lat","lon"
"32003","Fleming Island","FL","Lookout Landing Park","not_available","32003",30.115034181600898,-81.74245709688164
"32003","Fleming Island","FL","Island Forrest Park","Fleming Island","32003",30.083008498723274,-81.70198458613989
"32008","Branford","FL","William Guy Lemmon Memorial Park","not_available","not_available",29.92170443591875,-82.76981003375671
"32008","Branford","FL","Deese Park","not_available","32008",29.936243,-82.860345
"32008","Branford","FL","Little River Springs","not_available","32071",29.997273690910674,-82.96655230836885
"32008","Branford","FL","Troy Springs","674 NE Troy Springs Rd","32008",30.006290435791016,-82.99717712402344
"32011","Callahan","FL","Four Creek State Forest","not_available","32011",30.580594,-81.749418
"32011","Callahan","FL","Ewing Park","Ewing Park Rd.","32011",30.563615711529536,-81.8261960404547
"32011","Callahan","FL","Florida Ave Park","1600 First st","not_available",30.557364,-81.835366
"32024","Lake City","FL","MTM Park","not_available","32024",30.074247613236157,-82.6801210400464
"32034","Fernandina Beach","FL","Goffinsville Park","Goffinsville Rd","not_available",30.565973203116904,-81.52291359454007
"32034","Fernandina Beach","FL","Main Beach Park","Atlantic Ave","not_available",30.669106,-81.43126
"32034","Fernandina Beach","FL","GBA Goes Coastal","not_available","32034",30.67000310975085,-81.45536136170655
"32034","Fernandina Beach","FL","Central Park","1100 Atlantic Avenue","32034",30.6696420369693,-81.45478211015387
"32034","Fernandina Beach","FL","BHI Park","not_available","32226",30.516188480205948,-81.47345001434977
"32038","Fort White","FL","Poe Springs","28800 NW 182nd Ave","32643",29.825752664242177,-82.65254974365234
"32040","Glen Saint Mary","FL","Celebration Park","10046 S Glen Ave","32040",30.275760650634766,-82.16142272949219
"32040","Glen Saint Mary","FL","Egg-Stravaganza at the Fair Grounds","not_available","32063",30.306235020912517,-82.12989930000374
"32040","Glen Saint Mary","FL","Little St. Mary’s River Park","not_available","32040",30.279643,-82.148821
"32043","Green Cove Springs","FL","Alpine Groves Park","2060 SR 13","32259",30.081186646842923,-81.65363763183649
"32043","Green Cove Springs","FL","Ronnie Van Zant Park","2760 Sandridge Rd","32043",30.046631076582234,-81.79570198059082
"32043","Green Cove Springs","FL","Riverfront Park At RiverTown","88 Riverfront Trail","32259",30.02023456600198,-81.64041842517626
"32043","Green Cove Springs","FL","robbie & bobbie","1283 Lake Asbury Dr","32043",30.056671142578125,-81.82981872558594
"32043","Green Cove Springs","FL","MSGT. John E. Hayes Memorial Park","not_available","32068",30.072538281070056,-81.85278965545476
"32043","Green Cove Springs","FL","Camp Chowenwaw Park","1517 Ball Rd","32043-8749",30.03977394104004,-81.7160873413086
"32043","Green Cove Springs","FL","Spring Park","Walnut St","not_available",29.993754941772114,-81.6767406463623
"32043","Green Cove Springs","FL","Shands Pier","not_available","32043",29.991986766652786,-81.6874342546271
"32043","Green Cove Springs","FL","green cove springs park","not_available","32259",30.05947474544334,-81.60930042914696
"32043","Green Cove Springs","FL","Aberdeen Park","1401 Shetland Dr.","32259",30.08574338555776,-81.5872129614122
"32046","Hilliard","FL","Hilliard Ball Park","not_available","32046",30.68327189838442,-81.95616919232867
"32046","Hilliard","FL","cedar ridge rv park","not_available","31537",30.82162547790535,-81.99923779395847
"32052","Jasper","FL","City Park","not_available","32052",30.519389604601802,-82.9455528089898
"32052","Jasper","FL","Madison Blue Springs","8300 NE State Road 6","32059",30.4810473441527,-83.24471714428671
"32054","Lake Butler","FL","Fletcher Myers Park","not_available","32054",30.020610809326172,-82.33110046386719
"32055","Lake City","FL","suwannee river","not_available","32096",30.323244998097287,-82.73879432330742
"32060","Live Oak","FL","Suwannee River Water Management District","9225 County Road 49","32060",30.282752990722656,-82.95531463623047
"32060","Live Oak","FL","Telford Springs","not_available","32060",30.108269750111404,-83.16754068169517
"32065","Orange Park","FL","whitfield","not_available","32073",30.177402274505273,-81.83538004121392
"32065","Orange Park","FL","Gmingo's Mating Grounds","575 Oakleaf Plantation Pkwy","32065",30.181875228881836,-81.84521484375
"32065","Orange Park","FL","Pride Rock","Pride Lands","32065",30.13187755694197,-81.77231311798096
"32065","Orange Park","FL","Whitfield Park at Oakleaf","not_available","32065",30.176819244748227,-81.8361804515119
"32066","Mayo","FL","Veterans Memorial Park Mayo","not_available","32066",30.053065903033826,-83.18098541581011
"32068","Middleburg","FL","Foxmeadow Park","Foxmeadow Trail","not_available",30.126282386015326,-81.8774008125461
"32073","Orange Park","FL","Town of Orange Park","2042 Park Ave","32073",30.16506576538086,-81.70169830322266
"32073","Orange Park","FL","Clark House Park","1031 Kingsley Ave","32073",30.166011507447056,-81.71584804346993
"32073","Orange Park","FL","Argyle Forest Park","8533 Acanthus Drive","32244",30.19159507751465,-81.75718688964844
"32073","Orange Park","FL","Clark House Park","1865 Wells Rd","32073",30.187419891357422,-81.73249816894531
"32073","Orange Park","FL","Cottages Of Argyle Park","8550 Argyle Business Loop","32244",30.193414441073372,-81.74746887183429
"32080","Saint Augustine","FL","Windswept Acres Park","not_available","32080",29.79454351088463,-81.26792493918754
"32080","Saint Augustine","FL","Canopy Shores Park","804 Christina Drive","32086",29.812617283148594,-81.29791625869096
"32080","Saint Augustine","FL","Helen Mellon Schmidt Park","9117-9183 Summer Island Dr","32080",29.696113296745658,-81.22602018756609
"32081","Ponte Vedra","FL","Nocatee Splash Waterpark","245 Little River Rd","32081",30.103389814288004,-81.41608033956804
"32081","Ponte Vedra","FL","Sawmill Lakes Park","225 N. Sawmill","32082",30.146382,-81.381406
"32081","Ponte Vedra","FL","Marsh Landing Fletcher Park","not_available","32250",30.229082872938033,-81.39645887262921
"32081","Ponte Vedra","FL","Players Park","Cypress Creek","32082",30.214932,-81.393137
"32081","Ponte Vedra","FL","Davis Park","210 Davis Park Road","32082",30.11562024036176,-81.39855756865948
"32081","Ponte Vedra","FL","Twenty Mile Post","not_available","32081",30.131674,-81.411224
"32081","Ponte Vedra","FL","Dolphin Cove Skate Park","89 Dolphin Blvd E","32082",30.239771218402925,-81.39107465744019
