"zip","city","state","name","address","postalCode","lat","lon"
"96701","Aiea","HI","East Foster Village community Park","not_available","not_available",21.365968297608713,-157.91778975210008
"96701","Aiea","HI","Ka'onohi Neighborhood Park","not_available","96701",21.39586841006965,-157.92808531554186
"96701","Aiea","HI","Nahele Neighborhood Park","98-1801 Nahele St.","96701",21.406460502194218,-157.94306248192748
"96701","Aiea","HI","Waiau District Park","98-1650 Kaahumanu St","96782",21.402985633275,-157.95155664385737
"96701","Aiea","HI","Halawa District Park","99-795 Iwaiwa St","96701",21.373402434185444,-157.91520595550537
"96701","Aiea","HI","Aiea Bay State Recreation Area","Kamehameha Hwy","96701",21.377714807286775,-157.93589573643726
"96701","Aiea","HI","Kilinoe Park","Kilinoe Street","96701",21.394806,-157.944283
"96701","Aiea","HI","Kaahele Neighborhood Park","98-750 Kaahele St.","96701",21.40000448862587,-157.9375645859264
"96701","Aiea","HI","Moanalua Valley Park","1849 Ala Aolani St","96819",21.373617000000003,-157.880908
"96701","Aiea","HI","Richardson Field","Off Kamehameha Highway","96820",21.372042849336548,-157.93398033833057
"96701","Aiea","HI","Hillside Park","not_available","96819",21.366645,-157.903228
"96701","Aiea","HI","Pearlridge Community Park","98-960 Moanalua Road","96701",21.387380533192626,-157.9433885081928
"96701","Aiea","HI","East Foster Village Community Association","not_available","96818",21.366101999999998,-157.91795
"96703","Anahola","HI","Anahola Village","not_available","96754",22.145798,-159.302275
"96703","Anahola","HI","Common Ground","Kuawa Rd","not_available",22.197892,-159.417229
"96704","Captain Cook","HI","Kealakekua Bay State Historical Park","Napo'opo'o Road","96704",19.474955456242835,-155.91960068930436
"96704","Captain Cook","HI","Kona Paradise Park","not_available","96704",19.314889,-155.881567
"96704","Captain Cook","HI","Kipahoehoe Natural Area Reserve","not_available","96740",19.466717217844025,-155.89823810807047
"96704","Captain Cook","HI","Manuka","not_available","96737",19.109665192541854,-155.82552348880665
"96704","Captain Cook","HI","Clarence Lum Won Park","not_available","96750",19.515817,-155.927576
"96705","Eleele","HI","Eleele Park","not_available","96705",21.90947134826379,-159.58303407642134
"96705","Eleele","HI","hanapepe beach park","not_available","96716",21.904094696044922,-159.59262084960938
"96706","Ewa Beach","HI","Geiger Park","91-1129 Kahiuka St.","96706",21.33203945261931,-158.02785971611837
"96706","Ewa Beach","HI","Asing Center Community Park (Ewa)","91-1450 Renton Rd","96706",21.351528520343862,-158.0253445830157
"96706","Ewa Beach","HI","Ewa Pu'uloa District Park","Keoneula Blvd","not_available",21.319180906845187,-158.0222625596848
"96706","Ewa Beach","HI","Ewa By Gentry Park","not_available","96706",21.335409567360966,-158.01742076236624
"96706","Ewa Beach","HI","Big Green Wall","Renton Rd.","96706",21.338541522944283,-158.03274443625423
"96706","Ewa Beach","HI","Ewa By Genry Community Park 2","91-1200 Keaunui Dr","96706",21.331963497575035,-158.01782248387283
"96706","Ewa Beach","HI","Thomas H Gentry Community Park","91 1795 Keanui Dr","96706",21.345034581672653,-158.0225907474268
"96706","Ewa Beach","HI","‘Ewa Beach Park (Ewa Beach Park)","Fort Weaver Rd","96706",21.31387654835605,-157.99195522016663
"96706","Ewa Beach","HI","Future Park","Idk","96706",21.344431,-158.022505
"96706","Ewa Beach","HI","Sun Terra Park","91-110 Launahele St","not_available",21.330867798353736,-158.0242034584651
"96706","Ewa Beach","HI","Ocean Point Park","Kaiko Street","96706",21.319189182995746,-158.0222386721252
"96706","Ewa Beach","HI","Sun Terra Neighborhood Park","91-140 Pilokahe Pl","not_available",21.331119,-158.022926
"96706","Ewa Beach","HI","Hill Park","Mik'iala","96706",21.351102,-158.028476
"96706","Ewa Beach","HI","Keolu's Dog Park","Kapolei prkwy","96706",21.319189589832835,-158.02219129191394
"96706","Ewa Beach","HI","Aloha Aina Park","not_available","96814",21.327313,-157.981821
"96707","Kapolei","HI","Nanakuli Ranch","89-346 Kauwahi Ave","96792",21.381738662719727,-158.13714599609375
"96707","Kapolei","HI","Makakilo Community Park","92-1140 Makakilo Dr","96707",21.363015697294784,-158.08919577123478
"96707","Kapolei","HI","Kapolei Community Park","not_available","96707",21.337011743866515,-158.06467221918214
"96707","Kapolei","HI","Cambridge Park","92-1348 Panana St","96707",21.359590530395508,-158.08311462402344
"96707","Kapolei","HI","kalanianaole beach park","not_available","96792",21.377465,-158.142756
"96707","Kapolei","HI","Nanakuli Community Park","21.37878	-158.14341","not_available",21.377958241691875,-158.14368724822998
"96707","Kapolei","HI","Department of Parks and Recreation","1000 Uluohia St Ste 309","96707",21.329835891723633,-158.08201599121094
"96708","Haiku","HI","Pukalani Swimming Pool & Park","63 Pukalani St.","96788",20.837289810180664,-156.3434600830078
"96708","Haiku","HI","Pukalani Skate Park","not_available","96768",20.838193,-156.343678
"96708","Haiku","HI","Rice Memorial Park-Kula","Kula Hwy.","96790",20.74147282873563,-156.33264811892136
"96708","Haiku","HI","Kaumahina State Wayside Park","20.8742°N 156.1725°W","96713",20.872105248747367,-156.17194175720215
"96708","Haiku","HI","Pukalani Park","63 Pukalani St.","96768",20.837289810180664,-156.3434600830078
"96708","Haiku","HI","Rainbow Park","Baldwin Ave","96768",20.890544006161992,-156.34827635339605
"96710","Hakalau","HI","World Botanical Gardens & Waterfalls","not_available","96710",19.90378578758783,-155.13654251175004
"96710","Hakalau","HI","Kolekole Beach Park","Kolekole Beach Park","96728",19.881140961362366,-155.11951758630508
"96712","Haleiwa","HI","Hale'iwa Beach Park","62-449 Kamehameha Hwy","96712",21.599683,-158.102895
"96712","Haleiwa","HI","Ehukai Beach Park","21 Ke Nui Rd.","96712",21.669009921040193,-158.05068230847755
"96712","Haleiwa","HI","Sunset Beach Park","59-104 Kamehameha Hwy","96712",21.674602766333145,-158.03988813428634
"96712","Haleiwa","HI","Waimea Bay","61-031 Kamehameha Hwy","not_available",21.63957589087619,-158.0633803528228
"96712","Haleiwa","HI","Waimea Valley Waterfall","59-864 Kamehameha Hwy","96712",21.6361111,-158.0540155
"96712","Haleiwa","HI","Kahuku District Park","not_available","96731",21.66597222222222,-157.99965277777775
"96712","Haleiwa","HI","Jameson's Beach Park","not_available","96712",21.589233708497996,-158.10307002915238
"96713","Hana","HI","Kipahulu Point Park","not_available","96713",20.65968824385277,-156.04490424171797
"96714","Hanalei","HI","Waimea Canyon Lookout","not_available","96796",22.071825580949895,-159.66162220858752
"96716","Hanapepe","HI","Russian Fort Historical Park","Kaumualii Hwy","96769",21.951907097610082,-159.66310004063445
"96716","Hanapepe","HI","Hoffguard Park","Waimea","96796",21.95470832306586,-159.667010307312
"96716","Hanapepe","HI","Waimea Valley Park","4563-4599 Maile Rd","96796",21.956380043856715,-159.66642558574677
"96716","Hanapepe","HI","Lucy wright park","4471 A alawai road","not_available",21.953131583498475,-159.66588084364133
"96716","Hanapepe","HI","Kaumakani Ball Park","Highway 50","96741",21.928003104514318,-159.6340672982958
"96717","Hauula","HI","Swanzy Beach Park","51-489 Kamehameha Hwy","96730",21.556322,-157.853059
"96717","Hauula","HI","Hauula Beach Park","54-135 Kamehameha Hwy","96717",21.608960759869316,-157.90913851536013
"96719","Hawi","HI","Kamehameha Park","Kamehameha Park","96755",20.233787930681558,-155.7995386210793
"96720","Hilo","HI","Rainbow Falls Park","Rainbow drive","96720",19.718883990335353,-155.1086058246475
"96720","Hilo","HI","Lili‘uokalani Park And Gardens","Lihiwai St","96720",19.726370515451844,-155.0690873746714
"96720","Hilo","HI","University Heights Park","not_available","96720",19.705444643356874,-155.0856069010443
"96720","Hilo","HI","Herbert C. Shipman Park","not_available","96749",19.622622555008988,-155.04200079220522
"96720","Hilo","HI","Kikaha Park","Kikaha St","96720",19.678403845593884,-155.0962804102188
"96720","Hilo","HI","Kurtistown Park","17-400 Volcano Rd","96760",19.591157913208008,-155.06118774414062
"96720","Hilo","HI","Coconut Island Park","Coconut Island","not_available",19.72916207813565,-155.0683167533323
"96720","Hilo","HI","Chuks","KALANIANAOLE","96720",19.730005584516142,-155.04890114752268
"96720","Hilo","HI","Pe‘epe‘e Boiling Pots","Wailuku River Boiling Pots State Park","96720",19.714121363499974,-155.13098500319603
"96720","Hilo","HI","Mo'Oheau County Park","Kamehameha Ave","96720",19.723906487087667,-155.08436135242482
"96720","Hilo","HI","Ainaloa Park","Ainaloa drive","96749",19.526643091024315,-154.99414251668048
"96720","Hilo","HI","Kuhio Kalaniana'ole Park","212-300 Kalanianaole Ave","96720",19.725027399339137,-155.06052951963835
"96725","Holualoa","HI","Harold H. Higashihara Park","Kailua Kona,HI,96740","96740",19.551992247567778,-155.93644061020626
"96727","Honokaa","HI","Waimea Park","1257 Lindsey Rd.","96743",20.022145433629735,-155.67124843597412
"96727","Honokaa","HI","Honokaa Park","not_available","96727",20.07571393976049,-155.46736868971226
"96731","Kahuku","HI","Kahuku - Laie Bike Path","Kamehameha Hgwy","not_available",21.671212206002107,-157.93974982453457
"96731","Kahuku","HI","La'ie Park","not_available","96762",21.650459519239423,-157.93029509317014
"96731","Kahuku","HI","Paddle Board Legends Tour","55-370 Kamehameha Hey","not_available",21.64181,-157.919818
"96732","Kahului","HI","Kahului Community Center Park","275 Uhu St","96732",20.8822889669311,-156.47843907639376
"96732","Kahului","HI","Keopuolani Park","Kanaloa Ave.","96793",20.893897558765214,-156.4843225479126
"96732","Kahului","HI","Kamalii Park","not_available","96732",20.881587,-156.461417
"96732","Kahului","HI","Botanical Gardens","224-262 Kanaloa Ave","96793",20.892923,-156.48635488333332
"96732","Kahului","HI","Kahului Community Center","Onehee Ave.","96732",20.882069558413864,-156.4786148071289
"96732","Kahului","HI","Wells Park","not_available","96793",20.887785071683854,-156.49026874282038
"96732","Kahului","HI","Ho'aloha Park","Heterodox View","96732",20.891821324136266,-156.46883018948964
"96732","Kahului","HI","Maui Nui Botanical Gardens","150 Kanaloa Ave","96732",20.89082908630371,-156.48663330078125
"96734","Kailua","HI","Kailua Beach Park","450 Kawailoa Rd","96734",21.396153382110416,-157.7255903744949
"96734","Kailua","HI","Pohakupu Neighborhood Park","not_available","96734",21.380669999655744,-157.75550621016964
"96734","Kailua","HI","Waimanalo District Park & Gym","not_available","96795",21.341630935668945,-157.71546936035156
"96734","Kailua","HI","Lanikai Park","Kaiolena Dr","96734",21.390645817744716,-157.71685928106308
"96734","Kailua","HI","Nuʻuanu Pali Lookout","Nuuanu Pali Dr.","96817",21.36715692215992,-157.79309532128397
"96734","Kailua","HI","Kaelepulu Mini Park","Awakea Rd","96734",21.393722106322436,-157.73173184026746
"96734","Kailua","HI","Friendship Garden","Kokokahi Place","96744",21.406031156308927,-157.77671648792506
"96734","Kailua","HI","Down by the river","Mokulele Dr.","96744",21.40016527403115,-157.79007221594512
"96734","Kailua","HI","Lanikai Community Park","126 Kaiolena Dr","96734",21.39102,-157.716332
"96734","Kailua","HI","Souzas Dairy","not_available","96744",21.40201426485658,-157.7868837335133
"96738","Waikoloa","HI","Lava Lava Grassy Game Area","not_available","96743",19.913462,-155.88767
"96738","Waikoloa","HI","Kohala Suites Grill Lanai","not_available","96738",19.921691,-155.878005
"96738","Waikoloa","HI","Petroglyph Park","Holoholokai Beach Park Rd","96743",19.955313866666668,-155.859383
"96738","Waikoloa","HI","Waikoloa Community Park","Pu‘u Nui Street","96738",19.93883418436276,-155.78733444213867
"96738","Waikoloa","HI","Ho‘okō Community Park","Ho‘okō Street","96738",19.946685721933957,-155.79276323318481
"96740","Kailua Kona","HI","Wawaloli Beach Park","Wawaloli Beach Park","96740",19.71560081181756,-156.04901654292712
"96740","Kailua Kona","HI","Henry Sues","73-1497","96740",19.716112,-155.98736
"96740","Kailua Kona","HI","Kelua town square","Kelua","71552",19.640945,-156.0023997
"96741","Kalaheo","HI","Kōloa Park","Maluhia Rd","96756",21.908049521302004,-159.46460719906597
"96742","Kalaupapa","HI","Kalaupapa Overlook","Highway 470","96757",21.175470195095926,-157.0051857687611
"96743","Kamuela","HI","Mahukona","not_available","96719",20.187795984032554,-155.89697229478668
"96743","Kamuela","HI","Lapakahi State Historical Park","Kawaihae-Mahukona Rd","96743",20.175405260739417,-155.89756455560888
"96744","Kaneohe","HI","Kahaluu Regional Park","Waihee Road","not_available",21.458739371501686,-157.84234577550424
"96744","Kaneohe","HI","Kaneohe Community Park","46-13 Alaloa st","96744",21.41752,-157.805624
"96744","Kaneohe","HI","Heeia Playground","46-202 Haiku Rd","96744",21.418023765158527,-157.81023383884084
"96744","Kaneohe","HI","Senator Fong's Plantation & Garden","47-285 Pulama Rd","96744",21.47003173828125,-157.85475158691406
"96744","Kaneohe","HI","Kaneohe Judo Academy","45-660 Keaahala Rd","96744",21.409454345703125,-157.80894470214844
"96744","Kaneohe","HI","Kaneohe Bay","46-499 Kamehameha Hwy","not_available",21.44384870727511,-157.81072867082304
"96744","Kaneohe","HI","Ahuimanu Community Park","47-450 Hui Aeko Pl","96744",21.435773849487305,-157.82962036132812
"96744","Kaneohe","HI","Kāneʻohe District Park","45-660 Keaahala Rd.","96744",21.410837290360544,-157.8099020104045
"96744","Kaneohe","HI","Komo Mai","46 Kamehameha Hwy","96744",21.442294716615276,-157.80841169390428
"96746","Kapaa","HI","Lihi Park","not_available","96746",22.06146878570524,-159.32048296388834
"96746","Kapaa","HI","Lydgate Beach","Highway 56","96722",22.04196971242537,-159.3349313735962
"96746","Kapaa","HI","Wailua Homesteads Park (Sunshine Markets)","Malu Road","96746",22.060256714128204,-159.36806317471118
"96746","Kapaa","HI","Hele On Kauai Bike Rentals","4-1286 Kuhio Hwy.","96746",22.073850631713867,-159.31881713867188
"96748","Kaunakakai","HI","One Alii Park","Kamehameha V Hwy.","96748",21.070864371435302,-156.97595915636765
"96748","Kaunakakai","HI","Kapuaiwa Coconut Grove","not_available","96748",21.095807093400897,-157.03635072427105
"96748","Kaunakakai","HI","Duke Maliu Regional Park","240 W kamehameha V hwy","96748",21.087012639592885,-157.0162798230599
"96749","Keaau","HI","Ainaloa Longhouse And Park","Ainaloa boulevard","96749",19.53332603078647,-154.985213
"96752","Kekaha","HI","Kekaha Faye Park","Faye Park","not_available",21.969697714029255,-159.71646706328704
"96753","Kihei","HI","Kalama Beach Park","1910 South Kihei Rd","not_available",20.73125401223148,-156.45236814164485
"96753","Kihei","HI","Piikea Park & Soccer Field","not_available","96753",20.752743816945998,-156.44968752222613
"96753","Kihei","HI","kilohana street","Kilohana Dr, Wailea-Makena, HI 96753","96753",20.697368620251318,-156.43483703576476
"96753","Kihei","HI","Waipuilani Park","W Waipuilani Rd","not_available",20.755500149844885,-156.45893662935896
"96756","Koloa","HI","Poipu Beach Park","not_available","96756",21.87387349733597,-159.45466781860307
"96756","Koloa","HI","The Point At Poipu","1613 Pee Rd.","96756",21.87154832245745,-159.4422841939152
"96759","Kunia","HI","Bowman Park","Lyman Rd","96786",21.487371851229444,-158.08775769524988
"96761","Lahaina","HI","Honokowai Beach Park","not_available","96761",20.954292848579318,-156.68636620683972
"96761","Lahaina","HI","The Banyan Tree","Front St","96761",20.871903,-156.677723
"96761","Lahaina","HI","Launiupoko Beach Park","Honoapiilani Hwy","96761",20.84332892559946,-156.65282046339158
"96761","Lahaina","HI","Malu Ulu Olele Park","Front Street","96761",20.869599030636607,-156.67460918426514
"96761","Lahaina","HI","Nakalele Blowhole","Mile marker 38.5","96761",20.99734274071184,-156.654052734375
"96761","Lahaina","HI","Moku'ula","131 Shaw St","96761",20.868419647216797,-156.674560546875
"96763","Lanai City","HI","Dole Park","not_available","96763",20.825219005618855,-156.9194054499252
"96764","Laupahoehoe","HI","Laupāhoehoe Point County Park","Laupāhoehoe Point County Park","96764",19.992582055684725,-155.2408453358669
"96764","Laupahoehoe","HI","Maulua Tract","Mana Road","96764",19.868684768676758,-155.33718872070312
"96766","Lihue","HI","Puhi Park","not_available","96766",21.96511086484346,-159.3919454483435
"96766","Lihue","HI","Nawiliwili Park","3366 Waapa Rd","96766",21.958151819841692,-159.35361021261687
"96772","Naalehu","HI","Waiohinu Park","not_available","96772",19.065018,-155.607412
"96773","Ninole","HI","Waikaumalo Park","Old Māmalahoa Highway","96773",19.93246492398881,-155.1629376411438
"96778","Pahoa","HI","Aid Station Three","not_available","96785",19.432701355615624,-155.23526867112446
"96778","Pahoa","HI","Kīlauea Iki Crater","Kīlauea","96785",19.415748985196526,-155.2429844329173
"96778","Pahoa","HI","East Coast Pit 17","East Coast","96778",19.514422,-154.809744
"96779","Paia","HI","Paia Ballpark","not_available","96779",20.918135,-156.37534
"96782","Pearl City","HI","Manana Community Park","Kuala St","96782",21.411021584503395,-157.96634585673434
"96782","Pearl City","HI","Manana Neighborhood Park","not_available","96782",21.409314022246342,-157.96769504432206
"96782","Pearl City","HI","Hoaloha Park","Hoaloha St.","96818",21.39736266675555,-157.97493756109577
"96782","Pearl City","HI","Manana Kai Community Park","Hooli Circle","not_available",21.411080298641103,-157.9664025714679
"96782","Pearl City","HI","Neal S. Blaisdell Park","Kamehameha Hwy.","96701",21.38654211308897,-157.9569472249517
"96786","Wahiawa","HI","Kanamee Square","Kanamee St.","96789",21.45872341828688,-158.01000571526143
"96786","Wahiawa","HI","mendonca Park","not_available","96786",21.490114212036133,-158.0445098876953
